realtime_start,date,value,realtime_end
2018-11-07,2002-01-01,4887,2018-11-07
2018-11-07,2002-02-01,4825,2018-11-07
2018-11-07,2002-03-01,5102,2018-11-07
2018-11-07,2002-04-01,5267,2018-11-07
2018-11-07,2002-05-01,5220,2018-11-07
2018-11-07,2002-06-01,5361,2018-11-07
2018-11-07,2002-07-01,5261,2018-11-07
2018-11-07,2002-08-01,5605,2018-11-07
2018-11-07,2002-09-01,5711,2018-11-07
2018-11-07,2002-10-01,5597,2018-11-07
2018-11-07,2002-11-01,5202,2018-11-07
2018-11-07,2002-12-01,4482,2018-11-07
2018-11-07,2003-01-01,4344,2018-11-07
2018-11-07,2003-02-01,4320,2018-11-07
2018-11-07,2003-03-01,4595,2018-11-07
2018-11-07,2003-04-01,4865,2018-11-07
2018-11-07,2003-05-01,5166,2018-11-07
2018-11-07,2003-06-01,5546,2018-11-07
2018-11-07,2003-07-01,5595,2018-11-07
2018-11-07,2003-08-01,5852,2018-11-07
2018-11-07,2003-09-01,5751,2018-11-07
2018-11-07,2003-10-01,5610,2018-11-07
2018-11-07,2003-11-01,5146,2018-11-07
2018-11-07,2003-12-01,4741,2018-11-07
2018-11-07,2004-01-01,4524,2018-11-07
2018-11-07,2004-02-01,4626,2018-11-07
2018-11-07,2004-03-01,4981,2018-11-07
2018-11-07,2004-04-01,5366,2018-11-07
2018-11-07,2004-05-01,5715,2018-11-07
2018-11-07,2004-06-01,6122,2018-11-07
2018-11-07,2004-07-01,6306,2018-11-07
2018-11-07,2004-08-01,6198,2018-11-07
2018-11-07,2004-09-01,6332,2018-11-07
2018-11-07,2004-10-01,6049,2018-11-07
2018-11-07,2004-11-01,5732,2018-11-07
2018-11-07,2004-12-01,5106,2018-11-07
2018-11-07,2005-01-01,4825,2018-11-07
2018-11-07,2005-02-01,4976,2018-11-07
2018-11-07,2005-03-01,5334,2018-11-07
2018-11-07,2005-04-01,5629,2018-11-07
2018-11-07,2005-05-01,5994,2018-11-07
2018-11-07,2005-06-01,6058,2018-11-07
2018-11-07,2005-07-01,6099,2018-11-07
2018-11-07,2005-08-01,6399,2018-11-07
2018-11-07,2005-09-01,6378,2018-11-07
2018-11-07,2005-10-01,6524,2018-11-07
2018-11-07,2005-11-01,6232,2018-11-07
2018-11-07,2005-12-01,5794,2018-11-07
2018-11-07,2006-01-01,5572,2018-11-07
2018-11-07,2006-02-01,5410,2018-11-07
2018-11-07,2006-03-01,5792,2018-11-07
2018-11-07,2006-04-01,5969,2018-11-07
2018-11-07,2006-05-01,6475,2018-11-07
2018-11-07,2006-06-01,6739,2018-11-07
2018-11-07,2006-07-01,6711,2018-11-07
2018-11-07,2006-08-01,6975,2018-11-07
2018-11-07,2006-09-01,7126,2018-11-07
2018-11-07,2006-10-01,6876,2018-11-07
2018-11-07,2006-11-01,6777,2018-11-07
2018-11-07,2006-12-01,6291,2018-11-07
2018-11-07,2007-01-01,5935,2018-11-07
2018-11-07,2007-02-01,6133,2018-11-07
2018-11-07,2007-03-01,6579,2018-11-07
2018-11-07,2007-04-01,7061,2018-11-07
2018-11-07,2007-05-01,7834,2018-11-07
2018-11-07,2007-06-01,8107,2018-11-07
2018-11-07,2007-07-01,8021,2018-11-07
2018-11-07,2007-08-01,8432,2018-11-07
2018-11-07,2007-09-01,8469,2018-11-07
2018-11-07,2007-10-01,8380,2018-11-07
2018-11-07,2007-11-01,7826,2018-11-07
2018-11-07,2007-12-01,6907,2018-11-07
2018-11-07,2008-01-01,6790,2018-11-07
2018-11-07,2008-02-01,6903,2018-11-07
2018-11-07,2008-03-01,7012,2018-11-07
2018-11-07,2008-04-01,7460,2018-11-07
2018-11-07,2008-05-01,7739,2018-11-07
2018-11-07,2008-06-01,7827,2018-11-07
2018-11-07,2008-07-01,7881,2018-11-07
2018-11-07,2008-08-01,7670,2018-11-07
2018-11-07,2008-09-01,7539,2018-11-07
2018-11-07,2008-10-01,7207,2018-11-07
2018-11-07,2008-11-01,6522,2018-11-07
2018-11-07,2008-12-01,5663,2018-11-07
2018-11-07,2009-01-01,5004,2018-11-07
2018-11-07,2009-02-01,4970,2018-11-07
2018-11-07,2009-03-01,5112,2018-11-07
2018-11-07,2009-04-01,5097,2018-11-07
2018-11-07,2009-05-01,4962,2018-11-07
2018-11-07,2009-06-01,4743,2018-11-07
2018-11-07,2009-07-01,4601,2018-11-07
2018-11-07,2009-08-01,4451,2018-11-07
2018-11-07,2009-09-01,4470,2018-11-07
2018-11-07,2009-10-01,3989,2018-11-07
2018-11-07,2009-11-01,3812,2018-11-07
2018-11-07,2009-12-01,3525,2018-11-07
2018-11-07,2010-01-01,3119,2018-11-07
2018-11-07,2010-02-01,3095,2018-11-07
2018-11-07,2010-03-01,3250,2018-11-07
2018-11-07,2010-04-01,3375,2018-11-07
2018-11-07,2010-05-01,3404,2018-11-07
2018-11-07,2010-06-01,3636,2018-11-07
2018-11-07,2010-07-01,3424,2018-11-07
2018-11-07,2010-08-01,3652,2018-11-07
2018-11-07,2010-09-01,3596,2018-11-07
2018-11-07,2010-10-01,3446,2018-11-07
2018-11-07,2010-11-01,3223,2018-11-07
2018-11-07,2010-12-01,2882,2018-11-07
2018-11-07,2011-01-01,2689,2018-11-07
2018-11-07,2011-02-01,2803,2018-11-07
2018-11-07,2011-03-01,3088,2018-11-07
2018-11-07,2011-04-01,3465,2018-11-07
2018-11-07,2011-05-01,3693,2018-11-07
2018-11-07,2011-06-01,3981,2018-11-07
2018-11-07,2011-07-01,3974,2018-11-07
2018-11-07,2011-08-01,4207,2018-11-07
2018-11-07,2011-09-01,4023,2018-11-07
2018-11-07,2011-10-01,3797,2018-11-07
2018-11-07,2011-11-01,3687,2018-11-07
2018-11-07,2011-12-01,3409,2018-11-07
2018-11-07,2012-01-01,3207,2018-11-07
2018-11-07,2012-02-01,3270,2018-11-07
2018-11-07,2012-03-01,3588,2018-11-07
2018-11-07,2012-04-01,3919,2018-11-07
2018-11-07,2012-05-01,4033,2018-11-07
2018-11-07,2012-06-01,4223,2018-11-07
2018-11-07,2012-07-01,4232,2018-11-07
2018-11-07,2012-08-01,4345,2018-11-07
2018-11-07,2012-09-01,4420,2018-11-07
2018-11-07,2012-10-01,4418,2018-11-07
2018-11-07,2012-11-01,4038,2018-11-07
2018-11-07,2012-12-01,3642,2018-11-07
2018-11-07,2013-01-01,3543,2018-11-07
2018-11-07,2013-02-01,3774,2018-11-07
2018-11-07,2013-03-01,3920,2018-11-07
2018-11-07,2013-04-01,4210,2018-11-07
2018-11-07,2013-05-01,4427,2018-11-07
2018-11-07,2013-06-01,4549,2018-11-07
2018-11-07,2013-07-01,4726,2018-11-07
2018-11-07,2013-08-01,4779,2018-11-07
2018-11-07,2013-09-01,4929,2018-11-07
2018-11-07,2013-10-01,5020,2018-11-07
2018-11-07,2013-11-01,4845,2018-11-07
2018-11-07,2013-12-01,4438,2018-11-07
2018-11-07,2014-01-01,3894,2018-11-07
2018-11-07,2014-02-01,4155,2018-11-07
2018-11-07,2014-03-01,4492,2018-11-07
2018-11-07,2014-04-01,4857,2018-11-07
2018-11-07,2014-05-01,5148,2018-11-07
2018-11-07,2014-06-01,5433,2018-11-07
2018-11-07,2014-07-01,5542,2018-11-07
2018-11-07,2014-08-01,5855,2018-11-07
2018-11-07,2014-09-01,6164,2018-11-07
2018-11-07,2014-10-01,6244,2018-11-07
2018-11-07,2014-11-01,5740,2018-11-07
2018-11-07,2014-12-01,5319,2018-11-07
2018-11-07,2015-01-01,4648,2018-11-07
2018-11-07,2015-02-01,4529,2018-11-07
2018-11-07,2015-03-01,4983,2018-11-07
2018-11-07,2015-04-01,5446,2018-11-07
2018-11-07,2015-05-01,5708,2018-11-07
2018-11-07,2015-06-01,5661,2018-11-07
2018-11-07,2015-07-01,5717,2018-11-07
2018-11-07,2015-08-01,5997,2018-11-07
2018-11-07,2015-09-01,6082,2018-11-07
2018-11-07,2015-10-01,6143,2018-11-07
2018-11-07,2015-11-01,5604,2018-11-07
2018-11-07,2015-12-01,5380,2018-11-07
2018-11-07,2016-01-01,5274,2018-11-07
2018-11-07,2016-02-01,5513,2018-11-07
2018-11-07,2016-03-01,5869,2018-11-07
2018-11-07,2016-04-01,6263,2018-11-07
2018-11-07,2016-05-01,6626,2018-11-07
2018-11-07,2016-06-01,6700,2018-11-07
2018-11-07,2016-07-01,6784,2018-11-07
2018-11-07,2016-08-01,7163,2018-11-07
2018-11-07,2016-09-01,7199,2018-11-07
2018-11-07,2016-10-01,7180,2018-11-07
2018-11-07,2016-11-01,6912,2018-11-07
2018-11-07,2016-12-01,6670,2018-11-07
2018-11-07,2017-01-01,6071,2018-11-07
2018-11-07,2017-02-01,6144,2018-11-07
2018-11-07,2017-03-01,6844,2018-11-07
2018-11-07,2017-04-01,7379,2018-11-07
2018-11-07,2017-05-01,7757,2018-11-07
2018-11-07,2017-06-01,7845,2018-11-07
2018-11-07,2017-07-01,7747,2018-11-07
2018-11-07,2017-08-01,7886,2018-11-07
2018-11-07,2017-09-01,7799,2018-11-07
2018-11-07,2017-10-01,7855,2018-11-07
2018-11-07,2017-11-01,7404,2018-11-07
2018-11-07,2017-12-01,7003,2018-11-07
2018-11-07,2018-01-01,6465,2018-11-07
2018-11-07,2018-02-01,6844,2018-11-07
2018-11-07,2018-03-01,7239,2018-11-07
2018-11-07,2018-04-01,7626,2018-11-07
