realtime_start,date,value,realtime_end
2018-11-07,2002-01-01,33545,2018-11-07
2018-11-07,2002-02-01,32868,2018-11-07
2018-11-07,2002-03-01,33956,2018-11-07
2018-11-07,2002-04-01,36496,2018-11-07
2018-11-07,2002-05-01,38325,2018-11-07
2018-11-07,2002-06-01,39273,2018-11-07
2018-11-07,2002-07-01,39983,2018-11-07
2018-11-07,2002-08-01,41101,2018-11-07
2018-11-07,2002-09-01,40460,2018-11-07
2018-11-07,2002-10-01,39484,2018-11-07
2018-11-07,2002-11-01,36792,2018-11-07
2018-11-07,2002-12-01,33632,2018-11-07
2018-11-07,2003-01-01,31083,2018-11-07
2018-11-07,2003-02-01,30511,2018-11-07
2018-11-07,2003-03-01,32330,2018-11-07
2018-11-07,2003-04-01,34899,2018-11-07
2018-11-07,2003-05-01,37304,2018-11-07
2018-11-07,2003-06-01,39969,2018-11-07
2018-11-07,2003-07-01,39923,2018-11-07
2018-11-07,2003-08-01,41520,2018-11-07
2018-11-07,2003-09-01,41995,2018-11-07
2018-11-07,2003-10-01,40336,2018-11-07
2018-11-07,2003-11-01,36385,2018-11-07
2018-11-07,2003-12-01,33991,2018-11-07
2018-11-07,2004-01-01,30822,2018-11-07
2018-11-07,2004-02-01,30688,2018-11-07
2018-11-07,2004-03-01,33843,2018-11-07
2018-11-07,2004-04-01,36089,2018-11-07
2018-11-07,2004-05-01,37759,2018-11-07
2018-11-07,2004-06-01,40687,2018-11-07
2018-11-07,2004-07-01,41549,2018-11-07
2018-11-07,2004-08-01,42738,2018-11-07
2018-11-07,2004-09-01,42688,2018-11-07
2018-11-07,2004-10-01,40751,2018-11-07
2018-11-07,2004-11-01,39406,2018-11-07
2018-11-07,2004-12-01,35928,2018-11-07
2018-11-07,2005-01-01,32874,2018-11-07
2018-11-07,2005-02-01,33266,2018-11-07
2018-11-07,2005-03-01,35829,2018-11-07
2018-11-07,2005-04-01,38125,2018-11-07
2018-11-07,2005-05-01,41125,2018-11-07
2018-11-07,2005-06-01,43738,2018-11-07
2018-11-07,2005-07-01,43850,2018-11-07
2018-11-07,2005-08-01,46076,2018-11-07
2018-11-07,2005-09-01,45853,2018-11-07
2018-11-07,2005-10-01,44240,2018-11-07
2018-11-07,2005-11-01,42409,2018-11-07
2018-11-07,2005-12-01,39245,2018-11-07
2018-11-07,2006-01-01,36383,2018-11-07
2018-11-07,2006-02-01,36734,2018-11-07
2018-11-07,2006-03-01,40162,2018-11-07
2018-11-07,2006-04-01,42512,2018-11-07
2018-11-07,2006-05-01,46297,2018-11-07
2018-11-07,2006-06-01,49854,2018-11-07
2018-11-07,2006-07-01,49861,2018-11-07
2018-11-07,2006-08-01,52110,2018-11-07
2018-11-07,2006-09-01,50909,2018-11-07
2018-11-07,2006-10-01,49647,2018-11-07
2018-11-07,2006-11-01,48009,2018-11-07
2018-11-07,2006-12-01,44931,2018-11-07
2018-11-07,2007-01-01,42215,2018-11-07
2018-11-07,2007-02-01,42611,2018-11-07
2018-11-07,2007-03-01,46325,2018-11-07
2018-11-07,2007-04-01,49500,2018-11-07
2018-11-07,2007-05-01,54457,2018-11-07
2018-11-07,2007-06-01,57868,2018-11-07
2018-11-07,2007-07-01,58828,2018-11-07
2018-11-07,2007-08-01,62472,2018-11-07
2018-11-07,2007-09-01,62075,2018-11-07
2018-11-07,2007-10-01,62870,2018-11-07
2018-11-07,2007-11-01,58960,2018-11-07
2018-11-07,2007-12-01,53703,2018-11-07
2018-11-07,2008-01-01,50432,2018-11-07
2018-11-07,2008-02-01,51184,2018-11-07
2018-11-07,2008-03-01,53351,2018-11-07
2018-11-07,2008-04-01,56778,2018-11-07
2018-11-07,2008-05-01,60103,2018-11-07
2018-11-07,2008-06-01,63065,2018-11-07
2018-11-07,2008-07-01,64782,2018-11-07
2018-11-07,2008-08-01,65290,2018-11-07
2018-11-07,2008-09-01,65365,2018-11-07
2018-11-07,2008-10-01,65123,2018-11-07
2018-11-07,2008-11-01,60013,2018-11-07
2018-11-07,2008-12-01,55204,2018-11-07
2018-11-07,2009-01-01,48245,2018-11-07
2018-11-07,2009-02-01,49115,2018-11-07
2018-11-07,2009-03-01,52669,2018-11-07
2018-11-07,2009-04-01,54540,2018-11-07
2018-11-07,2009-05-01,56246,2018-11-07
2018-11-07,2009-06-01,59941,2018-11-07
2018-11-07,2009-07-01,60319,2018-11-07
2018-11-07,2009-08-01,59668,2018-11-07
2018-11-07,2009-09-01,58270,2018-11-07
2018-11-07,2009-10-01,55550,2018-11-07
2018-11-07,2009-11-01,50621,2018-11-07
2018-11-07,2009-12-01,45819,2018-11-07
2018-11-07,2010-01-01,38328,2018-11-07
2018-11-07,2010-02-01,38148,2018-11-07
2018-11-07,2010-03-01,41698,2018-11-07
2018-11-07,2010-04-01,44898,2018-11-07
2018-11-07,2010-05-01,46675,2018-11-07
2018-11-07,2010-06-01,51012,2018-11-07
2018-11-07,2010-07-01,50107,2018-11-07
2018-11-07,2010-08-01,52545,2018-11-07
2018-11-07,2010-09-01,52973,2018-11-07
2018-11-07,2010-10-01,50124,2018-11-07
2018-11-07,2010-11-01,47521,2018-11-07
2018-11-07,2010-12-01,42901,2018-11-07
2018-11-07,2011-01-01,34696,2018-11-07
2018-11-07,2011-02-01,34991,2018-11-07
2018-11-07,2011-03-01,38587,2018-11-07
2018-11-07,2011-04-01,40693,2018-11-07
2018-11-07,2011-05-01,43698,2018-11-07
2018-11-07,2011-06-01,49000,2018-11-07
2018-11-07,2011-07-01,48312,2018-11-07
2018-11-07,2011-08-01,52006,2018-11-07
2018-11-07,2011-09-01,52050,2018-11-07
2018-11-07,2011-10-01,49560,2018-11-07
2018-11-07,2011-11-01,47835,2018-11-07
2018-11-07,2011-12-01,44260,2018-11-07
2018-11-07,2012-01-01,39710,2018-11-07
2018-11-07,2012-02-01,40291,2018-11-07
2018-11-07,2012-03-01,42500,2018-11-07
2018-11-07,2012-04-01,45265,2018-11-07
2018-11-07,2012-05-01,49106,2018-11-07
2018-11-07,2012-06-01,52504,2018-11-07
2018-11-07,2012-07-01,52493,2018-11-07
2018-11-07,2012-08-01,54217,2018-11-07
2018-11-07,2012-09-01,52903,2018-11-07
2018-11-07,2012-10-01,52516,2018-11-07
2018-11-07,2012-11-01,48734,2018-11-07
2018-11-07,2012-12-01,44162,2018-11-07
2018-11-07,2013-01-01,38420,2018-11-07
2018-11-07,2013-02-01,38619,2018-11-07
2018-11-07,2013-03-01,40307,2018-11-07
2018-11-07,2013-04-01,44268,2018-11-07
2018-11-07,2013-05-01,47799,2018-11-07
2018-11-07,2013-06-01,51202,2018-11-07
2018-11-07,2013-07-01,53614,2018-11-07
2018-11-07,2013-08-01,55212,2018-11-07
2018-11-07,2013-09-01,54705,2018-11-07
2018-11-07,2013-10-01,54448,2018-11-07
2018-11-07,2013-11-01,50928,2018-11-07
2018-11-07,2013-12-01,47613,2018-11-07
2018-11-07,2014-01-01,42904,2018-11-07
2018-11-07,2014-02-01,43048,2018-11-07
2018-11-07,2014-03-01,45539,2018-11-07
2018-11-07,2014-04-01,49747,2018-11-07
2018-11-07,2014-05-01,52921,2018-11-07
2018-11-07,2014-06-01,56569,2018-11-07
2018-11-07,2014-07-01,58046,2018-11-07
2018-11-07,2014-08-01,58750,2018-11-07
2018-11-07,2014-09-01,58589,2018-11-07
2018-11-07,2014-10-01,59670,2018-11-07
2018-11-07,2014-11-01,54229,2018-11-07
2018-11-07,2014-12-01,50756,2018-11-07
2018-11-07,2015-01-01,44957,2018-11-07
2018-11-07,2015-02-01,45533,2018-11-07
2018-11-07,2015-03-01,49770,2018-11-07
2018-11-07,2015-04-01,55011,2018-11-07
2018-11-07,2015-05-01,59169,2018-11-07
2018-11-07,2015-06-01,64510,2018-11-07
2018-11-07,2015-07-01,64209,2018-11-07
2018-11-07,2015-08-01,65538,2018-11-07
2018-11-07,2015-09-01,64665,2018-11-07
2018-11-07,2015-10-01,61818,2018-11-07
2018-11-07,2015-11-01,56695,2018-11-07
2018-11-07,2015-12-01,53010,2018-11-07
2018-11-07,2016-01-01,48213,2018-11-07
2018-11-07,2016-02-01,49850,2018-11-07
2018-11-07,2016-03-01,53413,2018-11-07
2018-11-07,2016-04-01,56332,2018-11-07
2018-11-07,2016-05-01,60423,2018-11-07
2018-11-07,2016-06-01,66053,2018-11-07
2018-11-07,2016-07-01,65288,2018-11-07
2018-11-07,2016-08-01,66992,2018-11-07
2018-11-07,2016-09-01,67122,2018-11-07
2018-11-07,2016-10-01,64700,2018-11-07
2018-11-07,2016-11-01,62168,2018-11-07
2018-11-07,2016-12-01,57324,2018-11-07
2018-11-07,2017-01-01,50948,2018-11-07
2018-11-07,2017-02-01,51215,2018-11-07
2018-11-07,2017-03-01,55076,2018-11-07
2018-11-07,2017-04-01,56724,2018-11-07
2018-11-07,2017-05-01,62001,2018-11-07
2018-11-07,2017-06-01,64337,2018-11-07
2018-11-07,2017-07-01,64225,2018-11-07
2018-11-07,2017-08-01,65342,2018-11-07
2018-11-07,2017-09-01,64384,2018-11-07
2018-11-07,2017-10-01,63768,2018-11-07
2018-11-07,2017-11-01,60247,2018-11-07
2018-11-07,2017-12-01,56075,2018-11-07
2018-11-07,2018-01-01,51525,2018-11-07
2018-11-07,2018-02-01,52312,2018-11-07
2018-11-07,2018-03-01,55801,2018-11-07
2018-11-07,2018-04-01,59468,2018-11-07
2018-11-07,2018-05-01,64765,2018-11-07
2018-11-07,2018-06-01,67847,2018-11-07
2018-11-07,2018-07-01,68170,2018-11-07
2018-11-07,2018-08-01,71337,2018-11-07
2018-11-07,2018-09-01,69729,2018-11-07
