realtime_start,date,value,realtime_end
2018-11-07,2002-01-01,16392,2018-11-07
2018-11-07,2002-02-01,17059,2018-11-07
2018-11-07,2002-03-01,16286,2018-11-07
2018-11-07,2002-04-01,16366,2018-11-07
2018-11-07,2002-05-01,16237,2018-11-07
2018-11-07,2002-06-01,16058,2018-11-07
2018-11-07,2002-07-01,16322,2018-11-07
2018-11-07,2002-08-01,16278,2018-11-07
2018-11-07,2002-09-01,16121,2018-11-07
2018-11-07,2002-10-01,15734,2018-11-07
2018-11-07,2002-11-01,15843,2018-11-07
2018-11-07,2002-12-01,16159,2018-11-07
2018-11-07,2003-01-01,16257,2018-11-07
2018-11-07,2003-02-01,16510,2018-11-07
2018-11-07,2003-03-01,15652,2018-11-07
2018-11-07,2003-04-01,16108,2018-11-07
2018-11-07,2003-05-01,15727,2018-11-07
2018-11-07,2003-06-01,16347,2018-11-07
2018-11-07,2003-07-01,16520,2018-11-07
2018-11-07,2003-08-01,16670,2018-11-07
2018-11-07,2003-09-01,17034,2018-11-07
2018-11-07,2003-10-01,17158,2018-11-07
2018-11-07,2003-11-01,17054,2018-11-07
2018-11-07,2003-12-01,17592,2018-11-07
2018-11-07,2004-01-01,17364,2018-11-07
2018-11-07,2004-02-01,17510,2018-11-07
2018-11-07,2004-03-01,17969,2018-11-07
2018-11-07,2004-04-01,18004,2018-11-07
2018-11-07,2004-05-01,18301,2018-11-07
2018-11-07,2004-06-01,17653,2018-11-07
2018-11-07,2004-07-01,18483,2018-11-07
2018-11-07,2004-08-01,18159,2018-11-07
2018-11-07,2004-09-01,17754,2018-11-07
2018-11-07,2004-10-01,17989,2018-11-07
2018-11-07,2004-11-01,18030,2018-11-07
2018-11-07,2004-12-01,17620,2018-11-07
2018-11-07,2005-01-01,17680,2018-11-07
2018-11-07,2005-02-01,17647,2018-11-07
2018-11-07,2005-03-01,18012,2018-11-07
2018-11-07,2005-04-01,19166,2018-11-07
2018-11-07,2005-05-01,19798,2018-11-07
2018-11-07,2005-06-01,20222,2018-11-07
2018-11-07,2005-07-01,20532,2018-11-07
2018-11-07,2005-08-01,19928,2018-11-07
2018-11-07,2005-09-01,20004,2018-11-07
2018-11-07,2005-10-01,20353,2018-11-07
2018-11-07,2005-11-01,21529,2018-11-07
2018-11-07,2005-12-01,21965,2018-11-07
2018-11-07,2006-01-01,22527,2018-11-07
2018-11-07,2006-02-01,23037,2018-11-07
2018-11-07,2006-03-01,23609,2018-11-07
2018-11-07,2006-04-01,22681,2018-11-07
2018-11-07,2006-05-01,22149,2018-11-07
2018-11-07,2006-06-01,22852,2018-11-07
2018-11-07,2006-07-01,23418,2018-11-07
2018-11-07,2006-08-01,23456,2018-11-07
2018-11-07,2006-09-01,23314,2018-11-07
2018-11-07,2006-10-01,24034,2018-11-07
2018-11-07,2006-11-01,23523,2018-11-07
2018-11-07,2006-12-01,23745,2018-11-07
2018-11-07,2007-01-01,24970,2018-11-07
2018-11-07,2007-02-01,25581,2018-11-07
2018-11-07,2007-03-01,23433,2018-11-07
2018-11-07,2007-04-01,24353,2018-11-07
2018-11-07,2007-05-01,24460,2018-11-07
2018-11-07,2007-06-01,24427,2018-11-07
2018-11-07,2007-07-01,24311,2018-11-07
2018-11-07,2007-08-01,24772,2018-11-07
2018-11-07,2007-09-01,25627,2018-11-07
2018-11-07,2007-10-01,25710,2018-11-07
2018-11-07,2007-11-01,25566,2018-11-07
2018-11-07,2007-12-01,25304,2018-11-07
2018-11-07,2008-01-01,25140,2018-11-07
2018-11-07,2008-02-01,25374,2018-11-07
2018-11-07,2008-03-01,25733,2018-11-07
2018-11-07,2008-04-01,25384,2018-11-07
2018-11-07,2008-05-01,25091,2018-11-07
2018-11-07,2008-06-01,25151,2018-11-07
2018-11-07,2008-07-01,25553,2018-11-07
2018-11-07,2008-08-01,24939,2018-11-07
2018-11-07,2008-09-01,25484,2018-11-07
2018-11-07,2008-10-01,26729,2018-11-07
2018-11-07,2008-11-01,26924,2018-11-07
2018-11-07,2008-12-01,26628,2018-11-07
2018-11-07,2009-01-01,25134,2018-11-07
2018-11-07,2009-02-01,24829,2018-11-07
2018-11-07,2009-03-01,26711,2018-11-07
2018-11-07,2009-04-01,25180,2018-11-07
2018-11-07,2009-05-01,25053,2018-11-07
2018-11-07,2009-06-01,24244,2018-11-07
2018-11-07,2009-07-01,24368,2018-11-07
2018-11-07,2009-08-01,23971,2018-11-07
2018-11-07,2009-09-01,24321,2018-11-07
2018-11-07,2009-10-01,24087,2018-11-07
2018-11-07,2009-11-01,25456,2018-11-07
2018-11-07,2009-12-01,25141,2018-11-07
2018-11-07,2010-01-01,27366,2018-11-07
2018-11-07,2010-02-01,23407,2018-11-07
2018-11-07,2010-03-01,25252,2018-11-07
2018-11-07,2010-04-01,26597,2018-11-07
2018-11-07,2010-05-01,25963,2018-11-07
2018-11-07,2010-06-01,26104,2018-11-07
2018-11-07,2010-07-01,26544,2018-11-07
2018-11-07,2010-08-01,27557,2018-11-07
2018-11-07,2010-09-01,26899,2018-11-07
2018-11-07,2010-10-01,26601,2018-11-07
2018-11-07,2010-11-01,24931,2018-11-07
2018-11-07,2010-12-01,24156,2018-11-07
2018-11-07,2011-01-01,23225,2018-11-07
2018-11-07,2011-02-01,22571,2018-11-07
2018-11-07,2011-03-01,23686,2018-11-07
2018-11-07,2011-04-01,22121,2018-11-07
2018-11-07,2011-05-01,22178,2018-11-07
2018-11-07,2011-06-01,23327,2018-11-07
2018-11-07,2011-07-01,22827,2018-11-07
2018-11-07,2011-08-01,22067,2018-11-07
2018-11-07,2011-09-01,22076,2018-11-07
2018-11-07,2011-10-01,22098,2018-11-07
2018-11-07,2011-11-01,22815,2018-11-07
2018-11-07,2011-12-01,23648,2018-11-07
2018-11-07,2012-01-01,23989,2018-11-07
2018-11-07,2012-02-01,24022,2018-11-07
2018-11-07,2012-03-01,23456,2018-11-07
2018-11-07,2012-04-01,22731,2018-11-07
2018-11-07,2012-05-01,22497,2018-11-07
2018-11-07,2012-06-01,21678,2018-11-07
2018-11-07,2012-07-01,20832,2018-11-07
2018-11-07,2012-08-01,21575,2018-11-07
2018-11-07,2012-09-01,21435,2018-11-07
2018-11-07,2012-10-01,21757,2018-11-07
2018-11-07,2012-11-01,23113,2018-11-07
2018-11-07,2012-12-01,21163,2018-11-07
2018-11-07,2013-01-01,21024,2018-11-07
2018-11-07,2013-02-01,21973,2018-11-07
2018-11-07,2013-03-01,21157,2018-11-07
2018-11-07,2013-04-01,22716,2018-11-07
2018-11-07,2013-05-01,22849,2018-11-07
2018-11-07,2013-06-01,20545,2018-11-07
2018-11-07,2013-07-01,22379,2018-11-07
2018-11-07,2013-08-01,23775,2018-11-07
2018-11-07,2013-09-01,23430,2018-11-07
2018-11-07,2013-10-01,23620,2018-11-07
2018-11-07,2013-11-01,22400,2018-11-07
2018-11-07,2013-12-01,22276,2018-11-07
2018-11-07,2014-01-01,20655,2018-11-07
2018-11-07,2014-02-01,20332,2018-11-07
2018-11-07,2014-03-01,20952,2018-11-07
2018-11-07,2014-04-01,21775,2018-11-07
2018-11-07,2014-05-01,22153,2018-11-07
2018-11-07,2014-06-01,24149,2018-11-07
2018-11-07,2014-07-01,24013,2018-11-07
2018-11-07,2014-08-01,23892,2018-11-07
2018-11-07,2014-09-01,23729,2018-11-07
2018-11-07,2014-10-01,24315,2018-11-07
2018-11-07,2014-11-01,24675,2018-11-07
2018-11-07,2014-12-01,25904,2018-11-07
2018-11-07,2015-01-01,24380,2018-11-07
2018-11-07,2015-02-01,24261,2018-11-07
2018-11-07,2015-03-01,24512,2018-11-07
2018-11-07,2015-04-01,24631,2018-11-07
2018-11-07,2015-05-01,24281,2018-11-07
2018-11-07,2015-06-01,25553,2018-11-07
2018-11-07,2015-07-01,25239,2018-11-07
2018-11-07,2015-08-01,23903,2018-11-07
2018-11-07,2015-09-01,24475,2018-11-07
2018-11-07,2015-10-01,23998,2018-11-07
2018-11-07,2015-11-01,23289,2018-11-07
2018-11-07,2015-12-01,23830,2018-11-07
2018-11-07,2016-01-01,26036,2018-11-07
2018-11-07,2016-02-01,26718,2018-11-07
2018-11-07,2016-03-01,25183,2018-11-07
2018-11-07,2016-04-01,25021,2018-11-07
2018-11-07,2016-05-01,23043,2018-11-07
2018-11-07,2016-06-01,22682,2018-11-07
2018-11-07,2016-07-01,22113,2018-11-07
2018-11-07,2016-08-01,22705,2018-11-07
2018-11-07,2016-09-01,22077,2018-11-07
2018-11-07,2016-10-01,22100,2018-11-07
2018-11-07,2016-11-01,21631,2018-11-07
2018-11-07,2016-12-01,20512,2018-11-07
2018-11-07,2017-01-01,20085,2018-11-07
2018-11-07,2017-02-01,20467,2018-11-07
2018-11-07,2017-03-01,20124,2018-11-07
2018-11-07,2017-04-01,19615,2018-11-07
2018-11-07,2017-05-01,20760,2018-11-07
2018-11-07,2017-06-01,20192,2018-11-07
2018-11-07,2017-07-01,20186,2018-11-07
