Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1491307635,2017-04-04T12:07:15Z,RSD78,"55.606785,37.273346",0,27,22
1491307587,2017-04-04T12:06:27Z,RSD78,"55.602669,37.270603",0,23,22
1491307431,2017-04-04T12:03:51Z,RSD78,"55.593742,37.261677",0,16,67
1491307181,2017-04-04T11:59:41Z,RSD78,"55.604042,37.315922",625,135,248
1491307175,2017-04-04T11:59:35Z,RSD78,"55.604736,37.319973",675,134,249
1491307169,2017-04-04T11:59:29Z,RSD78,"55.606091,37.326221",750,135,249
1491307163,2017-04-04T11:59:23Z,RSD78,"55.607487,37.332401",850,136,249
1491307157,2017-04-04T11:59:17Z,RSD78,"55.608856,37.338535",900,136,248
1491307151,2017-04-04T11:59:11Z,RSD78,"55.610229,37.344692",1000,134,248
1491307145,2017-04-04T11:59:05Z,RSD78,"55.612289,37.350937",1075,132,248
1491307139,2017-04-04T11:58:59Z,RSD78,"55.613663,37.357094",1125,131,248
1491307133,2017-04-04T11:58:53Z,RSD78,"55.615028,37.362614",1200,132,248
1491307127,2017-04-04T11:58:47Z,RSD78,"55.616379,37.36948",1275,134,249
1491307121,2017-04-04T11:58:41Z,RSD78,"55.617783,37.375656",1350,135,249
1491307115,2017-04-04T11:58:35Z,RSD78,"55.619125,37.38184",1450,136,249
1491307109,2017-04-04T11:58:29Z,RSD78,"55.620529,37.387974",1525,134,250
1491307103,2017-04-04T11:58:23Z,RSD78,"55.621902,37.394882",1575,133,251
1491307097,2017-04-04T11:58:17Z,RSD78,"55.623268,37.400379",1575,137,250
1491307088,2017-04-04T11:58:08Z,RSD78,"55.625336,37.41061",1575,142,249
1491307082,2017-04-04T11:58:02Z,RSD78,"55.626709,37.416855",1525,134,247
1491307061,2017-04-04T11:57:41Z,RSD78,"55.631516,37.440159",1575,151,271
1491307055,2017-04-04T11:57:35Z,RSD78,"55.630829,37.448399",1625,156,285
1491307049,2017-04-04T11:57:29Z,RSD78,"55.629459,37.454624",1700,161,302
1491307043,2017-04-04T11:57:23Z,RSD78,"55.626015,37.460804",1775,165,321
1491307037,2017-04-04T11:57:17Z,RSD78,"55.621872,37.464924",1850,165,333
1491307031,2017-04-04T11:57:11Z,RSD78,"55.617783,37.468288",1900,166,339
1491307025,2017-04-04T11:57:05Z,RSD78,"55.613663,37.471035",1900,172,338
1491307019,2017-04-04T11:56:59Z,RSD78,"55.608856,37.474533",1925,176,338
1491307013,2017-04-04T11:56:53Z,RSD78,"55.60474,37.47797",1900,173,338
1491307004,2017-04-04T11:56:44Z,RSD78,"55.597183,37.482773",1900,174,337
1491306998,2017-04-04T11:56:38Z,RSD78,"55.593063,37.486183",1875,177,338
1491306975,2017-04-04T11:56:15Z,RSD78,"55.574528,37.491703",2125,192,11
1491306969,2017-04-04T11:56:09Z,RSD78,"55.569035,37.488956",2175,194,22
1491306963,2017-04-04T11:56:03Z,RSD78,"55.564194,37.484837",2200,200,25
1491306957,2017-04-04T11:55:57Z,RSD78,"55.559418,37.48069",2200,205,25
1491306951,2017-04-04T11:55:51Z,RSD78,"55.553905,37.476597",2200,210,24
1491306945,2017-04-04T11:55:45Z,RSD78,"55.547714,37.47179",2200,216,24
1491306936,2017-04-04T11:55:36Z,RSD78,"55.540192,37.465542",2225,222,23
1491306930,2017-04-04T11:55:30Z,RSD78,"55.534012,37.461464",2250,224,23
1491306924,2017-04-04T11:55:24Z,RSD78,"55.527832,37.456638",2250,223,24
1491306918,2017-04-04T11:55:18Z,RSD78,"55.523026,37.45256",2250,222,27
1491306912,2017-04-04T11:55:12Z,RSD78,"55.517502,37.447071",2225,222,31
1491306906,2017-04-04T11:55:06Z,RSD78,"55.512707,37.440205",2225,222,46
1491306900,2017-04-04T11:55:00Z,RSD78,"55.509262,37.431278",2200,223,61
1491306894,2017-04-04T11:54:54Z,RSD78,"55.506516,37.421665",2225,223,73
1491306888,2017-04-04T11:54:48Z,RSD78,"55.505173,37.409946",2225,222,84
1491306879,2017-04-04T11:54:39Z,RSD78,"55.505173,37.394131",2225,221,88
1491306867,2017-04-04T11:54:27Z,RSD78,"55.505173,37.37291",2225,220,89
1491306861,2017-04-04T11:54:21Z,RSD78,"55.505165,37.36124",2225,220,88
1491306855,2017-04-04T11:54:15Z,RSD78,"55.504486,37.349522",2225,220,88
1491306848,2017-04-04T11:54:08Z,RSD78,"55.504486,37.339951",2225,219,89
1491306836,2017-04-04T11:53:56Z,RSD78,"55.504486,37.317978",2225,218,88
1491306826,2017-04-04T11:53:46Z,RSD78,"55.503799,37.298",2225,219,88
1491306820,2017-04-04T11:53:40Z,RSD78,"55.503799,37.287766",2225,219,87
1491306814,2017-04-04T11:53:34Z,RSD78,"55.503799,37.276779",2250,218,87
1491306808,2017-04-04T11:53:28Z,RSD78,"55.503113,37.266457",2250,218,88
1491306802,2017-04-04T11:53:22Z,RSD78,"55.503113,37.25547",2250,217,91
1491306793,2017-04-04T11:53:13Z,RSD78,"55.504467,37.239017",2225,212,108
1491306787,2017-04-04T11:53:07Z,RSD78,"55.507233,37.230087",2225,208,123
1491306781,2017-04-04T11:53:01Z,RSD78,"55.510658,37.221851",2200,208,139
1491306775,2017-04-04T11:52:55Z,RSD78,"55.516159,37.216354",2200,210,154
1491306769,2017-04-04T11:52:49Z,RSD78,"55.521645,37.212925",2200,213,164
1491306763,2017-04-04T11:52:43Z,RSD78,"55.527832,37.211525",2200,214,178
1491306757,2017-04-04T11:52:37Z,RSD78,"55.534012,37.212193",2200,212,188
