Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1497876357,2017-06-19T12:45:57Z,RSD011,"57.663979,34.106525",750,134,205
1497876351,2017-06-19T12:45:51Z,RSD011,"57.668106,34.109974",800,138,205
1497876341,2017-06-19T12:45:41Z,RSD011,"57.673569,34.114765",925,138,205
1497876335,2017-06-19T12:45:35Z,RSD011,"57.676315,34.117512",975,137,204
1497876329,2017-06-19T12:45:29Z,RSD011,"57.680466,34.120274",1050,135,204
1497876323,2017-06-19T12:45:23Z,RSD011,"57.683903,34.123711",1125,136,204
1497876317,2017-06-19T12:45:17Z,RSD011,"57.687332,34.126453",1175,138,205
1497876311,2017-06-19T12:45:11Z,RSD011,"57.690746,34.129826",1250,137,205
1497876305,2017-06-19T12:45:05Z,RSD011,"57.694191,34.132572",1325,136,205
1497876299,2017-06-19T12:44:59Z,RSD011,"57.697632,34.13538",1375,137,204
1497876290,2017-06-19T12:44:50Z,RSD011,"57.703812,34.140186",1475,140,204
1497876284,2017-06-19T12:44:44Z,RSD011,"57.707245,34.14362",1550,139,205
1497876278,2017-06-19T12:44:38Z,RSD011,"57.710678,34.146366",1600,138,206
1497876272,2017-06-19T12:44:32Z,RSD011,"57.714115,34.149761",1675,136,206
1497876266,2017-06-19T12:44:26Z,RSD011,"57.717514,34.153217",1725,136,206
1497876260,2017-06-19T12:44:20Z,RSD011,"57.720978,34.155979",1800,139,206
1497876251,2017-06-19T12:44:11Z,RSD011,"57.726471,34.160786",1900,139,204
1497876244,2017-06-19T12:44:04Z,RSD011,"57.729897,34.164185",1950,138,204
1497876238,2017-06-19T12:43:58Z,RSD011,"57.734024,34.16695",2025,136,203
1497876232,2017-06-19T12:43:52Z,RSD011,"57.737438,34.169678",2075,138,203
1497876226,2017-06-19T12:43:46Z,RSD011,"57.740883,34.173157",2175,141,203
1497876220,2017-06-19T12:43:40Z,RSD011,"57.74498,34.175903",2250,143,203
1497876214,2017-06-19T12:43:34Z,RSD011,"57.748444,34.178642",2325,141,203
1497876207,2017-06-19T12:43:27Z,RSD011,"57.752567,34.182037",2375,140,204
1497876199,2017-06-19T12:43:19Z,RSD011,"57.75806,34.186157",2450,144,206
1497876189,2017-06-19T12:43:09Z,RSD011,"57.76355,34.191669",2550,152,208
1497876183,2017-06-19T12:43:03Z,RSD011,"57.767651,34.19577",2600,158,210
1497876175,2017-06-19T12:42:55Z,RSD011,"57.773144,34.201996",2650,160,212
1497876165,2017-06-19T12:42:45Z,RSD011,"57.779335,34.209503",2725,165,216
1497876159,2017-06-19T12:42:39Z,RSD011,"57.782776,34.21497",2750,166,224
1497876135,2017-06-19T12:42:15Z,RSD011,"57.788925,34.245209",2750,153,291
1497876128,2017-06-19T12:42:08Z,RSD011,"57.786896,34.2528",2750,152,298
1497876120,2017-06-19T12:42:00Z,RSD011,"57.784149,34.263081",2750,154,299
1497876113,2017-06-19T12:41:53Z,RSD011,"57.782082,34.27066",2750,156,298
1497876104,2017-06-19T12:41:44Z,RSD011,"57.778637,34.281647",2750,155,300
1497876098,2017-06-19T12:41:38Z,RSD011,"57.776588,34.288513",2750,154,301
1497876092,2017-06-19T12:41:32Z,RSD011,"57.77454,34.296021",2750,158,303
1497876086,2017-06-19T12:41:26Z,RSD011,"57.771793,34.302887",2750,162,305
1497876080,2017-06-19T12:41:20Z,RSD011,"57.769043,34.309772",2750,163,308
1497876074,2017-06-19T12:41:14Z,RSD011,"57.7663,34.317352",2750,164,311
1497876068,2017-06-19T12:41:08Z,RSD011,"57.763554,34.322845",2750,164,316
1497876062,2017-06-19T12:41:02Z,RSD011,"57.760109,34.328979",2750,166,324
1497876056,2017-06-19T12:40:56Z,RSD011,"57.755966,34.333099",2750,167,332
1497876049,2017-06-19T12:40:49Z,RSD011,"57.751171,34.337219",2750,170,340
1497876043,2017-06-19T12:40:43Z,RSD011,"57.747074,34.339966",2750,170,342
1497876035,2017-06-19T12:40:35Z,RSD011,"57.740185,34.344086",2750,171,344
1497876028,2017-06-19T12:40:28Z,RSD011,"57.73539,34.346191",2750,172,347
1497876022,2017-06-19T12:40:22Z,RSD011,"57.730595,34.347565",2750,172,347
1497876016,2017-06-19T12:40:16Z,RSD011,"57.726471,34.3503",2750,170,347
1497876010,2017-06-19T12:40:10Z,RSD011,"57.721664,34.35236",2725,168,348
1497876004,2017-06-19T12:40:04Z,RSD011,"57.716858,34.353733",2725,170,348
1497875998,2017-06-19T12:39:58Z,RSD011,"57.712051,34.355793",2725,176,348
1497875992,2017-06-19T12:39:52Z,RSD011,"57.707932,34.357166",2725,182,348
1497875986,2017-06-19T12:39:46Z,RSD011,"57.702438,34.359226",2725,189,349
1497875980,2017-06-19T12:39:40Z,RSD011,"57.696945,34.361286",2725,196,349
