Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498052057,2017-06-21T13:34:17Z,RSD077,"54.808533,37.1105",24932,302,34
1498051691,2017-06-21T13:28:11Z,RSD077,"54.795078,37.109673",25037,412,34
1498051676,2017-06-21T13:27:56Z,RSD077,"54.755219,37.079433",25669,412,34
1498051640,2017-06-21T13:27:20Z,RSD077,"54.707832,36.962173",27025,551,66
1498051613,2017-06-21T13:26:53Z,RSD077,"54.691082,36.854366",27000,454,112
1498051601,2017-06-21T13:26:41Z,RSD077,"54.701195,36.819473",27000,454,112
1498051580,2017-06-21T13:26:20Z,RSD077,"54.716957,36.77076",27025,431,134
1498051569,2017-06-21T13:26:09Z,RSD077,"54.725674,36.750759",27000,425,140
1498051561,2017-06-21T13:26:01Z,RSD077,"54.738121,36.730766",26950,422,143
1498051551,2017-06-21T13:25:51Z,RSD077,"54.750538,36.713802",26965,410,149
1498051544,2017-06-21T13:25:44Z,RSD077,"54.76408,36.698185",27095,404,154
1498051537,2017-06-21T13:25:37Z,RSD077,"54.777184,36.685089",27281,400,157
1498051531,2017-06-21T13:25:31Z,RSD077,"54.785305,36.678879",27435,400,157
1498051525,2017-06-21T13:25:25Z,RSD077,"54.798492,36.669079",27744,394,162
1498051516,2017-06-21T13:25:16Z,RSD077,"54.812637,36.66119",28025,390,165
1498051501,2017-06-21T13:25:01Z,RSD077,"54.839561,36.650394",28618,380,173
1498051439,2017-06-21T13:23:59Z,RSD077,"54.9445,36.648506",29950,387,184
1498051378,2017-06-21T13:22:58Z,RSD077,"55.061607,36.671638",29949,396,185
1498051315,2017-06-21T13:21:55Z,RSD077,"55.194172,36.696285",29950,396,178
1498051297,2017-06-21T13:21:37Z,RSD077,"55.253696,36.682983",29975,396,160
1498051285,2017-06-21T13:21:25Z,RSD077,"55.273945,36.67252",29950,611,154
1498051270,2017-06-21T13:21:10Z,RSD077,"55.315556,36.63974",29925,579,129
1498051264,2017-06-21T13:21:04Z,RSD077,"55.326553,36.615795",29929,579,129
1498051244,2017-06-21T13:20:44Z,RSD077,"55.358093,36.556377",30000,427,95
1498051238,2017-06-21T13:20:38Z,RSD077,"55.365967,36.539742",29996,427,95
1498051217,2017-06-21T13:20:17Z,RSD077,"55.369518,36.456631",29950,497,80
1498051190,2017-06-21T13:19:50Z,RSD077,"55.349033,36.344139",29950,432,340
1498051107,2017-06-21T13:18:27Z,RSD077,"55.182545,36.339943",29950,402,340
1498051040,2017-06-21T13:17:20Z,RSD077,"55.078434,36.403252",29999,394,346
1498050973,2017-06-21T13:16:13Z,RSD077,"54.948559,36.478382",28475,390,339
1498050964,2017-06-21T13:16:04Z,RSD077,"54.932167,36.488338",28320,390,336
1498050945,2017-06-21T13:15:45Z,RSD077,"54.880997,36.532585",27590,384,301
1498050932,2017-06-21T13:15:32Z,RSD077,"54.862278,36.568588",27136,380,301
1498050917,2017-06-21T13:15:17Z,RSD077,"54.851559,36.592419",26897,364,279
1498050893,2017-06-21T13:14:53Z,RSD077,"54.846714,36.665825",26200,344,254
1498050887,2017-06-21T13:14:47Z,RSD077,"54.847797,36.678947",26075,342,244
1498050881,2017-06-21T13:14:41Z,RSD077,"54.853363,36.705341",25775,406,234
1498050869,2017-06-21T13:14:29Z,RSD077,"54.864311,36.739563",25375,398,224
1498050862,2017-06-21T13:14:22Z,RSD077,"54.874458,36.761181",25140,371,206
1498050855,2017-06-21T13:14:15Z,RSD077,"54.885361,36.771591",24878,371,206
1498050847,2017-06-21T13:14:07Z,RSD077,"54.891247,36.779217",24755,371,206
1498050825,2017-06-21T13:13:45Z,RSD077,"54.926437,36.799747",24025,352,194
1498050775,2017-06-21T13:12:55Z,RSD077,"55.184082,36.65712",21575,0,59
1498050617,2017-06-21T13:10:17Z,RSD077,"55.173275,36.624321",21150,0,42
