Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498590935,2017-06-27T19:15:35Z,RSD601,"55.620155,37.743748",10700,261,252
1498590810,2017-06-27T19:13:30Z,RSD601,"55.646729,37.851765",12000,261,252
1498590757,2017-06-27T19:12:37Z,RSD601,"55.648781,37.861774",12125,261,252
1498590750,2017-06-27T19:12:30Z,RSD601,"55.64991,37.86729",12195,262,254
1498590717,2017-06-27T19:11:57Z,RSD601,"55.662708,37.942806",13068,263,254
1498590681,2017-06-27T19:11:21Z,RSD601,"55.675064,38.019012",13915,272,254
1498590645,2017-06-27T19:10:45Z,RSD601,"55.687298,38.095486",14785,281,254
1498590609,2017-06-27T19:10:09Z,RSD601,"55.700596,38.175026",15658,304,248
1498590575,2017-06-27T19:09:35Z,RSD601,"55.716171,38.247852",16438,312,248
1498590514,2017-06-27T19:08:34Z,RSD601,"55.758751,38.43232",18150,305,248
1498590442,2017-06-27T19:07:22Z,RSD601,"55.798302,38.605606",19200,278,248
1498590364,2017-06-27T19:06:04Z,RSD601,"55.829182,38.741039",20574,270,249
1498590301,2017-06-27T19:05:01Z,RSD601,"55.8577,38.868279",22225,278,249
1498590215,2017-06-27T19:03:35Z,RSD601,"55.899235,39.053772",24575,305,249
1498590187,2017-06-27T19:03:07Z,RSD601,"55.917683,39.136673",25650,316,249
1498590120,2017-06-27T19:02:00Z,RSD601,"55.951698,39.291821",27165,324,249
1498590057,2017-06-27T19:00:57Z,RSD601,"55.983597,39.440449",28349,322,249
1498589993,2017-06-27T18:59:53Z,RSD601,"56.020344,39.609989",29725,310,246
1498589931,2017-06-27T18:58:51Z,RSD601,"56.053123,39.741959",30550,317,246
1498589870,2017-06-27T18:57:50Z,RSD601,"56.093372,39.905254",31849,346,246
1498589807,2017-06-27T18:56:47Z,RSD601,"56.130985,40.057541",33232,360,245
1498589744,2017-06-27T18:55:44Z,RSD601,"56.176624,40.232399",33975,367,243
1498589680,2017-06-27T18:54:40Z,RSD601,"56.22414,40.406403",34000,358,244
1498589632,2017-06-27T18:53:52Z,RSD601,"56.251263,40.538902",33975,362,259
1498589602,2017-06-27T18:53:22Z,RSD601,"56.258652,40.621517",33974,362,269
1498589524,2017-06-27T18:52:04Z,RSD601,"56.253365,40.861168",34000,362,275
1498589463,2017-06-27T18:51:03Z,RSD601,"56.245861,41.039383",33977,362,275
1498589400,2017-06-27T18:50:00Z,RSD601,"56.237511,41.229958",33975,362,275
1498589337,2017-06-27T18:48:57Z,RSD601,"56.228333,41.431751",33975,366,275
