Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499103195,2017-07-03T17:33:15Z,RSD011,"55.594425,37.282272",0,22,8
1499103018,2017-07-03T17:30:18Z,RSD011,"55.589619,37.265106",0,32,67
1499102809,2017-07-03T17:26:49Z,RSD011,"55.601303,37.303493",1100,132,248
1499102800,2017-07-03T17:26:40Z,RSD011,"55.603363,37.311069",1200,132,248
1499102794,2017-07-03T17:26:34Z,RSD011,"55.60405,37.316563",1250,133,248
1499102788,2017-07-03T17:26:28Z,RSD011,"55.605392,37.322102",1325,133,248
1499102782,2017-07-03T17:26:22Z,RSD011,"55.606796,37.328213",1400,133,247
1499102776,2017-07-03T17:26:16Z,RSD011,"55.608856,37.335121",1475,131,248
1499102767,2017-07-03T17:26:07Z,RSD011,"55.610229,37.344028",1575,131,248
1499102761,2017-07-03T17:26:01Z,RSD011,"55.611584,37.349567",1625,133,248
1499102755,2017-07-03T17:25:55Z,RSD011,"55.613632,37.356434",1725,135,247
1499102749,2017-07-03T17:25:49Z,RSD011,"55.615028,37.361927",1800,135,247
1499102743,2017-07-03T17:25:43Z,RSD011,"55.616379,37.368107",1875,132,248
1499102737,2017-07-03T17:25:37Z,RSD011,"55.617783,37.374241",1925,131,249
1499102731,2017-07-03T17:25:31Z,RSD011,"55.619156,37.380398",2000,132,250
1499102725,2017-07-03T17:25:25Z,RSD011,"55.619843,37.386642",2050,137,250
1499102719,2017-07-03T17:25:19Z,RSD011,"55.621872,37.394199",2125,146,249
1499102712,2017-07-03T17:25:12Z,RSD011,"55.623276,37.400375",2175,151,247
1499102706,2017-07-03T17:25:06Z,RSD011,"55.624619,37.407246",2225,158,245
1499102698,2017-07-03T17:24:58Z,RSD011,"55.628082,37.418186",2225,159,243
1499102691,2017-07-03T17:24:51Z,RSD011,"55.630112,37.425098",2225,160,245
1499102683,2017-07-03T17:24:43Z,RSD011,"55.631516,37.436745",2250,160,264
1499102674,2017-07-03T17:24:34Z,RSD011,"55.630829,37.449062",2325,159,292
1499102665,2017-07-03T17:24:25Z,RSD011,"55.627365,37.458744",2425,161,315
1499102659,2017-07-03T17:24:19Z,RSD011,"55.623268,37.464237",2475,164,330
1499102652,2017-07-03T17:24:12Z,RSD011,"55.619156,37.467625",2525,165,338
1499102646,2017-07-03T17:24:06Z,RSD011,"55.615028,37.470417",2550,163,338
1499102638,2017-07-03T17:23:58Z,RSD011,"55.608139,37.475224",2550,162,339
1499102628,2017-07-03T17:23:48Z,RSD011,"55.601994,37.479343",2575,164,338
1499102620,2017-07-03T17:23:40Z,RSD011,"55.595123,37.484768",2650,164,337
1499102614,2017-07-03T17:23:34Z,RSD011,"55.59169,37.487514",2700,164,338
1499102608,2017-07-03T17:23:28Z,RSD011,"55.58757,37.490261",2750,165,342
1499102602,2017-07-03T17:23:22Z,RSD011,"55.582767,37.493076",2800,167,348
1499102595,2017-07-03T17:23:15Z,RSD011,"55.577957,37.493759",2850,170,7
1499102587,2017-07-03T17:23:07Z,RSD011,"55.571083,37.49033",2900,170,24
1499102581,2017-07-03T17:23:01Z,RSD011,"55.566971,37.486851",2900,168,25
1499102574,2017-07-03T17:22:54Z,RSD011,"55.562851,37.483437",2875,166,25
1499102566,2017-07-03T17:22:46Z,RSD011,"55.556652,37.47797",2875,165,26
1499102559,2017-07-03T17:22:39Z,RSD011,"55.551865,37.474533",2875,167,26
1499102551,2017-07-03T17:22:31Z,RSD011,"55.545685,37.469704",2925,168,25
1499102542,2017-07-03T17:22:22Z,RSD011,"55.539505,37.464211",3000,168,26
1499102532,2017-07-03T17:22:12Z,RSD011,"55.533325,37.459385",3100,170,26
1499102526,2017-07-03T17:22:06Z,RSD011,"55.528488,37.455997",3150,173,25
1499102518,2017-07-03T17:21:58Z,RSD011,"55.522339,37.450478",3250,179,27
1499102511,2017-07-03T17:21:51Z,RSD011,"55.517532,37.446316",3300,185,30
1499102503,2017-07-03T17:21:43Z,RSD011,"55.510658,37.438831",3400,197,43
1499102496,2017-07-03T17:21:36Z,RSD011,"55.507233,37.431252",3450,207,56
1499102490,2017-07-03T17:21:30Z,RSD011,"55.504486,37.422348",3525,213,65
1499102484,2017-07-03T17:21:24Z,RSD011,"55.50172,37.412052",3625,220,75
1499102478,2017-07-03T17:21:18Z,RSD011,"55.500366,37.400375",3725,226,77
1499102472,2017-07-03T17:21:12Z,RSD011,"55.498974,37.390766",3850,227,77
1499102466,2017-07-03T17:21:06Z,RSD011,"55.49762,37.380398",3975,230,76
1499102460,2017-07-03T17:21:00Z,RSD011,"55.49556,37.36808",4125,234,76
1499102454,2017-07-03T17:20:54Z,RSD011,"55.494179,37.356434",4275,237,75
1499102445,2017-07-03T17:20:45Z,RSD011,"55.491432,37.340641",4475,240,73
1499102439,2017-07-03T17:20:39Z,RSD011,"55.48938,37.329628",4625,244,73
1499102414,2017-07-03T17:20:14Z,RSD011,"55.484573,37.278111",5375,266,103
1499102396,2017-07-03T17:19:56Z,RSD011,"55.495529,37.245197",6050,274,132
1499102384,2017-07-03T17:19:44Z,RSD011,"55.506546,37.224594",6500,277,131
1499102372,2017-07-03T17:19:32Z,RSD011,"55.516151,37.205372",6925,276,131
1499102360,2017-07-03T17:19:20Z,RSD011,"55.526459,37.183395",7300,277,132
1499102348,2017-07-03T17:19:08Z,RSD011,"55.536728,37.164173",7650,273,132
1499102336,2017-07-03T17:18:56Z,RSD011,"55.547062,37.144947",7975,267,132
1499102324,2017-07-03T17:18:44Z,RSD011,"55.556652,37.125721",8025,266,132
1499102312,2017-07-03T17:18:32Z,RSD011,"55.566284,37.106491",8025,265,132
1499102300,2017-07-03T17:18:20Z,RSD011,"55.576576,37.087269",8025,264,132
1499102287,2017-07-03T17:18:07Z,RSD011,"55.586166,37.067356",8025,264,132
1499102275,2017-07-03T17:17:55Z,RSD011,"55.597153,37.046757",8025,264,132
1499102264,2017-07-03T17:17:44Z,RSD011,"55.60611,37.028172",8025,262,132
1499102251,2017-07-03T17:17:31Z,RSD011,"55.615726,37.008991",8025,261,131
1499102243,2017-07-03T17:17:23Z,RSD011,"55.623276,36.994545",8000,260,131
1499102236,2017-07-03T17:17:16Z,RSD011,"55.627365,36.984959",8000,260,131
1499102230,2017-07-03T17:17:10Z,RSD011,"55.632202,36.974655",8025,258,133
1499102222,2017-07-03T17:17:02Z,RSD011,"55.641098,36.960926",8100,259,147
1499102215,2017-07-03T17:16:55Z,RSD011,"55.647308,36.954678",8150,260,160
1499102207,2017-07-03T17:16:47Z,RSD011,"55.656921,36.9506",8250,259,175
1499102200,2017-07-03T17:16:40Z,RSD011,"55.663788,36.951267",8325,258,186
1499102191,2017-07-03T17:16:31Z,RSD011,"55.675453,36.95612",8475,255,200
1499102179,2017-07-03T17:16:19Z,RSD011,"55.688507,36.965",8675,257,200
1499102167,2017-07-03T17:16:07Z,RSD011,"55.701553,36.973904",8900,257,200
1499102155,2017-07-03T17:15:55Z,RSD011,"55.715286,36.983559",9200,257,200
1499102143,2017-07-03T17:15:43Z,RSD011,"55.727646,36.992466",9450,255,200
1499102131,2017-07-03T17:15:31Z,RSD011,"55.741371,37.001438",9725,253,201
1499102116,2017-07-03T17:15:16Z,RSD011,"55.758545,37.013107",10000,250,200
1499102104,2017-07-03T17:15:04Z,RSD011,"55.770187,37.021351",10025,247,200
1499102092,2017-07-03T17:14:52Z,RSD011,"55.783268,37.029591",10000,250,200
1499102080,2017-07-03T17:14:40Z,RSD011,"55.796303,37.038517",9975,257,200
1499102068,2017-07-03T17:14:28Z,RSD011,"55.810043,37.047398",9975,268,200
1499102056,2017-07-03T17:14:16Z,RSD011,"55.824467,37.057743",10025,278,201
1499102044,2017-07-03T17:14:04Z,RSD011,"55.838852,37.067356",10125,285,200
1499102032,2017-07-03T17:13:52Z,RSD011,"55.853981,37.077656",10250,289,200
1499102020,2017-07-03T17:13:40Z,RSD011,"55.869064,37.087955",10350,294,200
1499102007,2017-07-03T17:13:27Z,RSD011,"55.884201,37.098251",10450,301,200
1499101995,2017-07-03T17:13:15Z,RSD011,"55.899975,37.108555",10700,303,200
1499101983,2017-07-03T17:13:03Z,RSD011,"55.916454,37.120228",11000,304,200
1499101971,2017-07-03T17:12:51Z,RSD011,"55.93158,37.130459",11275,304,200
1499101959,2017-07-03T17:12:39Z,RSD011,"55.948059,37.141445",11550,304,200
1499101947,2017-07-03T17:12:27Z,RSD011,"55.963146,37.151814",11825,303,200
1499101915,2017-07-03T17:11:55Z,RSD011,"56.005737,37.181313",12025,299,200
1499101884,2017-07-03T17:11:24Z,RSD011,"56.045563,37.208115",12025,299,200
1499101851,2017-07-03T17:10:51Z,RSD011,"56.087448,37.236912",12200,298,200
1499101820,2017-07-03T17:10:20Z,RSD011,"56.12796,37.264378",12550,305,200
1499101787,2017-07-03T17:09:47Z,RSD011,"56.171886,37.294636",13325,312,200
1499101754,2017-07-03T17:09:14Z,RSD011,"56.217224,37.325466",14150,315,200
1499101720,2017-07-03T17:08:40Z,RSD011,"56.262524,37.356434",15000,318,200
1499101688,2017-07-03T17:08:08Z,RSD011,"56.307175,37.388638",15800,322,200
1499101679,2017-07-03T17:07:59Z,RSD011,"56.319534,37.396877",16000,325,198
1499101655,2017-07-03T17:07:35Z,RSD011,"56.355907,37.409992",16550,343,175
1499101648,2017-07-03T17:07:28Z,RSD011,"56.365543,37.407932",16700,350,166
1499101640,2017-07-03T17:07:20Z,RSD011,"56.380627,37.399693",16925,356,156
1499101634,2017-07-03T17:07:14Z,RSD011,"56.389565,37.390766",17100,361,147
1499101582,2017-07-03T17:06:22Z,RSD011,"56.452744,37.28635",18400,374,136
1499101519,2017-07-03T17:05:19Z,RSD011,"56.533081,37.148354",20025,388,136
