Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501838900,2017-08-04T09:28:20Z,RSD711,"53.383595,103.866356",33975,454,145
1501838454,2017-08-04T09:20:54Z,RSD711,"53.37608,103.890022",33975,454,325
1501837884,2017-08-04T09:11:24Z,RSD711,"52.823105,105.486092",33950,454,310
1501837794,2017-08-04T09:09:54Z,RSD711,"52.700905,105.724342",33825,455,310
1501837781,2017-08-04T09:09:41Z,RSD711,"52.683029,105.757301",33525,459,310
1501837720,2017-08-04T09:08:40Z,RSD711,"52.598583,105.920677",32275,458,310
1501837659,2017-08-04T09:07:39Z,RSD711,"52.514137,106.0821",31225,448,310
1501837597,2017-08-04T09:06:37Z,RSD711,"52.43174,106.237244",30050,438,310
1501837535,2017-08-04T09:05:35Z,RSD711,"52.352097,106.393127",28575,429,305
1501837473,2017-08-04T09:04:33Z,RSD711,"52.293713,106.566124",26975,420,291
1501837412,2017-08-04T09:03:32Z,RSD711,"52.260773,106.75087",25300,408,283
1501837350,2017-08-04T09:02:30Z,RSD711,"52.233288,106.931419",23675,391,284
1501837288,2017-08-04T09:01:28Z,RSD711,"52.20652,107.105873",21725,379,284
1501837224,2017-08-04T09:00:24Z,RSD711,"52.179752,107.281654",19600,363,285
1501837218,2017-08-04T09:00:18Z,RSD711,"52.177002,107.29744",19375,362,287
1501837212,2017-08-04T09:00:12Z,RSD711,"52.173561,107.313194",19125,362,290
1501837206,2017-08-04T09:00:06Z,RSD711,"52.170116,107.329048",18900,362,293
1501837199,2017-08-04T08:59:59Z,RSD711,"52.165329,107.344818",18675,361,295
1501837193,2017-08-04T08:59:53Z,RSD711,"52.161179,107.360596",18450,358,298
1501837187,2017-08-04T08:59:47Z,RSD711,"52.155716,107.375031",18250,357,303
1501837181,2017-08-04T08:59:41Z,RSD711,"52.149536,107.38945",18025,356,305
1501837175,2017-08-04T08:59:35Z,RSD711,"52.144043,107.40181",17800,353,308
1501837168,2017-08-04T08:59:28Z,RSD711,"52.137863,107.414856",17550,352,312
1501837162,2017-08-04T08:59:22Z,RSD711,"52.130966,107.426514",17275,352,315
1501837156,2017-08-04T08:59:16Z,RSD711,"52.122757,107.438202",17025,351,325
1501837150,2017-08-04T08:59:10Z,RSD711,"52.114487,107.446449",16850,349,333
1501837144,2017-08-04T08:59:04Z,RSD711,"52.104904,107.452621",16625,347,342
1501837134,2017-08-04T08:58:54Z,RSD711,"52.089767,107.457436",16275,345,354
1501837103,2017-08-04T08:58:23Z,RSD711,"52.042419,107.464294",15125,338,354
1501837072,2017-08-04T08:57:52Z,RSD711,"51.994354,107.471161",13925,329,354
1501837039,2017-08-04T08:57:19Z,RSD711,"51.943542,107.479401",12375,323,354
1501837026,2017-08-04T08:57:06Z,RSD711,"51.924316,107.482147",11775,322,355
1501837014,2017-08-04T08:56:54Z,RSD711,"51.90715,107.484207",11325,317,355
1501837001,2017-08-04T08:56:41Z,RSD711,"51.889297,107.486969",10800,313,355
1501836989,2017-08-04T08:56:29Z,RSD711,"51.870739,107.489014",10225,309,355
1501836977,2017-08-04T08:56:17Z,RSD711,"51.853561,107.491074",9675,306,355
1501836965,2017-08-04T08:56:05Z,RSD711,"51.83643,107.49382",9200,301,355
1501836952,2017-08-04T08:55:52Z,RSD711,"51.819946,107.496544",8775,292,352
1501836946,2017-08-04T08:55:46Z,RSD711,"51.81171,107.498627",8525,288,351
1501836940,2017-08-04T08:55:40Z,RSD711,"51.803467,107.500702",8275,285,351
1501836934,2017-08-04T08:55:34Z,RSD711,"51.795231,107.502747",8000,282,352
