Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501940978,2017-08-05T13:49:38Z,,"57.73344,51.40099",32725,375,310
1501940896,2017-08-05T13:48:16Z,,"57.660789,51.570423",32725,375,310
1501940829,2017-08-05T13:47:09Z,,"57.61031,51.69035",32725,375,310
1501940780,2017-08-05T13:46:20Z,,"57.59338,51.719688",32725,375,310
1501940720,2017-08-05T13:45:20Z,,"57.502125,51.930832",32725,375,310
1501940680,2017-08-05T13:44:40Z,,"57.490398,51.951572",32725,372,290
1501940624,2017-08-05T13:43:44Z,,"57.430565,52.117275",33850,372,290
1501940559,2017-08-05T13:42:39Z,,"57.38863,52.28933",35975,374,290
1501940493,2017-08-05T13:41:33Z,,"57.345341,52.519459",35975,374,290
1501940432,2017-08-05T13:40:32Z,,"57.314968,52.674812",35975,374,290
1501940340,2017-08-05T13:39:00Z,,"57.260925,52.958958",35975,351,295
1501940272,2017-08-05T13:37:52Z,,"57.224373,53.141369",35975,351,295
1501940249,2017-08-05T13:37:29Z,,"57.214138,53.18642",35975,336,294
1501940186,2017-08-05T13:36:26Z,,"57.165363,53.373386",35988,336,294
1501940177,2017-08-05T13:36:17Z,,"57.16066,53.382225",35975,336,294
1501940130,2017-08-05T13:35:30Z,,"57.147263,53.513653",35975,360,280
1501940065,2017-08-05T13:34:25Z,,"57.122478,53.723946",35975,528,226
