Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501965172,2017-08-05T20:32:52Z,RSD711,"55.594429,37.282276",0,20,33
1501965163,2017-08-05T20:32:43Z,RSD711,"55.593742,37.282276",0,18,345
1501965133,2017-08-05T20:32:13Z,RSD711,"55.593052,37.282959",0,18,39
1501965049,2017-08-05T20:30:49Z,RSD711,"55.590996,37.27541",0,31,67
1501964982,2017-08-05T20:29:42Z,RSD711,"55.589619,37.268539",0,22,67
1501964976,2017-08-05T20:29:36Z,RSD711,"55.589619,37.267853",0,21,67
1501964938,2017-08-05T20:28:58Z,RSD711,"55.588932,37.265793",0,21,67
1501964931,2017-08-05T20:28:51Z,RSD711,"55.588932,37.265106",0,21,67
1501964774,2017-08-05T20:26:14Z,RSD711,"55.59787,37.288429",800,134,248
1501964764,2017-08-05T20:26:04Z,RSD711,"55.599243,37.296005",875,132,247
1501964754,2017-08-05T20:25:54Z,RSD711,"55.601295,37.305622",975,129,248
1501964748,2017-08-05T20:25:48Z,RSD711,"55.602646,37.310429",1050,129,248
1501964738,2017-08-05T20:25:38Z,RSD711,"55.60474,37.320728",1150,128,248
1501964711,2017-08-05T20:25:11Z,RSD711,"55.610886,37.346821",1450,126,247
1501964700,2017-08-05T20:25:00Z,RSD711,"55.613632,37.357121",1575,128,247
1501964691,2017-08-05T20:24:51Z,RSD711,"55.615726,37.36742",1700,130,249
1501964680,2017-08-05T20:24:40Z,RSD711,"55.617783,37.377651",1825,126,251
1501964666,2017-08-05T20:24:26Z,RSD711,"55.621216,37.394131",2000,133,247
1501964660,2017-08-05T20:24:20Z,RSD711,"55.621902,37.397629",2025,144,244
1501964646,2017-08-05T20:24:06Z,RSD711,"55.627396,37.414772",2050,150,241
1501964640,2017-08-05T20:24:00Z,RSD711,"55.628082,37.41885",2050,150,241
1501964615,2017-08-05T20:23:35Z,RSD711,"55.632202,37.447731",2125,144,284
1501964600,2017-08-05T20:23:20Z,RSD711,"55.626709,37.461464",2275,147,325
1501964590,2017-08-05T20:23:10Z,RSD711,"55.620529,37.466293",2350,146,338
1501964579,2017-08-05T20:22:59Z,RSD711,"55.613663,37.471035",2400,145,339
1501964569,2017-08-05T20:22:49Z,RSD711,"55.607487,37.475224",2400,147,338
1501964560,2017-08-05T20:22:40Z,RSD711,"55.601295,37.48003",2400,144,337
1501964554,2017-08-05T20:22:34Z,RSD711,"55.597851,37.482777",2375,145,337
1501964544,2017-08-05T20:22:24Z,RSD711,"55.59166,37.486897",2375,148,337
1501964523,2017-08-05T20:22:03Z,RSD711,"55.577957,37.493759",2475,161,4
1501964513,2017-08-05T20:21:53Z,RSD711,"55.570404,37.489597",2575,169,24
1501964503,2017-08-05T20:21:43Z,RSD711,"55.562851,37.483437",2650,170,25
1501964493,2017-08-05T20:21:33Z,RSD711,"55.555298,37.47728",2725,168,25
1501964483,2017-08-05T20:21:23Z,RSD711,"55.547745,37.471035",2750,165,25
1501964473,2017-08-05T20:21:13Z,RSD711,"55.541569,37.465611",2750,165,25
1501964467,2017-08-05T20:21:07Z,RSD711,"55.537445,37.462795",2750,165,25
1501964452,2017-08-05T20:20:52Z,RSD711,"55.52644,37.453938",2750,165,23
1501964442,2017-08-05T20:20:42Z,RSD711,"55.519596,37.449131",2725,161,24
