Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502367170,2017-08-10T12:12:50Z,RSD339,"55.593739,37.288452",0,17,160
1502367162,2017-08-10T12:12:42Z,RSD339,"55.593742,37.287769",0,22,157
1502367149,2017-08-10T12:12:29Z,RSD339,"55.594429,37.287769",0,21,154
1502367008,2017-08-10T12:10:08Z,RSD339,"55.592365,37.282272",0,13,11
1502366867,2017-08-10T12:07:47Z,RSD339,"55.588936,37.267857",0,30,67
1502366843,2017-08-10T12:07:23Z,RSD339,"55.588245,37.265106",0,30,67
1502366834,2017-08-10T12:07:14Z,RSD339,"55.588249,37.264423",0,31,67
1502366678,2017-08-10T12:04:38Z,RSD339,"55.612289,37.277443",425,132,203
1502366671,2017-08-10T12:04:31Z,RSD339,"55.615726,37.280216",475,130,203
1502366665,2017-08-10T12:04:25Z,RSD339,"55.619823,37.282963",550,129,201
1502366657,2017-08-10T12:04:17Z,RSD339,"55.623966,37.286396",650,127,202
1502366649,2017-08-10T12:04:09Z,RSD339,"55.627396,37.289097",725,128,202
1502366642,2017-08-10T12:04:02Z,RSD339,"55.631508,37.292576",800,133,203
1502366635,2017-08-10T12:03:55Z,RSD339,"55.636303,37.296009",900,134,203
1502366625,2017-08-10T12:03:45Z,RSD339,"55.641098,37.299442",1025,132,202
1502366619,2017-08-10T12:03:39Z,RSD339,"55.645241,37.302876",1100,126,201
1502366609,2017-08-10T12:03:29Z,RSD339,"55.650036,37.305622",1175,121,201
1502366603,2017-08-10T12:03:23Z,RSD339,"55.653481,37.308369",1250,124,202
1502366593,2017-08-10T12:03:13Z,RSD339,"55.659672,37.312489",1375,130,204
1502366578,2017-08-10T12:02:58Z,RSD339,"55.665817,37.317982",1500,130,205
1502366568,2017-08-10T12:02:48Z,RSD339,"55.672028,37.323471",1650,137,205
1502366557,2017-08-10T12:02:37Z,RSD339,"55.679581,37.329628",1675,149,206
1502366547,2017-08-10T12:02:27Z,RSD339,"55.685741,37.335148",1625,147,218
1502366531,2017-08-10T12:02:11Z,RSD339,"55.693283,37.349567",1675,157,230
1502366511,2017-08-10T12:01:51Z,RSD339,"55.70018,37.374241",1625,161,274
1502366488,2017-08-10T12:01:28Z,RSD339,"55.689186,37.402439",1850,180,334
1502366473,2017-08-10T12:01:13Z,RSD339,"55.67955,37.411366",1950,179,333
1502366463,2017-08-10T12:01:03Z,RSD339,"55.673401,37.416855",2000,175,334
1502366453,2017-08-10T12:00:53Z,RSD339,"55.664467,37.424412",1950,172,334
1502366443,2017-08-10T12:00:43Z,RSD339,"55.658974,37.429218",1950,178,334
1502366423,2017-08-10T12:00:23Z,RSD339,"55.641796,37.444324",2100,181,333
1502366413,2017-08-10T12:00:13Z,RSD339,"55.635605,37.450504",2150,181,333
1502366391,2017-08-10T11:59:51Z,RSD339,"55.618473,37.463551",2325,180,2
1502366385,2017-08-10T11:59:45Z,RSD339,"55.612289,37.462795",2350,180,9
1502366379,2017-08-10T11:59:39Z,RSD339,"55.608837,37.462177",2350,180,9
1502366373,2017-08-10T11:59:33Z,RSD339,"55.60199,37.460049",2325,184,8
1502366363,2017-08-10T11:59:23Z,RSD339,"55.595123,37.458717",2325,191,9
1502366357,2017-08-10T11:59:17Z,RSD339,"55.588943,37.456638",2350,196,9
1502366351,2017-08-10T11:59:11Z,RSD339,"55.586166,37.455997",2350,196,9
1502366345,2017-08-10T11:59:05Z,RSD339,"55.577271,37.453892",2350,196,7
1502366339,2017-08-10T11:58:59Z,RSD339,"55.571091,37.45256",2350,194,8
1502366313,2017-08-10T11:58:33Z,RSD339,"55.553925,37.449062",2350,189,8
1502366307,2017-08-10T11:58:27Z,RSD339,"55.548412,37.447758",2350,189,8
1502366301,2017-08-10T11:58:21Z,RSD339,"55.542221,37.445698",2350,194,9
1502366295,2017-08-10T11:58:15Z,RSD339,"55.536076,37.444324",2350,193,8
1502366286,2017-08-10T11:58:06Z,RSD339,"55.529892,37.442905",2350,193,8
1502366280,2017-08-10T11:58:00Z,RSD339,"55.524399,37.441574",2350,193,8
1502366274,2017-08-10T11:57:54Z,RSD339,"55.518906,37.440159",2350,192,8
1502366268,2017-08-10T11:57:48Z,RSD339,"55.514099,37.438828",2350,192,8
1502366262,2017-08-10T11:57:42Z,RSD339,"55.509262,37.437458",2350,192,8
1502366256,2017-08-10T11:57:36Z,RSD339,"55.503113,37.436081",2325,189,7
1502366250,2017-08-10T11:57:30Z,RSD339,"55.498276,37.435398",2300,186,8
1502366244,2017-08-10T11:57:24Z,RSD339,"55.493481,37.434025",2300,190,8
1502366238,2017-08-10T11:57:18Z,RSD339,"55.487988,37.432652",2300,193,8
1502366232,2017-08-10T11:57:12Z,RSD339,"55.482494,37.431278",2325,198,9
1502366226,2017-08-10T11:57:06Z,RSD339,"55.476334,37.429836",2400,200,9
1502366220,2017-08-10T11:57:00Z,RSD339,"55.471527,37.428505",2500,201,9
1502366214,2017-08-10T11:56:54Z,RSD339,"55.466034,37.42709",2575,201,9
1502366208,2017-08-10T11:56:48Z,RSD339,"55.460541,37.425758",2650,202,8
1502366202,2017-08-10T11:56:42Z,RSD339,"55.455727,37.424412",2725,202,7
1502366195,2017-08-10T11:56:35Z,RSD339,"55.449535,37.423038",2800,202,7
1502366189,2017-08-10T11:56:29Z,RSD339,"55.444061,37.421597",2900,204,8
1502366181,2017-08-10T11:56:21Z,RSD339,"55.436508,37.419594",3050,210,9
1502366174,2017-08-10T11:56:14Z,RSD339,"55.429642,37.418221",3175,216,8
1502366166,2017-08-10T11:56:06Z,RSD339,"55.420715,37.415474",3400,223,8
1502366159,2017-08-10T11:55:59Z,RSD339,"55.413849,37.414101",3525,226,8
1502366153,2017-08-10T11:55:53Z,RSD339,"55.408337,37.412693",3625,229,9
1502366147,2017-08-10T11:55:47Z,RSD339,"55.402145,37.411362",3750,233,8
1502366141,2017-08-10T11:55:41Z,RSD339,"55.395996,37.409256",3850,237,8
1502366135,2017-08-10T11:55:35Z,RSD339,"55.38913,37.407883",4000,237,8
1502366129,2017-08-10T11:55:29Z,RSD339,"55.38295,37.405861",4150,237,8
1502366121,2017-08-10T11:55:21Z,RSD339,"55.373329,37.403786",4350,242,8
1502366114,2017-08-10T11:55:14Z,RSD339,"55.36644,37.401707",4475,246,9
1502366108,2017-08-10T11:55:08Z,RSD339,"55.359596,37.400375",4625,250,8
1502366102,2017-08-10T11:55:02Z,RSD339,"55.352737,37.39827",4725,254,8
1502366096,2017-08-10T11:54:56Z,RSD339,"55.345871,37.396896",4850,257,8
1502366090,2017-08-10T11:54:50Z,RSD339,"55.338322,37.394882",4975,259,7
1502366078,2017-08-10T11:54:38Z,RSD339,"55.324589,37.392136",5250,263,7
1502366066,2017-08-10T11:54:26Z,RSD339,"55.309479,37.388657",5550,262,8
1502366054,2017-08-10T11:54:14Z,RSD339,"55.295059,37.385262",5850,260,8
1502366042,2017-08-10T11:54:02Z,RSD339,"55.281296,37.381149",6150,258,8
1502366030,2017-08-10T11:53:50Z,RSD339,"55.267563,37.377651",6450,256,9
1502366018,2017-08-10T11:53:38Z,RSD339,"55.252487,37.374275",6775,252,8
1502366006,2017-08-10T11:53:26Z,RSD339,"55.239441,37.370804",6950,249,8
1502365994,2017-08-10T11:53:14Z,RSD339,"55.225708,37.367409",6950,258,8
1502365982,2017-08-10T11:53:02Z,RSD339,"55.211281,37.363918",7050,266,5
1502365970,2017-08-10T11:52:50Z,RSD339,"55.196869,37.363289",7300,267,2
1502365958,2017-08-10T11:52:38Z,RSD339,"55.181767,37.361923",7575,268,3
1502365946,2017-08-10T11:52:26Z,RSD339,"55.167343,37.360542",7850,269,3
1502365934,2017-08-10T11:52:14Z,RSD339,"55.152237,37.359818",8000,270,2
1502365922,2017-08-10T11:52:02Z,RSD339,"55.137131,37.358444",8000,269,2
1502365910,2017-08-10T11:51:50Z,RSD339,"55.122711,37.357796",8000,267,2
1502365897,2017-08-10T11:51:37Z,RSD339,"55.107609,37.35643",7975,267,2
1502365885,2017-08-10T11:51:25Z,RSD339,"55.092499,37.355698",8050,271,2
1502365873,2017-08-10T11:51:13Z,RSD339,"55.077396,37.354347",8225,274,2
1502365861,2017-08-10T11:51:01Z,RSD339,"55.062286,37.353676",8450,275,2
1502365849,2017-08-10T11:50:49Z,RSD339,"55.04718,37.352303",8675,276,2
1502365837,2017-08-10T11:50:37Z,RSD339,"55.032074,37.351578",8925,277,2
1502365825,2017-08-10T11:50:25Z,RSD339,"55.016968,37.350204",9150,277,2
1502365810,2017-08-10T11:50:10Z,RSD339,"54.997746,37.349522",9475,278,2
1502365798,2017-08-10T11:49:58Z,RSD339,"54.981918,37.34819",9725,278,2
1502365786,2017-08-10T11:49:46Z,RSD339,"54.966835,37.347439",9975,279,2
1502365774,2017-08-10T11:49:34Z,RSD339,"54.951054,37.346107",10225,280,2
1502365762,2017-08-10T11:49:22Z,RSD339,"54.935925,37.345444",10475,281,2
1502365750,2017-08-10T11:49:10Z,RSD339,"54.920143,37.344028",10725,282,2
1502365738,2017-08-10T11:48:58Z,RSD339,"54.904362,37.343361",10975,283,2
1502365726,2017-08-10T11:48:46Z,RSD339,"54.889233,37.341946",11200,284,2
1502365714,2017-08-10T11:48:34Z,RSD339,"54.873451,37.341282",11450,285,2
1502365681,2017-08-10T11:48:01Z,RSD339,"54.829514,37.337845",12200,289,2
1502365648,2017-08-10T11:47:28Z,RSD339,"54.783512,37.335121",12975,310,2
1502365615,2017-08-10T11:46:55Z,RSD339,"54.73682,37.332375",13725,331,2
1502365578,2017-08-10T11:46:18Z,RSD339,"54.679138,37.327583",14650,345,3
1502365554,2017-08-10T11:45:54Z,RSD339,"54.641373,37.325485",15300,347,356
1502365546,2017-08-10T11:45:46Z,RSD339,"54.626957,37.329628",15600,343,342
1502365539,2017-08-10T11:45:39Z,RSD339,"54.618027,37.335823",15775,341,333
1502365533,2017-08-10T11:45:33Z,RSD339,"54.609787,37.344063",15975,338,324
1502365527,2017-08-10T11:45:27Z,RSD339,"54.602238,37.35643",16175,336,314
1502365521,2017-08-10T11:45:21Z,RSD339,"54.596745,37.366001",16375,334,307
1502365470,2017-08-10T11:44:30Z,RSD339,"54.560341,37.488266",18125,333,297
1502365407,2017-08-10T11:43:27Z,RSD339,"54.516403,37.639969",19850,334,297
1502365344,2017-08-10T11:42:24Z,RSD339,"54.47245,37.793137",21300,349,296
1502365283,2017-08-10T11:41:23Z,RSD339,"54.429203,37.946945",23050,364,296
1502365221,2017-08-10T11:40:21Z,RSD339,"54.381134,38.115128",25325,370,296
1502365157,2017-08-10T11:39:17Z,RSD339,"54.337868,38.287521",27200,384,287
1502365094,2017-08-10T11:38:14Z,RSD339,"54.307663,38.473557",28000,387,286
1502365031,2017-08-10T11:37:11Z,RSD339,"54.276764,38.661045",28000,386,288
1502364967,2017-08-10T11:36:07Z,RSD339,"54.228004,38.835457",28000,385,303
1502364905,2017-08-10T11:35:05Z,RSD339,"54.153168,38.983101",28000,390,318
1502364841,2017-08-10T11:34:01Z,RSD339,"54.063217,39.090847",28025,391,328
1502364778,2017-08-10T11:32:58Z,RSD339,"53.967773,39.193176",28025,385,328
1502364715,2017-08-10T11:31:55Z,RSD339,"53.872997,39.292763",27975,388,328
1502364652,2017-08-10T11:30:52Z,RSD339,"53.774818,39.39576",29875,403,328
1502364591,2017-08-10T11:29:51Z,RSD339,"53.678696,39.498047",31825,417,327
1502364528,2017-08-10T11:28:48Z,RSD339,"53.575668,39.607246",33950,424,328
1502364465,2017-08-10T11:27:45Z,RSD339,"53.469948,39.718483",34000,424,328
1502364404,2017-08-10T11:26:44Z,RSD339,"53.369675,39.823502",34000,424,327
1502364341,2017-08-10T11:25:41Z,RSD339,"53.266022,39.932713",34000,424,327
1502364278,2017-08-10T11:24:38Z,RSD339,"53.160282,40.041206",34000,424,328
1502364215,2017-08-10T11:23:35Z,RSD339,"53.055912,40.149693",34000,424,328
1502364154,2017-08-10T11:22:34Z,RSD339,"52.954971,40.253372",34000,424,328
1502364091,2017-08-10T11:21:31Z,RSD339,"52.849915,40.361176",34000,423,328
1502364028,2017-08-10T11:20:28Z,RSD339,"52.744171,40.468292",34000,425,328
1502363967,2017-08-10T11:19:27Z,RSD339,"52.643925,40.569214",33975,423,328
1502363904,2017-08-10T11:18:24Z,RSD339,"52.538158,40.676331",33975,426,328
1502363841,2017-08-10T11:17:21Z,RSD339,"52.432434,40.781403",33975,423,328
1502363780,2017-08-10T11:16:20Z,RSD339,"52.330811,40.880966",33975,427,328
1502363717,2017-08-10T11:15:17Z,RSD339,"52.225067,40.986023",33975,424,328
1502363654,2017-08-10T11:14:14Z,RSD339,"52.118629,41.089729",33975,427,328
1502363593,2017-08-10T11:13:13Z,RSD339,"52.017014,41.18927",33975,424,328
1502363530,2017-08-10T11:12:10Z,RSD339,"51.910583,41.292267",33975,426,328
1502363469,2017-08-10T11:11:09Z,RSD339,"51.808266,41.390457",33975,427,328
1502363406,2017-08-10T11:10:06Z,RSD339,"51.701149,41.493454",33975,426,328
1502363343,2017-08-10T11:09:03Z,RSD339,"51.593353,41.595722",33975,428,329
1502363280,2017-08-10T11:08:00Z,RSD339,"51.48555,41.698757",33975,430,329
1502363194,2017-08-10T11:06:34Z,RSD339,"51.339294,41.836086",33975,430,329
1502363147,2017-08-10T11:05:47Z,RSD339,"51.259644,41.910912",33975,431,329
1502363084,2017-08-10T11:04:44Z,RSD339,"51.149784,42.012558",34000,430,329
1502363021,2017-08-10T11:03:41Z,RSD339,"51.040604,42.114159",33975,432,329
1502362960,2017-08-10T11:02:40Z,RSD339,"50.935547,42.210957",33975,435,329
1502362896,2017-08-10T11:01:36Z,RSD339,"50.82431,42.313324",34000,434,329
1502362832,2017-08-10T11:00:32Z,RSD339,"50.710983,42.416306",34000,436,329
1502362769,2017-08-10T10:59:29Z,RSD339,"50.601818,42.51516",33975,436,329
1502362707,2017-08-10T10:58:27Z,RSD339,"50.495399,42.616783",33975,435,325
1502362644,2017-08-10T10:57:24Z,RSD339,"50.389633,42.728058",33975,434,325
1502362554,2017-08-10T10:55:54Z,RSD339,"50.238571,42.886616",33975,432,325
1502362545,2017-08-10T10:55:45Z,RSD339,"50.224838,42.900349",33975,432,325
1502362484,2017-08-10T10:54:44Z,RSD339,"50.125305,43.004101",33975,432,326
1502362420,2017-08-10T10:53:40Z,RSD339,"50.017494,43.114582",33975,432,326
1502362353,2017-08-10T10:52:33Z,RSD339,"49.908329,43.226524",33975,431,326
1502362289,2017-08-10T10:51:29Z,RSD339,"49.799835,43.33709",33975,431,326
1502362224,2017-08-10T10:50:24Z,RSD339,"49.690651,43.447662",33975,433,326
1502362158,2017-08-10T10:49:18Z,RSD339,"49.580788,43.557526",33975,433,326
1502362093,2017-08-10T10:48:13Z,RSD339,"49.462685,43.675629",34000,432,326
1502362026,2017-08-10T10:47:06Z,RSD339,"49.353516,43.784111",34000,431,327
1502361962,2017-08-10T10:46:02Z,RSD339,"49.251892,43.884323",34000,432,327
1502361896,2017-08-10T10:44:56Z,RSD339,"49.142033,43.992149",34000,432,327
1502361831,2017-08-10T10:43:51Z,RSD339,"49.032166,44.099968",33975,432,327
1502361770,2017-08-10T10:42:50Z,RSD339,"48.924355,44.204357",34000,435,328
1502361764,2017-08-10T10:42:44Z,RSD339,"48.916122,44.211872",33975,434,329
1502361755,2017-08-10T10:42:35Z,RSD339,"48.902382,44.223583",34000,435,333
1502361749,2017-08-10T10:42:29Z,RSD339,"48.891403,44.231804",33975,435,337
1502361728,2017-08-10T10:42:08Z,RSD339,"48.850891,44.252365",33975,436,347
1502361700,2017-08-10T10:41:40Z,RSD339,"48.796616,44.262035",33975,439,1
1502361694,2017-08-10T10:41:34Z,RSD339,"48.784973,44.261311",33975,440,3
1502361688,2017-08-10T10:41:28Z,RSD339,"48.769848,44.259941",33975,441,7
1502361682,2017-08-10T10:41:22Z,RSD339,"48.760254,44.257225",33975,442,9
1502361676,2017-08-10T10:41:16Z,RSD339,"48.748573,44.253796",33975,442,12
1502361670,2017-08-10T10:41:10Z,RSD339,"48.735538,44.248955",33975,443,15
1502361664,2017-08-10T10:41:04Z,RSD339,"48.724548,44.244125",33975,444,18
1502361658,2017-08-10T10:40:58Z,RSD339,"48.712875,44.237999",33975,445,22
1502361652,2017-08-10T10:40:52Z,RSD339,"48.701183,44.229729",33975,446,25
1502361646,2017-08-10T10:40:46Z,RSD339,"48.690197,44.221489",33975,447,28
1502361631,2017-08-10T10:40:31Z,RSD339,"48.663437,44.1968",33975,450,35
1502361568,2017-08-10T10:39:28Z,RSD339,"48.561127,44.070457",34000,451,39
1502361504,2017-08-10T10:38:24Z,RSD339,"48.456039,43.942059",34100,453,39
1502361441,2017-08-10T10:37:21Z,RSD339,"48.35651,43.819836",34625,450,39
1502361380,2017-08-10T10:36:20Z,RSD339,"48.258984,43.702385",34950,448,39
1502361317,2017-08-10T10:35:17Z,RSD339,"48.156693,43.579468",34950,446,38
1502361256,2017-08-10T10:34:16Z,RSD339,"48.059181,43.464096",34950,447,38
1502361194,2017-08-10T10:33:14Z,RSD339,"47.958252,43.345322",34950,446,38
1502361130,2017-08-10T10:32:10Z,RSD339,"47.855934,43.22451",34950,446,38
1502361067,2017-08-10T10:31:07Z,RSD339,"47.752914,43.104294",34950,454,38
1502361006,2017-08-10T10:30:06Z,RSD339,"47.652008,42.986893",34950,461,38
1502360945,2017-08-10T10:29:05Z,RSD339,"47.550365,42.870201",34950,462,37
1502360882,2017-08-10T10:28:02Z,RSD339,"47.444645,42.747944",34950,465,37
1502360821,2017-08-10T10:27:01Z,RSD339,"47.341644,42.630524",34950,466,37
1502360758,2017-08-10T10:25:58Z,RSD339,"47.235214,42.510361",34950,466,37
1502360697,2017-08-10T10:24:57Z,RSD339,"47.132885,42.394341",34875,461,37
1502360634,2017-08-10T10:23:54Z,RSD339,"47.027161,42.275528",34100,458,37
1502360573,2017-08-10T10:22:53Z,RSD339,"46.925541,42.162216",33975,463,37
1502360510,2017-08-10T10:21:50Z,RSD339,"46.818424,42.042068",33975,461,37
1502360449,2017-08-10T10:20:49Z,RSD339,"46.715405,41.928772",33975,460,37
1502360386,2017-08-10T10:19:46Z,RSD339,"46.609684,41.812042",33975,461,37
1502360325,2017-08-10T10:18:45Z,RSD339,"46.507362,41.698746",33975,459,37
1502360264,2017-08-10T10:17:44Z,RSD339,"46.407089,41.588882",33975,458,36
1502360201,2017-08-10T10:16:41Z,RSD339,"46.300671,41.473526",33975,459,36
1502360137,2017-08-10T10:15:37Z,RSD339,"46.192204,41.355423",33975,467,36
1502360074,2017-08-10T10:14:34Z,RSD339,"46.082336,41.236649",33975,464,36
1502360013,2017-08-10T10:13:33Z,RSD339,"45.980026,41.126114",33975,469,36
1502359950,2017-08-10T10:12:30Z,RSD339,"45.871536,41.010757",33975,468,36
1502359889,2017-08-10T10:11:29Z,RSD339,"45.765793,40.898148",33950,471,36
1502359826,2017-08-10T10:10:26Z,RSD339,"45.65662,40.782761",33950,471,36
1502359765,2017-08-10T10:09:25Z,RSD339,"45.55225,40.671524",33950,471,36
1502359702,2017-08-10T10:08:22Z,RSD339,"45.441696,40.555508",33950,475,39
1502359641,2017-08-10T10:07:21Z,RSD339,"45.339367,40.435314",33950,475,39
1502359578,2017-08-10T10:06:18Z,RSD339,"45.233643,40.308968",33950,473,39
1502359517,2017-08-10T10:05:17Z,RSD339,"45.132706,40.188839",33950,484,39
1502359454,2017-08-10T10:04:14Z,RSD339,"45.024216,40.060402",33475,478,39
1502359391,2017-08-10T10:03:11Z,RSD339,"44.917091,39.934769",32650,469,39
1502359328,2017-08-10T10:02:08Z,RSD339,"44.812023,39.812511",31650,461,39
1502359241,2017-08-10T10:00:41Z,RSD339,"44.671249,39.649124",30125,446,39
1502359216,2017-08-10T10:00:16Z,RSD339,"44.634888,39.607216",29675,442,39
1502359151,2017-08-10T09:59:11Z,RSD339,"44.52433,39.503555",28600,417,24
1502359090,2017-08-10T09:58:10Z,RSD339,"44.417221,39.4589",27825,384,7
1502359029,2017-08-10T09:57:09Z,RSD339,"44.309399,39.434891",25775,387,9
1502358967,2017-08-10T09:56:07Z,RSD339,"44.199554,39.408089",23400,405,9
1502358902,2017-08-10T09:55:02Z,RSD339,"44.078686,39.37925",21575,392,9
1502358835,2017-08-10T09:53:55Z,RSD339,"43.961979,39.35041",19650,380,9
1502358826,2017-08-10T09:53:46Z,RSD339,"43.944103,39.345638",19300,380,8
1502358820,2017-08-10T09:53:40Z,RSD339,"43.935165,39.344265",19100,380,7
1502358810,2017-08-10T09:53:30Z,RSD339,"43.917343,39.342873",18775,381,355
1502358800,2017-08-10T09:53:20Z,RSD339,"43.900158,39.347664",18450,381,342
1502358775,2017-08-10T09:52:55Z,RSD339,"43.860352,39.373787",17700,376,332
1502358740,2017-08-10T09:52:20Z,RSD339,"43.806793,39.412941",16650,368,332
1502358709,2017-08-10T09:51:49Z,RSD339,"43.760788,39.445198",15675,362,332
1502358674,2017-08-10T09:51:14Z,RSD339,"43.707916,39.482948",14525,352,332
1502358643,2017-08-10T09:50:43Z,RSD339,"43.663952,39.513832",13375,347,332
1502358612,2017-08-10T09:50:12Z,RSD339,"43.621403,39.544765",12100,344,332
1502358598,2017-08-10T09:49:58Z,RSD339,"43.598732,39.560524",11425,343,332
1502358582,2017-08-10T09:49:42Z,RSD339,"43.577454,39.574989",10750,342,332
1502358567,2017-08-10T09:49:27Z,RSD339,"43.556835,39.590084",10225,335,332
1502358552,2017-08-10T09:49:12Z,RSD339,"43.535561,39.604469",9825,322,332
1502358537,2017-08-10T09:48:57Z,RSD339,"43.515636,39.618923",9525,306,332
1502358526,2017-08-10T09:48:46Z,RSD339,"43.5033,39.628536",9225,297,331
1502358511,2017-08-10T09:48:31Z,RSD339,"43.48407,39.641544",8725,288,331
1502358496,2017-08-10T09:48:16Z,RSD339,"43.466896,39.654629",8400,270,330
1502358485,2017-08-10T09:48:05Z,RSD339,"43.455917,39.66288",8000,265,329
1502358475,2017-08-10T09:47:55Z,RSD339,"43.444923,39.671108",7525,266,328
1502358465,2017-08-10T09:47:45Z,RSD339,"43.434635,39.68",6975,270,326
1502358455,2017-08-10T09:47:35Z,RSD339,"43.423649,39.690987",6425,274,318
1502358445,2017-08-10T09:47:25Z,RSD339,"43.415405,39.704716",5975,274,298
1502358435,2017-08-10T09:47:15Z,RSD339,"43.411266,39.721199",5575,272,275
1502358425,2017-08-10T09:47:05Z,RSD339,"43.412663,39.739052",5175,268,256
1502358415,2017-08-10T09:46:55Z,RSD339,"43.416061,39.754879",4725,267,255
1502358404,2017-08-10T09:46:44Z,RSD339,"43.418808,39.771358",4250,266,255
1502358395,2017-08-10T09:46:35Z,RSD339,"43.422253,39.789211",3725,267,255
