Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1492523595,2017-04-18T13:53:15Z,RSD074,"55.606785,37.270599",0,23,255
1492523589,2017-04-18T13:53:09Z,RSD074,"55.606785,37.271286",0,18,255
1492523505,2017-04-18T13:51:45Z,RSD074,"55.606789,37.276096",0,15,25
1492523489,2017-04-18T13:51:29Z,RSD074,"55.606102,37.276096",0,20,25
1492523292,2017-04-18T13:48:12Z,RSD074,"55.578644,37.25206",600,115,25
1492523284,2017-04-18T13:48:04Z,RSD074,"55.57518,37.249317",675,112,24
1492523274,2017-04-18T13:47:54Z,RSD074,"55.570385,37.245884",750,105,24
1492523268,2017-04-18T13:47:48Z,RSD074,"55.567657,37.243153",825,106,23
1492523262,2017-04-18T13:47:42Z,RSD074,"55.564892,37.241764",900,107,23
1492523256,2017-04-18T13:47:36Z,RSD074,"55.562164,37.239742",950,107,22
1492523250,2017-04-18T13:47:30Z,RSD074,"55.560097,37.237644",1000,108,23
1492523244,2017-04-18T13:47:24Z,RSD074,"55.556652,37.235584",1075,108,24
1492523238,2017-04-18T13:47:18Z,RSD074,"55.553925,37.233498",1125,108,23
1492523232,2017-04-18T13:47:12Z,RSD074,"55.551178,37.230751",1200,108,23
1492523226,2017-04-18T13:47:06Z,RSD074,"55.548412,37.228718",1275,109,23
1492523220,2017-04-18T13:47:00Z,RSD074,"55.545666,37.226658",1350,112,23
1492523214,2017-04-18T13:46:54Z,RSD074,"55.542252,37.224594",1400,114,23
1492523208,2017-04-18T13:46:48Z,RSD074,"55.539505,37.221848",1475,113,24
1492523202,2017-04-18T13:46:42Z,RSD074,"55.536728,37.219791",1525,112,24
1492523196,2017-04-18T13:46:36Z,RSD074,"55.533329,37.217731",1575,113,24
1492523190,2017-04-18T13:46:30Z,RSD074,"55.530582,37.215672",1650,114,25
1492523184,2017-04-18T13:46:24Z,RSD074,"55.527832,37.21294",1725,116,25
1492523178,2017-04-18T13:46:18Z,RSD074,"55.525089,37.210865",1800,118,25
1492523172,2017-04-18T13:46:12Z,RSD074,"55.521652,37.208115",1900,120,25
1492523166,2017-04-18T13:46:06Z,RSD074,"55.5182,37.205372",1975,121,24
1492523160,2017-04-18T13:46:00Z,RSD074,"55.515472,37.202621",2075,120,25
1492523154,2017-04-18T13:45:54Z,RSD074,"55.512707,37.200565",2125,119,24
1492523148,2017-04-18T13:45:48Z,RSD074,"55.509262,37.197819",2200,115,23
1492523141,2017-04-18T13:45:41Z,RSD074,"55.506546,37.195797",2250,117,22
1492523135,2017-04-18T13:45:35Z,RSD074,"55.503117,37.193699",2250,131,20
1492523129,2017-04-18T13:45:29Z,RSD074,"55.49968,37.190968",2250,140,20
1492523121,2017-04-18T13:45:21Z,RSD074,"55.494186,37.187557",2300,150,20
1492523112,2017-04-18T13:45:12Z,RSD074,"55.487289,37.183399",2325,163,20
