Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1493107104,2017-04-25T07:58:24Z,RSD037,"57.567856,40.182667",400,127,242
1493107098,2017-04-25T07:58:18Z,RSD037,"57.569199,40.188873",475,126,244
1493107092,2017-04-25T07:58:12Z,RSD037,"57.570595,40.194366",550,124,245
1493107086,2017-04-25T07:58:06Z,RSD037,"57.571976,40.20052",600,125,243
1493107080,2017-04-25T07:58:00Z,RSD037,"57.574039,40.206684",675,126,243
1493107074,2017-04-25T07:57:54Z,RSD037,"57.575409,40.212193",750,127,243
1493107068,2017-04-25T07:57:48Z,RSD037,"57.576782,40.218372",825,126,245
1493107062,2017-04-25T07:57:42Z,RSD037,"57.578136,40.224579",900,127,243
1493107056,2017-04-25T07:57:36Z,RSD037,"57.580185,40.230072",975,129,243
1493107050,2017-04-25T07:57:30Z,RSD037,"57.581581,40.236187",1050,127,243
1493107044,2017-04-25T07:57:24Z,RSD037,"57.58363,40.24168",1125,127,243
1493107038,2017-04-25T07:57:18Z,RSD037,"57.585026,40.247173",1175,126,243
1493107032,2017-04-25T07:57:12Z,RSD037,"57.586376,40.253376",1250,125,243
1493107026,2017-04-25T07:57:06Z,RSD037,"57.587769,40.258884",1325,125,243
1493107020,2017-04-25T07:57:00Z,RSD037,"57.589821,40.265778",1400,128,243
1493107013,2017-04-25T07:56:53Z,RSD037,"57.591202,40.271244",1500,131,243
1493107007,2017-04-25T07:56:47Z,RSD037,"57.593262,40.276737",1600,128,243
1493107001,2017-04-25T07:56:41Z,RSD037,"57.594616,40.282879",1675,125,244
1493106995,2017-04-25T07:56:35Z,RSD037,"57.596008,40.28841",1725,127,244
1493106989,2017-04-25T07:56:29Z,RSD037,"57.597363,40.294575",1800,131,244
1493106983,2017-04-25T07:56:23Z,RSD037,"57.599411,40.301483",1925,135,244
1493106977,2017-04-25T07:56:17Z,RSD037,"57.600815,40.307636",2000,131,244
1493106971,2017-04-25T07:56:11Z,RSD037,"57.602158,40.313091",2050,127,244
1493106965,2017-04-25T07:56:05Z,RSD037,"57.604252,40.319294",2075,128,243
1493106959,2017-04-25T07:55:59Z,RSD037,"57.605621,40.325489",2125,135,241
1493106953,2017-04-25T07:55:53Z,RSD037,"57.607651,40.331696",2200,142,241
1493106947,2017-04-25T07:55:47Z,RSD037,"57.609741,40.338535",2250,148,241
1493106941,2017-04-25T07:55:41Z,RSD037,"57.611794,40.345428",2275,151,241
1493106935,2017-04-25T07:55:35Z,RSD037,"57.613861,40.352268",2275,152,242
1493106929,2017-04-25T07:55:29Z,RSD037,"57.615921,40.359135",2275,152,243
1493106923,2017-04-25T07:55:23Z,RSD037,"57.617294,40.366688",2250,153,245
1493106917,2017-04-25T07:55:17Z,RSD037,"57.619354,40.373554",2275,156,247
