Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1493150827,2017-04-25T20:07:07Z,RSD037,"55.594425,37.288452",0,9,239
1493150806,2017-04-25T20:06:46Z,RSD037,"55.594425,37.289139",0,11,185
1493150784,2017-04-25T20:06:24Z,RSD037,"55.595116,37.289143",0,15,160
1493150778,2017-04-25T20:06:18Z,RSD037,"55.595802,37.289143",0,14,157
1493150772,2017-04-25T20:06:12Z,RSD037,"55.595802,37.288456",0,14,149
1493150745,2017-04-25T20:05:45Z,RSD037,"55.595802,37.287769",0,16,70
1493150727,2017-04-25T20:05:27Z,RSD037,"55.595802,37.287083",0,25,70
1493150721,2017-04-25T20:05:21Z,RSD037,"55.595802,37.286396",0,23,70
1493150710,2017-04-25T20:05:10Z,RSD037,"55.595112,37.285706",0,29,70
1493150697,2017-04-25T20:04:57Z,RSD037,"55.595116,37.285023",0,24,70
1493150688,2017-04-25T20:04:48Z,RSD037,"55.595116,37.284336",0,25,70
1493150679,2017-04-25T20:04:39Z,RSD037,"55.595116,37.283649",0,30,70
1493150670,2017-04-25T20:04:30Z,RSD037,"55.595116,37.282963",0,26,59
1493150658,2017-04-25T20:04:18Z,RSD037,"55.594429,37.282276",0,23,354
1493150448,2017-04-25T20:00:48Z,RSD037,"55.590305,37.269913",0,28,70
1493150165,2017-04-25T19:56:05Z,RSD037,"55.599899,37.297382",750,123,249
1493150155,2017-04-25T19:55:55Z,RSD037,"55.60199,37.30566",850,120,248
1493150140,2017-04-25T19:55:40Z,RSD037,"55.605392,37.318668",1025,114,249
1493150130,2017-04-25T19:55:30Z,RSD037,"55.606796,37.327633",1125,115,249
1493150110,2017-04-25T19:55:10Z,RSD037,"55.610886,37.300816",1325,116,249
1493150100,2017-04-25T19:55:00Z,RSD037,"55.612976,37.354347",1425,115,249
1493150090,2017-04-25T19:54:50Z,RSD037,"55.615036,37.362587",1525,114,249
1493150080,2017-04-25T19:54:40Z,RSD037,"55.617783,37.373573",1675,116,251
1493150070,2017-04-25T19:54:30Z,RSD037,"55.619125,37.380466",1750,116,248
1493150060,2017-04-25T19:54:20Z,RSD037,"55.62122,37.388706",1825,308,201
1493150050,2017-04-25T19:54:10Z,RSD037,"55.623962,37.400375",1925,123,253
1493150040,2017-04-25T19:54:00Z,RSD037,"55.625317,37.407932",1500,120,255
1493150025,2017-04-25T19:53:45Z,RSD037,"55.627396,37.423763",1950,139,259
1493150015,2017-04-25T19:53:35Z,RSD037,"55.628769,37.43475",1925,139,262
1493150006,2017-04-25T19:53:26Z,RSD037,"55.628769,37.445736",1900,148,279
1493149995,2017-04-25T19:53:15Z,RSD037,"55.626015,37.458057",2000,161,310
1493149985,2017-04-25T19:53:05Z,RSD037,"55.620529,37.465626",2100,170,331
1493149977,2017-04-25T19:52:57Z,RSD037,"55.612976,37.471119",2200,173,339
1493149970,2017-04-25T19:52:50Z,RSD037,"55.609535,37.47385",2225,173,339
1493149955,2017-04-25T19:52:35Z,RSD037,"55.598549,37.481403",2350,173,338
1493149945,2017-04-25T19:52:25Z,RSD037,"55.591007,37.487583",2450,174,337
1493149935,2017-04-25T19:52:15Z,RSD037,"55.582764,37.492428",2525,175,344
