Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1495719579,2017-05-25T13:39:39Z,RSD076,"55.608158,37.273346",0,24,343
1495719471,2017-05-25T13:37:51Z,RSD076,"55.601295,37.268543",0,20,22
1495719464,2017-05-25T13:37:44Z,RSD076,"55.600609,37.267857",0,18,25
1495719456,2017-05-25T13:37:36Z,RSD076,"55.599922,37.267857",0,16,22
1495719447,2017-05-25T13:37:27Z,RSD076,"55.599236,37.26717",0,21,22
1495719440,2017-05-25T13:37:20Z,RSD076,"55.598545,37.266479",0,22,25
1495719431,2017-05-25T13:37:11Z,RSD076,"55.597862,37.265797",0,21,25
1495719279,2017-05-25T13:34:39Z,RSD076,"55.600597,37.298756",875,114,248
1495719269,2017-05-25T13:34:29Z,RSD076,"55.602646,37.306995",975,116,248
1495719263,2017-05-25T13:34:23Z,RSD076,"55.603344,37.310429",1025,113,247
1495719257,2017-05-25T13:34:17Z,RSD076,"55.60474,37.315922",1075,109,247
1495719251,2017-05-25T13:34:11Z,RSD076,"55.605392,37.320728",1125,109,247
1495719245,2017-05-25T13:34:05Z,RSD076,"55.606796,37.326881",1225,110,249
1495719239,2017-05-25T13:33:59Z,RSD076,"55.60817,37.331043",1275,108,249
1495719233,2017-05-25T13:33:53Z,RSD076,"55.608856,37.335873",1325,106,249
1495719227,2017-05-25T13:33:47Z,RSD076,"55.610233,37.340641",1350,105,249
1495719221,2017-05-25T13:33:41Z,RSD076,"55.611584,37.346134",1425,112,247
1495719215,2017-05-25T13:33:35Z,RSD076,"55.612282,37.350941",1475,117,248
1495719209,2017-05-25T13:33:29Z,RSD076,"55.613632,37.357121",1550,117,247
1495719203,2017-05-25T13:33:23Z,RSD076,"55.615028,37.36124",1600,116,247
1495719197,2017-05-25T13:33:17Z,RSD076,"55.616409,37.367416",1675,114,247
1495719191,2017-05-25T13:33:11Z,RSD076,"55.617077,37.372227",1750,114,248
1495719185,2017-05-25T13:33:05Z,RSD076,"55.618469,37.377735",1825,113,248
1495719179,2017-05-25T13:32:59Z,RSD076,"55.619843,37.383228",1875,112,249
1495719171,2017-05-25T13:32:51Z,RSD076,"55.621216,37.390804",1950,110,250
1495719161,2017-05-25T13:32:41Z,RSD076,"55.622589,37.399044",2025,113,250
1495719155,2017-05-25T13:32:35Z,RSD076,"55.623962,37.404537",2025,122,249
1495719147,2017-05-25T13:32:27Z,RSD076,"55.626015,37.412739",2025,128,250
1495719140,2017-05-25T13:32:20Z,RSD076,"55.627365,37.419605",2050,134,253
1495719134,2017-05-25T13:32:14Z,RSD076,"55.628063,37.426472",2100,142,266
1495719128,2017-05-25T13:32:08Z,RSD076,"55.628063,37.433338",2125,149,274
1495719120,2017-05-25T13:32:00Z,RSD076,"55.627365,37.445011",2175,154,276
1495719113,2017-05-25T13:31:53Z,RSD076,"55.626713,37.453251",2200,153,288
1495719107,2017-05-25T13:31:47Z,RSD076,"55.624619,37.459431",2250,157,309
1495719101,2017-05-25T13:31:41Z,RSD076,"55.621216,37.464962",2300,164,330
1495719095,2017-05-25T13:31:35Z,RSD076,"55.617077,37.468357",2350,173,339
1495719089,2017-05-25T13:31:29Z,RSD076,"55.612289,37.471786",2400,181,338
1495719080,2017-05-25T13:31:20Z,RSD076,"55.605423,37.47728",2450,187,338
1495719074,2017-05-25T13:31:14Z,RSD076,"55.600597,37.480717",2500,184,337
1495719068,2017-05-25T13:31:08Z,RSD076,"55.59581,37.484188",2525,184,337
1495719062,2017-05-25T13:31:02Z,RSD076,"55.591007,37.487583",2550,186,339
1495719056,2017-05-25T13:30:56Z,RSD076,"55.586166,37.491016",2575,190,344
1495719050,2017-05-25T13:30:50Z,RSD076,"55.580673,37.493076",2625,197,357
1495719044,2017-05-25T13:30:44Z,RSD076,"55.575211,37.492428",2675,202,11
1495719035,2017-05-25T13:30:35Z,RSD076,"55.566971,37.487598",2725,199,25
1495719029,2017-05-25T13:30:29Z,RSD076,"55.561478,37.482773",2750,200,24
1495719020,2017-05-25T13:30:20Z,RSD076,"55.553925,37.47728",2700,199,25
1495719013,2017-05-25T13:30:13Z,RSD076,"55.549118,37.473202",2700,206,25
1495719001,2017-05-25T13:30:01Z,RSD076,"55.538132,37.464211",2700,225,25
1495718995,2017-05-25T13:29:55Z,RSD076,"55.531952,37.458717",2700,225,25
1495718989,2017-05-25T13:29:49Z,RSD076,"55.525085,37.453224",2700,230,25
1495718983,2017-05-25T13:29:43Z,RSD076,"55.519596,37.448444",2725,234,24
1495718977,2017-05-25T13:29:37Z,RSD076,"55.512039,37.442989",2725,237,25
