Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1496992237,2017-06-09T07:10:37Z,RSD032,"55.588245,37.258926",0,25,320
1496992225,2017-06-09T07:10:25Z,RSD032,"55.588249,37.259617",0,25,250
1496992216,2017-06-09T07:10:16Z,RSD032,"55.588245,37.2603",0,33,250
1496992210,2017-06-09T07:10:10Z,RSD032,"55.588249,37.26099",0,15,247
1496992195,2017-06-09T07:09:55Z,RSD032,"55.588932,37.263046",0,16,250
1496992174,2017-06-09T07:09:34Z,RSD032,"55.589622,37.265797",0,23,250
1496992159,2017-06-09T07:09:19Z,RSD032,"55.590309,37.268543",0,24,250
1496992147,2017-06-09T07:09:07Z,RSD032,"55.590309,37.270603",0,21,250
1496992141,2017-06-09T07:09:01Z,RSD032,"55.590996,37.271976",0,20,247
1496992135,2017-06-09T07:08:55Z,RSD032,"55.590996,37.272663",0,19,250
1496992129,2017-06-09T07:08:49Z,RSD032,"55.590992,37.273346",0,17,250
1496992123,2017-06-09T07:08:43Z,RSD032,"55.590996,37.274723",0,20,250
1496992117,2017-06-09T07:08:37Z,RSD032,"55.591682,37.27541",0,22,250
1496992111,2017-06-09T07:08:31Z,RSD032,"55.591679,37.276779",0,21,250
1496992105,2017-06-09T07:08:25Z,RSD032,"55.591682,37.27747",0,20,250
1496992099,2017-06-09T07:08:19Z,RSD032,"55.592365,37.278152",0,18,250
1496992093,2017-06-09T07:08:13Z,RSD032,"55.592365,37.278839",0,16,250
1496992081,2017-06-09T07:08:01Z,RSD032,"55.592369,37.280216",0,31,250
1496992075,2017-06-09T07:07:55Z,RSD032,"55.593052,37.280899",0,27,250
1496992062,2017-06-09T07:07:42Z,RSD032,"55.593056,37.28159",0,22,225
1496992056,2017-06-09T07:07:36Z,RSD032,"55.593052,37.282272",0,20,185
1496992024,2017-06-09T07:07:04Z,RSD032,"55.594425,37.281586",0,20,230
1496992014,2017-06-09T07:06:54Z,RSD032,"55.594429,37.282276",0,24,250
1496992008,2017-06-09T07:06:48Z,RSD032,"55.594425,37.282959",0,30,250
1496992002,2017-06-09T07:06:42Z,RSD032,"55.594425,37.283646",0,28,250
1496991996,2017-06-09T07:06:36Z,RSD032,"55.595116,37.283649",0,25,250
1496991990,2017-06-09T07:06:30Z,RSD032,"55.595112,37.284332",0,27,250
1496991978,2017-06-09T07:06:18Z,RSD032,"55.595116,37.285023",0,29,250
1496991972,2017-06-09T07:06:12Z,RSD032,"55.595116,37.285709",0,29,250
1496991966,2017-06-09T07:06:06Z,RSD032,"55.595116,37.286396",0,26,250
1496991960,2017-06-09T07:06:00Z,RSD032,"55.595802,37.287083",0,23,250
1496991948,2017-06-09T07:05:48Z,RSD032,"55.595802,37.287769",0,19,289
1496991924,2017-06-09T07:05:24Z,RSD032,"55.595116,37.288456",0,17,255
1496991912,2017-06-09T07:05:12Z,RSD032,"55.595116,37.289143",0,20,250
1496991906,2017-06-09T07:05:06Z,RSD032,"55.595116,37.289829",0,17,250
1496991885,2017-06-09T07:04:45Z,RSD032,"55.595802,37.289829",0,2,250
1496991783,2017-06-09T07:03:03Z,RSD032,"55.595802,37.290516",0,2,250
1496991768,2017-06-09T07:02:48Z,RSD032,"55.595802,37.289829",0,2,250
1496991759,2017-06-09T07:02:39Z,RSD032,"55.595802,37.290516",0,2,250
1496991750,2017-06-09T07:02:30Z,RSD032,"55.595802,37.289829",0,2,250
1496991726,2017-06-09T07:02:06Z,RSD032,"55.595802,37.290516",0,2,250
1496991714,2017-06-09T07:01:54Z,RSD032,"55.595802,37.289829",0,2,250
1496991690,2017-06-09T07:01:30Z,RSD032,"55.595802,37.290516",0,2,250
1496991681,2017-06-09T07:01:21Z,RSD032,"55.595802,37.289829",0,2,250
1496991675,2017-06-09T07:01:15Z,RSD032,"55.595802,37.290516",0,2,250
1496991669,2017-06-09T07:01:09Z,RSD032,"55.595802,37.289829",0,2,250
1496991653,2017-06-09T07:00:53Z,RSD032,"55.595802,37.290516",0,2,250
1496991644,2017-06-09T07:00:44Z,RSD032,"55.595802,37.289829",0,2,250
1496991551,2017-06-09T06:59:11Z,RSD032,"55.595802,37.290516",0,2,250
1496991533,2017-06-09T06:58:53Z,RSD032,"55.595802,37.289829",0,2,250
1496991527,2017-06-09T06:58:47Z,RSD032,"55.595802,37.290516",0,2,250
1496991480,2017-06-09T06:58:00Z,RSD032,"55.595802,37.289829",0,2,250
1496991458,2017-06-09T06:57:38Z,RSD032,"55.595802,37.290516",0,2,250
1496991452,2017-06-09T06:57:32Z,RSD032,"55.595802,37.289829",0,2,250
1496991407,2017-06-09T06:56:47Z,RSD032,"55.595802,37.290516",0,2,250
1496991383,2017-06-09T06:56:23Z,RSD032,"55.595116,37.290516",0,2,250
1496991341,2017-06-09T06:55:41Z,RSD032,"55.595802,37.290516",0,2,250
1496991323,2017-06-09T06:55:23Z,RSD032,"55.595116,37.290516",0,2,250
1496991317,2017-06-09T06:55:17Z,RSD032,"55.595802,37.290516",0,2,250
