Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1497363112,2017-06-13T14:11:52Z,RSD039,"55.595112,37.289825",0,18,95
1497363106,2017-06-13T14:11:46Z,RSD039,"55.595116,37.289143",0,19,84
1497363091,2017-06-13T14:11:31Z,RSD039,"55.595116,37.288456",0,16,132
1497363055,2017-06-13T14:10:55Z,RSD039,"55.595802,37.286396",0,25,70
1497363049,2017-06-13T14:10:49Z,RSD039,"55.595116,37.285709",0,27,70
1497363028,2017-06-13T14:10:28Z,RSD039,"55.595116,37.284336",0,31,70
1497362861,2017-06-13T14:07:41Z,RSD039,"55.590305,37.269226",0,19,70
1497362855,2017-06-13T14:07:35Z,RSD039,"55.589622,37.268543",0,18,70
1497362849,2017-06-13T14:07:29Z,RSD039,"55.589619,37.267853",0,17,70
1497362831,2017-06-13T14:07:11Z,RSD039,"55.588932,37.265106",0,16,70
1497362784,2017-06-13T14:06:24Z,RSD039,"55.588245,37.2603",0,24,78
1497362775,2017-06-13T14:06:15Z,RSD039,"55.588249,37.259617",0,21,106
1497362763,2017-06-13T14:06:03Z,RSD039,"55.588249,37.25893",0,20,191
1497362348,2017-06-13T13:59:08Z,RSD039,"55.590305,37.250687",0,31,281
1497362189,2017-06-13T13:56:29Z,RSD039,"55.612976,37.352352",2000,114,248
1497362183,2017-06-13T13:56:23Z,RSD039,"55.613663,37.355762",2025,114,248
1497362176,2017-06-13T13:56:16Z,RSD039,"55.615028,37.36124",2100,114,248
1497362168,2017-06-13T13:56:08Z,RSD039,"55.616379,37.36948",2175,113,248
1497362159,2017-06-13T13:55:59Z,RSD039,"55.618469,37.37632",2275,114,249
1497362152,2017-06-13T13:55:52Z,RSD039,"55.619823,37.38184",2350,114,250
1497362144,2017-06-13T13:55:44Z,RSD039,"55.62122,37.389393",2400,114,252
1497362135,2017-06-13T13:55:35Z,RSD039,"55.62257,37.398319",2500,121,254
1497362128,2017-06-13T13:55:28Z,RSD039,"55.623966,37.404499",2500,127,255
1497362120,2017-06-13T13:55:20Z,RSD039,"55.625317,37.413425",2500,136,261
1497362099,2017-06-13T13:54:59Z,RSD039,"55.627396,37.440243",2525,134,271
1497362092,2017-06-13T13:54:52Z,RSD039,"55.627396,37.444984",2500,134,275
1497362083,2017-06-13T13:54:43Z,RSD039,"55.626022,37.454639",2500,141,293
1497362077,2017-06-13T13:54:37Z,RSD039,"55.623962,37.4608",2525,146,310
1497362071,2017-06-13T13:54:31Z,RSD039,"55.62122,37.465611",2600,151,326
1497362065,2017-06-13T13:54:25Z,RSD039,"55.617783,37.468372",2650,157,338
1497362059,2017-06-13T13:54:19Z,RSD039,"55.612976,37.471786",2725,161,340
1497362053,2017-06-13T13:54:13Z,RSD039,"55.608856,37.474533",2775,162,340
1497362047,2017-06-13T13:54:07Z,RSD039,"55.60474,37.476597",2825,160,341
1497362039,2017-06-13T13:53:59Z,RSD039,"55.598557,37.48069",2850,162,343
1497362032,2017-06-13T13:53:52Z,RSD039,"55.594406,37.482777",2850,163,345
1497362026,2017-06-13T13:53:46Z,RSD039,"55.589611,37.48415",2850,164,349
1497362020,2017-06-13T13:53:40Z,RSD039,"55.58551,37.485519",2825,161,353
1497362011,2017-06-13T13:53:31Z,RSD039,"55.577957,37.486183",2825,166,357
1497362005,2017-06-13T13:53:25Z,RSD039,"55.574528,37.486897",2825,170,356
1497361999,2017-06-13T13:53:19Z,RSD039,"55.569035,37.487583",2825,174,351
1497361993,2017-06-13T13:53:13Z,RSD039,"55.564892,37.488956",2850,175,350
1497361987,2017-06-13T13:53:07Z,RSD039,"55.559418,37.490345",2825,172,350
1497361981,2017-06-13T13:53:01Z,RSD039,"55.554604,37.491703",2825,171,350
1497361975,2017-06-13T13:52:55Z,RSD039,"55.550461,37.493076",2850,170,350
1497361969,2017-06-13T13:52:49Z,RSD039,"55.545666,37.49445",2900,170,350
1497361963,2017-06-13T13:52:43Z,RSD039,"55.540871,37.495823",2975,173,351
1497361957,2017-06-13T13:52:37Z,RSD039,"55.536076,37.497196",3025,177,351
1497361951,2017-06-13T13:52:31Z,RSD039,"55.531265,37.498585",3100,180,351
1497361945,2017-06-13T13:52:25Z,RSD039,"55.526459,37.499916",3150,182,351
1497361939,2017-06-13T13:52:19Z,RSD039,"55.521652,37.501331",3175,177,350
1497361932,2017-06-13T13:52:12Z,RSD039,"55.516159,37.502663",3175,173,350
1497361924,2017-06-13T13:52:04Z,RSD039,"55.509293,37.504745",3175,170,350
1497361915,2017-06-13T13:51:55Z,RSD039,"55.502426,37.506824",3175,173,350
1497361906,2017-06-13T13:51:46Z,RSD039,"55.495529,37.508869",3175,175,351
1497361899,2017-06-13T13:51:39Z,RSD039,"55.490753,37.510239",3175,173,351
1497361893,2017-06-13T13:51:33Z,RSD039,"55.486633,37.511654",3175,172,351
1497361887,2017-06-13T13:51:27Z,RSD039,"55.48114,37.512985",3175,170,351
1497361879,2017-06-13T13:51:19Z,RSD039,"55.474274,37.515064",3175,168,350
1497361873,2017-06-13T13:51:13Z,RSD039,"55.470158,37.516422",3175,167,349
1497361864,2017-06-13T13:51:04Z,RSD039,"55.463287,37.519142",3200,168,348
1497361844,2017-06-13T13:50:44Z,RSD039,"55.448185,37.523289",3150,171,1
1497361838,2017-06-13T13:50:38Z,RSD039,"55.443375,37.521946",3150,178,12
1497361832,2017-06-13T13:50:32Z,RSD039,"55.437851,37.519894",3150,187,19
1497361823,2017-06-13T13:50:23Z,RSD039,"55.431007,37.5144",3125,201,27
1497361814,2017-06-13T13:50:14Z,RSD039,"55.423466,37.506161",3125,214,34
1497361808,2017-06-13T13:50:08Z,RSD039,"55.417969,37.499245",3150,221,35
1497361799,2017-06-13T13:49:59Z,RSD039,"55.411083,37.491013",3150,228,37
1497361793,2017-06-13T13:49:53Z,RSD039,"55.406288,37.483437",3150,231,39
1497361787,2017-06-13T13:49:47Z,RSD039,"55.401493,37.475948",3150,235,39
1497361780,2017-06-13T13:49:40Z,RSD039,"55.395996,37.469032",3200,238,41
1497361772,2017-06-13T13:49:32Z,RSD039,"55.389111,37.456722",3325,240,45
1497361763,2017-06-13T13:49:23Z,RSD039,"55.382267,37.443653",3475,240,47
1497361757,2017-06-13T13:49:17Z,RSD039,"55.378143,37.4347",3575,240,48
1497361747,2017-06-13T13:49:07Z,RSD039,"55.371281,37.42168",3725,240,47
1497361713,2017-06-13T13:48:33Z,RSD039,"55.337631,37.379768",4350,233,16
1497361703,2017-06-13T13:48:23Z,RSD039,"55.329384,37.37632",4525,230,11
1497361693,2017-06-13T13:48:13Z,RSD039,"55.319778,37.372902",4700,229,11
1497361683,2017-06-13T13:48:03Z,RSD039,"55.308109,37.368832",4900,230,11
1497361677,2017-06-13T13:47:57Z,RSD039,"55.303986,37.367409",4975,231,11
1497361663,2017-06-13T13:47:43Z,RSD039,"55.288193,37.361271",5200,234,13
1497361652,2017-06-13T13:47:32Z,RSD039,"55.277893,37.356422",5375,236,15
1497361632,2017-06-13T13:47:12Z,RSD039,"55.255924,37.342697",5700,241,22
1497361609,2017-06-13T13:46:49Z,RSD039,"55.231857,37.330379",6050,238,354
1497361603,2017-06-13T13:46:43Z,RSD039,"55.223618,37.33379",6175,234,336
1497361597,2017-06-13T13:46:37Z,RSD039,"55.219521,37.337204",6275,231,327
1497361585,2017-06-13T13:46:25Z,RSD039,"55.209229,37.350929",6450,232,322
1497361573,2017-06-13T13:46:13Z,RSD039,"55.198898,37.36467",6650,233,322
1497361561,2017-06-13T13:46:01Z,RSD039,"55.18861,37.379066",6850,233,322
1497361549,2017-06-13T13:45:49Z,RSD039,"55.17902,37.392136",7000,231,322
1497361537,2017-06-13T13:45:37Z,RSD039,"55.168716,37.405861",7000,230,322
1497361525,2017-06-13T13:45:25Z,RSD039,"55.15773,37.419594",7000,231,326
1497361510,2017-06-13T13:45:10Z,RSD039,"55.143967,37.433334",7000,230,330
1497361498,2017-06-13T13:44:58Z,RSD039,"55.131638,37.446415",7000,227,329
1497361485,2017-06-13T13:44:45Z,RSD039,"55.122025,37.456028",7000,225,329
1497361473,2017-06-13T13:44:33Z,RSD039,"55.110352,37.467659",7000,226,329
1497361461,2017-06-13T13:44:21Z,RSD039,"55.100739,37.477272",7000,225,330
1497361449,2017-06-13T13:44:09Z,RSD039,"55.090431,37.488266",6975,220,329
1497361437,2017-06-13T13:43:57Z,RSD039,"55.078766,37.499973",7025,223,329
1497361425,2017-06-13T13:43:45Z,RSD039,"55.068466,37.510231",7150,225,329
1497361413,2017-06-13T13:43:33Z,RSD039,"55.056774,37.521889",7325,231,328
1497361399,2017-06-13T13:43:19Z,RSD039,"55.04306,37.537052",7525,236,328
1497361392,2017-06-13T13:43:12Z,RSD039,"55.03894,37.542545",7600,238,327
1497361386,2017-06-13T13:43:06Z,RSD039,"55.032761,37.548683",7700,241,329
1497361380,2017-06-13T13:43:00Z,RSD039,"55.025208,37.556278",7825,245,333
1497361365,2017-06-13T13:42:45Z,RSD039,"55.008728,37.567909",8175,247,339
1497361359,2017-06-13T13:42:39Z,RSD039,"55.003922,37.570656",8275,247,339
1497361353,2017-06-13T13:42:33Z,RSD039,"54.997746,37.575489",8425,246,340
1497361347,2017-06-13T13:42:27Z,RSD039,"54.990189,37.579624",8600,244,342
1497361341,2017-06-13T13:42:21Z,RSD039,"54.984665,37.583065",8675,246,344
1497361335,2017-06-13T13:42:15Z,RSD039,"54.975082,37.586491",8825,251,351
1497361329,2017-06-13T13:42:09Z,RSD039,"54.970963,37.587864",8875,254,355
1497361323,2017-06-13T13:42:03Z,RSD039,"54.963409,37.587864",8975,257,3
1497361317,2017-06-13T13:41:57Z,RSD039,"54.955151,37.586475",9125,262,12
1497361311,2017-06-13T13:41:51Z,RSD039,"54.947609,37.582314",9275,267,23
1497361305,2017-06-13T13:41:45Z,RSD039,"54.94281,37.578251",9400,269,28
1497361293,2017-06-13T13:41:33Z,RSD039,"54.927704,37.559025",9775,273,40
1497361281,2017-06-13T13:41:21Z,RSD039,"54.918777,37.545937",9975,272,41
1497361275,2017-06-13T13:41:15Z,RSD039,"54.911911,37.53495",10100,271,42
1497361269,2017-06-13T13:41:09Z,RSD039,"54.907108,37.528133",10175,270,43
1497361263,2017-06-13T13:41:03Z,RSD039,"54.900925,37.517097",10250,270,46
1497361257,2017-06-13T13:40:57Z,RSD039,"54.895432,37.50684",10300,272,48
1497361251,2017-06-13T13:40:51Z,RSD039,"54.891281,37.499252",10325,273,51
1497361245,2017-06-13T13:40:45Z,RSD039,"54.886486,37.488266",10375,277,58
1497361239,2017-06-13T13:40:39Z,RSD039,"54.883072,37.477272",10450,281,66
1497361215,2017-06-13T13:40:15Z,RSD039,"54.878265,37.42234",10675,285,97
1497361209,2017-06-13T13:40:09Z,RSD039,"54.879639,37.407963",10750,284,102
1497361203,2017-06-13T13:40:03Z,RSD039,"54.880993,37.396297",10800,284,103
1497361196,2017-06-13T13:39:56Z,RSD039,"54.883072,37.383244",10850,283,106
1497361188,2017-06-13T13:39:48Z,RSD039,"54.886505,37.363289",10950,282,112
1497361179,2017-06-13T13:39:39Z,RSD039,"54.891979,37.344776",11025,280,120
1497361173,2017-06-13T13:39:33Z,RSD039,"54.895432,37.333805",11075,277,124
1497361164,2017-06-13T13:39:24Z,RSD039,"54.903671,37.31385",11175,274,128
1497361152,2017-06-13T13:39:12Z,RSD039,"54.912601,37.296669",11275,271,135
1497361139,2017-06-13T13:38:59Z,RSD039,"54.923588,37.278858",11400,268,140
1497361133,2017-06-13T13:38:53Z,RSD039,"54.929081,37.270618",11475,269,138
1497361121,2017-06-13T13:38:41Z,RSD039,"54.940063,37.250034",11600,277,129
1497361109,2017-06-13T13:38:29Z,RSD039,"54.94899,37.230808",11800,277,129
1497361076,2017-06-13T13:37:56Z,RSD039,"54.975769,37.17313",12025,274,129
1497361044,2017-06-13T13:37:24Z,RSD039,"55.003891,37.119556",12025,270,137
1497361011,2017-06-13T13:36:51Z,RSD039,"55.034801,37.071449",12050,272,143
1497360980,2017-06-13T13:36:20Z,RSD039,"55.065033,37.032326",12000,268,145
1497360944,2017-06-13T13:35:44Z,RSD039,"55.100739,36.984989",12100,275,140
1497360938,2017-06-13T13:35:38Z,RSD039,"55.106911,36.97607",12175,277,139
1497360905,2017-06-13T13:35:05Z,RSD039,"55.135727,36.920387",12725,282,129
1497360872,2017-06-13T13:34:32Z,RSD039,"55.162537,36.860664",13025,278,129
1497360835,2017-06-13T13:33:55Z,RSD039,"55.191376,36.799595",13000,274,129
1497360803,2017-06-13T13:33:23Z,RSD039,"55.217468,36.741917",12975,269,129
1497360772,2017-06-13T13:32:52Z,RSD039,"55.242188,36.68763",13200,280,129
1497360735,2017-06-13T13:32:15Z,RSD039,"55.2724,36.623085",13750,283,130
1497360729,2017-06-13T13:32:09Z,RSD039,"55.27652,36.614201",13850,283,130
1497360721,2017-06-13T13:32:01Z,RSD039,"55.28474,36.597042",13975,280,133
1497360712,2017-06-13T13:31:52Z,RSD039,"55.29163,36.585304",14000,278,138
1497360706,2017-06-13T13:31:46Z,RSD039,"55.297123,36.577065",14000,275,146
1497360691,2017-06-13T13:31:31Z,RSD039,"55.314255,36.561337",14000,272,155
1497360685,2017-06-13T13:31:25Z,RSD039,"55.321152,36.555794",14000,272,155
1497360676,2017-06-13T13:31:16Z,RSD039,"55.331451,36.547554",14000,270,159
1497360670,2017-06-13T13:31:10Z,RSD039,"55.339005,36.543434",13975,269,165
1497360641,2017-06-13T13:30:41Z,RSD039,"55.377457,36.540043",14000,266,179
1497360585,2017-06-13T13:29:45Z,RSD039,"55.446789,36.537266",14000,265,179
1497360560,2017-06-13T13:29:20Z,RSD039,"55.473587,36.537281",14000,269,183
1497360551,2017-06-13T13:29:11Z,RSD039,"55.48526,36.540695",13975,268,195
1497360530,2017-06-13T13:28:50Z,RSD039,"55.507214,36.559238",14000,261,209
1497360495,2017-06-13T13:28:15Z,RSD039,"55.543625,36.595627",13950,265,209
1497360460,2017-06-13T13:27:40Z,RSD039,"55.584118,36.634769",14350,285,209
1497360429,2017-06-13T13:27:09Z,RSD039,"55.617096,36.667702",14850,295,209
1497360395,2017-06-13T13:26:35Z,RSD039,"55.659672,36.709614",15650,304,209
1497360359,2017-06-13T13:25:59Z,RSD039,"55.702919,36.752872",16000,303,209
1497360328,2017-06-13T13:25:28Z,RSD039,"55.740005,36.789303",16000,299,209
1497360287,2017-06-13T13:24:47Z,RSD039,"55.789413,36.83939",16000,294,209
1497360256,2017-06-13T13:24:16Z,RSD039,"55.825817,36.875782",15975,296,209
1497360225,2017-06-13T13:23:45Z,RSD039,"55.861542,36.911484",16400,297,209
1497360185,2017-06-13T13:23:05Z,RSD039,"55.909607,36.960255",17100,308,209
1497360124,2017-06-13T13:22:04Z,RSD039,"55.986515,37.037144",18025,308,209
1497360060,2017-06-13T13:21:00Z,RSD039,"56.063416,37.116146",18025,308,209
1497359999,2017-06-13T13:19:59Z,RSD039,"56.140324,37.194386",18025,305,209
1497359929,2017-06-13T13:18:49Z,RSD039,"56.226818,37.280216",18000,304,208
1497359923,2017-06-13T13:18:43Z,RSD039,"56.233707,37.287083",17975,306,207
1497359917,2017-06-13T13:18:37Z,RSD039,"56.241249,37.293262",17975,310,205
1497359911,2017-06-13T13:18:31Z,RSD039,"56.248791,37.300129",18025,314,202
1497359899,2017-06-13T13:18:19Z,RSD039,"56.265289,37.311153",18275,316,198
1497359889,2017-06-13T13:18:09Z,RSD039,"56.278336,37.318642",18450,319,194
1497359873,2017-06-13T13:17:53Z,RSD039,"56.300995,37.327633",18800,321,188
1497359845,2017-06-13T13:17:25Z,RSD039,"56.342873,37.332401",19575,319,176
1497359839,2017-06-13T13:17:19Z,RSD039,"56.35318,37.331711",19775,318,175
1497359828,2017-06-13T13:17:08Z,RSD039,"56.368973,37.328297",20025,317,171
1497359821,2017-06-13T13:17:01Z,RSD039,"56.377899,37.32555",20175,314,169
1497359806,2017-06-13T13:16:46Z,RSD039,"56.399853,37.316608",20350,315,163
1497359797,2017-06-13T13:16:37Z,RSD039,"56.412918,37.308407",20475,317,159
1497359788,2017-06-13T13:16:28Z,RSD039,"56.423874,37.300816",20600,318,157
1497359780,2017-06-13T13:16:20Z,RSD039,"56.436264,37.291176",20750,322,153
1497359773,2017-06-13T13:16:13Z,RSD039,"56.44313,37.284351",20850,324,151
1497359764,2017-06-13T13:16:04Z,RSD039,"56.456863,37.269203",21100,326,147
1497359758,2017-06-13T13:15:58Z,RSD039,"56.462326,37.26305",21200,327,146
1497359701,2017-06-13T13:15:01Z,RSD039,"56.528275,37.15593",22625,338,136
1497359638,2017-06-13T13:13:58Z,RSD039,"56.600372,37.031651",22975,350,136
1497359576,2017-06-13T13:12:56Z,RSD039,"56.673843,36.901875",23000,363,135
1497359513,2017-06-13T13:11:53Z,RSD039,"56.748688,36.767979",23050,362,135
1497359452,2017-06-13T13:10:52Z,RSD039,"56.821476,36.638874",23975,365,135
1497359389,2017-06-13T13:09:49Z,RSD039,"56.896317,36.502247",25875,363,135
1497359328,2017-06-13T13:08:48Z,RSD039,"56.969093,36.366962",27875,371,134
1497359265,2017-06-13T13:07:45Z,RSD039,"57.043945,36.227589",29000,367,135
1497359199,2017-06-13T13:06:39Z,RSD039,"57.12495,36.079277",28975,366,135
1497359138,2017-06-13T13:05:38Z,RSD039,"57.196381,35.946751",28975,367,135
1497359075,2017-06-13T13:04:35Z,RSD039,"57.272568,35.80666",29000,366,135
1497359014,2017-06-13T13:03:34Z,RSD039,"57.345383,35.671406",28975,368,135
1497358951,2017-06-13T13:02:31Z,RSD039,"57.420883,35.528545",28975,369,134
