Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1497482526,2017-06-14T23:22:06Z,RSD073,"55.593056,37.26923",0,37,250
1497482520,2017-06-14T23:22:00Z,RSD073,"55.593739,37.271973",0,70,250
1497482514,2017-06-14T23:21:54Z,RSD073,"55.594425,37.275406",0,88,246
1497482489,2017-06-14T23:21:29Z,RSD073,"55.59993,37.297421",1200,115,246
1497482480,2017-06-14T23:21:20Z,RSD073,"55.601303,37.303577",1275,113,247
1497482470,2017-06-14T23:21:10Z,RSD073,"55.602646,37.311802",1375,113,247
1497482461,2017-06-14T23:21:01Z,RSD073,"55.60474,37.320728",1475,117,247
1497482450,2017-06-14T23:20:50Z,RSD073,"55.606796,37.329628",1600,114,246
1497482411,2017-06-14T23:20:11Z,RSD073,"55.61433,37.3633",1975,112,248
1497482402,2017-06-14T23:20:02Z,RSD073,"55.616409,37.371578",2075,119,248
1497482396,2017-06-14T23:19:56Z,RSD073,"55.617775,37.37772",2150,127,248
1497482390,2017-06-14T23:19:50Z,RSD073,"55.619156,37.383228",2200,134,248
1497482383,2017-06-14T23:19:43Z,RSD073,"55.620529,37.390053",2300,142,246
1497482377,2017-06-14T23:19:37Z,RSD073,"55.622589,37.398293",2400,142,244
1497482371,2017-06-14T23:19:31Z,RSD073,"55.623966,37.403812",2425,148,242
1497482362,2017-06-14T23:19:22Z,RSD073,"55.627365,37.414799",2450,157,241
1497482356,2017-06-14T23:19:16Z,RSD073,"55.629459,37.420979",2425,159,242
1497482336,2017-06-14T23:18:56Z,RSD073,"55.632889,37.444321",2375,146,277
1497482330,2017-06-14T23:18:50Z,RSD073,"55.631516,37.451229",2400,148,296
1497482322,2017-06-14T23:18:42Z,RSD073,"55.627365,37.460117",2500,149,320
1497482315,2017-06-14T23:18:35Z,RSD073,"55.623962,37.463547",2575,151,335
1497482309,2017-06-14T23:18:29Z,RSD073,"55.619823,37.466297",2625,150,339
1497482303,2017-06-14T23:18:23Z,RSD073,"55.615723,37.469704",2675,148,339
1497482297,2017-06-14T23:18:17Z,RSD073,"55.611603,37.471786",2700,147,339
1497482291,2017-06-14T23:18:11Z,RSD073,"55.60817,37.474533",2700,149,339
1497482285,2017-06-14T23:18:05Z,RSD073,"55.60405,37.47728",2700,151,338
1497482276,2017-06-14T23:17:56Z,RSD073,"55.59787,37.482105",2775,153,337
1497482270,2017-06-14T23:17:50Z,RSD073,"55.593754,37.485523",2850,155,337
1497482250,2017-06-14T23:17:30Z,RSD073,"55.578644,37.493759",3025,162,5
1497482244,2017-06-14T23:17:24Z,RSD073,"55.57518,37.493076",3050,164,13
1497482238,2017-06-14T23:17:18Z,RSD073,"55.570404,37.490345",3075,166,25
1497482232,2017-06-14T23:17:12Z,RSD073,"55.56559,37.48621",3075,165,26
1497482226,2017-06-14T23:17:06Z,RSD073,"55.562145,37.483463",3075,165,26
1497482220,2017-06-14T23:17:00Z,RSD073,"55.558048,37.48003",3075,165,25
1497482214,2017-06-14T23:16:54Z,RSD073,"55.553905,37.476597",3075,165,25
1497482208,2017-06-14T23:16:48Z,RSD073,"55.549805,37.473202",3075,165,24
1497482202,2017-06-14T23:16:42Z,RSD073,"55.544998,37.469704",3075,163,24
1497482196,2017-06-14T23:16:36Z,RSD073,"55.540871,37.466297",3075,161,24
1497482189,2017-06-14T23:16:29Z,RSD073,"55.536758,37.462879",3075,162,25
1497482181,2017-06-14T23:16:21Z,RSD073,"55.530579,37.458054",3075,169,25
1497482171,2017-06-14T23:16:11Z,RSD073,"55.523712,37.451893",3075,169,26
1497482165,2017-06-14T23:16:05Z,RSD073,"55.519596,37.448444",3075,169,26
1497482159,2017-06-14T23:15:59Z,RSD073,"55.515472,37.444984",3075,168,26
1497482153,2017-06-14T23:15:53Z,RSD073,"55.511353,37.441574",3050,166,24
1497482147,2017-06-14T23:15:47Z,RSD073,"55.505863,37.438145",3050,163,17
1497482141,2017-06-14T23:15:41Z,RSD073,"55.502419,37.436085",3050,162,10
1497482135,2017-06-14T23:15:35Z,RSD073,"55.497623,37.435398",3075,161,8
1497482129,2017-06-14T23:15:29Z,RSD073,"55.492813,37.433998",3050,159,8
1497482123,2017-06-14T23:15:23Z,RSD073,"55.488693,37.433334",3050,156,8
1497482117,2017-06-14T23:15:17Z,RSD073,"55.484543,37.431965",3050,155,8
1497482111,2017-06-14T23:15:11Z,RSD073,"55.479767,37.431252",3025,157,8
1497482105,2017-06-14T23:15:05Z,RSD073,"55.475647,37.42992",3025,163,8
1497482096,2017-06-14T23:14:56Z,RSD073,"55.468094,37.428505",3000,174,8
1497482090,2017-06-14T23:14:50Z,RSD073,"55.463287,37.427174",3000,180,8
1497482079,2017-06-14T23:14:39Z,RSD073,"55.454361,37.425095",3025,192,8
1497482073,2017-06-14T23:14:33Z,RSD073,"55.448185,37.423038",3100,195,9
1497482067,2017-06-14T23:14:27Z,RSD073,"55.443344,37.42168",3200,196,9
1497482061,2017-06-14T23:14:21Z,RSD073,"55.437195,37.420322",3275,197,9
1497482055,2017-06-14T23:14:15Z,RSD073,"55.432358,37.418934",3350,198,9
1497482049,2017-06-14T23:14:09Z,RSD073,"55.426895,37.417576",3425,200,9
1497482043,2017-06-14T23:14:03Z,RSD073,"55.421371,37.416187",3525,201,9
1497482023,2017-06-14T23:13:43Z,RSD073,"55.400803,37.410709",3825,207,8
1497482013,2017-06-14T23:13:33Z,RSD073,"55.39119,37.407963",4000,209,8
1497482007,2017-06-14T23:13:27Z,RSD073,"55.383617,37.405869",4175,209,8
1497482001,2017-06-14T23:13:21Z,RSD073,"55.38089,37.405216",4225,210,8
