Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498295249,2017-06-24T09:07:29Z,RSD035,"45.026268,33.994614",0,23,171
1498295236,2017-06-24T09:07:16Z,RSD035,"45.026955,33.994614",0,20,132
1498295221,2017-06-24T09:07:01Z,RSD035,"45.027637,33.993938",0,33,129
1498295001,2017-06-24T09:03:21Z,RSD035,"45.033817,33.971279",0,34,104
1498294989,2017-06-24T09:03:09Z,RSD035,"45.033821,33.970581",0,27,109
1498294973,2017-06-24T09:02:53Z,RSD035,"45.033821,33.969894",0,17,163
1498294961,2017-06-24T09:02:41Z,RSD035,"45.034508,33.969208",0,31,165
1498294952,2017-06-24T09:02:32Z,RSD035,"45.035191,33.969219",0,17,165
1498294946,2017-06-24T09:02:26Z,RSD035,"45.035881,33.968521",0,16,165
1498294902,2017-06-24T09:01:42Z,RSD035,"45.039997,33.969219",0,36,194
1498294896,2017-06-24T09:01:36Z,RSD035,"45.040684,33.969906",0,36,194
1498294890,2017-06-24T09:01:30Z,RSD035,"45.04137,33.969906",0,37,194
1498294882,2017-06-24T09:01:22Z,RSD035,"45.04343,33.970592",0,44,194
1498294866,2017-06-24T09:01:06Z,RSD035,"45.046177,33.971966",0,48,194
1498294845,2017-06-24T09:00:45Z,RSD035,"45.05167,33.973339",0,62,194
1498294836,2017-06-24T09:00:36Z,RSD035,"45.054417,33.974712",0,76,194
1498294829,2017-06-24T09:00:29Z,RSD035,"45.05648,33.975388",0,86,194
1498294821,2017-06-24T09:00:21Z,RSD035,"45.059914,33.976074",0,105,194
1498294811,2017-06-24T09:00:11Z,RSD035,"45.065414,33.978161",675,124,194
1498294801,2017-06-24T09:00:01Z,RSD035,"45.071594,33.98019",800,127,194
1498294791,2017-06-24T08:59:51Z,RSD035,"45.077087,33.982281",925,124,194
1498294781,2017-06-24T08:59:41Z,RSD035,"45.083267,33.98431",1050,121,193
1498294771,2017-06-24T08:59:31Z,RSD035,"45.08873,33.986408",1150,123,194
1498294761,2017-06-24T08:59:21Z,RSD035,"45.094921,33.988419",1275,124,194
1498294751,2017-06-24T08:59:11Z,RSD035,"45.099716,33.989822",1375,123,194
1498294745,2017-06-24T08:59:05Z,RSD035,"45.102493,33.991177",1425,122,194
1498294736,2017-06-24T08:58:56Z,RSD035,"45.107986,33.99255",1525,122,194
1498294730,2017-06-24T08:58:50Z,RSD035,"45.11142,33.993923",1600,121,194
1498294716,2017-06-24T08:58:36Z,RSD035,"45.11964,33.996658",1750,119,194
