Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499066272,2017-07-03T07:17:52Z,RSD091,"55.593739,37.286392",0,21,247
1499066236,2017-07-03T07:17:16Z,RSD091,"55.594429,37.287083",0,22,160
1499066230,2017-07-03T07:17:10Z,RSD091,"55.595112,37.287079",0,21,157
1499066196,2017-07-03T07:16:36Z,RSD091,"55.595112,37.285019",0,22,70
1499066184,2017-07-03T07:16:24Z,RSD091,"55.595112,37.284332",0,20,70
1499066178,2017-07-03T07:16:18Z,RSD091,"55.594429,37.283649",0,19,70
1499066169,2017-07-03T07:16:09Z,RSD091,"55.594425,37.282959",0,23,70
1499066160,2017-07-03T07:16:00Z,RSD091,"55.594425,37.282272",0,19,70
1499066154,2017-07-03T07:15:54Z,RSD091,"55.594425,37.281586",0,17,70
1499066148,2017-07-03T07:15:48Z,RSD091,"55.594429,37.280903",0,14,67
1499066142,2017-07-03T07:15:42Z,RSD091,"55.593742,37.280903",0,12,56
1499066128,2017-07-03T07:15:28Z,RSD091,"55.593742,37.280216",0,18,340
1499066085,2017-07-03T07:14:45Z,RSD091,"55.592369,37.280903",0,2,59
1499066070,2017-07-03T07:14:30Z,RSD091,"55.592365,37.280212",0,20,70
1499066064,2017-07-03T07:14:24Z,RSD091,"55.592365,37.279526",0,25,70
1499066058,2017-07-03T07:14:18Z,RSD091,"55.592369,37.278843",0,28,70
1499066052,2017-07-03T07:14:12Z,RSD091,"55.591682,37.278156",0,27,70
1499066046,2017-07-03T07:14:06Z,RSD091,"55.591679,37.277466",0,30,70
1499066040,2017-07-03T07:14:00Z,RSD091,"55.591682,37.276783",0,15,70
1499066034,2017-07-03T07:13:54Z,RSD091,"55.591682,37.276096",0,34,70
1499066028,2017-07-03T07:13:48Z,RSD091,"55.590996,37.27541",0,31,70
1499066019,2017-07-03T07:13:39Z,RSD091,"55.590992,37.274033",0,28,70
1499066004,2017-07-03T07:13:24Z,RSD091,"55.590309,37.271976",0,31,70
1499065998,2017-07-03T07:13:18Z,RSD091,"55.590309,37.27129",0,29,70
1499065863,2017-07-03T07:11:03Z,RSD091,"55.587559,37.25824",0,15,90
1499065856,2017-07-03T07:10:56Z,RSD091,"55.587559,37.258926",0,18,112
1499065841,2017-07-03T07:10:41Z,RSD091,"55.587559,37.25824",0,25,177
1499065526,2017-07-03T07:05:26Z,RSD091,"55.589619,37.251373",0,30,278
1499065424,2017-07-03T07:03:44Z,RSD091,"55.59993,37.299416",1225,127,248
1499065418,2017-07-03T07:03:38Z,RSD091,"55.601295,37.306995",1300,125,247
1499065412,2017-07-03T07:03:32Z,RSD091,"55.602646,37.311115",1350,124,248
1499065406,2017-07-03T07:03:26Z,RSD091,"55.603344,37.316608",1425,126,248
1499065400,2017-07-03T07:03:20Z,RSD091,"55.604736,37.32214",1500,127,248
1499065394,2017-07-03T07:03:14Z,RSD091,"55.606091,37.328281",1575,126,248
1499065388,2017-07-03T07:03:08Z,RSD091,"55.607487,37.334461",1625,121,248
1499065382,2017-07-03T07:03:02Z,RSD091,"55.608837,37.339268",1675,119,248
1499065376,2017-07-03T07:02:56Z,RSD091,"55.610229,37.345444",1750,120,247
1499065353,2017-07-03T07:02:33Z,RSD091,"55.615726,37.368107",2025,125,246
1499065347,2017-07-03T07:02:27Z,RSD091,"55.616409,37.37291",2075,127,248
1499065338,2017-07-03T07:02:18Z,RSD091,"55.619125,37.384586",2200,137,249
1499065332,2017-07-03T07:02:12Z,RSD091,"55.619823,37.389393",2250,143,249
1499065326,2017-07-03T07:02:06Z,RSD091,"55.621902,37.396961",2350,149,249
1499065317,2017-07-03T07:01:57Z,RSD091,"55.623962,37.407284",2400,154,248
1499065311,2017-07-03T07:01:51Z,RSD091,"55.626022,37.414772",2425,163,247
1499065288,2017-07-03T07:01:28Z,RSD091,"55.630112,37.445011",2350,159,281
1499065281,2017-07-03T07:01:21Z,RSD091,"55.628082,37.453976",2350,171,316
1499065272,2017-07-03T07:01:12Z,RSD091,"55.623962,37.462215",2400,173,324
1499065263,2017-07-03T07:01:03Z,RSD091,"55.617783,37.467709",2525,177,339
1499065257,2017-07-03T07:00:57Z,RSD091,"55.612282,37.47179",2575,180,338
1499065251,2017-07-03T07:00:51Z,RSD091,"55.608856,37.473866",2650,182,339
1499065245,2017-07-03T07:00:45Z,RSD091,"55.604042,37.477283",2700,181,338
1499065239,2017-07-03T07:00:39Z,RSD091,"55.599243,37.48069",2750,179,337
1499065233,2017-07-03T07:00:33Z,RSD091,"55.594406,37.484837",2800,176,337
1499065227,2017-07-03T07:00:27Z,RSD091,"55.58963,37.488266",2850,178,341
1499065221,2017-07-03T07:00:21Z,RSD091,"55.584137,37.491676",2900,180,345
1499065212,2017-07-03T07:00:12Z,RSD091,"55.577927,37.493076",2975,186,10
1499065206,2017-07-03T07:00:06Z,RSD091,"55.571781,37.49033",3050,187,22
1499065200,2017-07-03T07:00:00Z,RSD091,"55.567657,37.486935",3075,186,24
1499065194,2017-07-03T06:59:54Z,RSD091,"55.563538,37.483437",3050,182,24
1499065188,2017-07-03T06:59:48Z,RSD091,"55.558048,37.479343",3050,185,25
1499065182,2017-07-03T06:59:42Z,RSD091,"55.553207,37.47591",3050,191,25
1499065175,2017-07-03T06:59:35Z,RSD091,"55.548412,37.472477",3050,198,24
1499065169,2017-07-03T06:59:29Z,RSD091,"55.543617,37.468357",3025,206,25
1499065163,2017-07-03T06:59:23Z,RSD091,"55.538818,37.463547",3025,210,25
1499065154,2017-07-03T06:59:14Z,RSD091,"55.530579,37.456722",3050,220,26
1499065148,2017-07-03T06:59:08Z,RSD091,"55.525089,37.451878",3050,224,26
1499065142,2017-07-03T06:59:02Z,RSD091,"55.519592,37.447067",3050,229,26
1499065136,2017-07-03T06:58:56Z,RSD091,"55.513405,37.442265",3050,234,24
1499065130,2017-07-03T06:58:50Z,RSD091,"55.507214,37.438145",3050,237,18
1499065124,2017-07-03T06:58:44Z,RSD091,"55.501053,37.435413",3050,236,11
1499065118,2017-07-03T06:58:38Z,RSD091,"55.493481,37.433338",3050,231,8
1499065112,2017-07-03T06:58:32Z,RSD091,"55.487988,37.431965",3025,231,8
1499065106,2017-07-03T06:58:26Z,RSD091,"55.481144,37.429905",3025,233,8
1499065100,2017-07-03T06:58:20Z,RSD091,"55.474953,37.428532",3025,235,8
