Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502360893,2017-08-10T10:28:13Z,RSD075,"50.016808,15.724349",0,15,36
1502360878,2017-08-10T10:27:58Z,RSD075,"50.016808,15.723662",0,19,67
1502360872,2017-08-10T10:27:52Z,RSD075,"50.016117,15.723676",0,17,87
1502360863,2017-08-10T10:27:43Z,RSD075,"50.016121,15.722976",0,24,92
1502360857,2017-08-10T10:27:37Z,RSD075,"50.016804,15.722302",0,26,87
1502360851,2017-08-10T10:27:31Z,RSD075,"50.016121,15.722289",0,23,70
1502360833,2017-08-10T10:27:13Z,RSD075,"50.016121,15.721602",0,22,2
1502360821,2017-08-10T10:27:01Z,RSD075,"50.01543,15.721616",0,33,2
1502360806,2017-08-10T10:26:46Z,RSD075,"50.014057,15.720929",0,28,334
1502360794,2017-08-10T10:26:34Z,RSD075,"50.014061,15.721602",0,19,272
1502360780,2017-08-10T10:26:20Z,RSD075,"50.014057,15.723676",0,25,272
1502360773,2017-08-10T10:26:13Z,RSD075,"50.014061,15.725036",0,36,275
1502360767,2017-08-10T10:26:07Z,RSD075,"50.014061,15.726409",0,41,275
1502360725,2017-08-10T10:25:25Z,RSD075,"50.013382,15.755261",700,140,274
1502360710,2017-08-10T10:25:10Z,RSD075,"50.012699,15.770354",875,140,272
1502360704,2017-08-10T10:25:04Z,RSD075,"50.012695,15.776512",950,144,273
1502360698,2017-08-10T10:24:58Z,RSD075,"50.012009,15.782005",1025,145,273
1502360692,2017-08-10T10:24:52Z,RSD075,"50.012009,15.788872",1100,144,273
1502360686,2017-08-10T10:24:46Z,RSD075,"50.012009,15.795087",1175,141,274
1502360680,2017-08-10T10:24:40Z,RSD075,"50.011322,15.80058",1250,140,273
1502360674,2017-08-10T10:24:34Z,RSD075,"50.011322,15.806725",1300,138,274
1502360668,2017-08-10T10:24:28Z,RSD075,"50.011303,15.812222",1375,138,274
1502360660,2017-08-10T10:24:20Z,RSD075,"50.010635,15.821179",1475,137,272
1502360641,2017-08-10T10:24:01Z,RSD075,"50.010635,15.839684",1700,138,271
1502360635,2017-08-10T10:23:55Z,RSD075,"50.010605,15.845181",1775,137,271
1502360623,2017-08-10T10:23:43Z,RSD075,"50.009949,15.857536",1925,137,273
1502360617,2017-08-10T10:23:37Z,RSD075,"50.009949,15.863029",1975,139,274
1502360600,2017-08-10T10:23:20Z,RSD075,"50.008575,15.882256",2250,154,275
1502360570,2017-08-10T10:22:50Z,RSD075,"50.006508,15.916592",2725,169,274
1502360564,2017-08-10T10:22:44Z,RSD075,"50.00581,15.926242",2800,172,270
1502360549,2017-08-10T10:22:29Z,RSD075,"50.00581,15.944799",2900,171,264
1502360543,2017-08-10T10:22:23Z,RSD075,"50.006516,15.949547",2925,170,264
1502360537,2017-08-10T10:22:17Z,RSD075,"50.007202,15.95916",2900,167,262
1502360531,2017-08-10T10:22:11Z,RSD075,"50.007889,15.965375",2925,167,254
1502360525,2017-08-10T10:22:05Z,RSD075,"50.008556,15.971523",2925,166,252
1502360519,2017-08-10T10:21:59Z,RSD075,"50.009953,15.977758",2925,168,244
1502360513,2017-08-10T10:21:53Z,RSD075,"50.012695,15.985974",2925,169,244
1502360504,2017-08-10T10:21:44Z,RSD075,"50.015446,15.994906",2900,172,243
1502360498,2017-08-10T10:21:38Z,RSD075,"50.017502,16.001732",2900,177,243
1502360492,2017-08-10T10:21:32Z,RSD075,"50.019543,16.008638",2875,187,241
1502360483,2017-08-10T10:21:23Z,RSD075,"50.024368,16.020308",2875,194,227
1502360477,2017-08-10T10:21:17Z,RSD075,"50.029179,16.027197",2875,196,221
1502360471,2017-08-10T10:21:11Z,RSD075,"50.031925,16.031948",2875,206,215
1502360465,2017-08-10T10:21:05Z,RSD075,"50.036022,16.036104",2900,208,213
1502360459,2017-08-10T10:20:59Z,RSD075,"50.041515,16.04093",2975,214,199
1502360426,2017-08-10T10:20:26Z,RSD075,"50.077919,16.046423",3575,233,183
1502360420,2017-08-10T10:20:20Z,RSD075,"50.082016,16.047091",3650,233,183
1502360408,2017-08-10T10:20:08Z,RSD075,"50.095097,16.048428",3900,235,185
1502360401,2017-08-10T10:20:01Z,RSD075,"50.101273,16.049147",4025,236,186
1502360395,2017-08-10T10:19:55Z,RSD075,"50.108139,16.05117",4175,237,189
1502360386,2017-08-10T10:19:46Z,RSD075,"50.117722,16.053921",4375,238,193
1502360380,2017-08-10T10:19:40Z,RSD075,"50.124611,16.056667",4500,239,190
1502360374,2017-08-10T10:19:34Z,RSD075,"50.130798,16.057386",4650,241,183
1502360368,2017-08-10T10:19:28Z,RSD075,"50.137665,16.058037",4775,241,183
1502360356,2017-08-10T10:19:16Z,RSD075,"50.151398,16.05941",5050,240,183
1502360344,2017-08-10T10:19:04Z,RSD075,"50.164413,16.060156",5300,239,182
1502360332,2017-08-10T10:18:52Z,RSD075,"50.177494,16.061493",5550,238,182
1502360320,2017-08-10T10:18:40Z,RSD075,"50.191223,16.06288",5825,235,183
1502360308,2017-08-10T10:18:28Z,RSD075,"50.203583,16.06353",6075,231,182
1502360296,2017-08-10T10:18:16Z,RSD075,"50.216599,16.064907",6350,228,183
1502360284,2017-08-10T10:18:04Z,RSD075,"50.228989,16.065626",6575,226,183
1502360269,2017-08-10T10:17:49Z,RSD075,"50.244781,16.066999",6875,225,183
1502360257,2017-08-10T10:17:37Z,RSD075,"50.257141,16.068373",7025,223,183
1502360245,2017-08-10T10:17:25Z,RSD075,"50.27153,16.069733",7025,224,183
1502360230,2017-08-10T10:17:10Z,RSD075,"50.286667,16.071119",7025,226,183
1502360216,2017-08-10T10:16:56Z,RSD075,"50.301743,16.072479",7025,233,182
1502360203,2017-08-10T10:16:43Z,RSD075,"50.314819,16.073143",7025,237,183
1502360192,2017-08-10T10:16:32Z,RSD075,"50.329906,16.074556",7025,237,183
1502360180,2017-08-10T10:16:20Z,RSD075,"50.340893,16.075893",7025,237,183
1502360158,2017-08-10T10:15:58Z,RSD075,"50.365612,16.07864",7025,237,183
1502360138,2017-08-10T10:15:38Z,RSD075,"50.391727,16.081387",7050,239,183
1502360113,2017-08-10T10:15:13Z,RSD075,"50.415749,16.082129",7025,237,171
1502360103,2017-08-10T10:15:03Z,RSD075,"50.425339,16.077972",7000,257,142
1502360093,2017-08-10T10:14:53Z,RSD075,"50.435669,16.066277",6950,272,127
1502360067,2017-08-10T10:14:27Z,RSD075,"50.441818,16.012722",7200,313,68
1502360061,2017-08-10T10:14:21Z,RSD075,"50.43977,16.001068",7325,314,67
1502360055,2017-08-10T10:14:15Z,RSD075,"50.436325,15.990749",7425,316,66
1502360049,2017-08-10T10:14:09Z,RSD075,"50.432926,15.977016",7575,317,71
1502360040,2017-08-10T10:14:00Z,RSD075,"50.429489,15.953667",7850,316,89
1502360032,2017-08-10T10:13:52Z,RSD075,"50.43153,15.931735",8200,313,110
