Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502629564,2017-08-13T13:06:04Z,RSD032,"50.98634,71.410599",1875,132,44
1502629557,2017-08-13T13:05:57Z,RSD032,"50.984299,71.407196",1950,132,43
1502629551,2017-08-13T13:05:51Z,RSD032,"50.981544,71.403046",2000,132,41
1502629542,2017-08-13T13:05:42Z,RSD032,"50.977402,71.396179",2125,134,46
1502629535,2017-08-13T13:05:35Z,RSD032,"50.974655,71.392059",2200,134,43
1502629529,2017-08-13T13:05:29Z,RSD032,"50.971939,71.38797",2275,134,45
1502629523,2017-08-13T13:05:23Z,RSD032,"50.96851,71.382446",2375,135,44
1502629517,2017-08-13T13:05:17Z,RSD032,"50.965759,71.378319",2425,135,44
1502629504,2017-08-13T13:05:04Z,RSD032,"50.96027,71.370087",2575,136,44
1502629498,2017-08-13T13:04:58Z,RSD032,"50.95752,71.365997",2650,136,44
1502629491,2017-08-13T13:04:51Z,RSD032,"50.954777,71.361847",2725,136,51
1502629483,2017-08-13T13:04:43Z,RSD032,"50.950653,71.355011",2825,135,43
1502629473,2017-08-13T13:04:33Z,RSD032,"50.946533,71.348854",2925,132,51
1502629467,2017-08-13T13:04:27Z,RSD032,"50.943787,71.344696",3000,132,51
1502629461,2017-08-13T13:04:21Z,RSD032,"50.94104,71.339867",3075,135,43
1502629455,2017-08-13T13:04:15Z,RSD032,"50.938293,71.335785",3150,137,51
1502629443,2017-08-13T13:04:03Z,RSD032,"50.932114,71.326881",3350,149,51
1502629436,2017-08-13T13:03:56Z,RSD032,"50.928661,71.321335",3450,154,52
1502629430,2017-08-13T13:03:50Z,RSD032,"50.925934,71.316559",3550,161,40
1502629424,2017-08-13T13:03:44Z,RSD032,"50.922501,71.311737",3650,167,44
1502629417,2017-08-13T13:03:37Z,RSD032,"50.919067,71.306244",3775,170,43
1502629411,2017-08-13T13:03:31Z,RSD032,"50.914928,71.300735",3875,173,43
1502629403,2017-08-13T13:03:23Z,RSD032,"50.910133,71.292496",4025,176,43
1502629396,2017-08-13T13:03:16Z,RSD032,"50.906021,71.287018",4125,176,43
1502629390,2017-08-13T13:03:10Z,RSD032,"50.901901,71.280853",4225,176,43
1502629384,2017-08-13T13:03:04Z,RSD032,"50.898468,71.276031",4300,176,44
1502629377,2017-08-13T13:02:57Z,RSD032,"50.894352,71.270523",4375,175,51
1502629371,2017-08-13T13:02:51Z,RSD032,"50.890907,71.26503",4450,172,46
1502629363,2017-08-13T13:02:43Z,RSD032,"50.886108,71.256805",4525,169,48
1502629356,2017-08-13T13:02:36Z,RSD032,"50.882675,71.250641",4575,168,49
1502629316,2017-08-13T13:01:56Z,RSD032,"50.86549,71.207352",5000,185,97
1502629308,2017-08-13T13:01:48Z,RSD032,"50.868256,71.195709",5175,185,123
1502629295,2017-08-13T13:01:35Z,RSD032,"50.875126,71.183319",5400,186,135
1502629282,2017-08-13T13:01:22Z,RSD032,"50.881969,71.170959",5625,188,134
1502629270,2017-08-13T13:01:10Z,RSD032,"50.889542,71.15934",5875,188,134
1502629257,2017-08-13T13:00:57Z,RSD032,"50.897095,71.146942",6150,188,134
1502629241,2017-08-13T13:00:41Z,RSD032,"50.906689,71.131134",6300,200,135
1502629235,2017-08-13T13:00:35Z,RSD032,"50.910831,71.124954",6325,205,136
1502629227,2017-08-13T13:00:27Z,RSD032,"50.916977,71.114655",6400,212,134
1502629214,2017-08-13T13:00:14Z,RSD032,"50.924561,71.098915",6525,223,124
1502629201,2017-08-13T13:00:01Z,RSD032,"50.932106,71.082382",6625,231,124
1502629189,2017-08-13T12:59:49Z,RSD032,"50.93895,71.064529",6675,239,124
1502629177,2017-08-13T12:59:37Z,RSD032,"50.946537,71.046677",6775,246,124
1502629164,2017-08-13T12:59:24Z,RSD032,"50.954773,71.027504",6850,255,124
1502629152,2017-08-13T12:59:12Z,RSD032,"50.963013,71.00753",7050,261,124
1502629136,2017-08-13T12:58:56Z,RSD032,"50.974003,70.982132",7225,271,124
1502629124,2017-08-13T12:58:44Z,RSD032,"50.981552,70.96225",7475,273,124
1502629111,2017-08-13T12:58:31Z,RSD032,"50.990482,70.942307",7750,276,124
1502629099,2017-08-13T12:58:19Z,RSD032,"50.999374,70.921021",8025,279,123
1502629087,2017-08-13T12:58:07Z,RSD032,"51.008312,70.899734",8225,284,123
1502629075,2017-08-13T12:57:55Z,RSD032,"51.01725,70.877075",8350,294,123
1502629062,2017-08-13T12:57:42Z,RSD032,"51.026184,70.855133",8650,297,123
1502629049,2017-08-13T12:57:29Z,RSD032,"51.035797,70.832497",8950,299,123
1502629037,2017-08-13T12:57:17Z,RSD032,"51.044724,70.809776",9250,302,123
1502629024,2017-08-13T12:57:04Z,RSD032,"51.054306,70.786438",9575,303,123
1502629012,2017-08-13T12:56:52Z,RSD032,"51.063942,70.763092",9875,305,123
1502629000,2017-08-13T12:56:40Z,RSD032,"51.073563,70.740448",10125,311,123
1502628987,2017-08-13T12:56:27Z,RSD032,"51.083168,70.7164",10350,316,123
1502628975,2017-08-13T12:56:15Z,RSD032,"51.092789,70.692421",10550,323,123
1502628963,2017-08-13T12:56:03Z,RSD032,"51.103092,70.666962",10950,324,123
1502628950,2017-08-13T12:55:50Z,RSD032,"51.113388,70.642235",11400,323,123
1502628917,2017-08-13T12:55:17Z,RSD032,"51.141544,70.573578",12475,328,123
1502628886,2017-08-13T12:54:46Z,RSD032,"51.166264,70.51178",13500,329,123
1502628855,2017-08-13T12:54:15Z,RSD032,"51.191635,70.449295",14475,331,123
1502628824,2017-08-13T12:53:44Z,RSD032,"51.217052,70.38475",15450,336,122
1502628791,2017-08-13T12:53:11Z,RSD032,"51.245911,70.314056",16625,339,122
1502628759,2017-08-13T12:52:39Z,RSD032,"51.27269,70.247475",17500,349,122
1502628697,2017-08-13T12:51:37Z,RSD032,"51.326218,70.112152",19350,362,122
1502628636,2017-08-13T12:50:36Z,RSD032,"51.382545,69.96933",21275,375,122
1502628575,2017-08-13T12:49:35Z,RSD032,"51.440224,69.822388",23325,386,122
1502628509,2017-08-13T12:48:29Z,RSD032,"51.502697,69.661026",25450,399,121
1502628447,2017-08-13T12:47:27Z,RSD032,"51.56382,69.503784",27225,414,122
1502628385,2017-08-13T12:46:25Z,RSD032,"51.628342,69.336243",29200,426,121
1502628323,2017-08-13T12:45:23Z,RSD032,"51.69223,69.169403",31625,422,121
1502628261,2017-08-13T12:44:21Z,RSD032,"51.756088,69.003273",33550,430,121
1502628171,2017-08-13T12:42:51Z,RSD032,"51.851532,68.749176",36425,437,122
1502628161,2017-08-13T12:42:41Z,RSD032,"51.859753,68.729248",36625,437,121
