Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502834876,2017-08-15T22:07:56Z,RSD035,"54.907108,20.655128",275,138,245
1502834857,2017-08-15T22:07:37Z,RSD035,"54.908478,20.662052",375,137,245
1502834851,2017-08-15T22:07:31Z,RSD035,"54.909855,20.666864",425,132,245
1502834845,2017-08-15T22:07:25Z,RSD035,"54.911224,20.672312",450,132,244
1502834839,2017-08-15T22:07:19Z,RSD035,"54.913284,20.678532",500,134,246
1502834833,2017-08-15T22:07:13Z,RSD035,"54.91465,20.684675",550,134,246
1502834827,2017-08-15T22:07:07Z,RSD035,"54.916031,20.690165",650,134,247
1502834820,2017-08-15T22:07:00Z,RSD035,"54.917397,20.696327",725,133,247
1502834814,2017-08-15T22:06:54Z,RSD035,"54.918747,20.70257",800,132,245
1502834808,2017-08-15T22:06:48Z,RSD035,"54.920151,20.708017",850,133,246
1502834802,2017-08-15T22:06:42Z,RSD035,"54.922192,20.714222",925,133,246
1502834796,2017-08-15T22:06:36Z,RSD035,"54.923588,20.719715",1000,131,246
1502834790,2017-08-15T22:06:30Z,RSD035,"54.924957,20.72587",1075,131,247
1502834784,2017-08-15T22:06:24Z,RSD035,"54.926331,20.731363",1125,130,247
1502834778,2017-08-15T22:06:18Z,RSD035,"54.927685,20.73686",1200,132,248
1502834772,2017-08-15T22:06:12Z,RSD035,"54.929081,20.743019",1275,135,248
1502834766,2017-08-15T22:06:06Z,RSD035,"54.930431,20.749262",1350,140,248
1502834760,2017-08-15T22:06:00Z,RSD035,"54.931824,20.756083",1400,144,248
1502834752,2017-08-15T22:05:52Z,RSD035,"54.933884,20.765696",1400,153,247
1502834745,2017-08-15T22:05:45Z,RSD035,"54.935925,20.773232",1375,153,248
1502834739,2017-08-15T22:05:39Z,RSD035,"54.937317,20.779428",1375,153,248
1502834733,2017-08-15T22:05:33Z,RSD035,"54.938671,20.785633",1375,156,247
1502834727,2017-08-15T22:05:27Z,RSD035,"54.94075,20.793161",1400,161,247
1502834720,2017-08-15T22:05:20Z,RSD035,"54.942814,20.800032",1425,166,246
1502834712,2017-08-15T22:05:12Z,RSD035,"54.94556,20.811018",1550,169,246
1502834705,2017-08-15T22:05:05Z,RSD035,"54.947617,20.817881",1625,172,247
1502834684,2017-08-15T22:04:44Z,RSD035,"54.951736,20.848093",1775,199,271
1502834678,2017-08-15T22:04:38Z,RSD035,"54.95105,20.858433",1825,205,282
1502834672,2017-08-15T22:04:32Z,RSD035,"54.949677,20.867319",1900,210,290
1502834666,2017-08-15T22:04:26Z,RSD035,"54.947617,20.876932",1950,216,290
1502834660,2017-08-15T22:04:20Z,RSD035,"54.944862,20.887257",2000,219,290
1502834654,2017-08-15T22:04:14Z,RSD035,"54.942814,20.896828",2075,221,290
1502834648,2017-08-15T22:04:08Z,RSD035,"54.94075,20.906498",2150,222,290
1502834642,2017-08-15T22:04:02Z,RSD035,"54.93869,20.916758",2200,225,291
1502834636,2017-08-15T22:03:56Z,RSD035,"54.935925,20.92704",2300,225,291
1502834630,2017-08-15T22:03:50Z,RSD035,"54.933884,20.93671",2400,225,291
1502834624,2017-08-15T22:03:44Z,RSD035,"54.931824,20.947697",2500,225,291
1502834612,2017-08-15T22:03:32Z,RSD035,"54.927017,20.967569",2650,228,291
1502834605,2017-08-15T22:03:25Z,RSD035,"54.92424,20.977894",2725,230,291
1502834599,2017-08-15T22:03:19Z,RSD035,"54.922211,20.988895",2800,231,291
1502834593,2017-08-15T22:03:13Z,RSD035,"54.920151,20.999155",2900,231,291
1502834587,2017-08-15T22:03:07Z,RSD035,"54.917397,21.010187",3000,232,291
1502834581,2017-08-15T22:03:01Z,RSD035,"54.915344,21.019754",3100,232,292
1502834572,2017-08-15T22:02:52Z,RSD035,"54.911224,21.035587",3275,232,292
1502834566,2017-08-15T22:02:46Z,RSD035,"54.909157,21.045893",3400,231,291
1502834560,2017-08-15T22:02:40Z,RSD035,"54.90641,21.056129",3500,231,290
1502834554,2017-08-15T22:02:34Z,RSD035,"54.904358,21.06782",3600,232,287
1502834548,2017-08-15T22:02:28Z,RSD035,"54.902985,21.078159",3675,231,279
1502834542,2017-08-15T22:02:22Z,RSD035,"54.902267,21.088423",3800,229,270
1502834533,2017-08-15T22:02:13Z,RSD035,"54.902267,21.105568",3950,228,268
1502834527,2017-08-15T22:02:07Z,RSD035,"54.902267,21.116554",4050,229,268
1502834512,2017-08-15T22:01:52Z,RSD035,"54.902966,21.14477",4300,230,268
1502834505,2017-08-15T22:01:45Z,RSD035,"54.902966,21.155006",4375,231,268
1502834496,2017-08-15T22:01:36Z,RSD035,"54.903664,21.172901",4525,232,268
1502834490,2017-08-15T22:01:30Z,RSD035,"54.903664,21.183887",4625,233,268
1502834484,2017-08-15T22:01:24Z,RSD035,"54.903664,21.196205",4725,234,269
1502834475,2017-08-15T22:01:15Z,RSD035,"54.903664,21.212685",4875,235,269
1502834469,2017-08-15T22:01:09Z,RSD035,"54.904358,21.223728",4950,237,268
1502834453,2017-08-15T22:00:53Z,RSD035,"54.904358,21.251841",5150,240,267
1502834441,2017-08-15T22:00:41Z,RSD035,"54.905014,21.275856",5300,245,267
1502834429,2017-08-15T22:00:29Z,RSD035,"54.905731,21.298532",5500,246,267
1502834417,2017-08-15T22:00:17Z,RSD035,"54.907104,21.324625",5675,251,267
1502834405,2017-08-15T22:00:05Z,RSD035,"54.907761,21.348017",5875,255,266
1502834393,2017-08-15T21:59:53Z,RSD035,"54.908459,21.373402",6075,258,267
1502834381,2017-08-15T21:59:41Z,RSD035,"54.909157,21.398121",6325,260,267
