Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503907783,2017-08-28T08:09:43Z,RSD031,"57.56715,40.181255",425,133,242
1503907777,2017-08-28T08:09:37Z,RSD031,"57.568546,40.185417",500,135,242
1503907771,2017-08-28T08:09:31Z,RSD031,"57.569916,40.191593",575,138,241
1503907765,2017-08-28T08:09:25Z,RSD031,"57.571976,40.197773",675,135,242
1503907759,2017-08-28T08:09:19Z,RSD031,"57.573349,40.203266",725,133,243
1503907753,2017-08-28T08:09:13Z,RSD031,"57.574722,40.209446",775,131,242
1503907747,2017-08-28T08:09:07Z,RSD031,"57.576782,40.214939",850,131,242
1503907740,2017-08-28T08:09:00Z,RSD031,"57.578136,40.221123",925,134,242
1503907734,2017-08-28T08:08:54Z,RSD031,"57.580215,40.227985",975,137,243
1503907728,2017-08-28T08:08:48Z,RSD031,"57.581581,40.23344",1075,137,243
1503907722,2017-08-28T08:08:42Z,RSD031,"57.582932,40.239643",1150,135,242
1503907716,2017-08-28T08:08:36Z,RSD031,"57.585026,40.245842",1225,133,242
1503907680,2017-08-28T08:08:00Z,RSD031,"57.594635,40.28223",1725,135,243
1503907670,2017-08-28T08:07:50Z,RSD031,"57.597363,40.292534",1825,131,243
1503907643,2017-08-28T08:07:23Z,RSD031,"57.604935,40.319996",2150,134,242
1503907637,2017-08-28T08:07:17Z,RSD031,"57.6063,40.325493",2175,132,241
1503907631,2017-08-28T08:07:11Z,RSD031,"57.608349,40.331696",2200,135,241
1503907625,2017-08-28T08:07:05Z,RSD031,"57.610397,40.339226",2275,143,240
1503907619,2017-08-28T08:06:59Z,RSD031,"57.612492,40.34605",2325,150,241
1503907613,2017-08-28T08:06:53Z,RSD031,"57.61454,40.351543",2350,154,242
1503907607,2017-08-28T08:06:47Z,RSD031,"57.615921,40.358448",2350,159,243
1503907601,2017-08-28T08:06:41Z,RSD031,"57.617981,40.365314",2325,161,244
1503907595,2017-08-28T08:06:35Z,RSD031,"57.620033,40.374931",2350,164,246
1503907588,2017-08-28T08:06:28Z,RSD031,"57.621384,40.380424",2325,165,248
1503907582,2017-08-28T08:06:22Z,RSD031,"57.623478,40.389374",2350,169,249
1503907573,2017-08-28T08:06:13Z,RSD031,"57.625526,40.400982",2375,171,251
1503907567,2017-08-28T08:06:07Z,RSD031,"57.627594,40.409946",2350,170,253
1503907552,2017-08-28T08:05:52Z,RSD031,"57.626877,40.43261",2350,166,292
1503907546,2017-08-28T08:05:46Z,RSD031,"57.625526,40.440849",2350,166,292
1503907540,2017-08-28T08:05:40Z,RSD031,"57.623474,40.447712",2375,166,297
1503907531,2017-08-28T08:05:31Z,RSD031,"57.620033,40.45937",2350,164,299
1503907468,2017-08-28T08:04:28Z,RSD031,"57.579533,40.509514",2300,172,38
1503907456,2017-08-28T08:04:16Z,RSD031,"57.571976,40.502644",2275,176,61
1503907450,2017-08-28T08:04:10Z,RSD031,"57.568546,40.493034",2300,186,62
1503907435,2017-08-28T08:03:55Z,RSD031,"57.562363,40.468998",2450,199,64
1503907428,2017-08-28T08:03:48Z,RSD031,"57.560303,40.462818",2500,201,63
1503907420,2017-08-28T08:03:40Z,RSD031,"57.556862,40.449089",2625,206,63
1503907413,2017-08-28T08:03:33Z,RSD031,"57.554123,40.438786",2700,210,63
1503907407,2017-08-28T08:03:27Z,RSD031,"57.551376,40.428486",2800,213,63
1503907401,2017-08-28T08:03:21Z,RSD031,"57.548622,40.418171",2875,214,64
1503907395,2017-08-28T08:03:15Z,RSD031,"57.545883,40.408573",2950,215,64
1503907389,2017-08-28T08:03:09Z,RSD031,"57.543137,40.397587",3025,216,64
1503907383,2017-08-28T08:03:03Z,RSD031,"57.540382,40.387959",3100,217,64
1503907377,2017-08-28T08:02:57Z,RSD031,"57.53833,40.378361",3175,220,63
1503907368,2017-08-28T08:02:48Z,RSD031,"57.533524,40.361881",3325,220,63
1503907344,2017-08-28T08:02:24Z,RSD031,"57.522537,40.319996",3625,225,64
1503907338,2017-08-28T08:02:18Z,RSD031,"57.51976,40.310345",3700,226,64
1503907332,2017-08-28T08:02:12Z,RSD031,"57.517014,40.299358",3775,227,64
1503907326,2017-08-28T08:02:06Z,RSD031,"57.514267,40.288372",3850,226,64
1503907320,2017-08-28T08:02:00Z,RSD031,"57.510868,40.278095",3925,226,64
1503907314,2017-08-28T08:01:54Z,RSD031,"57.508118,40.267124",4000,226,64
1503907308,2017-08-28T08:01:48Z,RSD031,"57.505371,40.256824",4075,227,63
1503907299,2017-08-28T08:01:39Z,RSD031,"57.501251,40.241032",4175,227,63
1503907293,2017-08-28T08:01:33Z,RSD031,"57.498505,40.230732",4250,227,63
