Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503915727,2017-08-28T10:22:07Z,RSD031,"55.608158,37.271973",0,26,258
1503915691,2017-08-28T10:21:31Z,RSD031,"55.607475,37.27541",0,32,286
1503915577,2017-08-28T10:19:37Z,RSD031,"55.601978,37.272659",0,22,306
1503915571,2017-08-28T10:19:31Z,RSD031,"55.601978,37.273346",0,19,295
1503915559,2017-08-28T10:19:19Z,RSD031,"55.601978,37.274033",0,26,298
1503915550,2017-08-28T10:19:10Z,RSD031,"55.601295,37.274723",0,25,289
1503915541,2017-08-28T10:19:01Z,RSD031,"55.601292,37.275406",0,18,264
1503915535,2017-08-28T10:18:55Z,RSD031,"55.601295,37.276096",0,21,267
1503915499,2017-08-28T10:18:19Z,RSD031,"55.600609,37.27747",0,25,326
1503915334,2017-08-28T10:15:34Z,RSD031,"55.595802,37.270603",0,29,61
1503915315,2017-08-28T10:15:15Z,RSD031,"55.595112,37.269226",0,25,64
1503915186,2017-08-28T10:13:06Z,RSD031,"55.580704,37.21294",1125,114,67
1503915177,2017-08-28T10:12:57Z,RSD031,"55.579323,37.206745",1200,113,68
1503915168,2017-08-28T10:12:48Z,RSD031,"55.577957,37.199875",1275,112,68
1503915157,2017-08-28T10:12:37Z,RSD031,"55.575878,37.190266",1400,113,68
1503915147,2017-08-28T10:12:27Z,RSD031,"55.573132,37.179966",1525,112,68
1503915138,2017-08-28T10:12:18Z,RSD031,"55.571091,37.171741",1625,111,68
1503915126,2017-08-28T10:12:06Z,RSD031,"55.569717,37.163502",1725,110,68
1503915116,2017-08-28T10:11:56Z,RSD031,"55.567638,37.155247",1825,110,68
1503915096,2017-08-28T10:11:36Z,RSD031,"55.563538,37.138783",2025,109,67
1503915090,2017-08-28T10:11:30Z,RSD031,"55.562145,37.131214",2050,111,67
1503915084,2017-08-28T10:11:24Z,RSD031,"55.560795,37.127781",2075,115,67
1503915078,2017-08-28T10:11:18Z,RSD031,"55.559418,37.120224",2100,127,68
1503915072,2017-08-28T10:11:12Z,RSD031,"55.558048,37.116108",2100,132,68
1503915066,2017-08-28T10:11:06Z,RSD031,"55.556652,37.108555",2100,133,69
1503915054,2017-08-28T10:10:54Z,RSD031,"55.554604,37.097569",2075,130,71
1503915048,2017-08-28T10:10:48Z,RSD031,"55.552555,37.090702",2075,129,72
1503915042,2017-08-28T10:10:42Z,RSD031,"55.551857,37.085896",2075,131,72
1503915036,2017-08-28T10:10:36Z,RSD031,"55.550491,37.080441",2075,134,72
1503915027,2017-08-28T10:10:27Z,RSD031,"55.54911,37.068729",2125,141,81
1503915021,2017-08-28T10:10:21Z,RSD031,"55.549118,37.062546",2175,148,98
1503915015,2017-08-28T10:10:15Z,RSD031,"55.549809,37.055683",2250,156,112
1503915009,2017-08-28T10:10:09Z,RSD031,"55.552555,37.048817",2325,166,127
1503915003,2017-08-28T10:10:03Z,RSD031,"55.555302,37.04195",2375,169,128
1503914997,2017-08-28T10:09:57Z,RSD031,"55.558044,37.035744",2450,172,128
1503914990,2017-08-28T10:09:50Z,RSD031,"55.560791,37.028919",2500,177,128
1503914984,2017-08-28T10:09:44Z,RSD031,"55.564194,37.022038",2550,181,128
