Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504009533,2017-08-29T12:25:33Z,RSD045,"69.733154,70.258438",28900,429,19
1504009510,2017-08-29T12:25:10Z,RSD045,"69.691956,70.216515",29700,431,19
1504009430,2017-08-29T12:23:50Z,RSD045,"69.534714,70.062698",32400,447,19
1504009346,2017-08-29T12:22:26Z,RSD045,"69.374039,69.902733",34850,455,18
1504009282,2017-08-29T12:21:22Z,RSD045,"69.24836,69.7798",35000,455,18
1504009219,2017-08-29T12:20:19Z,RSD045,"69.124069,69.660324",35000,454,18
1504009158,2017-08-29T12:19:18Z,RSD045,"69.004616,69.544968",34975,452,18
1504009097,2017-08-29T12:18:17Z,RSD045,"68.885147,69.425484",34975,449,23
1504009036,2017-08-29T12:17:16Z,RSD045,"68.771851,69.273056",34975,447,25
1504008970,2017-08-29T12:16:10Z,RSD045,"68.650314,69.108971",35000,447,25
1504008909,2017-08-29T12:15:09Z,RSD045,"68.537697,68.959259",35000,444,25
1504008847,2017-08-29T12:14:07Z,RSD045,"68.423721,68.809593",35000,442,25
1504008786,2017-08-29T12:13:06Z,RSD045,"68.311081,68.664024",34975,445,25
1504008725,2017-08-29T12:12:05Z,RSD045,"68.198471,68.517151",34975,441,25
1504008664,2017-08-29T12:11:04Z,RSD045,"68.087265,68.376282",35000,439,25
1504008602,2017-08-29T12:10:02Z,RSD045,"67.971901,68.231506",35000,441,24
1504008538,2017-08-29T12:08:58Z,RSD045,"67.855148,68.085938",34975,441,24
1504008475,2017-08-29T12:07:55Z,RSD045,"67.739792,67.943771",34975,440,24
1504008414,2017-08-29T12:06:54Z,RSD045,"67.625153,67.803619",34950,442,24
1504008352,2017-08-29T12:05:52Z,RSD045,"67.511856,67.668419",34975,439,24
1504008291,2017-08-29T12:04:51Z,RSD045,"67.397865,67.532433",34975,438,24
1504008228,2017-08-29T12:03:48Z,RSD045,"67.283203,67.397179",34975,435,24
1504008166,2017-08-29T12:02:46Z,RSD045,"67.168503,67.263298",34975,439,24
1504008103,2017-08-29T12:01:43Z,RSD045,"67.053864,67.13076",34975,436,23
1504008042,2017-08-29T12:00:42Z,RSD045,"66.938484,66.998871",34975,438,23
1504007980,2017-08-29T11:59:40Z,RSD045,"66.825211,66.870552",34975,437,23
1504007918,2017-08-29T11:58:38Z,RSD045,"66.708473,66.736572",34975,436,29
1504007855,2017-08-29T11:57:35Z,RSD045,"66.609604,66.547775",34975,437,46
1504007836,2017-08-29T11:57:16Z,RSD045,"66.584877,66.47702",34975,440,50
1504007774,2017-08-29T11:56:14Z,RSD045,"66.520309,66.203735",34975,437,67
1504007711,2017-08-29T11:55:11Z,RSD045,"66.470871,65.916718",34975,437,66
1504007650,2017-08-29T11:54:10Z,RSD045,"66.420776,65.626335",34975,442,66
1504007588,2017-08-29T11:53:08Z,RSD045,"66.369942,65.339935",34975,441,66
1504007526,2017-08-29T11:52:06Z,RSD045,"66.318466,65.051651",34975,439,65
1504007465,2017-08-29T11:51:05Z,RSD045,"66.264908,64.76944",34975,445,64
1504007400,2017-08-29T11:50:00Z,RSD045,"66.207893,64.477562",34975,442,64
1504007338,2017-08-29T11:48:58Z,RSD045,"66.151611,64.194664",34975,442,63
1504007277,2017-08-29T11:47:57Z,RSD045,"66.097336,63.920727",34975,444,63
1504007215,2017-08-29T11:46:55Z,RSD045,"66.039688,63.640594",34975,444,63
1504007154,2017-08-29T11:45:54Z,RSD045,"65.983376,63.364483",34975,443,62
1504007093,2017-08-29T11:44:53Z,RSD045,"65.925705,63.091278",34975,444,62
1504007030,2017-08-29T11:43:50Z,RSD045,"65.868027,62.815247",34975,444,62
1504006968,2017-08-29T11:42:48Z,RSD045,"65.808289,62.537842",34975,450,62
1504006905,2017-08-29T11:41:45Z,RSD045,"65.747864,62.258327",34975,452,61
1504006844,2017-08-29T11:40:44Z,RSD045,"65.688789,61.985699",34975,452,62
1504006782,2017-08-29T11:39:42Z,RSD045,"65.628365,61.706982",34975,455,62
1504006721,2017-08-29T11:38:41Z,RSD045,"65.568649,61.430969",34975,455,62
1504006659,2017-08-29T11:37:39Z,RSD045,"65.508224,61.154251",34975,455,61
1504006597,2017-08-29T11:36:37Z,RSD045,"65.447113,60.881653",34975,458,61
1504006536,2017-08-29T11:35:36Z,RSD045,"65.384621,60.606197",34975,460,61
1504006475,2017-08-29T11:34:35Z,RSD045,"65.322144,60.332256",34975,460,61
1504006413,2017-08-29T11:33:33Z,RSD045,"65.259659,60.05896",34975,462,60
1504006351,2017-08-29T11:32:31Z,RSD045,"65.195801,59.78714",34975,460,60
1504006290,2017-08-29T11:31:30Z,RSD045,"65.131935,59.519348",34975,459,60
1504006228,2017-08-29T11:30:28Z,RSD045,"65.067368,59.250183",34975,460,60
1504006166,2017-08-29T11:29:26Z,RSD045,"65.002846,58.983078",34975,456,59
1504006045,2017-08-29T11:27:25Z,RSD045,"64.871704,58.457043",34975,457,59
1504005987,2017-08-29T11:26:27Z,RSD045,"64.811935,58.218155",34975,455,59
1504005925,2017-08-29T11:25:25Z,RSD045,"64.746017,57.95929",34975,456,59
1504005864,2017-08-29T11:24:24Z,RSD045,"64.679443,57.703163",34975,457,58
1504005802,2017-08-29T11:23:22Z,RSD045,"64.611465,57.444214",34975,454,58
1504005741,2017-08-29T11:22:21Z,RSD045,"64.545547,57.197021",34975,450,58
1504005680,2017-08-29T11:21:20Z,RSD045,"64.47757,56.945107",34975,452,57
1504005618,2017-08-29T11:20:18Z,RSD045,"64.409584,56.694489",34975,457,57
1504005557,2017-08-29T11:19:17Z,RSD045,"64.339523,56.44249",34975,459,57
1504005496,2017-08-29T11:18:16Z,RSD045,"64.270859,56.193924",34975,458,57
1504005435,2017-08-29T11:17:15Z,RSD045,"64.200851,55.946712",34975,459,56
1504005374,2017-08-29T11:16:14Z,RSD045,"64.12944,55.697411",34975,465,56
1504005312,2017-08-29T11:15:12Z,RSD045,"64.058029,55.448845",34975,459,56
1504005249,2017-08-29T11:14:09Z,RSD045,"63.983185,55.192776",34975,458,56
1504005185,2017-08-29T11:13:05Z,RSD045,"63.90831,54.938011",34975,457,55
1504005124,2017-08-29T11:12:04Z,RSD045,"63.836243,54.697018",34975,456,55
1504005060,2017-08-29T11:11:00Z,RSD045,"63.760712,54.447079",34975,453,55
1504004998,2017-08-29T11:09:58Z,RSD045,"63.688583,54.210167",34975,456,55
1504004937,2017-08-29T11:08:57Z,RSD045,"63.615822,53.972534",34975,457,54
1504004874,2017-08-29T11:07:54Z,RSD045,"63.540298,53.723991",34975,460,57
1504004813,2017-08-29T11:06:53Z,RSD045,"63.472321,53.480282",34975,459,57
1504004752,2017-08-29T11:05:52Z,RSD045,"63.402939,53.237221",34975,462,57
1504004690,2017-08-29T11:04:50Z,RSD045,"63.332226,52.993431",34975,459,57
1504004629,2017-08-29T11:03:49Z,RSD045,"63.261513,52.751732",34975,463,56
1504004568,2017-08-29T11:02:48Z,RSD045,"63.189423,52.507935",34975,461,56
1504004507,2017-08-29T11:01:47Z,RSD045,"63.118011,52.265522",34975,462,56
1504004445,2017-08-29T11:00:45Z,RSD045,"63.045914,52.026569",34975,461,56
1504004384,2017-08-29T10:59:44Z,RSD045,"62.973122,51.786278",34975,461,56
1504004322,2017-08-29T10:58:42Z,RSD045,"62.901031,51.5508",34975,458,55
1504004261,2017-08-29T10:57:41Z,RSD045,"62.828247,51.316631",34975,458,55
1504004198,2017-08-29T10:56:38Z,RSD045,"62.751343,51.069439",34975,463,55
1504004084,2017-08-29T10:54:44Z,RSD045,"62.607147,50.614826",34975,466,55
1504004021,2017-08-29T10:53:41Z,RSD045,"62.535717,50.392387",34975,464,54
1504003960,2017-08-29T10:52:40Z,RSD045,"62.457462,50.152061",34975,463,54
1504003898,2017-08-29T10:51:38Z,RSD045,"62.382607,49.925468",34950,464,54
1504003837,2017-08-29T10:50:37Z,RSD045,"62.307751,49.700249",34975,462,54
1504003776,2017-08-29T10:49:36Z,RSD045,"62.230846,49.470909",34950,465,54
1504003714,2017-08-29T10:48:34Z,RSD045,"62.152588,49.240925",34975,463,53
1504003653,2017-08-29T10:47:33Z,RSD045,"62.077038,49.018452",34950,464,53
1504003592,2017-08-29T10:46:32Z,RSD045,"61.998085,48.789776",34975,466,53
1504003530,2017-08-29T10:45:30Z,RSD045,"61.919785,48.566589",34975,465,53
1504003465,2017-08-29T10:44:25Z,RSD045,"61.835339,48.325603",34975,467,53
1504003404,2017-08-29T10:43:24Z,RSD045,"61.75502,48.103832",34975,466,52
1504003342,2017-08-29T10:42:22Z,RSD045,"61.674683,47.882046",34975,461,52
1504003281,2017-08-29T10:41:21Z,RSD045,"61.595036,47.663677",34975,464,52
1504003220,2017-08-29T10:40:20Z,RSD045,"61.514687,47.445984",34975,463,52
1504003159,2017-08-29T10:39:19Z,RSD045,"61.434338,47.233173",34975,465,51
1504003098,2017-08-29T10:38:18Z,RSD045,"61.353989,47.020264",34975,464,51
1504003037,2017-08-29T10:37:17Z,RSD045,"61.273682,46.806072",34975,461,51
1504002976,2017-08-29T10:36:16Z,RSD045,"61.191971,46.595959",34975,461,50
1504002911,2017-08-29T10:35:11Z,RSD045,"61.102699,46.374104",34975,462,50
1504002850,2017-08-29T10:34:10Z,RSD045,"61.019604,46.167492",34950,462,50
1504002789,2017-08-29T10:33:09Z,RSD045,"60.934479,45.958748",34975,459,49
1504002724,2017-08-29T10:32:04Z,RSD045,"60.845901,45.743092",34975,460,49
