Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498897562,2017-07-01T08:26:02Z,RSD502,"48.544628,7.638389",475,117,229
1498897556,2017-07-01T08:25:56Z,RSD502,"48.546677,7.641859",550,118,230
1498897550,2017-07-01T08:25:50Z,RSD502,"48.549423,7.645978",625,118,230
1498897544,2017-07-01T08:25:44Z,RSD502,"48.551517,7.649375",700,118,229
1498897538,2017-07-01T08:25:38Z,RSD502,"48.553566,7.652845",750,115,230
1498897532,2017-07-01T08:25:32Z,RSD502,"48.555634,7.656978",800,114,228
1498897526,2017-07-01T08:25:26Z,RSD502,"48.557693,7.660358",875,112,229
1498897520,2017-07-01T08:25:20Z,RSD502,"48.559757,7.663831",950,110,230
1498897514,2017-07-01T08:25:14Z,RSD502,"48.561806,7.667228",1000,110,230
1498897506,2017-07-01T08:25:06Z,RSD502,"48.565247,7.672753",1075,110,230
1498897499,2017-07-01T08:24:59Z,RSD502,"48.567307,7.676204",1150,108,229
1498897493,2017-07-01T08:24:53Z,RSD502,"48.569366,7.680288",1200,109,230
1498897487,2017-07-01T08:24:47Z,RSD502,"48.571426,7.683035",1275,109,229
1498897481,2017-07-01T08:24:41Z,RSD502,"48.573486,7.686486",1325,110,229
1498897473,2017-07-01T08:24:33Z,RSD502,"48.576233,7.691979",1425,111,229
1498897466,2017-07-01T08:24:26Z,RSD502,"48.578285,7.696067",1475,111,229
1498897460,2017-07-01T08:24:20Z,RSD502,"48.580334,7.699537",1550,111,229
1498897454,2017-07-01T08:24:14Z,RSD502,"48.582382,7.702283",1600,112,230
1498897448,2017-07-01T08:24:08Z,RSD502,"48.584476,7.706403",1650,112,230
1498897442,2017-07-01T08:24:02Z,RSD502,"48.587223,7.7098",1725,112,229
1498897436,2017-07-01T08:23:56Z,RSD502,"48.588593,7.713952",1800,112,229
1498897430,2017-07-01T08:23:50Z,RSD502,"48.590622,7.71739",1875,112,229
1498897424,2017-07-01T08:23:44Z,RSD502,"48.592716,7.720787",1950,113,230
1498897418,2017-07-01T08:23:38Z,RSD502,"48.594772,7.724234",2000,114,229
1498897412,2017-07-01T08:23:32Z,RSD502,"48.596832,7.727684",2075,116,229
1498897406,2017-07-01T08:23:26Z,RSD502,"48.599579,7.731769",2125,114,230
1498897398,2017-07-01T08:23:18Z,RSD502,"48.602306,7.737266",2175,114,229
1498897391,2017-07-01T08:23:11Z,RSD502,"48.605072,7.740713",2225,114,226
1498897385,2017-07-01T08:23:05Z,RSD502,"48.607132,7.744164",2300,113,225
1498897379,2017-07-01T08:22:59Z,RSD502,"48.609196,7.747602",2350,113,225
1498897373,2017-07-01T08:22:53Z,RSD502,"48.611244,7.750999",2425,113,227
