Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504278431,2017-09-01T15:07:11Z,RSD339,"55.603355,37.269917",0,32,22
1504278400,2017-09-01T15:06:40Z,RSD339,"55.599236,37.26717",0,20,22
1504278183,2017-09-01T15:03:03Z,RSD339,"55.601295,37.304935",825,134,248
1504278177,2017-09-01T15:02:57Z,RSD339,"55.603344,37.312489",925,134,248
1504278171,2017-09-01T15:02:51Z,RSD339,"55.604736,37.317978",975,135,248
1504278148,2017-09-01T15:02:28Z,RSD339,"55.610233,37.341328",1250,138,247
1504278140,2017-09-01T15:02:20Z,RSD339,"55.612289,37.350269",1350,135,247
1504278133,2017-09-01T15:02:13Z,RSD339,"55.613663,37.35643",1425,134,248
1504278127,2017-09-01T15:02:07Z,RSD339,"55.615028,37.3633",1500,135,249
1504278121,2017-09-01T15:02:01Z,RSD339,"55.616409,37.369495",1575,137,250
1504278115,2017-09-01T15:01:55Z,RSD339,"55.617783,37.375656",1650,138,250
1504278109,2017-09-01T15:01:49Z,RSD339,"55.619125,37.382526",1700,139,249
1504278103,2017-09-01T15:01:43Z,RSD339,"55.620522,37.388706",1775,143,248
1504278097,2017-09-01T15:01:37Z,RSD339,"55.621902,37.395546",1875,148,245
1504278088,2017-09-01T15:01:28Z,RSD339,"55.625317,37.405872",1925,160,242
1504278082,2017-09-01T15:01:22Z,RSD339,"55.627365,37.412739",1925,163,242
1504278058,2017-09-01T15:00:58Z,RSD339,"55.631516,37.444321",1900,163,283
1504278052,2017-09-01T15:00:52Z,RSD339,"55.629456,37.45256",1900,166,301
1504278046,2017-09-01T15:00:46Z,RSD339,"55.626713,37.458744",1900,169,315
1504278037,2017-09-01T15:00:37Z,RSD339,"55.62122,37.465611",2000,169,335
1504278028,2017-09-01T15:00:28Z,RSD339,"55.614349,37.471119",2075,170,339
1504278022,2017-09-01T15:00:22Z,RSD339,"55.609535,37.47385",2150,171,338
1504278016,2017-09-01T15:00:16Z,RSD339,"55.605423,37.47728",2200,173,338
1504278010,2017-09-01T15:00:10Z,RSD339,"55.601303,37.48069",2250,174,337
1504278001,2017-09-01T15:00:01Z,RSD339,"55.594437,37.486183",2300,176,336
1504277992,2017-09-01T14:59:52Z,RSD339,"55.587563,37.491016",2400,177,341
1504277986,2017-09-01T14:59:46Z,RSD339,"55.582767,37.493763",2450,179,351
1504277980,2017-09-01T14:59:40Z,RSD339,"55.577274,37.493763",2550,178,8
1504277973,2017-09-01T14:59:33Z,RSD339,"55.573132,37.491703",2600,172,22
1504277964,2017-09-01T14:59:24Z,RSD339,"55.566284,37.486183",2600,171,25
1504277956,2017-09-01T14:59:16Z,RSD339,"55.560104,37.48069",2575,176,25
1504277950,2017-09-01T14:59:10Z,RSD339,"55.555298,37.476612",2575,185,25
1504277944,2017-09-01T14:59:04Z,RSD339,"55.550461,37.473164",2575,191,24
1504277937,2017-09-01T14:58:57Z,RSD339,"55.545685,37.46904",2575,198,24
1504277926,2017-09-01T14:58:46Z,RSD339,"55.535385,37.4608",2575,213,24
1504277917,2017-09-01T14:58:37Z,RSD339,"55.52644,37.454624",2575,223,25
1504277908,2017-09-01T14:58:28Z,RSD339,"55.517502,37.446384",2525,235,30
1504277901,2017-09-01T14:58:21Z,RSD339,"55.512726,37.440907",2525,238,38
1504277893,2017-09-01T14:58:13Z,RSD339,"55.505863,37.427845",2675,239,57
1504277881,2017-09-01T14:58:01Z,RSD339,"55.501022,37.406559",2925,244,76
