Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1492715889,2017-04-20T19:18:09Z,RSD010,"55.597851,37.287769",475,118,248
1492715877,2017-04-20T19:17:57Z,RSD010,"55.59993,37.298084",600,119,249
1492715868,2017-04-20T19:17:48Z,RSD010,"55.601994,37.309055",725,119,248
1492715862,2017-04-20T19:17:42Z,RSD010,"55.603344,37.312489",775,119,247
1492715852,2017-04-20T19:17:32Z,RSD010,"55.605423,37.321388",900,124,248
1492715846,2017-04-20T19:17:26Z,RSD010,"55.606796,37.327633",975,124,248
1492715840,2017-04-20T19:17:20Z,RSD010,"55.608139,37.333775",1075,126,249
1492715834,2017-04-20T19:17:14Z,RSD010,"55.608856,37.339283",1150,127,249
1492715828,2017-04-20T19:17:08Z,RSD010,"55.610229,37.345444",1225,128,249
1492715819,2017-04-20T19:16:59Z,RSD010,"55.612289,37.354347",1350,131,248
1492715811,2017-04-20T19:16:51Z,RSD010,"55.615028,37.364674",1475,133,249
1492715804,2017-04-20T19:16:44Z,RSD010,"55.616379,37.36948",1550,134,248
1492715798,2017-04-20T19:16:38Z,RSD010,"55.617775,37.376347",1650,136,248
1492715789,2017-04-20T19:16:29Z,RSD010,"55.619823,37.386646",1725,144,248
1492715783,2017-04-20T19:16:23Z,RSD010,"55.621872,37.393513",1800,143,248
1492715759,2017-04-20T19:15:59Z,RSD010,"55.625336,37.421017",1875,141,271
1492715753,2017-04-20T19:15:53Z,RSD010,"55.625336,37.428505",1925,140,272
1492715744,2017-04-20T19:15:44Z,RSD010,"55.625336,37.439491",1950,139,274
1492715738,2017-04-20T19:15:38Z,RSD010,"55.624619,37.447071",1950,140,281
1492715732,2017-04-20T19:15:32Z,RSD010,"55.623966,37.453251",1975,139,295
1492715726,2017-04-20T19:15:26Z,RSD010,"55.621872,37.459431",2000,142,309
1492715720,2017-04-20T19:15:20Z,RSD010,"55.619125,37.464924",2050,143,323
1492715714,2017-04-20T19:15:14Z,RSD010,"55.615723,37.468372",2075,143,332
1492715708,2017-04-20T19:15:08Z,RSD010,"55.612282,37.47179",2075,144,338
1492715702,2017-04-20T19:15:02Z,RSD010,"55.608139,37.474537",2100,143,340
1492715696,2017-04-20T19:14:56Z,RSD010,"55.604736,37.47728",2100,144,340
1492715690,2017-04-20T19:14:50Z,RSD010,"55.601295,37.48003",2100,146,340
1492715681,2017-04-20T19:14:41Z,RSD010,"55.595104,37.483463",2100,149,341
1492715675,2017-04-20T19:14:35Z,RSD010,"55.59166,37.48621",2150,151,341
1492715654,2017-04-20T19:14:14Z,RSD010,"55.576584,37.492428",2325,169,5
1492715648,2017-04-20T19:14:08Z,RSD010,"55.571781,37.491016",2350,178,17
1492715642,2017-04-20T19:14:02Z,RSD010,"55.567638,37.48827",2400,183,23
1492715636,2017-04-20T19:13:56Z,RSD010,"55.562851,37.484852",2450,188,23
1492715630,2017-04-20T19:13:50Z,RSD010,"55.55735,37.480717",2450,194,24
1492715623,2017-04-20T19:13:43Z,RSD010,"55.553238,37.477943",2450,198,25
1492715615,2017-04-20T19:13:35Z,RSD010,"55.544998,37.471119",2475,203,25
1492715605,2017-04-20T19:13:25Z,RSD010,"55.538132,37.465626",2475,206,26
1492715579,2017-04-20T19:12:59Z,RSD010,"55.515472,37.443653",2475,215,37
1492715572,2017-04-20T19:12:52Z,RSD010,"55.510666,37.435413",2475,218,48
1492715566,2017-04-20T19:12:46Z,RSD010,"55.505859,37.425758",2475,220,56
1492715560,2017-04-20T19:12:40Z,RSD010,"55.503117,37.417545",2450,220,58
1492715551,2017-04-20T19:12:31Z,RSD010,"55.498306,37.405201",2450,221,59
1492715545,2017-04-20T19:12:25Z,RSD010,"55.494873,37.394882",2450,221,59
1492715536,2017-04-20T19:12:16Z,RSD010,"55.490753,37.381813",2450,220,58
1492715530,2017-04-20T19:12:10Z,RSD010,"55.488007,37.373573",2475,218,56
1492715524,2017-04-20T19:12:04Z,RSD010,"55.484573,37.365334",2475,217,55
1492715518,2017-04-20T19:11:58Z,RSD010,"55.481144,37.356434",2450,218,55
1492715512,2017-04-20T19:11:52Z,RSD010,"55.47702,37.346859",2450,218,56
1492715506,2017-04-20T19:11:46Z,RSD010,"55.474255,37.339268",2450,218,56
1492715500,2017-04-20T19:11:40Z,RSD010,"55.47081,37.330341",2450,217,57
1492715494,2017-04-20T19:11:34Z,RSD010,"55.467411,37.321415",2475,216,57
1492715485,2017-04-20T19:11:25Z,RSD010,"55.462601,37.306992",2450,217,59
1492715479,2017-04-20T19:11:19Z,RSD010,"55.459854,37.298752",2450,217,59
1492715473,2017-04-20T19:11:13Z,RSD010,"55.456425,37.289143",2475,215,61
1492715467,2017-04-20T19:11:07Z,RSD010,"55.453674,37.28019",2475,217,69
1492715455,2017-04-20T19:10:55Z,RSD010,"55.450241,37.259632",2475,219,87
1492715449,2017-04-20T19:10:49Z,RSD010,"55.450928,37.249313",2500,219,100
1492715443,2017-04-20T19:10:43Z,RSD010,"55.452988,37.236996",2475,222,117
1492715437,2017-04-20T19:10:37Z,RSD010,"55.455727,37.228718",2450,222,126
1492715431,2017-04-20T19:10:31Z,RSD010,"55.459854,37.220516",2475,222,137
1492715425,2017-04-20T19:10:25Z,RSD010,"55.465317,37.213612",2450,222,149
1492715419,2017-04-20T19:10:19Z,RSD010,"55.471508,37.208805",2425,222,162
1492715413,2017-04-20T19:10:13Z,RSD010,"55.476303,37.206745",2425,221,172
1492715407,2017-04-20T19:10:07Z,RSD010,"55.483891,37.206745",2450,219,183
1492715401,2017-04-20T19:10:01Z,RSD010,"55.488686,37.207432",2425,218,183
1492715379,2017-04-20T19:09:39Z,RSD010,"55.514755,37.210865",2475,213,185
1492715369,2017-04-20T19:09:29Z,RSD010,"55.521645,37.212238",2525,212,184
1492715359,2017-04-20T19:09:19Z,RSD010,"55.532639,37.214272",2525,210,184
1492715348,2017-04-20T19:09:08Z,RSD010,"55.542919,37.215672",2475,210,185
1492715339,2017-04-20T19:08:59Z,RSD010,"55.552551,37.21777",2375,209,185
1492715323,2017-04-20T19:08:43Z,RSD010,"55.56694,37.219791",2300,190,183
1492715317,2017-04-20T19:08:37Z,RSD010,"55.573151,37.22118",2100,179,189
1492715307,2017-04-20T19:08:27Z,RSD010,"55.580021,37.224598",1775,167,211
1492715297,2017-04-20T19:08:17Z,RSD010,"55.58551,37.234913",1300,157,240
1492715287,2017-04-20T19:08:07Z,RSD010,"55.588943,37.247231",800,149,248
1492715214,2017-04-20T19:06:54Z,RSD010,"55.604042,37.315922",825,120,250
1492715208,2017-04-20T19:06:48Z,RSD010,"55.605423,37.321388",900,121,249
1492715196,2017-04-20T19:06:36Z,RSD010,"55.608139,37.333088",1025,125,249
1492715189,2017-04-20T19:06:29Z,RSD010,"55.609535,37.338581",1100,127,250
1492715183,2017-04-20T19:06:23Z,RSD010,"55.610916,37.344776",1200,128,250
1492715177,2017-04-20T19:06:17Z,RSD010,"55.612282,37.350941",1275,130,249
1492715171,2017-04-20T19:06:11Z,RSD010,"55.613632,37.357121",1375,131,250
1492715165,2017-04-20T19:06:05Z,RSD010,"55.615028,37.3633",1475,134,251
1492715159,2017-04-20T19:05:59Z,RSD010,"55.615723,37.370163",1550,137,252
1492715153,2017-04-20T19:05:53Z,RSD010,"55.617077,37.377033",1625,144,251
1492715147,2017-04-20T19:05:47Z,RSD010,"55.619156,37.383896",1725,143,252
1492715141,2017-04-20T19:05:41Z,RSD010,"55.619823,37.390079",1825,141,251
1492715135,2017-04-20T19:05:35Z,RSD010,"55.621902,37.398293",1875,140,250
1492715129,2017-04-20T19:05:29Z,RSD010,"55.623268,37.403812",1875,142,251
1492715123,2017-04-20T19:05:23Z,RSD010,"55.624619,37.411366",1875,143,259
1492715117,2017-04-20T19:05:17Z,RSD010,"55.625317,37.418232",1900,142,265
1492715111,2017-04-20T19:05:11Z,RSD010,"55.625317,37.425785",1925,140,267
1492715105,2017-04-20T19:05:05Z,RSD010,"55.626022,37.432003",1950,140,267
1492715093,2017-04-20T19:04:53Z,RSD010,"55.626022,37.447067",2000,143,282
1492715087,2017-04-20T19:04:47Z,RSD010,"55.624619,37.453938",2050,144,299
1492715081,2017-04-20T19:04:41Z,RSD010,"55.622589,37.460133",2075,144,315
1492715075,2017-04-20T19:04:35Z,RSD010,"55.619125,37.464237",2125,146,327
1492715069,2017-04-20T19:04:29Z,RSD010,"55.615726,37.46767",2125,146,337
1492715063,2017-04-20T19:04:23Z,RSD010,"55.612282,37.470417",2150,146,342
1492715057,2017-04-20T19:04:17Z,RSD010,"55.60817,37.473202",2150,146,341
1492715051,2017-04-20T19:04:11Z,RSD010,"55.60474,37.47591",2150,147,340
1492715042,2017-04-20T19:04:02Z,RSD010,"55.599247,37.479343",2175,147,340
1492715036,2017-04-20T19:03:56Z,RSD010,"55.595104,37.48209",2200,148,339
1492715016,2017-04-20T19:03:36Z,RSD010,"55.582069,37.48827",2350,156,2
1492715009,2017-04-20T19:03:29Z,RSD010,"55.577271,37.486935",2400,159,11
1492715003,2017-04-20T19:03:23Z,RSD010,"55.573132,37.485523",2450,160,18
1492714997,2017-04-20T19:03:17Z,RSD010,"55.569031,37.482773",2450,162,19
1492714991,2017-04-20T19:03:11Z,RSD010,"55.564892,37.480717",2450,163,19
1492714983,2017-04-20T19:03:03Z,RSD010,"55.558701,37.476597",2500,163,20
1492714976,2017-04-20T19:02:56Z,RSD010,"55.554611,37.473202",2500,165,22
1492714970,2017-04-20T19:02:50Z,RSD010,"55.550461,37.470417",2475,167,22
1492714964,2017-04-20T19:02:44Z,RSD010,"55.546364,37.46767",2450,169,23
1492714958,2017-04-20T19:02:38Z,RSD010,"55.542252,37.464211",2450,171,23
1492714952,2017-04-20T19:02:32Z,RSD010,"55.538132,37.4608",2425,172,23
1492714946,2017-04-20T19:02:26Z,RSD010,"55.533329,37.457371",2450,171,24
1492714935,2017-04-20T19:02:15Z,RSD010,"55.525089,37.451191",2450,174,24
1492714928,2017-04-20T19:02:08Z,RSD010,"55.520966,37.447067",2450,176,23
1492714920,2017-04-20T19:02:00Z,RSD010,"55.514099,37.442989",2525,176,19
1492714913,2017-04-20T19:01:53Z,RSD010,"55.509293,37.440243",2575,176,16
1492714907,2017-04-20T19:01:47Z,RSD010,"55.504467,37.438145",2650,178,10
1492714901,2017-04-20T19:01:41Z,RSD010,"55.500366,37.437496",2700,181,7
1492714895,2017-04-20T19:01:35Z,RSD010,"55.494873,37.436081",2750,184,7
