Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1495657285,2017-05-24T20:21:25Z,RSD010,"55.599918,37.26236",0,12,292
1495657279,2017-05-24T20:21:19Z,RSD010,"55.599918,37.263046",0,12,292
1495657233,2017-05-24T20:20:33Z,RSD010,"55.599922,37.26305",0,12,292
1495657101,2017-05-24T20:18:21Z,RSD010,"55.599232,37.263733",0,2,292
1495657095,2017-05-24T20:18:15Z,RSD010,"55.599232,37.26442",0,2,292
1495657083,2017-05-24T20:18:03Z,RSD010,"55.599232,37.263733",0,2,292
1495657077,2017-05-24T20:17:57Z,RSD010,"55.599236,37.264423",0,2,292
1495657071,2017-05-24T20:17:51Z,RSD010,"55.599232,37.263733",0,2,292
1495657047,2017-05-24T20:17:27Z,RSD010,"55.599236,37.264423",0,2,292
1495657035,2017-05-24T20:17:15Z,RSD010,"55.599236,37.263737",0,2,292
1495656909,2017-05-24T20:15:09Z,RSD010,"55.599232,37.26442",0,2,292
1495656903,2017-05-24T20:15:03Z,RSD010,"55.599918,37.26442",0,2,292
1495656896,2017-05-24T20:14:56Z,RSD010,"55.599232,37.26442",0,2,292
1495656888,2017-05-24T20:14:48Z,RSD010,"55.599918,37.26442",0,12,292
1495656876,2017-05-24T20:14:36Z,RSD010,"55.599232,37.26442",0,16,292
1495656864,2017-05-24T20:14:24Z,RSD010,"55.599232,37.265106",0,21,295
1495656840,2017-05-24T20:14:00Z,RSD010,"55.599236,37.265797",0,15,337
1495656827,2017-05-24T20:13:47Z,RSD010,"55.599236,37.266483",0,17,5
1495656691,2017-05-24T20:11:31Z,RSD010,"55.594429,37.261677",0,30,67
1495656426,2017-05-24T20:07:06Z,RSD010,"55.598549,37.289143",750,132,248
1495656373,2017-05-24T20:06:13Z,RSD010,"55.607483,37.328297",1225,116,247
1495656364,2017-05-24T20:06:04Z,RSD010,"55.610233,37.339954",1350,115,247
1495656353,2017-05-24T20:05:53Z,RSD010,"55.611584,37.346134",1425,114,247
1495656343,2017-05-24T20:05:43Z,RSD010,"55.612976,37.354347",1525,112,248
1495656333,2017-05-24T20:05:33Z,RSD010,"55.615028,37.3633",1625,118,248
1495656323,2017-05-24T20:05:23Z,RSD010,"55.617096,37.37291",1750,128,248
1495656313,2017-05-24T20:05:13Z,RSD010,"55.619843,37.383228",1875,135,248
1495656303,2017-05-24T20:05:03Z,RSD010,"55.621902,37.393551",1975,139,249
1495656288,2017-05-24T20:04:48Z,RSD010,"55.625336,37.41003",2075,140,250
