Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499254266,2017-07-05T11:31:06Z,RSD010,"40.632423,8.285236",0,16,326
1499254227,2017-07-05T11:30:27Z,RSD010,"40.631733,8.285233",0,15,320
1499254203,2017-07-05T11:30:03Z,RSD010,"40.631046,8.285919",0,27,309
1499254188,2017-07-05T11:29:48Z,RSD010,"40.63036,8.286606",0,24,351
1499254176,2017-07-05T11:29:36Z,RSD010,"40.629673,8.286606",0,28,270
1499254170,2017-07-05T11:29:30Z,RSD010,"40.628986,8.286606",0,30,270
1499254164,2017-07-05T11:29:24Z,RSD010,"40.62899,8.287296",0,32,40
1499254158,2017-07-05T11:29:18Z,RSD010,"40.6283,8.287292",0,33,90
1499254151,2017-07-05T11:29:11Z,RSD010,"40.628304,8.28661",0,30,203
1499254142,2017-07-05T11:29:02Z,RSD010,"40.627613,8.286606",0,25,357
1499254134,2017-07-05T11:28:54Z,RSD010,"40.627613,8.287292",0,22,334
1499254119,2017-07-05T11:28:39Z,RSD010,"40.62693,8.287296",0,16,216
1499254106,2017-07-05T11:28:26Z,RSD010,"40.627617,8.287296",0,16,250
1499254098,2017-07-05T11:28:18Z,RSD010,"40.627617,8.287983",0,17,331
1499254076,2017-07-05T11:27:56Z,RSD010,"40.62693,8.287983",0,26,348
1499254059,2017-07-05T11:27:39Z,RSD010,"40.62624,8.288666",0,18,309
1499254046,2017-07-05T11:27:26Z,RSD010,"40.62624,8.289352",0,18,25
1499254034,2017-07-05T11:27:14Z,RSD010,"40.625557,8.289356",0,25,25
1499254028,2017-07-05T11:27:08Z,RSD010,"40.625557,8.28867",0,28,25
1499254022,2017-07-05T11:27:02Z,RSD010,"40.62487,8.28867",0,28,25
1499253926,2017-07-05T11:25:26Z,RSD010,"40.623493,8.287292",0,19,25
1499253911,2017-07-05T11:25:11Z,RSD010,"40.62212,8.286606",0,20,25
1499253905,2017-07-05T11:25:05Z,RSD010,"40.621437,8.28661",0,18,25
1499253899,2017-07-05T11:24:59Z,RSD010,"40.621433,8.285919",0,19,25
1499253893,2017-07-05T11:24:53Z,RSD010,"40.62075,8.285923",0,17,25
1499253887,2017-07-05T11:24:47Z,RSD010,"40.620064,8.285923",0,15,25
1499253881,2017-07-05T11:24:41Z,RSD010,"40.62006,8.285233",0,32,25
1499253875,2017-07-05T11:24:35Z,RSD010,"40.619373,8.285233",0,30,90
1499253866,2017-07-05T11:24:26Z,RSD010,"40.619377,8.28455",0,29,75
1499253854,2017-07-05T11:24:14Z,RSD010,"40.619377,8.283863",0,27,129
1499253845,2017-07-05T11:24:05Z,RSD010,"40.619373,8.283173",0,31,157
1499253834,2017-07-05T11:23:54Z,RSD010,"40.620064,8.283176",0,32,196
1499253827,2017-07-05T11:23:47Z,RSD010,"40.620747,8.283173",0,18,205
1499253819,2017-07-05T11:23:39Z,RSD010,"40.621437,8.283863",0,24,205
1499253810,2017-07-05T11:23:30Z,RSD010,"40.62281,8.28455",0,28,205
1499253803,2017-07-05T11:23:23Z,RSD010,"40.623497,8.28455",0,31,205
1499253795,2017-07-05T11:23:15Z,RSD010,"40.62487,8.28592",0,34,205
1499253760,2017-07-05T11:22:40Z,RSD010,"40.633789,8.29073",0,110,205
1499253750,2017-07-05T11:22:30Z,RSD010,"40.638611,8.29349",0,124,205
1499253740,2017-07-05T11:22:20Z,RSD010,"40.643421,8.29694",0,139,203
1499253730,2017-07-05T11:22:10Z,RSD010,"40.649601,8.30036",50,140,204
1499253720,2017-07-05T11:22:00Z,RSD010,"40.65575,8.30379",175,141,203
1499253710,2017-07-05T11:21:50Z,RSD010,"40.661961,8.30792",300,141,203
1499253700,2017-07-05T11:21:40Z,RSD010,"40.667431,8.31134",425,138,203
1499253690,2017-07-05T11:21:30Z,RSD010,"40.67363,8.31476",550,140,203
1499253680,2017-07-05T11:21:20Z,RSD010,"40.67981,8.31818",650,141,204
1499253670,2017-07-05T11:21:10Z,RSD010,"40.685959,8.32233",800,143,204
1499253660,2017-07-05T11:21:00Z,RSD010,"40.692169,8.32574",925,139,204
1499253650,2017-07-05T11:20:50Z,RSD010,"40.698349,8.3299",1100,143,203
1499253644,2017-07-05T11:20:44Z,RSD010,"40.701092,8.33126",1175,143,203
1499253635,2017-07-05T11:20:35Z,RSD010,"40.707958,8.33539",1350,141,206
1499253629,2017-07-05T11:20:29Z,RSD010,"40.710678,8.33744",1425,143,206
1499253620,2017-07-05T11:20:20Z,RSD010,"40.716888,8.34155",1600,141,205
1499253614,2017-07-05T11:20:14Z,RSD010,"40.72031,8.34293",1675,146,203
1499253605,2017-07-05T11:20:05Z,RSD010,"40.726501,8.34705",1850,144,204
1499253595,2017-07-05T11:19:55Z,RSD010,"40.733349,8.35048",2025,137,200
1499253585,2017-07-05T11:19:45Z,RSD010,"40.739552,8.35321",2225,137,198
1499253575,2017-07-05T11:19:35Z,RSD010,"40.745731,8.35596",2425,135,197
1499253565,2017-07-05T11:19:25Z,RSD010,"40.751881,8.35804",2625,136,198
1499253555,2017-07-05T11:19:15Z,RSD010,"40.75877,8.36078",2775,151,199
1499253545,2017-07-05T11:19:05Z,RSD010,"40.76564,8.36487",2925,159,203
1499253539,2017-07-05T11:18:59Z,RSD010,"40.76907,8.36627",3000,158,205
1499253530,2017-07-05T11:18:50Z,RSD010,"40.77594,8.37109",3225,157,212
1499253520,2017-07-05T11:18:40Z,RSD010,"40.781429,8.37726",3375,150,229
1499253510,2017-07-05T11:18:30Z,RSD010,"40.78624,8.3855",3500,161,238
1499253495,2017-07-05T11:18:15Z,RSD010,"40.791729,8.39856",3800,167,241
1499253489,2017-07-05T11:18:09Z,RSD010,"40.794479,8.40405",3925,168,242
1499253480,2017-07-05T11:18:00Z,RSD010,"40.797909,8.41296",4175,170,247
1499253470,2017-07-05T11:17:50Z,RSD010,"40.800659,8.42189",4400,162,251
1499253460,2017-07-05T11:17:40Z,RSD010,"40.80341,8.43219",4575,169,269
1499253454,2017-07-05T11:17:34Z,RSD010,"40.802719,8.43768",4625,172,282
