Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499930141,2017-07-13T07:15:41Z,RSD010,"50.985641,71.409225",2150,115,43
1499930135,2017-07-13T07:15:35Z,RSD010,"50.983612,71.405785",2200,114,43
1499930129,2017-07-13T07:15:29Z,RSD010,"50.980846,71.401672",2275,114,43
1499930123,2017-07-13T07:15:23Z,RSD010,"50.9781,71.398239",2325,115,43
1499930081,2017-07-13T07:14:41Z,RSD010,"50.96162,71.372147",2825,121,43
1499930075,2017-07-13T07:14:35Z,RSD010,"50.959572,71.3694",2850,120,43
1499930069,2017-07-13T07:14:29Z,RSD010,"50.957523,71.36528",2925,121,43
1499930062,2017-07-13T07:14:22Z,RSD010,"50.954777,71.361847",3000,120,43
1499930056,2017-07-13T07:14:16Z,RSD010,"50.952026,71.357758",3050,119,43
1499930050,2017-07-13T07:14:10Z,RSD010,"50.94928,71.3536",3100,120,43
1499930044,2017-07-13T07:14:04Z,RSD010,"50.94722,71.349518",3175,124,44
1499930035,2017-07-13T07:13:55Z,RSD010,"50.9431,71.344025",3275,132,44
1499930028,2017-07-13T07:13:48Z,RSD010,"50.940346,71.339188",3350,137,43
1499930022,2017-07-13T07:13:42Z,RSD010,"50.937599,71.335068",3450,142,42
1499930016,2017-07-13T07:13:36Z,RSD010,"50.93486,71.330292",3550,149,44
1499930009,2017-07-13T07:13:29Z,RSD010,"50.931427,71.32547",3650,155,44
1499930003,2017-07-13T07:13:23Z,RSD010,"50.927994,71.319977",3750,164,44
1499929997,2017-07-13T07:13:17Z,RSD010,"50.924561,71.315147",3850,169,43
1499929991,2017-07-13T07:13:11Z,RSD010,"50.92112,71.309662",3950,171,43
1499929985,2017-07-13T07:13:05Z,RSD010,"50.917694,71.304161",4050,172,43
1499929978,2017-07-13T07:12:58Z,RSD010,"50.914261,71.298668",4150,169,43
1499929972,2017-07-13T07:12:52Z,RSD010,"50.910831,71.293869",4250,164,43
1499929966,2017-07-13T07:12:46Z,RSD010,"50.906708,71.288429",4250,164,42
1499929959,2017-07-13T07:12:39Z,RSD010,"50.903275,71.282936",4250,170,42
1499929951,2017-07-13T07:12:31Z,RSD010,"50.897781,71.274696",4275,179,42
1499929944,2017-07-13T07:12:24Z,RSD010,"50.894348,71.269867",4275,181,43
1499929937,2017-07-13T07:12:17Z,RSD010,"50.889511,71.262283",4275,180,44
1499929931,2017-07-13T07:12:11Z,RSD010,"50.886108,71.256805",4275,178,15
1499929881,2017-07-13T07:11:21Z,RSD010,"50.857956,71.203949",4250,196,77
1499929875,2017-07-13T07:11:15Z,RSD010,"50.85725,71.196365",4250,201,81
1499929868,2017-07-13T07:11:08Z,RSD010,"50.855896,71.190216",4225,204,81
1499929862,2017-07-13T07:11:02Z,RSD010,"50.855209,71.179901",4250,212,81
1499929853,2017-07-13T07:10:53Z,RSD010,"50.853806,71.165466",4275,219,81
1499929847,2017-07-13T07:10:47Z,RSD010,"50.853153,71.155853",4275,221,80
1499929840,2017-07-13T07:10:40Z,RSD010,"50.851776,71.145607",4275,225,80
1499929834,2017-07-13T07:10:34Z,RSD010,"50.850403,71.135284",4275,227,79
1499929828,2017-07-13T07:10:28Z,RSD010,"50.84901,71.124954",4275,229,78
1499929822,2017-07-13T07:10:22Z,RSD010,"50.847656,71.114647",4300,227,77
1499929816,2017-07-13T07:10:16Z,RSD010,"50.846283,71.105072",4300,224,75
1499929809,2017-07-13T07:10:09Z,RSD010,"50.844215,71.095428",4300,222,72
1499929785,2017-07-13T07:09:45Z,RSD010,"50.83873,71.056305",4250,225,99
1499929779,2017-07-13T07:09:39Z,RSD010,"50.840771,71.046677",4250,230,114
1499929772,2017-07-13T07:09:32Z,RSD010,"50.844215,71.037064",4250,239,124
1499929766,2017-07-13T07:09:26Z,RSD010,"50.84766,71.028137",4225,244,124
1499929760,2017-07-13T07:09:20Z,RSD010,"50.851757,71.017838",4225,251,124
1499929754,2017-07-13T07:09:14Z,RSD010,"50.855896,71.009613",4275,255,124
1499929748,2017-07-13T07:09:08Z,RSD010,"50.860016,71.000038",4400,257,123
1499929741,2017-07-13T07:09:01Z,RSD010,"50.86414,70.989685",4525,259,124
1499929735,2017-07-13T07:08:55Z,RSD010,"50.868237,70.980072",4675,261,124
1499929729,2017-07-13T07:08:49Z,RSD010,"50.872379,70.970459",4800,261,124
1499929716,2017-07-13T07:08:36Z,RSD010,"50.881302,70.949852",5100,262,124
1499929704,2017-07-13T07:08:24Z,RSD010,"50.889511,70.929947",5400,262,124
1499929691,2017-07-13T07:08:11Z,RSD010,"50.898468,70.910736",5700,262,124
1499929679,2017-07-13T07:07:59Z,RSD010,"50.906689,70.890808",6050,260,124
1499929666,2017-07-13T07:07:46Z,RSD010,"50.915627,70.870895",6350,258,124
1499929654,2017-07-13T07:07:34Z,RSD010,"50.924564,70.850983",6650,258,124
1499929641,2017-07-13T07:07:21Z,RSD010,"50.932804,70.831757",6950,257,124
1499929629,2017-07-13T07:07:09Z,RSD010,"50.940353,70.813271",7225,255,124
1499929616,2017-07-13T07:06:56Z,RSD010,"50.94928,70.793297",7450,256,124
1499929604,2017-07-13T07:06:44Z,RSD010,"50.957523,70.772705",7650,261,124
1499929591,2017-07-13T07:06:31Z,RSD010,"50.966446,70.752846",7850,266,125
1499929578,2017-07-13T07:06:18Z,RSD010,"50.975372,70.732872",8025,271,125
1499929566,2017-07-13T07:06:06Z,RSD010,"50.984989,70.71228",8200,276,126
1499929553,2017-07-13T07:05:53Z,RSD010,"50.994579,70.691681",8425,281,126
