Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1490776886,2017-03-29T08:41:26Z,RSD264,"68.784882,32.753155",0,11,326
1490776879,2017-03-29T08:41:19Z,RSD264,"68.784195,32.753155",0,13,326
1490776859,2017-03-29T08:40:59Z,RSD264,"68.784203,32.753849",0,17,53
1490776852,2017-03-29T08:40:52Z,RSD264,"68.784195,32.753155",0,21,56
1490776846,2017-03-29T08:40:46Z,RSD264,"68.783516,32.752476",0,26,59
1490776840,2017-03-29T08:40:40Z,RSD264,"68.783516,32.751789",0,25,56
1490776830,2017-03-29T08:40:30Z,RSD264,"68.783516,32.750416",0,26,56
1490776820,2017-03-29T08:40:20Z,RSD264,"68.782822,32.749722",0,19,67
1490776800,2017-03-29T08:40:00Z,RSD264,"68.783516,32.747669",0,15,146
1490776793,2017-03-29T08:39:53Z,RSD264,"68.783508,32.746288",0,21,146
1490776786,2017-03-29T08:39:46Z,RSD264,"68.784203,32.744923",0,23,149
1490776780,2017-03-29T08:39:40Z,RSD264,"68.784882,32.744228",0,25,146
1490776774,2017-03-29T08:39:34Z,RSD264,"68.785568,32.742855",0,23,146
1490776765,2017-03-29T08:39:25Z,RSD264,"68.786255,32.741482",0,21,146
1490776756,2017-03-29T08:39:16Z,RSD264,"68.786942,32.740108",0,19,146
1490776748,2017-03-29T08:39:08Z,RSD264,"68.787636,32.738743",0,17,146
1490776625,2017-03-29T08:37:05Z,RSD264,"68.789696,32.734623",0,17,326
1490776615,2017-03-29T08:36:55Z,RSD264,"68.789001,32.735989",0,21,326
1490776606,2017-03-29T08:36:46Z,RSD264,"68.788322,32.73737",0,27,326
1490776595,2017-03-29T08:36:35Z,RSD264,"68.786942,32.739422",0,25,326
1490776588,2017-03-29T08:36:28Z,RSD264,"68.786255,32.741482",0,31,326
1490776577,2017-03-29T08:36:17Z,RSD264,"68.784882,32.743542",0,31,326
1490776569,2017-03-29T08:36:09Z,RSD264,"68.784203,32.745609",0,48,326
1490776562,2017-03-29T08:36:02Z,RSD264,"68.782822,32.748348",0,72,326
1490776556,2017-03-29T08:35:56Z,RSD264,"68.780769,32.751789",0,92,326
1490776539,2017-03-29T08:35:39Z,RSD264,"68.773201,32.765488",575,90,231
1490776518,2017-03-29T08:35:18Z,RSD264,"68.763611,32.782654",825,90,231
1490776498,2017-03-29T08:34:58Z,RSD264,"68.755371,32.79776",1050,90,231
1490776194,2017-03-29T08:29:54Z,RSD264,"68.603615,33.009933",3400,90,231
1490776173,2017-03-29T08:29:33Z,RSD264,"68.593323,32.976974",3525,90,231
1490776152,2017-03-29T08:29:12Z,RSD264,"68.585739,32.935776",3525,90,231
1490776126,2017-03-29T08:28:46Z,RSD264,"68.576843,32.886337",3550,90,231
1490776075,2017-03-29T08:27:55Z,RSD264,"68.564461,32.770294",3575,90,231
1490776050,2017-03-29T08:27:30Z,RSD264,"68.56102,32.707809",3825,90,231
1490776030,2017-03-29T08:27:10Z,RSD264,"68.558273,32.658371",4000,90,231
1490776010,2017-03-29T08:26:50Z,RSD264,"68.555527,32.606873",4200,90,231
1490775990,2017-03-29T08:26:30Z,RSD264,"68.552124,32.558113",4350,90,231
1490775968,2017-03-29T08:26:08Z,RSD264,"68.548691,32.501221",4575,90,231
1490775945,2017-03-29T08:25:45Z,RSD264,"68.545937,32.444824",4775,90,231
1490775919,2017-03-29T08:25:19Z,RSD264,"68.542488,32.380966",5050,90,231
1490775899,2017-03-29T08:24:59Z,RSD264,"68.539742,32.331528",5250,90,231
1490775877,2017-03-29T08:24:37Z,RSD264,"68.537018,32.274563",5425,90,231
1490775855,2017-03-29T08:24:15Z,RSD264,"68.532898,32.217545",5500,90,231
1490775832,2017-03-29T08:23:52Z,RSD264,"68.523262,32.1633",5950,90,231
1490775812,2017-03-29T08:23:32Z,RSD264,"68.506805,32.137886",6250,90,231
1490775792,2017-03-29T08:23:12Z,RSD264,"68.488266,32.133831",6550,90,231
1490775770,2017-03-29T08:22:50Z,RSD264,"68.46698,32.131741",6950,90,231
1490775750,2017-03-29T08:22:30Z,RSD264,"68.448441,32.137886",7000,90,231
1490775730,2017-03-29T08:22:10Z,RSD264,"68.432648,32.165352",7000,90,231
1490775710,2017-03-29T08:21:50Z,RSD264,"68.416168,32.180454",7000,90,231
1490775688,2017-03-29T08:21:28Z,RSD264,"68.396255,32.160603",7000,90,231
1490775668,2017-03-29T08:21:08Z,RSD264,"68.385933,32.113167",7000,90,231
1490775646,2017-03-29T08:20:46Z,RSD264,"68.387329,32.047249",6975,90,231
1490775624,2017-03-29T08:20:24Z,RSD264,"68.402435,31.993685",7000,90,232
1490775604,2017-03-29T08:20:04Z,RSD264,"68.421661,31.955233",7000,90,232
1490775582,2017-03-29T08:19:42Z,RSD264,"68.443611,31.911987",7000,90,232
1490775559,2017-03-29T08:19:19Z,RSD264,"68.466286,31.866669",7000,90,232
1490775538,2017-03-29T08:18:58Z,RSD264,"68.485519,31.82687",7000,90,232
1490775516,2017-03-29T08:18:36Z,RSD264,"68.507484,31.782211",7000,90,232
1490775494,2017-03-29T08:18:14Z,RSD264,"68.528755,31.738266",7000,90,232
1490775472,2017-03-29T08:17:52Z,RSD264,"68.551437,31.697781",7000,90,232
1490775445,2017-03-29T08:17:25Z,RSD264,"68.583023,31.686794",7000,90,232
1490775432,2017-03-29T08:17:12Z,RSD264,"68.59742,31.701874",7000,90,232
1490775421,2017-03-29T08:17:01Z,RSD264,"68.605682,31.7225",7000,90,232
1490775409,2017-03-29T08:16:49Z,RSD264,"68.612549,31.754805",6975,90,232
1490775398,2017-03-29T08:16:38Z,RSD264,"68.615295,31.783585",6975,90,232
1490775371,2017-03-29T08:16:11Z,RSD264,"68.613899,31.860489",7000,90,232
1490775344,2017-03-29T08:15:44Z,RSD264,"68.612549,31.940134",7000,90,232
1490775324,2017-03-29T08:15:24Z,RSD264,"68.611153,31.996445",6975,90,231
1490775294,2017-03-29T08:14:54Z,RSD264,"68.609802,32.080208",7000,90,231
1490775271,2017-03-29T08:14:31Z,RSD264,"68.608406,32.14682",7000,90,231
1490775248,2017-03-29T08:14:08Z,RSD264,"68.607056,32.210678",7000,90,231
1490775224,2017-03-29T08:13:44Z,RSD264,"68.605682,32.276001",7000,90,231
1490775196,2017-03-29T08:13:16Z,RSD264,"68.604309,32.354866",7000,90,231
1490775173,2017-03-29T08:12:53Z,RSD264,"68.602936,32.420132",7000,90,231
1490775150,2017-03-29T08:12:30Z,RSD264,"68.601562,32.483955",7000,90,231
1490775124,2017-03-29T08:12:04Z,RSD264,"68.600166,32.556747",7000,90,231
1490775097,2017-03-29T08:11:37Z,RSD264,"68.598816,32.630219",7000,90,231
1490775077,2017-03-29T08:11:17Z,RSD264,"68.597443,32.685894",7000,90,231
1490775049,2017-03-29T08:10:49Z,RSD264,"68.596069,32.766174",7000,90,231
1490775029,2017-03-29T08:10:29Z,RSD264,"68.594696,32.821785",7000,90,231
1490775004,2017-03-29T08:10:04Z,RSD264,"68.593323,32.892517",7000,90,231
1490774978,2017-03-29T08:09:38Z,RSD264,"68.591263,32.965393",6975,90,231
1490774949,2017-03-29T08:09:09Z,RSD264,"68.590576,33.055252",7000,90,231
1490774935,2017-03-29T08:08:55Z,RSD264,"68.594673,33.097824",7000,90,231
1490774923,2017-03-29T08:08:43Z,RSD264,"68.604309,33.134243",7000,90,231
1490774909,2017-03-29T08:08:29Z,RSD264,"68.617348,33.162369",6900,90,231
1490774896,2017-03-29T08:08:16Z,RSD264,"68.634521,33.177532",6750,90,231
1490774883,2017-03-29T08:08:03Z,RSD264,"68.652374,33.178188",6525,90,231
1490774861,2017-03-29T08:07:41Z,RSD264,"68.678467,33.148636",6100,90,231
1490774839,2017-03-29T08:07:19Z,RSD264,"68.699753,33.105469",6025,90,231
1490774819,2017-03-29T08:06:59Z,RSD264,"68.719666,33.064922",6025,90,231
1490774799,2017-03-29T08:06:39Z,RSD264,"68.739578,33.025818",6025,90,231
1490774779,2017-03-29T08:06:19Z,RSD264,"68.759491,32.987366",6025,90,231
1490774759,2017-03-29T08:05:59Z,RSD264,"68.779396,32.947449",6025,90,231
1490774737,2017-03-29T08:05:37Z,RSD264,"68.788986,32.881531",6025,90,231
1490774715,2017-03-29T08:05:15Z,RSD264,"68.77803,32.823223",6025,90,231
1490774694,2017-03-29T08:04:54Z,RSD264,"68.758804,32.8074",6000,90,231
1490774674,2017-03-29T08:04:34Z,RSD264,"68.739578,32.828716",6025,90,231
1490774653,2017-03-29T08:04:13Z,RSD264,"68.723099,32.858929",6000,90,231
1490774633,2017-03-29T08:03:53Z,RSD264,"68.706589,32.889084",6000,90,231
1490774612,2017-03-29T08:03:32Z,RSD264,"68.69014,32.92001",6025,90,231
1490774590,2017-03-29T08:03:10Z,RSD264,"68.6716,32.952969",6025,90,231
1490774570,2017-03-29T08:02:50Z,RSD264,"68.655121,32.983833",6025,90,231
1490774550,2017-03-29T08:02:30Z,RSD264,"68.63932,33.014053",6025,90,231
1490774530,2017-03-29T08:02:10Z,RSD264,"68.622162,33.038113",6000,90,231
1490774509,2017-03-29T08:01:49Z,RSD264,"68.602219,33.026413",6000,90,231
1490774489,2017-03-29T08:01:29Z,RSD264,"68.584389,32.999634",6000,90,231
1490774469,2017-03-29T08:01:09Z,RSD264,"68.566513,32.972168",6000,90,231
1490774447,2017-03-29T08:00:47Z,RSD264,"68.546631,32.941982",6000,90,231
1490774427,2017-03-29T08:00:27Z,RSD264,"68.528778,32.915169",6000,90,231
1490774405,2017-03-29T08:00:05Z,RSD264,"68.508179,32.884277",6025,90,231
1490774283,2017-03-29T07:58:03Z,RSD264,"68.394882,32.757984",7450,90,231
1490774263,2017-03-29T07:57:43Z,RSD264,"68.374252,32.758614",7850,90,231
1490774241,2017-03-29T07:57:21Z,RSD264,"68.350937,32.759357",8300,90,231
1490774221,2017-03-29T07:57:01Z,RSD264,"68.330338,32.759983",8650,90,231
1490774201,2017-03-29T07:56:41Z,RSD264,"68.309052,32.760731",9025,90,231
1490774181,2017-03-29T07:56:21Z,RSD264,"68.288452,32.76136",9400,90,231
1490774159,2017-03-29T07:55:59Z,RSD264,"68.26442,32.762104",9825,90,231
1490774139,2017-03-29T07:55:39Z,RSD264,"68.243111,32.762798",10225,90,231
1490774119,2017-03-29T07:55:19Z,RSD264,"68.221161,32.763477",10550,90,231
1490774099,2017-03-29T07:54:59Z,RSD264,"68.199165,32.763454",10825,90,231
