Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1495811308,2017-05-26T15:08:28Z,RSD702,"56.78257,41.140713",3750,322,60
1495811296,2017-05-26T15:08:16Z,RSD702,"56.771809,41.106659",3950,322,60
1495811273,2017-05-26T15:07:53Z,RSD702,"56.750656,41.039482",4575,322,60
1495811245,2017-05-26T15:07:25Z,RSD702,"56.746361,41.025429",4724,322,63
1495811239,2017-05-26T15:07:19Z,RSD702,"56.74416,41.017117",4725,322,63
1495811222,2017-05-26T15:07:02Z,RSD702,"56.735821,40.985355",5075,322,66
1495811209,2017-05-26T15:06:49Z,RSD702,"56.730339,40.961918",5275,322,66
1495811194,2017-05-26T15:06:34Z,RSD702,"56.722641,40.928513",5565,322,63
1495811178,2017-05-26T15:06:18Z,RSD702,"56.713902,40.898983",6050,322,60
1495811169,2017-05-26T15:06:09Z,RSD702,"56.709061,40.882816",6049,322,58
1495811158,2017-05-26T15:05:58Z,RSD702,"56.701797,40.860435",6250,322,55
1495811148,2017-05-26T15:05:48Z,RSD702,"56.697315,40.846878",6250,322,47
1495811142,2017-05-26T15:05:42Z,RSD702,"56.692055,40.833256",6574,322,29
1495811136,2017-05-26T15:05:36Z,RSD702,"56.685188,40.823799",6575,322,29
1495811130,2017-05-26T15:05:30Z,RSD702,"56.681423,40.818287",6575,322,29
1495811115,2017-05-26T15:05:15Z,RSD702,"56.657848,40.798939",7024,322,16
1495811096,2017-05-26T15:04:56Z,RSD702,"56.643692,40.791374",7274,322,16
1495811078,2017-05-26T15:04:38Z,RSD702,"56.620914,40.778812",7400,322,16
1495811063,2017-05-26T15:04:23Z,RSD702,"56.608002,40.772018",7575,322,16
1495811051,2017-05-26T15:04:11Z,RSD702,"56.587315,40.760452",7750,322,18
1495811040,2017-05-26T15:04:00Z,RSD702,"56.584324,40.758785",7850,322,18
1495811028,2017-05-26T15:03:48Z,RSD702,"56.561871,40.745224",8275,322,21
1495811016,2017-05-26T15:03:36Z,RSD702,"56.536091,40.730072",8550,322,21
1495811001,2017-05-26T15:03:21Z,RSD702,"56.53194,40.727142",8550,322,21
1495810989,2017-05-26T15:03:09Z,RSD702,"56.503597,40.708904",8875,322,23
1495810976,2017-05-26T15:02:56Z,RSD702,"56.499466,40.705505",9050,322,23
1495810964,2017-05-26T15:02:44Z,RSD702,"56.47533,40.68845",9287,322,27
1495810945,2017-05-26T15:02:25Z,RSD702,"56.434914,40.660347",9900,322,30
1495810920,2017-05-26T15:02:00Z,RSD702,"56.414253,40.642525",10125,322,37
1495810905,2017-05-26T15:01:45Z,RSD702,"56.387531,40.621063",10575,322,46
1495810882,2017-05-26T15:01:22Z,RSD702,"56.329426,40.578785",11400,322,323
1495810836,2017-05-26T15:00:36Z,RSD702,"56.282814,40.59201",12400,322,323
1495810828,2017-05-26T15:00:28Z,RSD702,"56.276569,40.596893",12650,322,323
1495810815,2017-05-26T15:00:15Z,RSD702,"56.256615,40.628658",13232,318,302
1495810773,2017-05-26T14:59:33Z,RSD702,"56.230133,40.705898",14175,310,301
1495810741,2017-05-26T14:59:01Z,RSD702,"56.206085,40.779812",15006,320,301
1495810709,2017-05-26T14:58:29Z,RSD702,"56.183357,40.849369",15875,320,301
1495810678,2017-05-26T14:57:58Z,RSD702,"56.156425,40.931675",16954,320,301
1495810646,2017-05-26T14:57:26Z,RSD702,"56.135593,40.995434",17700,330,301
1495810583,2017-05-26T14:56:23Z,RSD702,"56.088409,41.138718",19525,336,301
1495810522,2017-05-26T14:55:22Z,RSD702,"56.030499,41.312916",21221,340,302
1495810455,2017-05-26T14:54:15Z,RSD702,"55.983101,41.444225",22385,344,304
1495810392,2017-05-26T14:53:12Z,RSD702,"55.927883,41.597366",23771,354,308
1495810340,2017-05-26T14:52:20Z,RSD702,"55.884743,41.735554",25250,360,290
1495810332,2017-05-26T14:52:12Z,RSD702,"55.880764,41.754803",25381,360,287
1495810274,2017-05-26T14:51:14Z,RSD702,"55.862629,41.915539",26975,364,275
1495810208,2017-05-26T14:50:08Z,RSD702,"55.851711,42.134998",29049,376,275
1495810146,2017-05-26T14:49:06Z,RSD702,"55.841953,42.322247",30725,392,275
1495810082,2017-05-26T14:48:02Z,RSD702,"55.831032,42.530113",31975,392,275
1495810019,2017-05-26T14:46:59Z,RSD702,"55.823696,42.722729",31975,394,274
1495809956,2017-05-26T14:45:56Z,RSD702,"55.816898,42.931087",31975,395,273
1495809893,2017-05-26T14:44:53Z,RSD702,"55.788166,43.172169",31975,408,293
1495809819,2017-05-26T14:43:39Z,RSD702,"55.735126,43.346519",31975,413,301
1495809758,2017-05-26T14:42:38Z,RSD702,"55.669361,43.530899",31975,414,304
1495809750,2017-05-26T14:42:30Z,RSD702,"55.664768,43.543713",31974,414,304
1495809707,2017-05-26T14:41:47Z,RSD702,"55.623081,43.68243",31975,406,289
1495809639,2017-05-26T14:40:39Z,RSD702,"55.59322,43.887775",31974,400,274
1495809573,2017-05-26T14:39:33Z,RSD702,"55.588394,44.107121",31975,393,272
1495809511,2017-05-26T14:38:31Z,RSD702,"55.584484,44.326252",31975,393,271
1495809450,2017-05-26T14:37:30Z,RSD702,"55.578522,44.550346",31974,397,273
1495809380,2017-05-26T14:36:20Z,RSD702,"55.573647,44.732418",31975,397,273
1495809317,2017-05-26T14:35:17Z,RSD702,"55.567493,44.964977",31975,396,273
1495809256,2017-05-26T14:34:16Z,RSD702,"55.562557,45.136051",31975,401,272
1495809168,2017-05-26T14:32:48Z,RSD702,"55.554173,45.423038",31975,410,276
1495809146,2017-05-26T14:32:26Z,RSD702,"55.550747,45.517277",31975,410,276
1495809057,2017-05-26T14:30:57Z,RSD702,"55.539337,45.794888",31975,410,276
1495809044,2017-05-26T14:30:44Z,RSD702,"55.536064,45.84798",31975,419,277
1495808979,2017-05-26T14:29:39Z,RSD702,"55.527355,46.09354",31950,419,277
1495808910,2017-05-26T14:28:30Z,RSD702,"55.518585,46.316341",31974,409,266
1495808822,2017-05-26T14:27:02Z,RSD702,"55.522915,46.602951",32000,409,266
1495808810,2017-05-26T14:26:50Z,RSD702,"55.525856,46.671883",31875,403,266
1495808746,2017-05-26T14:25:46Z,RSD702,"55.534458,46.871235",30950,399,266
1495808681,2017-05-26T14:24:41Z,RSD702,"55.543758,47.07737",29712,387,266
1495808613,2017-05-26T14:23:33Z,RSD702,"55.55056,47.305748",27810,378,266
1495808544,2017-05-26T14:22:24Z,RSD702,"55.55822,47.526226",26100,377,266
1495808453,2017-05-26T14:20:53Z,RSD702,"55.566273,47.769112",23600,362,267
1495808399,2017-05-26T14:19:59Z,RSD702,"55.570942,47.924137",21649,358,267
1495808336,2017-05-26T14:18:56Z,RSD702,"55.576778,48.121563",19450,340,265
1495807730,2017-05-26T14:08:50Z,RSD702,"55.599236,49.302006",0,25,191
1495807696,2017-05-26T14:08:16Z,RSD702,"55.601295,49.299946",0,17,126
1495807687,2017-05-26T14:08:07Z,RSD702,"55.601295,49.299259",0,16,123
1495807681,2017-05-26T14:08:01Z,RSD702,"55.601978,49.298569",0,15,126
1495807674,2017-05-26T14:07:54Z,RSD702,"55.601978,49.297882",0,15,126
1495807668,2017-05-26T14:07:48Z,RSD702,"55.601978,49.297195",0,18,126
1495807662,2017-05-26T14:07:42Z,RSD702,"55.602669,49.296513",0,20,126
1495807656,2017-05-26T14:07:36Z,RSD702,"55.602669,49.295826",0,22,126
1495807632,2017-05-26T14:07:12Z,RSD702,"55.604038,49.292389",0,17,123
1495807626,2017-05-26T14:07:06Z,RSD702,"55.604038,49.291702",0,16,126
1495807616,2017-05-26T14:06:56Z,RSD702,"55.604725,49.290329",0,19,123
1495807610,2017-05-26T14:06:50Z,RSD702,"55.604725,49.289642",0,18,123
1495807562,2017-05-26T14:06:02Z,RSD702,"55.607471,49.283463",0,16,126
1495807552,2017-05-26T14:05:52Z,RSD702,"55.607471,49.282776",0,15,126
1495807546,2017-05-26T14:05:46Z,RSD702,"55.608162,49.282093",0,32,126
