Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1495817894,2017-05-26T16:58:14Z,RSD702,"55.595112,37.286392",0,15,157
1495817831,2017-05-26T16:57:11Z,RSD702,"55.595116,37.28159",0,26,90
1495817822,2017-05-26T16:57:02Z,RSD702,"55.595116,37.282276",0,20,140
1495817816,2017-05-26T16:56:56Z,RSD702,"55.595112,37.281586",0,18,157
1495817768,2017-05-26T16:56:08Z,RSD702,"55.598545,37.283646",0,29,219
1495817652,2017-05-26T16:54:12Z,RSD702,"55.599922,37.27953",0,28,112
1495817617,2017-05-26T16:53:37Z,RSD702,"55.601295,37.27747",0,19,151
1495817606,2017-05-26T16:53:26Z,RSD702,"55.601978,37.277466",0,18,140
1495817591,2017-05-26T16:53:11Z,RSD702,"55.601978,37.276779",0,17,87
1495817418,2017-05-26T16:50:18Z,RSD702,"55.564224,37.240406",1275,135,229
1495817381,2017-05-26T16:49:41Z,RSD702,"55.549809,37.229404",1575,135,229
1495817361,2017-05-26T16:49:21Z,RSD702,"55.541565,37.222511",1750,135,229
1495817341,2017-05-26T16:49:01Z,RSD702,"55.529892,37.214272",2000,135,229
1495817319,2017-05-26T16:48:39Z,RSD702,"55.5182,37.205372",2250,135,229
1495817298,2017-05-26T16:48:18Z,RSD702,"55.506546,37.196461",2500,135,229
1495817277,2017-05-26T16:47:57Z,RSD702,"55.49556,37.187557",2700,135,229
1495817257,2017-05-26T16:47:37Z,RSD702,"55.482513,37.177902",2700,135,229
1495817236,2017-05-26T16:47:16Z,RSD702,"55.46946,37.167606",2775,135,229
1495817214,2017-05-26T16:46:54Z,RSD702,"55.455029,37.157307",2975,135,229
1495817193,2017-05-26T16:46:33Z,RSD702,"55.439247,37.145607",3225,135,229
1495817172,2017-05-26T16:46:12Z,RSD702,"55.422775,37.135323",3500,135,229
1495817152,2017-05-26T16:45:52Z,RSD702,"55.405609,37.144291",3825,135,229
1495817130,2017-05-26T16:45:30Z,RSD702,"55.388412,37.15593",4125,135,229
1495817109,2017-05-26T16:45:09Z,RSD702,"55.369904,37.166908",4500,135,229
1495817088,2017-05-26T16:44:48Z,RSD702,"55.350658,37.179317",4900,135,229
1495817058,2017-05-26T16:44:18Z,RSD702,"55.347931,37.219822",5325,135,229
1495817046,2017-05-26T16:44:06Z,RSD702,"55.356152,37.234913",5575,135,229
1495817034,2017-05-26T16:43:54Z,RSD702,"55.363037,37.248661",5800,135,229
1495817022,2017-05-26T16:43:42Z,RSD702,"55.371281,37.262379",6075,135,229
1495817010,2017-05-26T16:43:30Z,RSD702,"55.37883,37.276127",6350,135,229
1495816998,2017-05-26T16:43:18Z,RSD702,"55.387062,37.289845",6600,135,229
1495816986,2017-05-26T16:43:06Z,RSD702,"55.395302,37.304245",6875,135,229
1495816971,2017-05-26T16:42:51Z,RSD702,"55.404922,37.32209",7200,135,229
1495816959,2017-05-26T16:42:39Z,RSD702,"55.413132,37.336536",7425,135,229
1495816946,2017-05-26T16:42:26Z,RSD702,"55.421371,37.350937",7600,135,229
1495816934,2017-05-26T16:42:14Z,RSD702,"55.428959,37.36467",7775,135,229
1495816922,2017-05-26T16:42:02Z,RSD702,"55.437195,37.379124",7950,135,229
1495816910,2017-05-26T16:41:50Z,RSD702,"55.444748,37.393551",7975,135,229
1495816898,2017-05-26T16:41:38Z,RSD702,"55.452988,37.408615",7975,135,229
1495816886,2017-05-26T16:41:26Z,RSD702,"55.46122,37.423038",7975,135,229
1495816874,2017-05-26T16:41:14Z,RSD702,"55.470158,37.439518",8000,135,229
1495816862,2017-05-26T16:41:02Z,RSD702,"55.47908,37.455307",8175,135,229
1495816850,2017-05-26T16:40:50Z,RSD702,"55.488007,37.471786",8400,135,229
1495816838,2017-05-26T16:40:38Z,RSD702,"55.496933,37.487598",8700,135,229
1495816826,2017-05-26T16:40:26Z,RSD702,"55.505863,37.504749",8925,135,229
1495816814,2017-05-26T16:40:14Z,RSD702,"55.514103,37.521229",8875,135,229
1495816802,2017-05-26T16:40:02Z,RSD702,"55.523693,37.538395",9125,135,229
1495816790,2017-05-26T16:39:50Z,RSD702,"55.533329,37.554874",9375,135,229
1495816778,2017-05-26T16:39:38Z,RSD702,"55.543617,37.573414",9575,135,229
1495816766,2017-05-26T16:39:26Z,RSD702,"55.553905,37.591953",9850,135,229
1495816754,2017-05-26T16:39:14Z,RSD702,"55.564194,37.611179",10225,135,229
1495816742,2017-05-26T16:39:02Z,RSD702,"55.572464,37.632504",10575,135,229
1495816730,2017-05-26T16:38:50Z,RSD702,"55.580704,37.65514",10900,135,229
1495816718,2017-05-26T16:38:38Z,RSD702,"55.587563,37.677097",10975,135,229
1495816706,2017-05-26T16:38:26Z,RSD702,"55.595123,37.699753",10975,135,229
1495816694,2017-05-26T16:38:14Z,RSD702,"55.601994,37.721729",10975,135,229
1495816682,2017-05-26T16:38:02Z,RSD702,"55.609543,37.744362",11000,135,229
1495816670,2017-05-26T16:37:50Z,RSD702,"55.617096,37.767086",11000,135,229
1495816655,2017-05-26T16:37:35Z,RSD702,"55.626709,37.795216",10975,135,229
1495816643,2017-05-26T16:37:23Z,RSD702,"55.634262,37.81852",10975,135,229
1495816631,2017-05-26T16:37:11Z,RSD702,"55.641815,37.841244",11050,135,229
1495816613,2017-05-26T16:36:53Z,RSD702,"55.653488,37.878281",11350,135,229
1495816601,2017-05-26T16:36:41Z,RSD702,"55.660324,37.902317",11550,135,229
1495816588,2017-05-26T16:36:28Z,RSD702,"55.667908,37.927719",11775,135,229
1495816555,2017-05-26T16:35:55Z,RSD702,"55.688488,37.996387",12450,135,228
1495816523,2017-05-26T16:35:23Z,RSD702,"55.70842,38.062965",13150,135,228
1495816489,2017-05-26T16:34:49Z,RSD702,"55.728333,38.130966",13875,135,228
1495816457,2017-05-26T16:34:17Z,RSD702,"55.748215,38.198261",14600,135,228
1495816426,2017-05-26T16:33:46Z,RSD702,"55.766785,38.261471",15125,135,228
1495816393,2017-05-26T16:33:13Z,RSD702,"55.788071,38.334877",15850,135,228
1495816360,2017-05-26T16:32:40Z,RSD702,"55.810036,38.408375",16825,135,228
1495816298,2017-05-26T16:31:38Z,RSD702,"55.851929,38.551193",18425,135,228
1495816237,2017-05-26T16:30:37Z,RSD702,"55.889694,38.691269",19950,135,228
1495816174,2017-05-26T16:29:34Z,RSD702,"55.92128,38.846493",21550,135,228
1495816113,2017-05-26T16:28:33Z,RSD702,"55.950806,38.990646",22975,135,228
1495816050,2017-05-26T16:27:30Z,RSD702,"55.968658,39.151363",24075,135,228
1495815987,2017-05-26T16:26:27Z,RSD702,"55.98307,39.31818",25275,135,228
1495815925,2017-05-26T16:25:25Z,RSD702,"55.998184,39.490524",25975,135,228
1495815864,2017-05-26T16:24:24Z,RSD702,"56.029064,39.64365",25975,135,228
1495815803,2017-05-26T16:23:23Z,RSD702,"56.066818,39.793339",25950,135,228
1495815742,2017-05-26T16:22:22Z,RSD702,"56.105301,39.945126",25975,135,228
1495815679,2017-05-26T16:21:19Z,RSD702,"56.144421,40.102329",25975,135,225
1495815618,2017-05-26T16:20:18Z,RSD702,"56.181519,40.255489",25975,135,225
1495815555,2017-05-26T16:19:15Z,RSD702,"56.219971,40.415455",26025,135,225
1495815482,2017-05-26T16:18:02Z,RSD702,"56.276257,40.584354",23625,135,225
1495815421,2017-05-26T16:17:01Z,RSD702,"56.360733,40.644753",21275,135,225
1495815358,2017-05-26T16:15:58Z,RSD702,"56.45549,40.691444",18675,135,225
