Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499426733,2017-07-07T11:25:33Z,RSD072,"55.608158,37.273346",0,20,348
1499426512,2017-07-07T11:21:52Z,RSD072,"55.594425,37.261673",0,30,70
1499426243,2017-07-07T11:17:23Z,RSD072,"55.601303,37.300167",975,148,229
1499426234,2017-07-07T11:17:14Z,RSD072,"55.603363,37.308407",1075,148,229
1499426228,2017-07-07T11:17:08Z,RSD072,"55.60405,37.314564",1175,148,229
1499426222,2017-07-07T11:17:02Z,RSD072,"55.605423,37.320724",1225,148,229
1499426216,2017-07-07T11:16:56Z,RSD072,"55.607487,37.326221",1300,148,229
1499426210,2017-07-07T11:16:50Z,RSD072,"55.608856,37.333126",1375,148,229
1499426204,2017-07-07T11:16:44Z,RSD072,"55.610229,37.338619",1450,148,229
1499426198,2017-07-07T11:16:38Z,RSD072,"55.611603,37.345444",1525,148,229
1499426187,2017-07-07T11:16:27Z,RSD072,"55.614349,37.357094",1675,148,229
1499426181,2017-07-07T11:16:21Z,RSD072,"55.615726,37.3633",1725,148,229
1499426172,2017-07-07T11:16:12Z,RSD072,"55.617775,37.372913",1875,148,229
1499426165,2017-07-07T11:16:05Z,RSD072,"55.618473,37.37772",1925,148,229
1499426155,2017-07-07T11:15:55Z,RSD072,"55.62122,37.38802",2000,148,229
1499426121,2017-07-07T11:15:21Z,RSD072,"55.630142,37.42651",2175,148,229
1499426115,2017-07-07T11:15:15Z,RSD072,"55.631516,37.432667",2200,148,229
1499426107,2017-07-07T11:15:07Z,RSD072,"55.632202,37.443653",2275,148,229
1499426085,2017-07-07T11:14:45Z,RSD072,"55.623966,37.463551",2450,148,229
1499426075,2017-07-07T11:14:35Z,RSD072,"55.615726,37.469044",2450,148,336
1499426060,2017-07-07T11:14:20Z,RSD072,"55.605392,37.477283",2425,155,342
1499426049,2017-07-07T11:14:09Z,RSD072,"55.597851,37.482777",2425,162,343
1499426043,2017-07-07T11:14:03Z,RSD072,"55.594437,37.485519",2475,171,345
1499426023,2017-07-07T11:13:43Z,RSD072,"55.580673,37.49239",2625,263,229
1499426002,2017-07-07T11:13:22Z,RSD072,"55.562164,37.484188",2775,263,229
1499425980,2017-07-07T11:13:00Z,RSD072,"55.543625,37.468372",2775,263,229
1499425959,2017-07-07T11:12:39Z,RSD072,"55.523712,37.45256",2775,263,229
1499425938,2017-07-07T11:12:18Z,RSD072,"55.504486,37.436081",2775,263,229
1499425917,2017-07-07T11:11:57Z,RSD072,"55.485939,37.418919",2775,263,229
1499425896,2017-07-07T11:11:36Z,RSD072,"55.466713,37.402439",2775,263,229
1499425876,2017-07-07T11:11:16Z,RSD072,"55.448181,37.383228",2775,263,229
1499425856,2017-07-07T11:10:56Z,RSD072,"55.433754,37.360592",2775,263,229
1499425835,2017-07-07T11:10:35Z,RSD072,"55.425522,37.321445",2775,263,229
1499425813,2017-07-07T11:10:13Z,RSD072,"55.421402,37.26926",2800,263,120
1499425793,2017-07-07T11:09:53Z,RSD072,"55.418625,37.236244",2750,28,229
1499425772,2017-07-07T11:09:32Z,RSD072,"55.428955,37.193729",2950,28,229
1499425751,2017-07-07T11:09:11Z,RSD072,"55.445435,37.156593",3325,28,229
1499425730,2017-07-07T11:08:50Z,RSD072,"55.464664,37.123661",3625,28,229
1499425706,2017-07-07T11:08:26Z,RSD072,"55.490734,37.112675",3750,28,229
1499425700,2017-07-07T11:08:20Z,RSD072,"55.49762,37.114063",3775,28,229
1499425694,2017-07-07T11:08:14Z,RSD072,"55.503769,37.116108",3750,28,229
1499425686,2017-07-07T11:08:06Z,RSD072,"55.513412,37.120224",3750,28,229
1499425679,2017-07-07T11:07:59Z,RSD072,"55.519596,37.124348",3750,28,229
1499425671,2017-07-07T11:07:51Z,RSD072,"55.527832,37.133289",3775,28,229
1499425664,2017-07-07T11:07:44Z,RSD072,"55.532639,37.140865",3775,28,229
1499425658,2017-07-07T11:07:38Z,RSD072,"55.537445,37.14769",3725,28,229
1499425650,2017-07-07T11:07:30Z,RSD072,"55.545666,37.157993",3650,28,229
1499425643,2017-07-07T11:07:23Z,RSD072,"55.550461,37.165546",3575,28,229
1499425637,2017-07-07T11:07:17Z,RSD072,"55.555298,37.172409",3525,28,229
1499425631,2017-07-07T11:07:11Z,RSD072,"55.560104,37.179981",3425,28,229
1499425623,2017-07-07T11:07:03Z,RSD072,"55.567638,37.190266",3300,28,229
1499425616,2017-07-07T11:06:56Z,RSD072,"55.572464,37.197792",3200,28,229
1499425610,2017-07-07T11:06:50Z,RSD072,"55.577271,37.205368",3125,28,229
1499425604,2017-07-07T11:06:44Z,RSD072,"55.580673,37.212925",3000,28,229
1499425598,2017-07-07T11:06:38Z,RSD072,"55.584137,37.223263",2750,28,229
1499425592,2017-07-07T11:06:32Z,RSD072,"55.586197,37.232166",2550,28,229
1499425586,2017-07-07T11:06:26Z,RSD072,"55.588261,37.241764",2325,28,229
1499425580,2017-07-07T11:06:20Z,RSD072,"55.590309,37.251377",2075,28,229
1499425574,2017-07-07T11:06:14Z,RSD072,"55.592377,37.260963",1800,28,229
1499425568,2017-07-07T11:06:08Z,RSD072,"55.593754,37.268543",1600,28,229
1499425562,2017-07-07T11:06:02Z,RSD072,"55.59581,37.276779",1375,28,229
1499425554,2017-07-07T11:05:54Z,RSD072,"55.59787,37.287766",1125,28,229
1499425547,2017-07-07T11:05:47Z,RSD072,"55.599899,37.294636",1000,28,229
1499425535,2017-07-07T11:05:35Z,RSD072,"55.602676,37.307655",1075,28,229
1499425529,2017-07-07T11:05:29Z,RSD072,"55.604042,37.313175",1150,28,229
1499425523,2017-07-07T11:05:23Z,RSD072,"55.605392,37.320042",1225,28,229
1499425517,2017-07-07T11:05:17Z,RSD072,"55.606796,37.324886",1275,28,229
1499425511,2017-07-07T11:05:11Z,RSD072,"55.608139,37.331028",1350,28,229
1499425505,2017-07-07T11:05:05Z,RSD072,"55.609543,37.337204",1425,28,229
1499425499,2017-07-07T11:04:59Z,RSD072,"55.610916,37.343361",1500,28,229
1499425493,2017-07-07T11:04:53Z,RSD072,"55.612282,37.349567",1575,28,229
1499425487,2017-07-07T11:04:47Z,RSD072,"55.613663,37.355099",1650,28,229
1499425481,2017-07-07T11:04:41Z,RSD072,"55.615036,37.362587",1725,28,229
1499425475,2017-07-07T11:04:35Z,RSD072,"55.616379,37.368793",1775,28,229
1499425469,2017-07-07T11:04:29Z,RSD072,"55.617775,37.374287",1825,28,229
1499425463,2017-07-07T11:04:23Z,RSD072,"55.619156,37.380482",1900,28,229
1499425457,2017-07-07T11:04:17Z,RSD072,"55.620529,37.386642",1975,28,229
1499425451,2017-07-07T11:04:11Z,RSD072,"55.622589,37.394882",2075,28,229
1499425445,2017-07-07T11:04:05Z,RSD072,"55.623276,37.401039",2100,28,229
1499425439,2017-07-07T11:03:59Z,RSD072,"55.625336,37.408615",2100,28,229
1499425433,2017-07-07T11:03:53Z,RSD072,"55.626713,37.415485",2100,28,229
1499425427,2017-07-07T11:03:47Z,RSD072,"55.628769,37.422348",2100,28,229
1499425418,2017-07-07T11:03:38Z,RSD072,"55.630829,37.43475",2200,28,229
1499425396,2017-07-07T11:03:16Z,RSD072,"55.626713,37.458744",2350,28,229
1499425385,2017-07-07T11:03:05Z,RSD072,"55.613663,37.470455",2425,28,332
1499425379,2017-07-07T11:02:59Z,RSD072,"55.612976,37.471119",2425,221,334
1499425368,2017-07-07T11:02:48Z,RSD072,"55.603344,37.478657",2425,136,336
1499425358,2017-07-07T11:02:38Z,RSD072,"55.5965,37.483463",2525,189,345
1499425348,2017-07-07T11:02:28Z,RSD072,"55.587563,37.489643",2600,176,351
1499425321,2017-07-07T11:02:01Z,RSD072,"55.562145,37.483463",2775,192,25
1499425314,2017-07-07T11:01:54Z,RSD072,"55.55735,37.479343",2775,351,23
1499425308,2017-07-07T11:01:48Z,RSD072,"55.548431,37.47245",2775,201,25
1499425290,2017-07-07T11:01:30Z,RSD072,"55.533329,37.459431",2775,107,23
1499425284,2017-07-07T11:01:24Z,RSD072,"55.530582,37.457371",2775,215,23
1499425278,2017-07-07T11:01:18Z,RSD072,"55.525089,37.453251",2775,258,24
1499425266,2017-07-07T11:01:06Z,RSD072,"55.512009,37.442951",2750,161,24
1499425245,2017-07-07T11:00:45Z,RSD072,"55.496246,37.427174",2750,302,229
1499425225,2017-07-07T11:00:25Z,RSD072,"55.476303,37.405872",2750,302,229
1499425198,2017-07-07T10:59:58Z,RSD072,"55.449554,37.377735",2950,302,229
1499425172,2017-07-07T10:59:32Z,RSD072,"55.424149,37.348911",3175,302,229
1499425152,2017-07-07T10:59:12Z,RSD072,"55.402863,37.32621",3475,302,229
1499425130,2017-07-07T10:58:50Z,RSD072,"55.38089,37.302864",3825,302,229
1499425105,2017-07-07T10:58:25Z,RSD072,"55.346748,37.265793",4475,302,231
1499425084,2017-07-07T10:58:04Z,RSD072,"55.329384,37.247231",4800,302,229
1499425063,2017-07-07T10:57:43Z,RSD072,"55.312206,37.228756",5150,302,229
1499425042,2017-07-07T10:57:22Z,RSD072,"55.290932,37.205368",5625,302,229
1499425021,2017-07-07T10:57:01Z,RSD072,"55.26828,37.18137",6125,302,229
1499425000,2017-07-07T10:56:40Z,RSD072,"55.24559,37.157345",6600,302,229
1499424980,2017-07-07T10:56:20Z,RSD072,"55.222961,37.133305",7075,302,229
1499424960,2017-07-07T10:56:00Z,RSD072,"55.200302,37.10923",7575,302,229
1499424938,2017-07-07T10:55:38Z,RSD072,"55.175575,37.083851",8125,302,229
1499424917,2017-07-07T10:55:17Z,RSD072,"55.150856,37.057053",8650,302,229
1499424897,2017-07-07T10:54:57Z,RSD072,"55.126831,37.033054",9150,302,229
1499424877,2017-07-07T10:54:37Z,RSD072,"55.102768,37.010361",9675,302,229
1499424856,2017-07-07T10:54:16Z,RSD072,"55.077393,36.984989",10225,302,229
1499424835,2017-07-07T10:53:55Z,RSD072,"55.058823,36.945107",10875,302,229
1499424814,2017-07-07T10:53:34Z,RSD072,"55.042343,36.89983",11475,302,229
1499424772,2017-07-07T10:52:52Z,RSD072,"55.008732,36.809193",12775,302,229
1499424729,2017-07-07T10:52:09Z,RSD072,"54.976425,36.72197",13975,302,229
1499424688,2017-07-07T10:51:28Z,RSD072,"54.946911,36.632748",15050,302,229
1499424648,2017-07-07T10:50:48Z,RSD072,"54.958603,36.525581",16000,302,229
1499424606,2017-07-07T10:50:06Z,RSD072,"54.983315,36.421261",16750,302,229
1499424565,2017-07-07T10:49:25Z,RSD072,"55.03685,36.352596",17600,302,229
1499424537,2017-07-07T10:48:57Z,RSD072,"55.089035,36.35326",18575,302,202
1499424528,2017-07-07T10:48:48Z,RSD072,"55.100719,36.3615",18825,448,209
1499424469,2017-07-07T10:47:49Z,RSD072,"55.177624,36.476192",20650,248,229
1499424449,2017-07-07T10:47:29Z,RSD072,"55.184513,36.551014",21450,248,276
1499424437,2017-07-07T10:47:17Z,RSD072,"55.183117,36.575069",21700,414,288
1499424420,2017-07-07T10:47:00Z,RSD072,"55.172131,36.623093",22275,480,303
1499424340,2017-07-07T10:45:40Z,RSD072,"55.093876,36.813271",24650,161,229
1499424278,2017-07-07T10:44:38Z,RSD072,"55.024521,36.982243",26725,161,229
1499424258,2017-07-07T10:44:18Z,RSD072,"55.007355,37.024086",27225,161,229
1499424248,2017-07-07T10:44:08Z,RSD072,"54.997742,37.048161",27550,161,309
1499424239,2017-07-07T10:43:59Z,RSD072,"54.984665,37.080441",27925,161,308
1499424198,2017-07-07T10:43:18Z,RSD072,"54.943466,37.179981",29125,670,229
1499424137,2017-07-07T10:42:17Z,RSD072,"54.867279,37.318699",29975,670,229
1499424075,2017-07-07T10:41:15Z,RSD072,"54.753952,37.330379",30000,670,229
1499424012,2017-07-07T10:40:12Z,RSD072,"54.666092,37.208836",30000,670,229
1499423950,2017-07-07T10:39:10Z,RSD072,"54.666092,37.018593",29975,670,229
1499423889,2017-07-07T10:38:09Z,RSD072,"54.705212,36.825672",30000,670,229
1499423826,2017-07-07T10:37:06Z,RSD072,"54.771149,36.652653",30000,670,229
1499423761,2017-07-07T10:36:01Z,RSD072,"54.865219,36.512577",30000,670,229
1499423700,2017-07-07T10:35:00Z,RSD072,"54.969582,36.406776",30000,670,229
1499423637,2017-07-07T10:33:57Z,RSD072,"55.078049,36.297665",30000,670,229
1499423621,2017-07-07T10:33:41Z,RSD072,"55.109665,36.266029",30025,670,152
1499423578,2017-07-07T10:32:58Z,RSD072,"55.188629,36.224186",30000,654,229
1499423516,2017-07-07T10:31:56Z,RSD072,"55.303986,36.303108",30025,654,229
1499423487,2017-07-07T10:31:27Z,RSD072,"55.34996,36.380062",30000,654,289
1499423477,2017-07-07T10:31:17Z,RSD072,"55.358231,36.40546",30000,654,229
1499423416,2017-07-07T10:30:16Z,RSD072,"55.359596,36.620346",29400,654,229
1499423408,2017-07-07T10:30:08Z,RSD072,"55.351357,36.651222",29225,654,291
1499423345,2017-07-07T10:29:05Z,RSD072,"55.302616,36.843483",28025,406,296
1499423279,2017-07-07T10:27:59Z,RSD072,"55.249035,37.04332",26350,357,295
1499423273,2017-07-07T10:27:53Z,RSD072,"55.244938,37.059132",26200,404,300
1499423267,2017-07-07T10:27:47Z,RSD072,"55.239445,37.076279",26050,491,297
1499423261,2017-07-07T10:27:41Z,RSD072,"55.233261,37.097599",25850,379,302
1499423255,2017-07-07T10:27:35Z,RSD072,"55.227768,37.11335",25675,295,301
1499423249,2017-07-07T10:27:29Z,RSD072,"55.223618,37.125717",25525,518,312
1499423239,2017-07-07T10:27:19Z,RSD072,"55.207836,37.157345",25175,307,324
1499423233,2017-07-07T10:27:13Z,RSD072,"55.200993,37.166248",25050,365,325
1499423227,2017-07-07T10:27:07Z,RSD072,"55.192753,37.176571",24925,307,333
1499423221,2017-07-07T10:27:01Z,RSD072,"55.185165,37.183395",24800,417,337
1499423214,2017-07-07T10:26:54Z,RSD072,"55.172836,37.193001",24600,309,344
1499423174,2017-07-07T10:26:14Z,RSD072,"55.111706,37.216354",23575,0,229
1499423111,2017-07-07T10:25:11Z,RSD072,"55.012161,37.179268",21350,0,229
1499423048,2017-07-07T10:24:08Z,RSD072,"54.988815,37.005589",19200,0,229
1499423007,2017-07-07T10:23:27Z,RSD072,"55.034801,36.915646",17600,0,229
1499422972,2017-07-07T10:22:52Z,RSD072,"55.091782,36.902576",16375,0,229
1499422941,2017-07-07T10:22:21Z,RSD072,"55.139191,36.933449",15200,0,229
1499422908,2017-07-07T10:21:48Z,RSD072,"55.184509,36.966408",14300,0,229
1499422874,2017-07-07T10:21:14Z,RSD072,"55.231857,36.998043",13175,0,229
1499422842,2017-07-07T10:20:42Z,RSD072,"55.279945,37.017269",12225,0,229
1499422829,2017-07-07T10:20:29Z,RSD072,"55.295746,37.022713",11825,0,229
1499422817,2017-07-07T10:20:17Z,RSD072,"55.312225,37.029579",11500,0,229
1499422805,2017-07-07T10:20:05Z,RSD072,"55.328705,37.035801",11100,0,229
1499422793,2017-07-07T10:19:53Z,RSD072,"55.344498,37.041939",10725,0,229
1499422781,2017-07-07T10:19:41Z,RSD072,"55.360947,37.048145",10250,0,229
1499422769,2017-07-07T10:19:29Z,RSD072,"55.37677,37.054298",9750,0,229
1499422757,2017-07-07T10:19:17Z,RSD072,"55.392563,37.059792",9175,0,229
1499422745,2017-07-07T10:19:05Z,RSD072,"55.411781,37.067371",8525,0,229
1499422732,2017-07-07T10:18:52Z,RSD072,"55.426895,37.073524",8075,0,229
1499422719,2017-07-07T10:18:39Z,RSD072,"55.441994,37.079025",7650,0,229
1499422707,2017-07-07T10:18:27Z,RSD072,"55.458473,37.085896",7025,0,229
1499422695,2017-07-07T10:18:15Z,RSD072,"55.472214,37.090675",6525,0,229
1499422683,2017-07-07T10:18:03Z,RSD072,"55.48732,37.09692",6250,0,229
