Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502450489,2017-08-11T11:21:29Z,RSD402,"51.161293,45.28289",33975,468,333
1502449603,2017-08-11T11:06:43Z,RSD402,"49.492657,44.936562",33975,470,28
1502449536,2017-08-11T11:05:36Z,RSD402,"49.362946,44.828743",33975,470,28
1502449480,2017-08-11T11:04:40Z,RSD402,"49.240486,44.727116",33975,471,28
1502449408,2017-08-11T11:03:28Z,RSD402,"49.107307,44.616421",33975,472,26
1502449372,2017-08-11T11:02:52Z,RSD402,"49.039539,44.562073",33975,478,25
1502449308,2017-08-11T11:01:48Z,RSD402,"48.922142,44.471764",33975,468,29
1502449247,2017-08-11T11:00:47Z,RSD402,"48.809769,44.371773",33975,467,33
1502449184,2017-08-11T10:59:44Z,RSD402,"48.700603,44.243237",33975,464,39
1502449120,2017-08-11T10:58:40Z,RSD402,"48.58028,44.093563",33975,468,39
1502449043,2017-08-11T10:57:23Z,RSD402,"48.392475,43.863411",33974,468,39
1502448948,2017-08-11T10:55:48Z,RSD402,"48.193676,43.62254",33975,468,37
1502448876,2017-08-11T10:54:36Z,RSD402,"48.127003,43.543201",33975,468,37
1502448836,2017-08-11T10:53:56Z,RSD402,"48.058769,43.462524",33975,468,37
1502448795,2017-08-11T10:53:15Z,RSD402,"48.052189,43.4547",33975,467,37
1502448727,2017-08-11T10:52:07Z,RSD402,"47.910858,43.287502",33975,460,37
1502448680,2017-08-11T10:51:20Z,RSD402,"47.843662,43.208752",33975,460,37
1502448671,2017-08-11T10:51:11Z,RSD402,"47.82132,43.182518",33975,460,37
1502448608,2017-08-11T10:50:08Z,RSD402,"47.70879,43.051338",33975,460,37
1502448519,2017-08-11T10:48:39Z,RSD402,"47.56612,42.886265",33975,460,37
1502448468,2017-08-11T10:47:48Z,RSD402,"47.479084,42.786339",33975,460,37
1502448401,2017-08-11T10:46:41Z,RSD402,"47.378582,42.671616",33975,461,37
1502448334,2017-08-11T10:45:34Z,RSD402,"47.255886,42.532524",33975,463,37
1502448272,2017-08-11T10:44:32Z,RSD402,"47.153866,42.418327",33975,477,37
1502447838,2017-08-11T10:37:18Z,RSD402,"46.444199,41.628738",33975,145,225
1502447741,2017-08-11T10:35:41Z,RSD402,"46.273903,41.443382",34000,145,225
1502447699,2017-08-11T10:34:59Z,RSD402,"46.199066,41.36232",33975,145,225
1502447637,2017-08-11T10:33:57Z,RSD402,"46.08989,41.244217",34000,145,225
1502447575,2017-08-11T10:32:55Z,RSD402,"45.976574,41.123405",33975,145,225
1502447510,2017-08-11T10:31:50Z,RSD402,"45.86261,41.000443",33975,145,225
1502447430,2017-08-11T10:30:30Z,RSD402,"45.638081,40.76289",33975,145,225
1502447365,2017-08-11T10:29:25Z,RSD402,"45.53508,40.647518",34000,145,225
1502447302,2017-08-11T10:28:22Z,RSD402,"45.499374,40.59605",33975,145,225
1502447239,2017-08-11T10:27:19Z,RSD402,"45.416271,40.428482",33975,145,225
1502447158,2017-08-11T10:25:58Z,RSD402,"45.344162,40.179214",33975,145,225
1502447095,2017-08-11T10:24:55Z,RSD402,"45.295422,39.983536",34000,145,228
1502447030,2017-08-11T10:23:50Z,RSD402,"45.234329,39.789211",34000,145,228
1502446966,2017-08-11T10:22:46Z,RSD402,"45.134766,39.658092",33950,145,228
1502446874,2017-08-11T10:21:14Z,RSD402,"44.949371,39.573605",33975,145,228
1502446833,2017-08-11T10:20:33Z,RSD402,"44.864227,39.554379",33375,145,228
1502446772,2017-08-11T10:19:32Z,RSD402,"44.742008,39.526932",32275,145,228
1502446710,2017-08-11T10:18:30Z,RSD402,"44.617035,39.498791",30900,145,228
1502446647,2017-08-11T10:17:27Z,RSD402,"44.490673,39.472",29450,145,228
1502446584,2017-08-11T10:16:24Z,RSD402,"44.364349,39.447979",28000,145,228
1502446520,2017-08-11T10:15:20Z,RSD402,"44.242126,39.418423",26275,145,228
1502446458,2017-08-11T10:14:18Z,RSD402,"44.124027,39.389584",24450,145,228
1502446367,2017-08-11T10:12:47Z,RSD402,"43.957138,39.356625",21500,145,228
1502446343,2017-08-11T10:12:23Z,RSD402,"43.913891,39.359371",20775,145,228
