Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502646293,2017-08-13T17:44:53Z,RSD768,"45.269714,45.339252",32975,482,67
1502645931,2017-08-13T17:38:51Z,RSD768,"45.264187,45.319084",32974,482,67
1502645900,2017-08-13T17:38:20Z,RSD768,"45.237446,45.222103",32975,482,67
1502645839,2017-08-13T17:37:19Z,RSD768,"45.174423,44.993874",32975,482,66
1502645356,2017-08-13T17:29:16Z,RSD768,"44.752026,43.534733",32975,482,66
1502645323,2017-08-13T17:28:43Z,RSD768,"44.71703,43.419792",32975,482,66
1502645283,2017-08-13T17:28:03Z,RSD768,"44.698456,43.359863",32975,482,66
1502645202,2017-08-13T17:26:42Z,RSD768,"44.640076,43.160366",32975,482,66
1502645147,2017-08-13T17:25:47Z,RSD768,"44.576988,42.947319",32950,482,66
1502645073,2017-08-13T17:24:33Z,RSD768,"44.527618,42.782616",32950,482,66
1502645010,2017-08-13T17:23:30Z,RSD768,"44.470436,42.595928",32960,482,66
1502644947,2017-08-13T17:22:27Z,RSD768,"44.416885,42.421608",32950,482,66
1502644885,2017-08-13T17:21:25Z,RSD768,"44.358688,42.238232",32950,482,65
1502644818,2017-08-13T17:20:18Z,RSD768,"44.296921,42.04121",32624,482,65
1502644757,2017-08-13T17:19:17Z,RSD768,"44.241592,41.867603",30449,482,65
1502644696,2017-08-13T17:18:16Z,RSD768,"44.187496,41.699402",30450,482,65
1502644633,2017-08-13T17:17:13Z,RSD768,"44.129841,41.519527",30175,482,66
1502644571,2017-08-13T17:16:11Z,RSD768,"44.07793,41.347858",29325,476,66
1502644505,2017-08-13T17:15:05Z,RSD768,"44.014023,41.138458",28192,464,66
1502644414,2017-08-13T17:13:34Z,RSD768,"43.937958,40.891586",26500,450,65
1502644399,2017-08-13T17:13:19Z,RSD768,"43.921005,40.838123",26000,450,65
1502644307,2017-08-13T17:11:47Z,RSD768,"43.855526,40.632656",24425,438,65
1502644275,2017-08-13T17:11:15Z,RSD768,"43.829876,40.551029",23421,440,66
1502644214,2017-08-13T17:10:14Z,RSD768,"43.783684,40.401283",22375,422,68
1502644149,2017-08-13T17:09:09Z,RSD768,"43.739952,40.239914",20843,406,67
1502644138,2017-08-13T17:08:58Z,RSD768,"43.732265,40.212135",20714,398,64
1502644131,2017-08-13T17:08:51Z,RSD768,"43.728706,40.201363",20675,394,64
1502644124,2017-08-13T17:08:44Z,RSD768,"43.723293,40.184135",20524,388,61
1502644118,2017-08-13T17:08:38Z,RSD768,"43.717171,40.166794",20337,386,57
1502644108,2017-08-13T17:08:28Z,RSD768,"43.709114,40.148098",19961,384,54
1502644049,2017-08-13T17:07:29Z,RSD768,"43.636192,40.044132",18074,380,41
1502644012,2017-08-13T17:06:52Z,RSD768,"43.590096,39.987526",16943,372,42
1502644006,2017-08-13T17:06:46Z,RSD768,"43.579456,39.974281",16608,374,42
1502643996,2017-08-13T17:06:36Z,RSD768,"43.569481,39.961727",16322,372,43
1502643990,2017-08-13T17:06:30Z,RSD768,"43.559227,39.947807",15999,372,50
1502643980,2017-08-13T17:06:20Z,RSD768,"43.550423,39.934128",15662,372,58
1502643964,2017-08-13T17:06:04Z,RSD768,"43.537731,39.901943",15122,130,43
1502643648,2017-08-13T17:00:48Z,RSD768,"43.407852,39.731544",5550,130,228
1502643639,2017-08-13T17:00:39Z,RSD768,"43.410568,39.74461",5200,130,228
