Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504103357,2017-08-30T14:29:17Z,RSD073,"55.599922,37.262363",0,9,295
1504103306,2017-08-30T14:28:26Z,RSD073,"55.599236,37.26305",0,10,292
1504103282,2017-08-30T14:28:02Z,RSD073,"55.599236,37.263737",0,9,292
1504103132,2017-08-30T14:25:32Z,RSD073,"55.599232,37.265106",0,2,292
1504102948,2017-08-30T14:22:28Z,RSD073,"55.599236,37.26511",0,2,292
1504102940,2017-08-30T14:22:20Z,RSD073,"55.599236,37.265797",0,11,292
1504102921,2017-08-30T14:22:01Z,RSD073,"55.599232,37.266479",0,13,300
1504102825,2017-08-30T14:20:25Z,RSD073,"55.595116,37.26511",0,23,289
1504102604,2017-08-30T14:16:44Z,RSD073,"55.578625,37.204685",875,180,229
1504102583,2017-08-30T14:16:23Z,RSD073,"55.573837,37.182728",1125,180,229
1504102562,2017-08-30T14:16:02Z,RSD073,"55.569031,37.160755",1400,180,229
1504102541,2017-08-30T14:15:41Z,RSD073,"55.564224,37.138119",1650,180,229
1504102520,2017-08-30T14:15:20Z,RSD073,"55.558048,37.111301",1700,180,229
1504102499,2017-08-30T14:14:59Z,RSD073,"55.552555,37.084522",1750,180,229
1504102477,2017-08-30T14:14:37Z,RSD073,"55.542221,37.059116",1950,180,229
1504102455,2017-08-30T14:14:15Z,RSD073,"55.527145,37.04673",2150,180,229
1504102434,2017-08-30T14:13:54Z,RSD073,"55.512009,37.03577",2325,180,114
1504102414,2017-08-30T14:13:34Z,RSD073,"55.498306,37.042652",2400,180,229
1504102394,2017-08-30T14:13:14Z,RSD073,"55.485241,37.05843",2400,180,229
1504102369,2017-08-30T14:12:49Z,RSD073,"55.468761,37.077656",2375,180,229
1504102349,2017-08-30T14:12:29Z,RSD073,"55.455048,37.094173",2400,180,229
1504102329,2017-08-30T14:12:09Z,RSD073,"55.440628,37.109959",2400,180,229
1504102309,2017-08-30T14:11:49Z,RSD073,"55.426865,37.127132",2375,180,229
1504102289,2017-08-30T14:11:29Z,RSD073,"55.420021,37.154598",2375,180,229
1504102266,2017-08-30T14:11:06Z,RSD073,"55.417969,37.192356",2400,180,229
1504102242,2017-08-30T14:10:42Z,RSD073,"55.413849,37.232182",2400,180,229
1504102236,2017-08-30T14:10:36Z,RSD073,"55.414536,37.241795",2400,180,229
1504102230,2017-08-30T14:10:30Z,RSD073,"55.416595,37.252781",2400,180,229
1504102224,2017-08-30T14:10:24Z,RSD073,"55.418655,37.262394",2400,180,229
1504102218,2017-08-30T14:10:18Z,RSD073,"55.420715,37.271278",2375,180,229
1504102212,2017-08-30T14:10:12Z,RSD073,"55.422768,37.280941",2400,180,229
1504102206,2017-08-30T14:10:06Z,RSD073,"55.424835,37.28986",2400,180,229
1504102200,2017-08-30T14:10:00Z,RSD073,"55.426865,37.298752",2400,180,229
1504102194,2017-08-30T14:09:54Z,RSD073,"55.431007,37.307655",2375,180,229
1504102188,2017-08-30T14:09:48Z,RSD073,"55.435822,37.314579",2375,180,229
1504102182,2017-08-30T14:09:42Z,RSD073,"55.441315,37.318699",2375,180,229
1504102176,2017-08-30T14:09:36Z,RSD073,"55.447487,37.321415",2400,180,229
1504102170,2017-08-30T14:09:30Z,RSD073,"55.453678,37.323475",2400,180,229
