Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1493812079,2017-05-03T11:47:59Z,RSD046,"55.605412,37.267166",0,10,270
1493812009,2017-05-03T11:46:49Z,RSD046,"55.605412,37.266479",0,11,225
1493811943,2017-05-03T11:45:43Z,RSD046,"55.606098,37.266479",0,12,202
1493811902,2017-05-03T11:45:02Z,RSD046,"55.606102,37.26717",0,12,244
1493811867,2017-05-03T11:44:27Z,RSD046,"55.606785,37.267853",0,12,258
1493810842,2017-05-03T11:27:22Z,RSD046,"55.585125,37.169342",5304,242,289
1493810788,2017-05-03T11:26:28Z,RSD046,"55.588131,37.209251",5629,242,289
1493810782,2017-05-03T11:26:22Z,RSD046,"55.585434,37.245773",6049,242,289
1493810770,2017-05-03T11:26:10Z,RSD046,"55.571548,37.288136",6750,242,289
1493810740,2017-05-03T11:25:40Z,RSD046,"55.563522,37.304684",7025,242,289
1493810727,2017-05-03T11:25:27Z,RSD046,"55.562153,37.311806",7115,231,294
1493810721,2017-05-03T11:25:21Z,RSD046,"55.558628,37.325741",7293,233,300
1493810715,2017-05-03T11:25:15Z,RSD046,"55.55798,37.331821",7375,233,300
1493810709,2017-05-03T11:25:09Z,RSD046,"55.553638,37.345444",7549,242,302
1493810700,2017-05-03T11:25:00Z,RSD046,"55.54982,37.35952",7725,258,321
1493810687,2017-05-03T11:24:47Z,RSD046,"55.538376,37.37529",8050,334,318
1493810673,2017-05-03T11:24:33Z,RSD046,"55.494019,37.388641",8750,431,279
1493810624,2017-05-03T11:23:44Z,RSD046,"55.365196,37.384777",10000,431,279
1493810532,2017-05-03T11:22:12Z,RSD046,"55.263126,37.383087",10925,431,279
1493810453,2017-05-03T11:20:53Z,RSD046,"55.244934,37.392845",11300,431,279
1493810433,2017-05-03T11:20:33Z,RSD046,"55.206112,37.367332",12000,114,356
1493810412,2017-05-03T11:20:12Z,RSD046,"55.194988,37.368912",12025,171,12
1493810397,2017-05-03T11:19:57Z,RSD046,"55.184601,37.365715",12025,148,18
1493810351,2017-05-03T11:19:11Z,RSD046,"55.125298,37.35701",12050,100,5
1493810337,2017-05-03T11:18:57Z,RSD046,"55.11882,37.355938",12050,531,4
1493810321,2017-05-03T11:18:41Z,RSD046,"55.091686,37.352684",11975,431,33
1493810234,2017-05-03T11:17:14Z,RSD046,"54.887089,37.39143",15025,431,279
1493810177,2017-05-03T11:16:17Z,RSD046,"54.855251,37.388916",15750,431,279
1493810156,2017-05-03T11:15:56Z,RSD046,"54.828701,37.38269",16350,431,279
1493810114,2017-05-03T11:15:14Z,RSD046,"54.782646,37.376907",17272,396,67
1493810017,2017-05-03T11:13:37Z,RSD046,"54.651123,37.222061",20457,396,91
1493809992,2017-05-03T11:13:12Z,RSD046,"54.647461,37.152092",20995,396,97
1493809936,2017-05-03T11:12:16Z,RSD046,"54.676193,36.970692",21025,396,109
1493809865,2017-05-03T11:11:05Z,RSD046,"54.715782,36.771519",21000,390,105
1493809810,2017-05-03T11:10:10Z,RSD046,"54.732723,36.594849",21400,398,90
1493809745,2017-05-03T11:09:05Z,RSD046,"54.734909,36.388325",23200,432,90
1493809681,2017-05-03T11:08:01Z,RSD046,"54.736038,36.176849",25098,432,90
1493809619,2017-05-03T11:06:59Z,RSD046,"54.736858,35.972389",26843,432,90
1493809556,2017-05-03T11:05:56Z,RSD046,"54.73785,35.742569",27000,432,90
1493809495,2017-05-03T11:04:55Z,RSD046,"54.738636,35.551346",26999,432,90
1493809434,2017-05-03T11:03:54Z,RSD046,"54.73856,35.33382",27000,432,88
1493809365,2017-05-03T11:02:45Z,RSD046,"54.731731,35.086262",27000,432,85
1493809301,2017-05-03T11:01:41Z,RSD046,"54.723301,34.879608",27000,432,85
1493809237,2017-05-03T11:00:37Z,RSD046,"54.712181,34.604977",27000,432,85
1493809176,2017-05-03T10:59:36Z,RSD046,"54.704361,34.436787",27000,432,85
1493809115,2017-05-03T10:58:35Z,RSD046,"54.694698,34.218742",27000,432,78
1493808677,2017-05-03T10:51:17Z,RSD046,"55.005795,32.58403",26975,458,42
1493808538,2017-05-03T10:48:58Z,RSD046,"55.148685,32.210403",27975,458,42
1493808425,2017-05-03T10:47:05Z,RSD046,"55.177349,32.083233",27975,458,42
1493808354,2017-05-03T10:45:54Z,RSD046,"55.134556,31.675463",27975,458,42
1493808321,2017-05-03T10:45:21Z,RSD046,"55.060226,31.571026",27999,458,42
1493808211,2017-05-03T10:43:31Z,RSD046,"55.006756,31.524952",28000,354,42
1493808175,2017-05-03T10:42:55Z,RSD046,"54.99379,31.510082",28000,348,42
1493808168,2017-05-03T10:42:48Z,RSD046,"54.988564,31.494993",27999,344,42
1493808096,2017-05-03T10:41:36Z,RSD046,"54.869537,31.435871",28000,375,24
1493808068,2017-05-03T10:41:08Z,RSD046,"54.818199,31.434458",27975,393,93
1493807967,2017-05-03T10:39:27Z,RSD046,"54.672813,31.515785",27975,318,321
1493807932,2017-05-03T10:38:52Z,RSD046,"54.634838,31.566723",27975,314,314
1493807863,2017-05-03T10:37:43Z,RSD046,"54.553551,31.722095",27975,312,314
1493807844,2017-05-03T10:37:24Z,RSD046,"54.549232,31.730227",27975,312,314
1493807820,2017-05-03T10:37:00Z,RSD046,"54.522701,31.80793",28000,312,302
1493807808,2017-05-03T10:36:48Z,RSD046,"54.517235,31.848938",27999,312,302
1493807792,2017-05-03T10:36:32Z,RSD046,"54.513416,31.859571",27975,312,285
1493807785,2017-05-03T10:36:25Z,RSD046,"54.503868,31.893002",27975,489,273
1493807757,2017-05-03T10:35:57Z,RSD046,"54.488678,31.966574",28000,555,223
1493807729,2017-05-03T10:35:29Z,RSD046,"54.48782,32.046684",27975,555,223
1493807643,2017-05-03T10:34:03Z,RSD046,"54.524281,32.324898",28000,555,223
1493807597,2017-05-03T10:33:17Z,RSD046,"54.56752,32.417912",27975,553,139
1493807535,2017-05-03T10:32:15Z,RSD046,"54.734375,32.623417",28000,338,139
1493807477,2017-05-03T10:31:17Z,RSD046,"54.830036,32.645981",27975,346,139
1493807421,2017-05-03T10:30:21Z,RSD046,"54.917416,32.60524",27975,553,139
1493807368,2017-05-03T10:29:28Z,RSD046,"54.946415,32.58672",27975,553,139
1493807342,2017-05-03T10:29:02Z,RSD046,"54.997368,32.538506",27975,553,139
1493807279,2017-05-03T10:27:59Z,RSD046,"55.099663,32.406307",27975,553,139
1493807221,2017-05-03T10:27:01Z,RSD046,"55.162498,32.221355",27974,489,107
1493807191,2017-05-03T10:26:31Z,RSD046,"55.176769,32.19202",27975,403,41
1493807112,2017-05-03T10:25:12Z,RSD046,"55.155941,31.807859",27975,403,41
1493807080,2017-05-03T10:24:40Z,RSD046,"55.117073,31.683075",27975,403,41
1493807029,2017-05-03T10:23:49Z,RSD046,"55.079144,31.615526",27975,362,41
1493806992,2017-05-03T10:23:12Z,RSD046,"55.076057,31.600492",27975,356,41
1493806944,2017-05-03T10:22:24Z,RSD046,"55.015659,31.540295",27975,403,41
1493806839,2017-05-03T10:20:39Z,RSD046,"54.825096,31.433779",27975,332,334
1493806772,2017-05-03T10:19:32Z,RSD046,"54.740379,31.474644",27975,318,334
1493806726,2017-05-03T10:18:46Z,RSD046,"54.679855,31.52072",27974,316,328
1493806717,2017-05-03T10:18:37Z,RSD046,"54.674175,31.524601",27975,316,328
1493806711,2017-05-03T10:18:31Z,RSD046,"54.663998,31.536106",27975,316,334
1493806705,2017-05-03T10:18:25Z,RSD046,"54.659149,31.539888",27975,316,332
1493806690,2017-05-03T10:18:10Z,RSD046,"54.642349,31.553423",27975,312,317
1493806678,2017-05-03T10:17:58Z,RSD046,"54.62933,31.578188",27975,312,317
1493806669,2017-05-03T10:17:49Z,RSD046,"54.616829,31.599918",27975,312,324
1493806663,2017-05-03T10:17:43Z,RSD046,"54.611393,31.606623",27975,312,324
1493806619,2017-05-03T10:16:59Z,RSD046,"54.561386,31.707315",27975,310,306
1493806610,2017-05-03T10:16:50Z,RSD046,"54.555157,31.726065",27974,310,306
1493806601,2017-05-03T10:16:41Z,RSD046,"54.551228,31.733517",27975,310,306
1493806589,2017-05-03T10:16:29Z,RSD046,"54.534958,31.787779",27974,310,291
1493806525,2017-05-03T10:15:25Z,RSD046,"54.514542,31.916153",27975,312,269
1493806081,2017-05-03T10:08:01Z,RSD046,"54.741615,33.434937",28000,342,238
