Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502738699,2017-08-14T19:24:59Z,RSD049,"45.019402,33.9953",0,10,194
1502738669,2017-08-14T19:24:29Z,RSD049,"45.020084,33.995312",0,16,177
1502738641,2017-08-14T19:24:01Z,RSD049,"45.020771,33.995312",0,14,101
1502738626,2017-08-14T19:23:46Z,RSD049,"45.020771,33.994625",0,16,98
1502738599,2017-08-14T19:23:19Z,RSD049,"45.020771,33.993938",0,14,101
1502738585,2017-08-14T19:23:05Z,RSD049,"45.020775,33.99324",0,18,101
1502738578,2017-08-14T19:22:58Z,RSD049,"45.020771,33.992565",0,17,101
1502738570,2017-08-14T19:22:50Z,RSD049,"45.021461,33.992554",0,12,101
1502738563,2017-08-14T19:22:43Z,RSD049,"45.020775,33.992554",0,9,101
1502738551,2017-08-14T19:22:31Z,RSD049,"45.021461,33.992554",0,10,101
1502738517,2017-08-14T19:21:57Z,RSD049,"45.021458,33.991879",0,14,101
1502738499,2017-08-14T19:21:39Z,RSD049,"45.021461,33.99118",0,19,101
1502738487,2017-08-14T19:21:27Z,RSD049,"45.021458,33.990505",0,23,101
1502738478,2017-08-14T19:21:18Z,RSD049,"45.021461,33.989807",0,22,104
1502738461,2017-08-14T19:21:01Z,RSD049,"45.021458,33.989132",0,16,171
1502738445,2017-08-14T19:20:45Z,RSD049,"45.022148,33.98912",0,27,188
1502738430,2017-08-14T19:20:30Z,RSD049,"45.022835,33.98912",0,26,188
1502738421,2017-08-14T19:20:21Z,RSD049,"45.023518,33.989132",0,25,188
1502738406,2017-08-14T19:20:06Z,RSD049,"45.024208,33.989807",0,31,188
1502738400,2017-08-14T19:20:00Z,RSD049,"45.024891,33.989819",0,33,188
1502738394,2017-08-14T19:19:54Z,RSD049,"45.025581,33.989807",0,32,188
1502738379,2017-08-14T19:19:39Z,RSD049,"45.026268,33.989807",0,32,188
1502738367,2017-08-14T19:19:27Z,RSD049,"45.026951,33.990505",0,31,188
1502738357,2017-08-14T19:19:17Z,RSD049,"45.027637,33.990505",0,30,188
1502738345,2017-08-14T19:19:05Z,RSD049,"45.028324,33.990505",0,25,188
1502738333,2017-08-14T19:18:53Z,RSD049,"45.029015,33.990494",0,20,177
1502738327,2017-08-14T19:18:47Z,RSD049,"45.029701,33.990494",0,19,160
1502738276,2017-08-14T19:17:56Z,RSD049,"45.031071,33.988445",0,26,115
1502738270,2017-08-14T19:17:50Z,RSD049,"45.031071,33.987759",0,26,104
1502738254,2017-08-14T19:17:34Z,RSD049,"45.031757,33.986385",0,15,104
1502738237,2017-08-14T19:17:17Z,RSD049,"45.031761,33.985001",0,18,104
1502738197,2017-08-14T19:16:37Z,RSD049,"45.032444,33.980892",0,33,104
1502738191,2017-08-14T19:16:31Z,RSD049,"45.032444,33.980206",0,15,101
1502738185,2017-08-14T19:16:25Z,RSD049,"45.032448,33.979507",0,17,104
1502738173,2017-08-14T19:16:13Z,RSD049,"45.033134,33.978821",0,15,104
1502738161,2017-08-14T19:16:01Z,RSD049,"45.033134,33.977448",0,31,104
1502738152,2017-08-14T19:15:52Z,RSD049,"45.033134,33.976761",0,33,104
1502738146,2017-08-14T19:15:46Z,RSD049,"45.033131,33.976086",0,34,104
1502738134,2017-08-14T19:15:34Z,RSD049,"45.033131,33.975399",0,30,104
1502738127,2017-08-14T19:15:27Z,RSD049,"45.033134,33.974701",0,32,104
1502738118,2017-08-14T19:15:18Z,RSD049,"45.033821,33.974014",0,32,104
1502738110,2017-08-14T19:15:10Z,RSD049,"45.033821,33.973328",0,25,104
1502738097,2017-08-14T19:14:57Z,RSD049,"45.033817,33.972652",0,23,104
1502738089,2017-08-14T19:14:49Z,RSD049,"45.033817,33.971966",0,28,104
1502738076,2017-08-14T19:14:36Z,RSD049,"45.033821,33.971268",0,25,106
1502738067,2017-08-14T19:14:27Z,RSD049,"45.033821,33.970581",0,24,129
1502738061,2017-08-14T19:14:21Z,RSD049,"45.034504,33.970592",0,19,154
1502738049,2017-08-14T19:14:09Z,RSD049,"45.034504,33.969906",0,19,163
1502738031,2017-08-14T19:13:51Z,RSD049,"45.035194,33.969894",0,20,163
1502738022,2017-08-14T19:13:42Z,RSD049,"45.035877,33.969219",0,17,163
1502738016,2017-08-14T19:13:36Z,RSD049,"45.035881,33.969894",0,15,163
1502738007,2017-08-14T19:13:27Z,RSD049,"45.035881,33.969208",0,11,163
1502737995,2017-08-14T19:13:15Z,RSD049,"45.036568,33.969208",0,25,163
1502737973,2017-08-14T19:12:53Z,RSD049,"45.037254,33.969208",0,28,194
1502737967,2017-08-14T19:12:47Z,RSD049,"45.037941,33.969208",0,31,194
1502737961,2017-08-14T19:12:41Z,RSD049,"45.038628,33.969208",0,17,194
1502737955,2017-08-14T19:12:35Z,RSD049,"45.038624,33.969906",0,23,194
1502737943,2017-08-14T19:12:23Z,RSD049,"45.040001,33.969894",0,26,194
1502737931,2017-08-14T19:12:11Z,RSD049,"45.04137,33.970592",0,24,194
1502737925,2017-08-14T19:12:05Z,RSD049,"45.042061,33.970581",0,26,194
1502737919,2017-08-14T19:11:59Z,RSD049,"45.04343,33.971279",0,31,194
1502737913,2017-08-14T19:11:53Z,RSD049,"45.044121,33.971268",0,33,194
1502737907,2017-08-14T19:11:47Z,RSD049,"45.045494,33.971954",0,44,194
1502737898,2017-08-14T19:11:38Z,RSD049,"45.046867,33.972641",0,46,194
1502737892,2017-08-14T19:11:32Z,RSD049,"45.048237,33.972652",0,48,194
1502737883,2017-08-14T19:11:23Z,RSD049,"45.050297,33.973339",0,50,191
1502737877,2017-08-14T19:11:17Z,RSD049,"45.05167,33.974026",0,70,194
1502737869,2017-08-14T19:11:09Z,RSD049,"45.055103,33.975399",0,94,194
1502737862,2017-08-14T19:11:02Z,RSD049,"45.05785,33.976086",0,110,194
1502737856,2017-08-14T19:10:56Z,RSD049,"45.061264,33.977432",625,125,193
1502737850,2017-08-14T19:10:50Z,RSD049,"45.064728,33.978817",625,129,193
1502737844,2017-08-14T19:10:44Z,RSD049,"45.068851,33.979507",725,128,192
1502737838,2017-08-14T19:10:38Z,RSD049,"45.071598,33.980915",775,125,193
1502737830,2017-08-14T19:10:30Z,RSD049,"45.077091,33.982925",875,123,193
1502737823,2017-08-14T19:10:23Z,RSD049,"45.08049,33.983662",950,122,193
1502737817,2017-08-14T19:10:17Z,RSD049,"45.083237,33.985001",1000,121,193
1502737809,2017-08-14T19:10:09Z,RSD049,"45.08873,33.986408",1100,120,192
1502737802,2017-08-14T19:10:02Z,RSD049,"45.091476,33.987747",1150,119,193
1502737796,2017-08-14T19:09:56Z,RSD049,"45.09494,33.98843",1225,119,193
1502737790,2017-08-14T19:09:50Z,RSD049,"45.098366,33.989822",1275,119,193
1502737784,2017-08-14T19:09:44Z,RSD049,"45.10181,33.991165",1350,120,192
1502737778,2017-08-14T19:09:38Z,RSD049,"45.105209,33.992569",1400,121,193
1502737772,2017-08-14T19:09:32Z,RSD049,"45.108654,33.99324",1475,122,193
