Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504688600,2017-09-06T09:03:20Z,TTF9003,"55.572712,37.166401",1600,144,76
1504688591,2017-09-06T09:03:11Z,TTF9003,"55.572342,37.162922",1700,144,76
1504688585,2017-09-06T09:03:05Z,TTF9003,"55.571167,37.153313",1800,147,76
1504688579,2017-09-06T09:02:59Z,TTF9003,"55.57053,37.148182",1900,146,73
1504688572,2017-09-06T09:02:52Z,TTF9003,"55.568447,37.134441",2000,150,78
1504688563,2017-09-06T09:02:43Z,TTF9003,"55.567333,37.124676",2063,151,78
1504688556,2017-09-06T09:02:36Z,TTF9003,"55.567093,37.120655",2057,153,78
1504688544,2017-09-06T09:02:24Z,TTF9003,"55.565121,37.104912",1999,156,78
1504688538,2017-09-06T09:02:18Z,TTF9003,"55.564186,37.09547",2046,154,74
1504688531,2017-09-06T09:02:11Z,TTF9003,"55.563301,37.090061",2077,150,69
1504688525,2017-09-06T09:02:05Z,TTF9003,"55.561668,37.080135",2100,150,62
1504688519,2017-09-06T09:01:59Z,TTF9003,"55.561028,37.075802",2099,150,62
1504688513,2017-09-06T09:01:53Z,TTF9003,"55.558632,37.066505",2083,150,56
1504688503,2017-09-06T09:01:43Z,TTF9003,"55.556156,37.058628",2100,150,44
1504688497,2017-09-06T09:01:37Z,TTF9003,"55.552433,37.051109",2200,150,34
1504688487,2017-09-06T09:01:27Z,TTF9003,"55.548019,37.045109",2199,151,27
1504688479,2017-09-06T09:01:19Z,TTF9003,"55.543583,37.040421",2300,152,21
1504688472,2017-09-06T09:01:12Z,TTF9003,"55.538326,37.036392",2400,154,15
1504688466,2017-09-06T09:01:06Z,TTF9003,"55.535919,37.034649",2500,158,6
1504688460,2017-09-06T09:01:00Z,TTF9003,"55.527168,37.031239",2700,158,6
1504688451,2017-09-06T09:00:51Z,TTF9003,"55.524235,37.030384",2800,158,6
1504688445,2017-09-06T09:00:45Z,TTF9003,"55.518196,37.02903",2800,158,3
1504688439,2017-09-06T09:00:39Z,TTF9003,"55.512707,37.028446",2800,158,4
1504688433,2017-09-06T09:00:33Z,TTF9003,"55.505871,37.02787",2800,158,4
1504688424,2017-09-06T09:00:24Z,TTF9003,"55.503384,37.027428",2800,158,4
1504688417,2017-09-06T09:00:17Z,TTF9003,"55.497753,37.026527",2800,157,4
1504688408,2017-09-06T09:00:08Z,TTF9003,"55.491722,37.025677",2800,155,4
1504688400,2017-09-06T09:00:00Z,TTF9003,"55.48682,37.024891",2800,159,2
1504688393,2017-09-06T08:59:53Z,TTF9003,"55.48032,37.024414",2800,165,3
1504688384,2017-09-06T08:59:44Z,TTF9003,"55.474934,37.023811",2736,176,3
1504688377,2017-09-06T08:59:37Z,TTF9003,"55.469086,37.023239",2700,187,6
1504688371,2017-09-06T08:59:31Z,TTF9003,"55.467117,37.022682",2700,212,7
1504688364,2017-09-06T08:59:24Z,TTF9003,"55.460609,37.021393",2700,247,4
1504688355,2017-09-06T08:59:15Z,TTF9003,"55.451488,37.019852",2699,247,4
1504688343,2017-09-06T08:59:03Z,TTF9003,"55.436462,37.019581",2700,247,4
1504688331,2017-09-06T08:58:51Z,TTF9003,"55.432789,37.018764",2700,247,4
1504688317,2017-09-06T08:58:37Z,TTF9003,"55.415161,37.016056",2700,283,4
1504688311,2017-09-06T08:58:31Z,TTF9003,"55.410641,37.015297",2700,299,7
1504688289,2017-09-06T08:58:09Z,TTF9003,"55.378613,37.012154",2700,301,344
1504688280,2017-09-06T08:58:00Z,TTF9003,"55.364265,37.015636",2600,301,344
1504688271,2017-09-06T08:57:51Z,TTF9003,"55.35236,37.020733",2600,295,338
1504688261,2017-09-06T08:57:41Z,TTF9003,"55.341595,37.027096",2700,272,326
1504688255,2017-09-06T08:57:35Z,TTF9003,"55.336807,37.029259",2700,272,326
1504688245,2017-09-06T08:57:25Z,TTF9003,"55.322678,37.04533",2800,252,304
1504688236,2017-09-06T08:57:16Z,TTF9003,"55.315529,37.057846",3000,248,290
1504688214,2017-09-06T08:56:54Z,TTF9003,"55.305744,37.101997",3808,241,254
1504688207,2017-09-06T08:56:47Z,TTF9003,"55.306385,37.110981",3938,241,254
1504688201,2017-09-06T08:56:41Z,TTF9003,"55.308144,37.125576",4200,243,240
1504688195,2017-09-06T08:56:35Z,TTF9003,"55.31036,37.133877",4300,246,231
1504688189,2017-09-06T08:56:29Z,TTF9003,"55.315067,37.147087",4660,250,225
1504688176,2017-09-06T08:56:16Z,TTF9003,"55.323875,37.164486",5000,250,222
1504688164,2017-09-06T08:56:04Z,TTF9003,"55.333767,37.18045",5300,250,222
1504688152,2017-09-06T08:55:52Z,TTF9003,"55.344398,37.197273",5600,250,222
1504688136,2017-09-06T08:55:36Z,TTF9003,"55.357746,37.218609",6090,250,222
1504688125,2017-09-06T08:55:25Z,TTF9003,"55.365185,37.230526",6300,250,222
1504688114,2017-09-06T08:55:14Z,TTF9003,"55.375278,37.246658",6600,250,222
1504688101,2017-09-06T08:55:01Z,TTF9003,"55.389439,37.269341",6897,250,222
1504688088,2017-09-06T08:54:48Z,TTF9003,"55.39954,37.285416",7054,250,221
1504688076,2017-09-06T08:54:36Z,TTF9003,"55.409737,37.30127",7269,250,220
1504688061,2017-09-06T08:54:21Z,TTF9003,"55.423756,37.322422",7530,250,219
1504688048,2017-09-06T08:54:08Z,TTF9003,"55.434357,37.337944",7757,250,219
1504688035,2017-09-06T08:53:55Z,TTF9003,"55.445797,37.354736",7999,250,218
1504688023,2017-09-06T08:53:43Z,TTF9003,"55.456295,37.369011",8200,250,218
1504688011,2017-09-06T08:53:31Z,TTF9003,"55.467533,37.384514",8422,251,219
1504687995,2017-09-06T08:53:15Z,TTF9003,"55.482475,37.405426",8700,256,221
1504687989,2017-09-06T08:53:09Z,TTF9003,"55.489418,37.415268",8819,260,223
1504687982,2017-09-06T08:53:02Z,TTF9003,"55.493362,37.421314",8899,260,223
1504687976,2017-09-06T08:52:56Z,TTF9003,"55.500156,37.431995",8999,260,227
1504687967,2017-09-06T08:52:47Z,TTF9003,"55.50695,37.444248",9099,261,231
1504687955,2017-09-06T08:52:35Z,TTF9003,"55.516048,37.463562",9300,264,237
1504687943,2017-09-06T08:52:23Z,TTF9003,"55.524155,37.484192",9451,268,240
1504687931,2017-09-06T08:52:11Z,TTF9003,"55.531536,37.50703",9599,268,242
1504687919,2017-09-06T08:51:59Z,TTF9003,"55.53899,37.530849",9800,268,242
