Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505485107,2017-09-15T14:18:27Z,RFF8056,"35.272778,35.733364",15100,328,313
1505485079,2017-09-15T14:17:59Z,RFF8056,"35.294472,35.815262",15699,328,313
1505485049,2017-09-15T14:17:29Z,RFF8056,"35.263287,35.936993",17000,328,313
1505484975,2017-09-15T14:16:15Z,RFF8056,"35.17849,36.090237",18300,328,313
1505484893,2017-09-15T14:14:53Z,RFF8056,"35.058979,36.2817",20900,328,313
1505484773,2017-09-15T14:12:53Z,RFF8056,"35.040871,36.334618",21400,328,313
1505484667,2017-09-15T14:11:07Z,RFF8056,"34.936523,36.340267",23300,327,313
1505484617,2017-09-15T14:10:17Z,RFF8056,"34.875076,36.419586",24700,349,312
1505484588,2017-09-15T14:09:48Z,RFF8056,"34.844162,36.460686",25200,349,312
1505484521,2017-09-15T14:08:41Z,RFF8056,"34.761265,36.569221",26900,350,313
1505484435,2017-09-15T14:07:15Z,RFF8056,"34.597042,36.778728",29900,377,315
1505484345,2017-09-15T14:05:45Z,RFF8056,"34.527966,36.865593",29999,382,315
1505484297,2017-09-15T14:04:57Z,RFF8056,"34.427307,36.993992",30000,382,315
1505484213,2017-09-15T14:03:33Z,RFF8056,"34.417908,37.005707",29999,382,315
1505484183,2017-09-15T14:03:03Z,RFF8056,"34.358471,37.07959",29900,380,314
1505484106,2017-09-15T14:01:46Z,RFF8056,"34.257923,37.213028",29900,0,309
