Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505706832,2017-09-18T03:53:52Z,RFF8057,"34.31913,37.123764",29000,462,130
1505706796,2017-09-18T03:53:16Z,RFF8057,"34.394291,37.019424",29100,424,132
1505706695,2017-09-18T03:51:35Z,RFF8057,"34.516125,36.878551",29000,424,132
1505706642,2017-09-18T03:50:42Z,RFF8057,"34.617054,36.754745",28600,400,135
1505706606,2017-09-18T03:50:06Z,RFF8057,"34.627155,36.742096",28500,394,141
1505706553,2017-09-18T03:49:13Z,RFF8057,"34.701931,36.660313",27900,417,142
1505706541,2017-09-18T03:49:01Z,RFF8057,"34.712479,36.652813",27788,476,124
1505706532,2017-09-18T03:48:52Z,RFF8057,"34.723557,36.628334",27700,367,142
1505706467,2017-09-18T03:47:47Z,RFF8057,"34.865627,36.452248",26500,470,135
1505706413,2017-09-18T03:46:53Z,RFF8057,"34.897343,36.276943",26200,470,135
1505706400,2017-09-18T03:46:40Z,RFF8057,"34.907471,36.24469",26099,470,135
1505706334,2017-09-18T03:45:34Z,RFF8057,"35.006042,36.251331",25100,491,138
1505706267,2017-09-18T03:44:27Z,RFF8057,"35.104603,36.16629",24400,406,160
1505706176,2017-09-18T03:42:56Z,RFF8057,"35.237923,36.043324",23300,417,136
1505706119,2017-09-18T03:41:59Z,RFF8057,"35.231632,35.872265",22000,476,257
1505706089,2017-09-18T03:41:29Z,RFF8057,"35.178757,35.848537",21000,476,257
1505706040,2017-09-18T03:40:40Z,RFF8057,"35.164467,35.86747",20799,414,89
1505706028,2017-09-18T03:40:28Z,RFF8057,"35.126328,35.849049",20500,414,89
1505706001,2017-09-18T03:40:01Z,RFF8057,"35.103786,35.863708",20199,370,262
1505705995,2017-09-18T03:39:55Z,RFF8057,"35.104965,35.879173",19900,370,262
1505705977,2017-09-18T03:39:37Z,RFF8057,"35.105869,35.888741",19800,0,233
1505705952,2017-09-18T03:39:12Z,RFF8057,"35.1348,35.934471",18989,0,164
1505705922,2017-09-18T03:38:42Z,RFF8057,"35.206329,35.909634",18100,0,112
1505705863,2017-09-18T03:37:43Z,RFF8057,"35.243248,35.803143",16300,0,65
1505705785,2017-09-18T03:36:25Z,RFF8057,"35.226654,35.757557",15900,0,287
1505705737,2017-09-18T03:35:37Z,RFF8057,"35.15871,35.860344",14200,0,263
1505705699,2017-09-18T03:34:59Z,RFF8057,"35.165611,35.928173",14200,0,59
