Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506282333,2017-09-24T19:45:33Z,RFF8628,"43.947887,44.123543",25100,389,91
1506281757,2017-09-24T19:35:57Z,RFF8628,"43.948849,43.825401",25100,389,91
1506281665,2017-09-24T19:34:25Z,RFF8628,"43.949116,43.72443",25100,389,91
1506281623,2017-09-24T19:33:43Z,RFF8628,"43.949654,43.549755",25100,389,91
1506281557,2017-09-24T19:32:37Z,RFF8628,"43.95034,43.507366",25100,389,91
1506281482,2017-09-24T19:31:22Z,RFF8628,"43.951118,43.349556",25100,408,89
1506281401,2017-09-24T19:30:01Z,RFF8628,"43.953362,43.138863",25100,408,90
1506281337,2017-09-24T19:28:57Z,RFF8628,"43.952576,42.967575",25100,398,89
1506281263,2017-09-24T19:27:43Z,RFF8628,"43.952553,42.781643",25100,398,89
1506281202,2017-09-24T19:26:42Z,RFF8628,"43.949883,42.628792",25100,398,87
1506281140,2017-09-24T19:25:40Z,RFF8628,"43.94492,42.477638",25100,392,86
1506281079,2017-09-24T19:24:39Z,RFF8628,"43.939342,42.326061",25100,388,86
1506281016,2017-09-24T19:23:36Z,RFF8628,"43.933193,42.155693",25055,390,86
1506280949,2017-09-24T19:22:29Z,RFF8628,"43.928493,41.995911",25029,403,88
1506280884,2017-09-24T19:21:24Z,RFF8628,"43.928608,41.826931",25000,416,65
1506280844,2017-09-24T19:20:44Z,RFF8628,"43.916607,41.71244",25100,426,86
1506280781,2017-09-24T19:19:41Z,RFF8628,"43.909599,41.547825",25127,415,86
1506280717,2017-09-24T19:18:37Z,RFF8628,"43.902737,41.380547",25184,378,87
1506280627,2017-09-24T19:17:07Z,RFF8628,"43.890087,41.064133",23544,378,87
1506280591,2017-09-24T19:16:31Z,RFF8628,"43.890484,41.053036",23500,378,87
1506280529,2017-09-24T19:15:29Z,RFF8628,"43.882275,40.887051",22964,378,87
1506280467,2017-09-24T19:14:27Z,RFF8628,"43.873993,40.741379",22249,374,82
1506280381,2017-09-24T19:13:01Z,RFF8628,"43.853447,40.551323",21100,368,79
1506280296,2017-09-24T19:11:36Z,RFF8628,"43.83009,40.347668",19800,367,79
1506280262,2017-09-24T19:11:02Z,RFF8628,"43.820469,40.273632",19300,358,79
1506280194,2017-09-24T19:09:54Z,RFF8628,"43.799831,40.118927",18400,351,79
1506280144,2017-09-24T19:09:04Z,RFF8628,"43.793949,40.011074",17700,359,93
1506280109,2017-09-24T19:08:29Z,RFF8628,"43.798656,39.928589",17199,393,94
1506280078,2017-09-24T19:07:58Z,RFF8628,"43.80381,39.849201",16600,436,96
1506280046,2017-09-24T19:07:26Z,RFF8628,"43.809418,39.751312",16000,463,93
1506280036,2017-09-24T19:07:16Z,RFF8628,"43.80954,39.738491",15900,463,93
1506280024,2017-09-24T19:07:04Z,RFF8628,"43.808765,39.69659",15519,405,78
1506280008,2017-09-24T19:06:48Z,RFF8628,"43.806683,39.660892",15500,376,63
1506280002,2017-09-24T19:06:42Z,RFF8628,"43.801929,39.646946",15500,408,63
1506279993,2017-09-24T19:06:33Z,RFF8628,"43.795929,39.62714",15300,414,53
1506279977,2017-09-24T19:06:17Z,RFF8628,"43.776863,39.59322",15000,414,37
1506279968,2017-09-24T19:06:08Z,RFF8628,"43.76424,39.580185",14917,390,40
1506279948,2017-09-24T19:05:48Z,RFF8628,"43.730881,39.570065",14700,397,343
1506279942,2017-09-24T19:05:42Z,RFF8628,"43.715843,39.572884",14500,389,330
1506279931,2017-09-24T19:05:31Z,RFF8628,"43.702099,39.579559",14400,383,318
1506279925,2017-09-24T19:05:25Z,RFF8628,"43.689579,39.590263",14385,385,306
1506279916,2017-09-24T19:05:16Z,RFF8628,"43.679234,39.604385",14200,383,294
1506279910,2017-09-24T19:05:10Z,RFF8628,"43.671116,39.620415",14199,392,284
1506279888,2017-09-24T19:04:48Z,RFF8628,"43.662045,39.668053",13899,388,263
1506279882,2017-09-24T19:04:42Z,RFF8628,"43.662464,39.688351",13699,374,247
1506279872,2017-09-24T19:04:32Z,RFF8628,"43.665375,39.71011",13600,350,208
1506279841,2017-09-24T19:04:01Z,RFF8628,"43.698692,39.749271",13154,371,204
1506279819,2017-09-24T19:03:39Z,RFF8628,"43.737133,39.767075",12700,301,155
1506279780,2017-09-24T19:03:00Z,RFF8628,"43.771568,39.723358",12100,299,114
1506279752,2017-09-24T19:02:32Z,RFF8628,"43.781105,39.674858",11600,312,83
1506279740,2017-09-24T19:02:20Z,RFF8628,"43.77969,39.64959",11339,320,84
1506279728,2017-09-24T19:02:08Z,RFF8628,"43.777981,39.626122",11000,310,82
