Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506368734,2017-09-25T19:45:34Z,RFF8628,"36.862938,51.636066",31000,420,116
1506368597,2017-09-25T19:43:17Z,RFF8628,"36.696743,51.349339",31100,420,116
1506368423,2017-09-25T19:40:23Z,RFF8628,"36.756435,51.142582",31100,420,116
1506368330,2017-09-25T19:38:50Z,RFF8628,"36.852421,50.844307",31100,420,116
1506368197,2017-09-25T19:36:37Z,RFF8628,"36.995514,50.459309",31100,420,116
1506368020,2017-09-25T19:33:40Z,RFF8628,"37.024265,50.380234",31100,420,116
1506367985,2017-09-25T19:33:05Z,RFF8628,"37.038399,50.340336",31100,420,116
1506367967,2017-09-25T19:32:47Z,RFF8628,"37.052147,50.305698",31000,420,116
1506367898,2017-09-25T19:31:38Z,RFF8628,"37.103825,50.175793",31100,420,116
1506367811,2017-09-25T19:30:11Z,RFF8628,"37.182251,49.977036",31100,420,116
1506367772,2017-09-25T19:29:32Z,RFF8628,"37.21011,49.906631",31100,420,116
1506367710,2017-09-25T19:28:30Z,RFF8628,"37.281677,49.722382",31100,428,114
1506367611,2017-09-25T19:26:51Z,RFF8628,"37.34454,49.551796",31000,440,109
1506367551,2017-09-25T19:25:51Z,RFF8628,"37.406597,49.379627",31100,434,111
1506367473,2017-09-25T19:24:33Z,RFF8628,"37.471096,49.213558",31099,434,111
1506367404,2017-09-25T19:23:24Z,RFF8628,"37.522041,49.069733",31100,431,112
1506367331,2017-09-25T19:22:11Z,RFF8628,"37.625397,48.796944",31100,432,114
1506367212,2017-09-25T19:20:12Z,RFF8628,"37.743397,48.471603",31100,440,111
1506367124,2017-09-25T19:18:44Z,RFF8628,"37.752213,48.447681",31100,440,111
1506367031,2017-09-25T19:17:11Z,RFF8628,"37.843468,48.190174",31000,450,113
1506367000,2017-09-25T19:16:40Z,RFF8628,"37.880478,48.078556",31100,450,113
1506366954,2017-09-25T19:15:54Z,RFF8628,"37.883953,48.068638",31100,450,113
1506366879,2017-09-25T19:14:39Z,RFF8628,"37.94239,47.902504",31099,450,113
1506366841,2017-09-25T19:14:01Z,RFF8628,"37.981152,47.793056",31000,450,113
1506365618,2017-09-25T18:53:38Z,RFF8628,"39.678555,45.795074",27100,0,114
