Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499014230,2017-07-02T16:50:30Z,RA82013,"53.799576,89.075623",20300,222,97
1499014138,2017-07-02T16:48:58Z,RA82013,"53.800182,89.035316",20800,222,97
1499014120,2017-07-02T16:48:40Z,RA82013,"53.80151,88.988914",21200,222,97
1499014096,2017-07-02T16:48:16Z,RA82013,"53.80228,88.972725",21700,204,109
1499013990,2017-07-02T16:46:30Z,RA82013,"53.8186,88.665138",23000,248,106
1499013930,2017-07-02T16:45:30Z,RA82013,"53.820469,88.594749",23000,248,106
1499013902,2017-07-02T16:45:02Z,RA82013,"53.81543,88.460945",23000,248,106
1499013845,2017-07-02T16:44:05Z,RA82013,"53.812061,88.253159",23000,370,90
1499013755,2017-07-02T16:42:35Z,RA82013,"53.814663,87.872772",23000,398,87
1499013694,2017-07-02T16:41:34Z,RA82013,"53.813923,87.846863",23000,364,88
1499013644,2017-07-02T16:40:44Z,RA82013,"53.811462,87.705521",23000,364,88
1499013586,2017-07-02T16:39:46Z,RA82013,"53.807861,87.544006",23000,382,87
1499013494,2017-07-02T16:38:14Z,RA82013,"53.802082,87.241859",23000,382,87
1499013466,2017-07-02T16:37:46Z,RA82013,"53.801231,87.146904",23000,382,87
1499013444,2017-07-02T16:37:24Z,RA82013,"53.801105,87.120026",23000,370,83
1499013416,2017-07-02T16:36:56Z,RA82013,"53.78825,87.049194",23000,360,115
1499013385,2017-07-02T16:36:25Z,RA82013,"53.804947,86.905869",22900,360,115
1499013354,2017-07-02T16:35:54Z,RA82013,"53.807117,86.893608",22900,360,115
1499013268,2017-07-02T16:34:28Z,RA82013,"53.877998,86.64756",23000,364,116
1499013225,2017-07-02T16:33:45Z,RA82013,"53.903316,86.562881",23000,360,116
1499013160,2017-07-02T16:32:40Z,RA82013,"53.992081,86.273445",23000,346,109
1499013083,2017-07-02T16:31:23Z,RA82013,"54.091949,85.937057",23000,346,109
1499012973,2017-07-02T16:29:33Z,RA82013,"54.151917,85.716362",23000,346,109
1499012890,2017-07-02T16:28:10Z,RA82013,"54.214226,85.449814",23000,346,109
1499012348,2017-07-02T16:19:08Z,RA82013,"54.581429,83.920265",16099,0,126
1499012235,2017-07-02T16:17:15Z,RA82013,"54.716217,83.608437",13200,0,125
1499012096,2017-07-02T16:14:56Z,RA82013,"54.76902,83.478958",12300,0,127
1499012033,2017-07-02T16:13:53Z,RA82013,"54.788456,83.435081",11700,0,117
1499012016,2017-07-02T16:13:36Z,RA82013,"54.796505,83.408539",11400,0,127
1499012004,2017-07-02T16:13:24Z,RA82013,"54.808987,83.380623",11000,0,129
1499011989,2017-07-02T16:13:09Z,RA82013,"54.825623,83.345314",10400,0,135
1499011967,2017-07-02T16:12:47Z,RA82013,"54.877239,83.230347",8700,0,137
