Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500179536,2017-07-16T04:32:16Z,RFF8069,"44.989239,37.752529",10500,362,307
1500179458,2017-07-16T04:30:58Z,RFF8069,"44.911629,37.680737",11600,362,307
1500179389,2017-07-16T04:29:49Z,RFF8069,"44.874466,37.710133",12500,362,307
1500179315,2017-07-16T04:28:35Z,RFF8069,"44.848595,37.742805",13000,318,217
1500179288,2017-07-16T04:28:08Z,RFF8069,"44.86404,37.840004",14000,318,217
1500179231,2017-07-16T04:27:11Z,RFF8069,"44.879307,37.86002",14300,318,217
1500179216,2017-07-16T04:26:56Z,RFF8069,"44.888794,37.871601",14400,337,206
1500179201,2017-07-16T04:26:41Z,RFF8069,"44.911011,37.894562",14800,322,211
1500179186,2017-07-16T04:26:26Z,RFF8069,"44.923809,37.903461",14899,298,223
1500179180,2017-07-16T04:26:20Z,RFF8069,"44.935062,37.918312",15099,298,223
1500179159,2017-07-16T04:25:59Z,RFF8069,"44.952904,37.939716",15300,291,235
1500179150,2017-07-16T04:25:50Z,RFF8069,"44.971287,37.959938",15563,291,235
1500179128,2017-07-16T04:25:28Z,RFF8069,"44.984722,38.006676",16100,286,257
1500179089,2017-07-16T04:24:49Z,RFF8069,"44.991535,38.048569",16400,293,277
1500179080,2017-07-16T04:24:40Z,RFF8069,"44.991009,38.066578",16600,295,291
1500179049,2017-07-16T04:24:09Z,RFF8069,"44.977489,38.123596",17200,296,294
1500178985,2017-07-16T04:23:05Z,RFF8069,"44.942871,38.240131",18100,296,293
1500178921,2017-07-16T04:22:01Z,RFF8069,"44.909168,38.354382",19500,307,293
1500178857,2017-07-16T04:20:57Z,RFF8069,"44.874153,38.473339",20218,312,293
1500178793,2017-07-16T04:19:53Z,RFF8069,"44.837708,38.593128",21300,313,294
1500178727,2017-07-16T04:18:47Z,RFF8069,"44.799911,38.714539",22200,320,293
1500178665,2017-07-16T04:17:45Z,RFF8069,"44.766766,38.842335",23152,328,289
1500178603,2017-07-16T04:16:43Z,RFF8069,"44.739376,38.962589",23979,328,288
1500178540,2017-07-16T04:15:40Z,RFF8069,"44.708878,39.092148",25000,328,289
1500178475,2017-07-16T04:14:35Z,RFF8069,"44.677345,39.224934",26099,320,287
1500178412,2017-07-16T04:13:32Z,RFF8069,"44.647526,39.353539",27270,333,289
1500178349,2017-07-16T04:12:29Z,RFF8069,"44.615536,39.487312",27900,331,288
1500178288,2017-07-16T04:11:28Z,RFF8069,"44.585934,39.609329",27900,324,282
1500178222,2017-07-16T04:10:22Z,RFF8069,"44.555119,39.741879",27899,338,289
1500178161,2017-07-16T04:09:21Z,RFF8069,"44.522728,39.876232",28000,340,288
1500178096,2017-07-16T04:08:16Z,RFF8069,"44.489014,40.016159",28000,346,288
1500178031,2017-07-16T04:07:11Z,RFF8069,"44.454308,40.161842",27999,338,289
1500177967,2017-07-16T04:06:07Z,RFF8069,"44.424622,40.27589",27999,337,290
1500177904,2017-07-16T04:05:04Z,RFF8069,"44.3923,40.406078",28000,330,289
1500177841,2017-07-16T04:04:01Z,RFF8069,"44.359695,40.536148",27900,330,289
1500177778,2017-07-16T04:02:58Z,RFF8069,"44.328056,40.663948",27900,331,289
1500177712,2017-07-16T04:01:52Z,RFF8069,"44.290745,40.811016",28000,332,289
1500177642,2017-07-16T04:00:42Z,RFF8069,"44.259819,40.934418",27999,338,290
1500177575,2017-07-16T03:59:35Z,RFF8069,"44.225281,41.071743",28000,337,290
1500177509,2017-07-16T03:58:29Z,RFF8069,"44.188404,41.211227",28000,331,291
1500177443,2017-07-16T03:57:23Z,RFF8069,"44.154694,41.336777",28000,326,292
1500177430,2017-07-16T03:57:10Z,RFF8069,"44.143593,41.376625",27900,330,291
1500177366,2017-07-16T03:56:06Z,RFF8069,"44.117725,41.498806",28000,330,281
1500177305,2017-07-16T03:55:05Z,RFF8069,"44.095684,41.658325",28000,332,279
1500177232,2017-07-16T03:53:52Z,RFF8069,"44.077755,41.798737",28000,340,282
1500177169,2017-07-16T03:52:49Z,RFF8069,"44.05933,41.910465",28000,330,282
1500177106,2017-07-16T03:51:46Z,RFF8069,"44.040192,42.03577",27999,331,283
1500177043,2017-07-16T03:50:43Z,RFF8069,"44.015724,42.203274",28000,327,282
1500176967,2017-07-16T03:49:27Z,RFF8069,"43.99707,42.324894",28000,320,283
1500176904,2017-07-16T03:48:24Z,RFF8069,"43.97438,42.45578",28000,342,287
1500176843,2017-07-16T03:47:23Z,RFF8069,"43.953178,42.589912",28099,332,274
1500176778,2017-07-16T03:46:18Z,RFF8069,"43.951351,42.732891",27999,331,270
1500176688,2017-07-16T03:44:48Z,RFF8069,"43.951885,42.941864",27999,330,269
1500176671,2017-07-16T03:44:31Z,RFF8069,"43.951904,42.948864",28000,330,269
1500176606,2017-07-16T03:43:26Z,RFF8069,"43.951271,43.101604",28000,334,274
1500176517,2017-07-16T03:41:57Z,RFF8069,"43.952023,43.284332",28000,318,269
1500176468,2017-07-16T03:41:08Z,RFF8069,"43.952805,43.388237",28000,310,269
1500176404,2017-07-16T03:40:04Z,RFF8069,"43.952789,43.541275",28000,0,274
1500175310,2017-07-16T03:21:50Z,RFF8069,"43.899384,46.095356",28000,338,277
1500175199,2017-07-16T03:19:59Z,RFF8069,"43.897331,46.12006",27900,338,277
1500175145,2017-07-16T03:19:05Z,RFF8069,"43.875439,46.375351",28000,330,277
1500175074,2017-07-16T03:17:54Z,RFF8069,"43.866318,46.469532",28000,330,277
1500175029,2017-07-16T03:17:09Z,RFF8069,"43.863796,46.501221",28000,330,277
1500174973,2017-07-16T03:16:13Z,RFF8069,"43.855659,46.594624",28000,328,278
1500174967,2017-07-16T03:16:07Z,RFF8069,"43.855137,46.603123",28000,328,278
1500174956,2017-07-16T03:15:56Z,RFF8069,"43.850143,46.637936",28000,332,278
1500174944,2017-07-16T03:15:44Z,RFF8069,"43.844837,46.671642",28000,332,292
1500174885,2017-07-16T03:14:45Z,RFF8069,"43.803612,46.771877",28000,338,304
1500174794,2017-07-16T03:13:14Z,RFF8069,"43.720001,46.94376",27900,338,304
1500174714,2017-07-16T03:11:54Z,RFF8069,"43.654514,47.078697",28000,338,304
1500174685,2017-07-16T03:11:25Z,RFF8069,"43.629868,47.129475",28000,338,304
1500174623,2017-07-16T03:10:23Z,RFF8069,"43.577129,47.237587",28000,338,305
1500174562,2017-07-16T03:09:22Z,RFF8069,"43.49612,47.40176",28000,338,305
1500174487,2017-07-16T03:08:07Z,RFF8069,"43.379425,47.636578",28000,338,305
1500174393,2017-07-16T03:06:33Z,RFF8069,"43.373066,47.649418",28000,338,305
1500174383,2017-07-16T03:06:23Z,RFF8069,"43.358803,47.677696",28000,338,305
1500174313,2017-07-16T03:05:13Z,RFF8069,"43.30452,47.785904",28000,330,305
1500174252,2017-07-16T03:04:12Z,RFF8069,"43.249901,47.89465",28000,330,305
1500174186,2017-07-16T03:03:06Z,RFF8069,"43.177399,48.039139",28000,330,305
1500174099,2017-07-16T03:01:39Z,RFF8069,"43.117046,48.158234",28000,330,305
1500174056,2017-07-16T03:00:56Z,RFF8069,"43.078331,48.234802",28000,326,305
1500173993,2017-07-16T02:59:53Z,RFF8069,"43.020233,48.34758",27900,330,305
1500173932,2017-07-16T02:58:52Z,RFF8069,"42.960022,48.465195",28000,330,304
1500173867,2017-07-16T02:57:47Z,RFF8069,"42.917732,48.54763",27999,331,304
1500173806,2017-07-16T02:56:46Z,RFF8069,"42.86055,48.659542",28000,337,304
1500173715,2017-07-16T02:55:15Z,RFF8069,"42.708633,48.953377",28000,344,252
1500173630,2017-07-16T02:53:50Z,RFF8069,"42.661129,49.044022",28000,344,252
1500173564,2017-07-16T02:52:44Z,RFF8069,"42.623081,49.116051",27900,344,252
1500173534,2017-07-16T02:52:14Z,RFF8069,"42.587589,49.183563",28000,344,252
1500173436,2017-07-16T02:50:36Z,RFF8069,"42.442211,49.46072",28000,348,88
1500172399,2017-07-16T02:33:19Z,RFF8069,"41.491116,51.0765",28000,348,88
1500172292,2017-07-16T02:31:32Z,RFF8069,"41.422028,51.074295",27999,348,88
1500172247,2017-07-16T02:30:47Z,RFF8069,"41.376476,51.072437",28000,348,88
1500172218,2017-07-16T02:30:18Z,RFF8069,"41.327362,51.068043",28000,348,88
1500172187,2017-07-16T02:29:47Z,RFF8069,"41.220821,51.060543",27900,348,88
1500172119,2017-07-16T02:28:39Z,RFF8069,"41.081173,51.048439",28000,348,88
1500172034,2017-07-16T02:27:14Z,RFF8069,"40.960194,51.048683",27899,348,88
1500171857,2017-07-16T02:24:17Z,RFF8069,"40.588314,51.045357",28000,355,68
1500171705,2017-07-16T02:21:45Z,RFF8069,"40.481449,51.048183",28000,352,22
1500170953,2017-07-16T02:09:13Z,RFF8069,"39.152195,51.034458",27900,352,2
1500170849,2017-07-16T02:07:29Z,RFF8069,"39.075489,51.034004",28000,352,184
1500170791,2017-07-16T02:06:31Z,RFF8069,"39.021751,51.033707",28000,354,1
1500170728,2017-07-16T02:05:28Z,RFF8069,"38.904335,51.032433",27900,351,1
1500170628,2017-07-16T02:03:48Z,RFF8069,"38.780334,51.030952",28000,351,1
1500170598,2017-07-16T02:03:18Z,RFF8069,"38.714092,51.029999",27900,351,1
