Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505839297,2017-09-19T16:41:37Z,RFF8069,"43.948734,45.786682",28000,376,269
1505838884,2017-09-19T16:34:44Z,RFF8069,"43.896671,46.335175",30000,376,269
1505838125,2017-09-19T16:22:05Z,RFF8069,"43.412281,47.567295",30000,368,304
1505838032,2017-09-19T16:20:32Z,RFF8069,"43.385983,47.620434",30000,368,304
1505837953,2017-09-19T16:19:13Z,RFF8069,"43.328983,47.735821",29999,368,304
1505837892,2017-09-19T16:18:12Z,RFF8069,"43.260227,47.874039",30000,368,305
1505837831,2017-09-19T16:17:11Z,RFF8069,"43.214478,47.965244",30000,368,305
1505837744,2017-09-19T16:15:44Z,RFF8069,"43.124886,48.142578",30000,368,305
1505837676,2017-09-19T16:14:36Z,RFF8069,"43.050495,48.288864",30000,368,305
1505837651,2017-09-19T16:14:11Z,RFF8069,"43.032234,48.324718",29999,368,305
1505837557,2017-09-19T16:12:37Z,RFF8069,"42.947014,48.491665",30000,367,305
1505837513,2017-09-19T16:11:53Z,RFF8069,"42.900513,48.582439",30000,366,305
1505837444,2017-09-19T16:10:44Z,RFF8069,"42.807388,48.762478",29999,365,305
1505837381,2017-09-19T16:09:41Z,RFF8069,"42.690968,48.979301",30000,370,233
1505837291,2017-09-19T16:08:11Z,RFF8069,"42.632145,49.090073",30000,370,233
1505836839,2017-09-19T16:00:39Z,RFF8069,"42.117634,50.17857",30000,371,18
1505835987,2017-09-19T15:46:27Z,RFF8069,"41.160511,51.0541",30000,371,18
1505835921,2017-09-19T15:45:21Z,RFF8069,"41.144447,51.054279",30000,373,72
1505835895,2017-09-19T15:44:55Z,RFF8069,"41.084888,51.05434",30000,373,72
1505835827,2017-09-19T15:43:47Z,RFF8069,"40.894917,51.056355",30000,375,288
1505835734,2017-09-19T15:42:14Z,RFF8069,"40.724937,51.060024",30000,373,84
1505835667,2017-09-19T15:41:07Z,RFF8069,"40.665379,51.054382",30000,373,84
