Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505933112,2017-09-20T18:45:12Z,RA82013,"44.147984,43.53616",21000,317,134
1505932909,2017-09-20T18:41:49Z,RA82013,"44.145679,43.527405",21000,317,134
1505932877,2017-09-20T18:41:17Z,RA82013,"44.158787,43.378284",21000,317,134
1505932836,2017-09-20T18:40:36Z,RA82013,"44.179493,43.264179",21000,317,134
1505932780,2017-09-20T18:39:40Z,RA82013,"44.175865,43.250443",21000,317,134
1505932736,2017-09-20T18:38:56Z,RA82013,"44.200451,43.131683",21000,317,134
1505932661,2017-09-20T18:37:41Z,RA82013,"44.266514,43.022972",21000,320,141
1505932597,2017-09-20T18:36:37Z,RA82013,"44.340244,42.940514",21000,320,141
1505932524,2017-09-20T18:35:24Z,RA82013,"44.409756,42.864532",20999,314,140
1505932461,2017-09-20T18:34:21Z,RA82013,"44.497227,42.765934",21000,320,141
1505932396,2017-09-20T18:33:16Z,RA82013,"44.557983,42.699448",21000,320,142
1505932332,2017-09-20T18:32:12Z,RA82013,"44.639683,42.612442",21000,322,142
1505932267,2017-09-20T18:31:07Z,RA82013,"44.720379,42.525795",20999,320,142
1505932201,2017-09-20T18:30:01Z,RA82013,"44.790123,42.45229",21000,327,141
1505932140,2017-09-20T18:29:00Z,RA82013,"44.862045,42.374443",20999,322,141
1505932073,2017-09-20T18:27:53Z,RA82013,"44.942909,42.280857",21000,317,139
1505932067,2017-09-20T18:27:47Z,RA82013,"44.947826,42.274612",21000,317,139
1505932057,2017-09-20T18:27:37Z,RA82013,"44.962471,42.257359",21000,286,144
1505932029,2017-09-20T18:27:09Z,RA82013,"44.993008,42.229004",21000,277,160
1505932016,2017-09-20T18:26:56Z,RA82013,"45.005978,42.221825",21000,316,143
1505931953,2017-09-20T18:25:53Z,RA82013,"45.081295,42.14077",21000,324,144
1505931885,2017-09-20T18:24:45Z,RA82013,"45.165913,42.057796",20999,320,145
1505931820,2017-09-20T18:23:40Z,RA82013,"45.245239,41.983181",21000,321,145
1505931758,2017-09-20T18:22:38Z,RA82013,"45.330452,41.902828",21000,322,146
1505931689,2017-09-20T18:21:29Z,RA82013,"45.413708,41.826797",21000,318,145
1505931626,2017-09-20T18:20:26Z,RA82013,"45.498333,41.747505",21000,317,145
1505931565,2017-09-20T18:19:25Z,RA82013,"45.56588,41.681454",21000,345,144
1505931500,2017-09-20T18:18:20Z,RA82013,"45.64407,41.603344",21000,372,141
1505931434,2017-09-20T18:17:14Z,RA82013,"45.725544,41.519646",20999,374,141
1505931425,2017-09-20T18:17:05Z,RA82013,"45.735947,41.508137",21000,370,141
1505931418,2017-09-20T18:16:58Z,RA82013,"45.749649,41.492886",21000,358,140
1505931385,2017-09-20T18:16:25Z,RA82013,"45.818905,41.425304",21000,238,152
1505931356,2017-09-20T18:15:56Z,RA82013,"45.826984,41.418316",21000,210,166
1505931348,2017-09-20T18:15:48Z,RA82013,"45.841084,41.409748",21000,210,166
1505931305,2017-09-20T18:15:05Z,RA82013,"45.862389,41.406548",21000,334,150
1505931195,2017-09-20T18:13:15Z,RA82013,"46.096249,41.159904",21000,334,150
1505931127,2017-09-20T18:12:07Z,RA82013,"46.129807,41.127369",21000,334,150
1505931100,2017-09-20T18:11:40Z,RA82013,"46.177322,41.081829",21000,334,150
1505931064,2017-09-20T18:11:04Z,RA82013,"46.26738,40.99511",21000,334,150
1505930992,2017-09-20T18:09:52Z,RA82013,"46.278385,40.985317",21000,334,150
1505930929,2017-09-20T18:08:49Z,RA82013,"46.359943,40.913765",21000,330,147
1505930919,2017-09-20T18:08:39Z,RA82013,"46.37767,40.897907",21000,330,147
1505930875,2017-09-20T18:07:55Z,RA82013,"46.43932,40.839115",21000,318,120
1505930784,2017-09-20T18:06:24Z,RA82013,"46.550285,40.724171",21100,318,120
1505930721,2017-09-20T18:05:21Z,RA82013,"46.613396,40.603222",21100,318,120
1505930660,2017-09-20T18:04:20Z,RA82013,"46.658375,40.496468",21100,318,120
1505930645,2017-09-20T18:04:05Z,RA82013,"46.667255,40.475483",21100,318,120
1505930578,2017-09-20T18:02:58Z,RA82013,"46.716957,40.357811",20599,318,120
1505930515,2017-09-20T18:01:55Z,RA82013,"46.76355,40.246181",19500,318,120
1505930452,2017-09-20T18:00:52Z,RA82013,"46.813286,40.126862",18000,318,120
1505930416,2017-09-20T18:00:16Z,RA82013,"46.841488,40.060135",17023,318,120
1505930376,2017-09-20T17:59:36Z,RA82013,"46.872105,39.986912",16158,318,120
1505930344,2017-09-20T17:59:04Z,RA82013,"46.896942,39.927036",15200,318,120
1505930310,2017-09-20T17:58:30Z,RA82013,"46.92112,39.868713",14672,308,120
1505930277,2017-09-20T17:57:57Z,RA82013,"46.947998,39.803673",13690,308,120
1505930244,2017-09-20T17:57:24Z,RA82013,"46.970852,39.747517",12999,304,120
1505930212,2017-09-20T17:56:52Z,RA82013,"46.994205,39.690384",12000,300,120
1505930201,2017-09-20T17:56:41Z,RA82013,"47.002968,39.669079",11874,300,120
1505930186,2017-09-20T17:56:26Z,RA82013,"47.014183,39.642036",11500,300,120
1505930174,2017-09-20T17:56:14Z,RA82013,"47.023552,39.619312",11200,300,120
1505930161,2017-09-20T17:56:01Z,RA82013,"47.031998,39.598869",10600,300,120
1505930146,2017-09-20T17:55:46Z,RA82013,"47.04282,39.572971",10400,300,120
1505930135,2017-09-20T17:55:35Z,RA82013,"47.051884,39.551014",10100,300,123
1505930097,2017-09-20T17:54:57Z,RA82013,"47.115238,39.398876",7600,294,122
1505930041,2017-09-20T17:54:01Z,RA82013,"47.127979,39.365959",6800,294,122
1505930013,2017-09-20T17:53:33Z,RA82013,"47.146259,39.319298",5700,290,116
1505929990,2017-09-20T17:53:10Z,RA82013,"47.154118,39.298065",5700,290,116
1505929977,2017-09-20T17:52:57Z,RA82013,"47.159683,39.281815",5700,0,109
1505929971,2017-09-20T17:52:51Z,RA82013,"47.181694,39.188057",4600,0,93
