Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506405691,2017-09-26T06:01:31Z,RFF8068,"33.509396,45.600048",28600,330,280
1506405647,2017-09-26T06:00:47Z,RFF8068,"33.496983,45.679356",28300,330,277
1506405582,2017-09-26T05:59:42Z,RFF8068,"33.498741,45.796265",28000,330,260
1506403043,2017-09-26T05:17:23Z,RFF8068,"35.286255,50.027008",28000,370,190
1506402954,2017-09-26T05:15:54Z,RFF8068,"35.380413,50.294495",28000,370,190
1506402828,2017-09-26T05:13:48Z,RFF8068,"35.49725,50.539284",28000,370,190
1506402712,2017-09-26T05:11:52Z,RFF8068,"35.504169,50.597691",28000,370,190
1506401964,2017-09-26T04:59:24Z,RFF8068,"37.422916,50.895443",25100,380,182
1506401492,2017-09-26T04:51:32Z,RFF8068,"37.573872,50.936104",24899,380,182
1506401424,2017-09-26T04:50:24Z,RFF8068,"37.681931,50.960262",25000,380,182
1506400913,2017-09-26T04:41:53Z,RFF8068,"38.467949,51.022373",25000,380,182
1506400900,2017-09-26T04:41:40Z,RFF8068,"38.519394,51.023174",25000,380,182
1506399202,2017-09-26T04:13:22Z,RFF8068,"42.039486,50.225262",25000,388,132
1506397856,2017-09-26T03:50:56Z,RFF8068,"42.893436,48.417789",24900,376,121
1506397713,2017-09-26T03:48:33Z,RFF8068,"43.006802,48.166245",24800,0,123
1506397626,2017-09-26T03:47:06Z,RFF8068,"43.010712,48.158268",24800,0,121
1506397563,2017-09-26T03:46:03Z,RFF8068,"43.397411,47.273403",24900,0,119
