Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506490717,2017-09-27T05:38:37Z,RFF8069,"34.55719,36.82143",26000,376,145
1506490602,2017-09-27T05:36:42Z,RFF8069,"34.712936,36.629345",24800,376,145
1506490512,2017-09-27T05:35:12Z,RFF8069,"34.720119,36.622219",24700,388,160
1506490506,2017-09-27T05:35:06Z,RFF8069,"34.723854,36.618607",24700,388,160
1506490432,2017-09-27T05:33:52Z,RFF8069,"34.821335,36.566734",24000,440,171
1506490378,2017-09-27T05:32:58Z,RFF8069,"34.896801,36.530025",23300,440,171
1506490068,2017-09-27T05:27:48Z,RFF8069,"35.280479,35.778496",21500,486,49
1506490056,2017-09-27T05:27:36Z,RFF8069,"35.268913,35.739994",21400,490,12
1506489983,2017-09-27T05:26:23Z,RFF8069,"35.181801,35.828373",20500,0,299
1506489976,2017-09-27T05:26:16Z,RFF8069,"35.1716,35.851715",20500,0,312
1506489952,2017-09-27T05:25:52Z,RFF8069,"35.15295,35.891029",20100,0,67
1506489885,2017-09-27T05:24:45Z,RFF8069,"35.161167,35.650051",18900,0,215
1506489847,2017-09-27T05:24:07Z,RFF8069,"35.247501,35.721561",17600,0,260
1506489755,2017-09-27T05:22:35Z,RFF8069,"35.264164,35.835434",17000,0,58
1506489696,2017-09-27T05:21:36Z,RFF8069,"35.225685,35.759613",16300,0,19
1506489662,2017-09-27T05:21:02Z,RFF8069,"35.171528,35.736561",15600,0,281
1506489614,2017-09-27T05:20:14Z,RFF8069,"35.105251,35.853779",14751,0,282
