Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498883662,2017-07-01T04:34:22Z,RFF8065,"55.912319,38.342987",6900,516,116
1498883603,2017-07-01T04:33:23Z,RFF8065,"55.920242,38.318584",6900,574,107
1498883588,2017-07-01T04:33:08Z,RFF8065,"55.932961,38.258865",6800,571,98
1498883561,2017-07-01T04:32:41Z,RFF8065,"55.954937,38.104702",6600,545,86
1498883534,2017-07-01T04:32:14Z,RFF8065,"55.969948,38.128021",6800,503,68
1498883526,2017-07-01T04:32:06Z,RFF8065,"55.966949,38.109669",6900,503,68
1498883514,2017-07-01T04:31:54Z,RFF8065,"55.953842,38.073059",7200,503,68
1498883483,2017-07-01T04:31:23Z,RFF8065,"55.91832,37.969467",7700,352,55
1498883446,2017-07-01T04:30:46Z,RFF8065,"55.897202,38.009651",8000,240,80
1498883430,2017-07-01T04:30:30Z,RFF8065,"55.882526,38.09391",8200,260,309
1498883424,2017-07-01T04:30:24Z,RFF8065,"55.880043,38.099144",8300,260,309
1498883417,2017-07-01T04:30:17Z,RFF8065,"55.873993,38.112701",8400,260,309
1498883406,2017-07-01T04:30:06Z,RFF8065,"55.861084,38.136894",8600,261,321
1498883399,2017-07-01T04:29:59Z,RFF8065,"55.857536,38.143341",8700,261,321
1498883386,2017-07-01T04:29:46Z,RFF8065,"55.842476,38.162613",8900,256,340
1498883370,2017-07-01T04:29:30Z,RFF8065,"55.829918,38.172428",9100,260,342
1498883347,2017-07-01T04:29:07Z,RFF8065,"55.80143,38.180237",9569,274,17
1498883326,2017-07-01T04:28:46Z,RFF8065,"55.77047,38.180794",10000,290,7
1498883307,2017-07-01T04:28:27Z,RFF8065,"55.751354,38.175236",10200,302,18
1498883286,2017-07-01T04:28:06Z,RFF8065,"55.723732,38.158298",10500,273,337
1498883270,2017-07-01T04:27:50Z,RFF8065,"55.704754,38.226429",10900,269,343
1498883259,2017-07-01T04:27:39Z,RFF8065,"55.693893,38.232948",11000,263,346
1498883246,2017-07-01T04:27:26Z,RFF8065,"55.665127,38.247604",11317,259,352
1498883229,2017-07-01T04:27:09Z,RFF8065,"55.660412,38.249783",11400,259,352
1498883223,2017-07-01T04:27:03Z,RFF8065,"55.652203,38.25087",11506,273,341
1498883207,2017-07-01T04:26:47Z,RFF8065,"55.633743,38.26181",11800,280,340
1498883191,2017-07-01T04:26:31Z,RFF8065,"55.613262,38.275902",12100,282,338
1498883185,2017-07-01T04:26:25Z,RFF8065,"55.608562,38.279606",12099,284,341
1498883154,2017-07-01T04:25:54Z,RFF8065,"55.564106,38.303982",12700,284,343
1498883127,2017-07-01T04:25:27Z,RFF8065,"55.53297,38.317646",13100,301,257
1498883103,2017-07-01T04:25:03Z,RFF8065,"55.502739,38.323692",13499,344,9
1498883094,2017-07-01T04:24:54Z,RFF8065,"55.48608,38.32074",13785,367,15
1498883082,2017-07-01T04:24:42Z,RFF8065,"55.474934,38.315819",13900,399,20
1498883048,2017-07-01T04:24:08Z,RFF8065,"55.415154,38.254009",14618,502,213
1498883015,2017-07-01T04:23:35Z,RFF8065,"55.349918,38.240032",15400,467,56
1498882982,2017-07-01T04:23:02Z,RFF8065,"55.34549,38.390133",15900,290,345
1498882946,2017-07-01T04:22:26Z,RFF8065,"55.302429,38.410862",16400,290,345
1498882912,2017-07-01T04:21:52Z,RFF8065,"55.261776,38.429192",17000,294,346
1498882878,2017-07-01T04:21:18Z,RFF8065,"55.214359,38.450504",17700,298,346
1498882815,2017-07-01T04:20:15Z,RFF8065,"55.121037,38.495117",19299,302,344
1498882748,2017-07-01T04:19:08Z,RFF8065,"55.033398,38.536354",20600,292,347
1498882684,2017-07-01T04:18:04Z,RFF8065,"54.953888,38.567486",21899,276,352
1498882678,2017-07-01T04:17:58Z,RFF8065,"54.94294,38.570286",22056,274,349
1498882654,2017-07-01T04:17:34Z,RFF8065,"54.912117,38.574886",22550,270,26
1498882617,2017-07-01T04:16:57Z,RFF8065,"54.855774,38.614544",23300,324,346
