Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499910938,2017-07-13T01:55:38Z,RFF8065,"43.998867,45.077511",29999,380,278
1499910865,2017-07-13T01:54:25Z,RFF8065,"43.999565,45.201038",30000,380,278
1499910814,2017-07-13T01:53:34Z,RFF8065,"43.997959,45.23056",30000,380,278
1499910769,2017-07-13T01:52:49Z,RFF8065,"43.988922,45.317001",30000,381,278
1499910741,2017-07-13T01:52:21Z,RFF8065,"43.981258,45.386642",30000,382,278
1499910679,2017-07-13T01:51:19Z,RFF8065,"43.96312,45.552425",30000,388,279
1499910610,2017-07-13T01:50:10Z,RFF8065,"43.943218,45.720009",30000,387,279
1499910547,2017-07-13T01:49:07Z,RFF8065,"43.928982,45.867931",29900,390,278
1499910486,2017-07-13T01:48:06Z,RFF8065,"43.910294,46.046349",30000,390,278
1499910419,2017-07-13T01:46:59Z,RFF8065,"43.895203,46.182964",30000,390,278
1499910353,2017-07-13T01:45:53Z,RFF8065,"43.879383,46.342766",29900,390,277
1499910290,2017-07-13T01:44:50Z,RFF8065,"43.866615,46.511551",29900,392,274
1499910280,2017-07-13T01:44:40Z,RFF8065,"43.865891,46.523277",29899,392,274
1499910239,2017-07-13T01:43:59Z,RFF8065,"43.852798,46.638302",29900,380,285
1499910230,2017-07-13T01:43:50Z,RFF8065,"43.850395,46.649399",29900,380,288
1499910224,2017-07-13T01:43:44Z,RFF8065,"43.847588,46.6674",29900,380,292
1499910218,2017-07-13T01:43:38Z,RFF8065,"43.845654,46.675648",29900,380,292
1499910179,2017-07-13T01:42:59Z,RFF8065,"43.812195,46.762711",29900,380,304
1499910113,2017-07-13T01:41:53Z,RFF8065,"43.744881,46.900097",29899,380,303
1499910045,2017-07-13T01:40:45Z,RFF8065,"43.675858,47.043327",29900,380,304
1499909976,2017-07-13T01:39:36Z,RFF8065,"43.603775,47.191456",29900,380,304
1499909906,2017-07-13T01:38:26Z,RFF8065,"43.540119,47.320152",29900,380,304
1499909839,2017-07-13T01:37:19Z,RFF8065,"43.47842,47.446827",29900,380,304
1499909777,2017-07-13T01:36:17Z,RFF8065,"43.417393,47.570976",29900,386,305
1499909715,2017-07-13T01:35:15Z,RFF8065,"43.353806,47.696522",29900,387,306
1499909650,2017-07-13T01:34:10Z,RFF8065,"43.286819,47.8251",29899,387,306
1499909587,2017-07-13T01:33:07Z,RFF8065,"43.220482,47.952705",29899,378,305
1499909525,2017-07-13T01:32:05Z,RFF8065,"43.153942,48.079155",29899,378,305
1499909431,2017-07-13T01:30:31Z,RFF8065,"43.050579,48.276047",29900,378,305
1499909388,2017-07-13T01:29:48Z,RFF8065,"43.001652,48.370239",29900,378,305
1499909326,2017-07-13T01:28:46Z,RFF8065,"42.942348,48.485741",29900,378,305
1499909263,2017-07-13T01:27:43Z,RFF8065,"42.888409,48.590424",29900,378,305
1499909197,2017-07-13T01:26:37Z,RFF8065,"42.817539,48.728504",29900,387,307
1499908747,2017-07-13T01:19:07Z,RFF8065,"42.288879,49.73904",29900,456,289
1499907915,2017-07-13T01:05:15Z,RFF8065,"41.426495,51.063164",29900,397,181
1499907869,2017-07-13T01:04:29Z,RFF8065,"41.4128,51.062794",29899,396,1
1499907797,2017-07-13T01:03:17Z,RFF8065,"41.242081,51.059685",29900,396,1
1499907756,2017-07-13T01:02:36Z,RFF8065,"41.110607,51.058434",29900,396,1
1499907687,2017-07-13T01:01:27Z,RFF8065,"41.03735,51.057858",30000,394,182
1499907660,2017-07-13T01:01:00Z,RFF8065,"41.030338,51.057819",29900,394,1
1499907647,2017-07-13T01:00:47Z,RFF8065,"40.992947,51.057491",29899,390,1
1499907582,2017-07-13T00:59:42Z,RFF8065,"40.876106,51.055038",29900,390,181
1499907513,2017-07-13T00:58:33Z,RFF8065,"40.751389,51.053082",29900,388,181
1499907435,2017-07-13T00:57:15Z,RFF8065,"40.482342,51.048752",29900,387,181
1499907342,2017-07-13T00:55:42Z,RFF8065,"40.439713,51.048088",29900,387,181
1499907315,2017-07-13T00:55:15Z,RFF8065,"40.389072,51.047371",29900,387,181
1499907287,2017-07-13T00:54:47Z,RFF8065,"40.300022,51.045471",29900,387,181
1499907143,2017-07-13T00:52:23Z,RFF8065,"39.883678,51.037674",29900,384,181
1499906697,2017-07-13T00:44:57Z,RFF8065,"39.267776,51.027855",29900,400,181
1499906666,2017-07-13T00:44:26Z,RFF8065,"39.174095,51.02644",30000,400,181
1499906600,2017-07-13T00:43:20Z,RFF8065,"39.027416,51.024616",29900,400,181
1499906545,2017-07-13T00:42:25Z,RFF8065,"38.916656,51.023209",29900,400,181
1499906487,2017-07-13T00:41:27Z,RFF8065,"38.909023,51.022995",29900,400,1
1499906408,2017-07-13T00:40:08Z,RFF8065,"38.680813,51.020725",29900,400,183
1499906359,2017-07-13T00:39:19Z,RFF8065,"38.665592,51.020527",30000,400,2
