Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500958751,2017-07-25T04:59:11Z,RA82035,"55.510586,80.804893",30000,378,285
1500958682,2017-07-25T04:58:02Z,RA82035,"55.466675,81.123062",30000,378,285
1500958624,2017-07-25T04:57:04Z,RA82035,"55.446808,81.268539",30000,378,285
1500958578,2017-07-25T04:56:18Z,RA82035,"55.420635,81.447929",29999,378,285
1500958517,2017-07-25T04:55:17Z,RA82035,"55.409985,81.520149",29999,378,285
1500958467,2017-07-25T04:54:27Z,RA82035,"55.395809,81.615807",30000,387,284
1500958403,2017-07-25T04:53:23Z,RA82035,"55.367775,81.812912",29999,383,283
1500958342,2017-07-25T04:52:22Z,RA82035,"55.344093,81.996628",30000,390,279
1500958280,2017-07-25T04:51:20Z,RA82035,"55.326435,82.183029",30000,390,281
1500958256,2017-07-25T04:50:56Z,RA82035,"55.314816,82.271988",30000,393,285
1500958247,2017-07-25T04:50:47Z,RA82035,"55.311718,82.296936",30000,389,291
1500958241,2017-07-25T04:50:41Z,RA82035,"55.306278,82.319534",30000,396,288
1500958235,2017-07-25T04:50:35Z,RA82035,"55.304111,82.331879",30000,400,291
1500958229,2017-07-25T04:50:29Z,RA82035,"55.301704,82.345062",30000,400,291
1500958178,2017-07-25T04:49:38Z,RA82035,"55.243252,82.489952",30000,404,314
1500958117,2017-07-25T04:48:37Z,RA82035,"55.17535,82.61628",30000,407,318
1500958025,2017-07-25T04:47:05Z,RA82035,"55.041267,82.851311",30000,413,323
1500958013,2017-07-25T04:46:53Z,RA82035,"55.034489,82.860062",30000,402,320
1500958007,2017-07-25T04:46:47Z,RA82035,"55.026649,82.869362",30000,402,320
1500958001,2017-07-25T04:46:41Z,RA82035,"55.015263,82.885887",30000,398,318
1500957995,2017-07-25T04:46:35Z,RA82035,"55.003056,82.90416",30000,390,315
1500957959,2017-07-25T04:45:59Z,RA82035,"54.963951,82.993172",30000,378,303
1500957947,2017-07-25T04:45:47Z,RA82035,"54.955063,83.012955",30000,378,299
1500957941,2017-07-25T04:45:41Z,RA82035,"54.951195,83.022079",30000,378,299
1500957935,2017-07-25T04:45:35Z,RA82035,"54.943558,83.044937",30000,378,296
1500957929,2017-07-25T04:45:29Z,RA82035,"54.937302,83.065948",30000,378,290
1500957918,2017-07-25T04:45:18Z,RA82035,"54.932011,83.088791",30000,378,287
1500957615,2017-07-25T04:40:15Z,RA82035,"54.879673,84.187225",29999,396,276
1500956536,2017-07-25T04:22:16Z,RA82035,"54.658802,87.646347",28200,428,281
1500956421,2017-07-25T04:20:21Z,RA82035,"54.658314,87.654541",28199,428,281
1500956342,2017-07-25T04:19:02Z,RA82035,"54.634903,88.00045",28200,428,281
1500956307,2017-07-25T04:18:27Z,RA82035,"54.632549,88.052933",28199,428,281
1500956256,2017-07-25T04:17:36Z,RA82035,"54.623463,88.194916",28200,428,281
1500956186,2017-07-25T04:16:26Z,RA82035,"54.615334,88.400856",28199,428,281
1500956147,2017-07-25T04:15:47Z,RA82035,"54.601273,88.534042",28200,428,281
1500956098,2017-07-25T04:14:58Z,RA82035,"54.570503,88.684822",28200,420,297
1500956010,2017-07-25T04:13:30Z,RA82035,"54.471378,89.014015",27200,400,296
1500955982,2017-07-25T04:13:02Z,RA82035,"54.433369,89.139069",27200,400,296
1500955937,2017-07-25T04:12:17Z,RA82035,"54.382576,89.303596",25500,400,296
1500955880,2017-07-25T04:11:20Z,RA82035,"54.368042,89.349823",25099,400,296
1500955839,2017-07-25T04:10:39Z,RA82035,"54.312321,89.532211",24000,0,301
