Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501083284,2017-07-26T15:34:44Z,RFF9925,"59.478901,40.406406",22900,436,19
1501083187,2017-07-26T15:33:07Z,RFF9925,"59.277618,39.950756",22899,436,19
1501083041,2017-07-26T15:30:41Z,RFF9925,"59.15218,39.82251",22900,436,19
1501082985,2017-07-26T15:29:45Z,RFF9925,"59.121338,39.798481",22900,436,19
1501082958,2017-07-26T15:29:18Z,RFF9925,"59.065845,39.755627",22900,441,22
1501082883,2017-07-26T15:28:03Z,RFF9925,"58.972027,39.676956",22900,419,104
1501082816,2017-07-26T15:26:56Z,RFF9925,"58.855743,39.549969",22899,413,20
1501082794,2017-07-26T15:26:34Z,RFF9925,"58.821159,39.522964",22900,413,20
1501082727,2017-07-26T15:25:27Z,RFF9925,"58.709984,39.449081",22900,532,6
1501082662,2017-07-26T15:24:22Z,RFF9925,"58.560863,39.367359",22900,532,6
1501082638,2017-07-26T15:23:58Z,RFF9925,"58.539242,39.363567",22900,448,9
1501082586,2017-07-26T15:23:06Z,RFF9925,"58.501583,39.249348",22900,380,24
1501082499,2017-07-26T15:21:39Z,RFF9925,"58.360947,39.12088",22900,370,27
1501082454,2017-07-26T15:20:54Z,RFF9925,"58.26413,39.033585",22900,364,27
1501082384,2017-07-26T15:19:44Z,RFF9925,"58.184483,38.958931",22899,366,30
1501082320,2017-07-26T15:18:40Z,RFF9925,"58.081234,38.870594",22900,377,25
1501082259,2017-07-26T15:17:39Z,RFF9925,"57.966099,38.770947",22900,381,23
1501082191,2017-07-26T15:16:31Z,RFF9925,"57.874557,38.694695",22900,392,22
1501082129,2017-07-26T15:15:29Z,RFF9925,"57.767475,38.609554",22900,397,24
1501082064,2017-07-26T15:14:24Z,RFF9925,"57.647484,38.501926",22900,406,24
1501081990,2017-07-26T15:13:10Z,RFF9925,"57.539436,38.408863",22900,414,24
1501081928,2017-07-26T15:12:08Z,RFF9925,"57.418175,38.305836",22999,417,24
1501081863,2017-07-26T15:11:03Z,RFF9925,"57.308083,38.211647",22800,413,26
1501081802,2017-07-26T15:10:02Z,RFF9925,"57.201721,38.116119",22100,411,23
1501081731,2017-07-26T15:08:51Z,RFF9925,"57.085125,38.017303",21385,402,16
1501081669,2017-07-26T15:07:49Z,RFF9925,"56.972706,37.96312",20700,394,11
1501081603,2017-07-26T15:06:43Z,RFF9925,"56.856544,37.916985",19800,386,11
1501081541,2017-07-26T15:05:41Z,RFF9925,"56.746223,37.874844",18976,400,11
1501081473,2017-07-26T15:04:33Z,RFF9925,"56.632793,37.829697",18084,381,11
1501081442,2017-07-26T15:04:02Z,RFF9925,"56.575447,37.809025",17600,356,12
1501081406,2017-07-26T15:03:26Z,RFF9925,"56.515881,37.788322",17100,378,8
1501081373,2017-07-26T15:02:53Z,RFF9925,"56.453346,37.770203",16489,371,7
1501081338,2017-07-26T15:02:18Z,RFF9925,"56.398903,37.756718",15944,368,8
1501081322,2017-07-26T15:02:02Z,RFF9925,"56.371998,37.749233",15700,372,13
1501081316,2017-07-26T15:01:56Z,RFF9925,"56.357647,37.742805",15600,368,14
1501081306,2017-07-26T15:01:46Z,RFF9925,"56.345623,37.737553",15500,367,19
1501081297,2017-07-26T15:01:37Z,RFF9925,"56.332012,37.729172",15377,366,23
1501081291,2017-07-26T15:01:31Z,RFF9925,"56.319519,37.719719",15219,370,27
1501081258,2017-07-26T15:00:58Z,RFF9925,"56.274776,37.665977",14862,368,37
1501081226,2017-07-26T15:00:26Z,RFF9925,"56.232044,37.606094",14300,364,37
1501081193,2017-07-26T14:59:53Z,RFF9925,"56.188408,37.544712",13700,358,37
1501081162,2017-07-26T14:59:22Z,RFF9925,"56.147739,37.487423",13199,355,36
1501081130,2017-07-26T14:58:50Z,RFF9925,"56.105518,37.429546",12599,354,36
1501081097,2017-07-26T14:58:17Z,RFF9925,"56.063297,37.371601",12000,346,37
1501081086,2017-07-26T14:58:06Z,RFF9925,"56.04842,37.351021",11792,340,37
1501081071,2017-07-26T14:57:51Z,RFF9925,"56.027824,37.32225",11504,340,37
1501081058,2017-07-26T14:57:38Z,RFF9925,"56.013145,37.302013",11288,340,37
1501081043,2017-07-26T14:57:23Z,RFF9925,"55.993519,37.274769",11000,340,37
1501081031,2017-07-26T14:57:11Z,RFF9925,"55.978611,37.25378",10701,340,38
1501081017,2017-07-26T14:56:57Z,RFF9925,"55.963688,37.232517",10500,341,38
1501081004,2017-07-26T14:56:44Z,RFF9925,"55.944386,37.20472",10100,344,39
1501080987,2017-07-26T14:56:27Z,RFF9925,"55.92469,37.175545",9800,352,40
1501080975,2017-07-26T14:56:15Z,RFF9925,"55.910366,37.153564",9500,357,41
1501080963,2017-07-26T14:56:03Z,RFF9925,"55.895809,37.130684",9200,362,42
1501080950,2017-07-26T14:55:50Z,RFF9925,"55.881004,37.106415",8797,368,44
1501080938,2017-07-26T14:55:38Z,RFF9925,"55.866531,37.081356",8429,367,44
1501080923,2017-07-26T14:55:23Z,RFF9925,"55.847115,37.047108",8099,364,42
1501080913,2017-07-26T14:55:13Z,RFF9925,"55.837044,37.030155",7900,360,41
1501080906,2017-07-26T14:55:06Z,RFF9925,"55.827385,37.014",7800,354,38
1501080900,2017-07-26T14:55:00Z,RFF9925,"55.816494,36.9981",7600,350,36
1501080890,2017-07-26T14:54:50Z,RFF9925,"55.806793,36.984444",7406,344,30
1501080878,2017-07-26T14:54:38Z,RFF9925,"55.790333,36.965904",7137,334,24
1501080866,2017-07-26T14:54:26Z,RFF9925,"55.772717,36.952194",6910,330,34
1501080842,2017-07-26T14:54:02Z,RFF9925,"55.735882,36.944069",6410,336,350
1501080830,2017-07-26T14:53:50Z,RFF9925,"55.718246,36.949451",6090,331,340
1501080818,2017-07-26T14:53:38Z,RFF9925,"55.700348,36.959934",5700,326,338
1501080803,2017-07-26T14:53:23Z,RFF9925,"55.677429,36.976349",5222,309,336
1501080794,2017-07-26T14:53:14Z,RFF9925,"55.666496,36.984638",4900,296,336
1501080785,2017-07-26T14:53:05Z,RFF9925,"55.65049,36.997429",4576,269,334
1501080775,2017-07-26T14:52:55Z,RFF9925,"55.640968,37.005383",4500,256,333
1501080769,2017-07-26T14:52:49Z,RFF9925,"55.6362,37.009533",4399,256,333
1501080761,2017-07-26T14:52:41Z,RFF9925,"55.623081,37.020908",4363,227,332
1501080753,2017-07-26T14:52:33Z,RFF9925,"55.618725,37.024769",4399,227,332
1501080747,2017-07-26T14:52:27Z,RFF9925,"55.610226,37.033058",4300,219,333
1501080741,2017-07-26T14:52:21Z,RFF9925,"55.606907,37.035515",4289,206,332
1501080735,2017-07-26T14:52:15Z,RFF9925,"55.599121,37.042999",4300,197,330
1501080726,2017-07-26T14:52:06Z,RFF9925,"55.592213,37.04892",4300,183,320
1501080720,2017-07-26T14:52:00Z,RFF9925,"55.584965,37.056396",4300,173,293
1501080710,2017-07-26T14:51:50Z,RFF9925,"55.57766,37.067928",4227,173,293
1501080698,2017-07-26T14:51:38Z,RFF9925,"55.57243,37.082249",3810,175,290
1501080686,2017-07-26T14:51:26Z,RFF9925,"55.569847,37.093136",3599,172,283
1501080665,2017-07-26T14:51:05Z,RFF9925,"55.567341,37.11982",3300,167,266
1501080659,2017-07-26T14:50:59Z,RFF9925,"55.567436,37.131214",3100,166,260
1501080650,2017-07-26T14:50:50Z,RFF9925,"55.56805,37.142029",2900,164,254
1501080643,2017-07-26T14:50:43Z,RFF9925,"55.569397,37.153564",2600,161,251
1501080635,2017-07-26T14:50:35Z,RFF9925,"55.571125,37.163338",2480,162,251
1501080629,2017-07-26T14:50:29Z,RFF9925,"55.57222,37.168915",2399,162,251
1501080623,2017-07-26T14:50:23Z,RFF9925,"55.573856,37.177719",2200,164,251
1501080617,2017-07-26T14:50:17Z,RFF9925,"55.575096,37.183876",2100,160,253
1501080610,2017-07-26T14:50:10Z,RFF9925,"55.577061,37.194904",1900,0,252
