Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501647899,2017-08-02T04:24:59Z,RFF8064,"35.084587,35.732887",16500,365,313
1501647849,2017-08-02T04:24:09Z,RFF8064,"35.179741,35.695992",18100,365,313
1501647774,2017-08-02T04:22:54Z,RFF8064,"35.240444,35.648266",18600,365,313
1501647726,2017-08-02T04:22:06Z,RFF8064,"35.29438,35.819176",20100,365,313
1501647661,2017-08-02T04:21:01Z,RFF8064,"35.177998,36.028038",22970,365,313
1501647526,2017-08-02T04:18:46Z,RFF8064,"35.163143,36.023155",23200,365,313
1501647489,2017-08-02T04:18:09Z,RFF8064,"35.108818,36.126373",24200,446,297
1501647413,2017-08-02T04:16:53Z,RFF8064,"35.043888,36.272499",25499,411,300
1501647347,2017-08-02T04:15:47Z,RFF8064,"34.951519,36.328297",27000,411,300
1501647294,2017-08-02T04:14:54Z,RFF8064,"34.906185,36.36393",27800,263,315
1501647270,2017-08-02T04:14:30Z,RFF8064,"34.87212,36.386684",27900,265,78
1501647246,2017-08-02T04:14:06Z,RFF8064,"34.855324,36.398987",27900,230,321
1501647169,2017-08-02T04:12:49Z,RFF8064,"34.616322,36.750271",28000,230,321
