Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501800021,2017-08-03T22:40:21Z,RA82035,"55.843891,38.136868",1300,150,316
1501800013,2017-08-03T22:40:13Z,RA82035,"55.840046,38.143787",1400,150,317
1501800007,2017-08-03T22:40:07Z,RA82035,"55.836143,38.15033",1500,151,319
1501799998,2017-08-03T22:39:58Z,RA82035,"55.83176,38.15797",1614,153,319
1501799992,2017-08-03T22:39:52Z,RA82035,"55.827614,38.164467",1699,156,321
1501799986,2017-08-03T22:39:46Z,RA82035,"55.825665,38.16732",1768,156,321
1501799980,2017-08-03T22:39:40Z,RA82035,"55.82119,38.173855",1850,161,321
1501799970,2017-08-03T22:39:30Z,RA82035,"55.81665,38.180473",1999,163,323
1501799964,2017-08-03T22:39:24Z,RA82035,"55.81432,38.183723",1999,166,323
1501799958,2017-08-03T22:39:18Z,RA82035,"55.809441,38.190506",2100,164,321
1501799952,2017-08-03T22:39:12Z,RA82035,"55.807217,38.193027",2105,164,321
1501799946,2017-08-03T22:39:06Z,RA82035,"55.802151,38.200253",2224,168,320
1501799940,2017-08-03T22:39:00Z,RA82035,"55.799809,38.203266",2300,168,317
1501799932,2017-08-03T22:38:52Z,RA82035,"55.792641,38.214207",2436,168,311
1501799922,2017-08-03T22:38:42Z,RA82035,"55.788307,38.222443",2500,168,304
1501799916,2017-08-03T22:38:36Z,RA82035,"55.786297,38.226742",2599,167,299
1501799908,2017-08-03T22:38:28Z,RA82035,"55.781269,38.2407",2600,165,288
1501799887,2017-08-03T22:38:07Z,RA82035,"55.777569,38.266121",2600,181,253
1501799877,2017-08-03T22:37:57Z,RA82035,"55.778385,38.27755",2600,189,247
1501799870,2017-08-03T22:37:50Z,RA82035,"55.780148,38.287968",2600,196,239
1501799862,2017-08-03T22:37:42Z,RA82035,"55.783031,38.298725",2599,200,232
1501799853,2017-08-03T22:37:33Z,RA82035,"55.787258,38.309841",2600,207,232
1501799847,2017-08-03T22:37:27Z,RA82035,"55.791573,38.319771",2600,212,233
1501799841,2017-08-03T22:37:21Z,RA82035,"55.794079,38.325058",2600,212,233
1501799830,2017-08-03T22:37:10Z,RA82035,"55.801208,38.341118",2600,210,231
1501799824,2017-08-03T22:37:04Z,RA82035,"55.805878,38.352245",2600,218,234
1501799815,2017-08-03T22:36:55Z,RA82035,"55.810692,38.363705",2600,211,228
1501799809,2017-08-03T22:36:49Z,RA82035,"55.813175,38.369675",2600,211,228
1501799803,2017-08-03T22:36:43Z,RA82035,"55.818558,38.382069",2600,205,213
1501799797,2017-08-03T22:36:37Z,RA82035,"55.823658,38.387508",2599,222,222
1501799773,2017-08-03T22:36:13Z,RA82035,"55.838642,38.410732",2600,239,159
1501799767,2017-08-03T22:36:07Z,RA82035,"55.852245,38.407597",2600,239,159
1501799755,2017-08-03T22:35:55Z,RA82035,"55.855904,38.406235",2600,252,147
1501799749,2017-08-03T22:35:49Z,RA82035,"55.85952,38.403957",2600,252,147
1501799743,2017-08-03T22:35:43Z,RA82035,"55.867218,38.396538",2600,267,138
1501799737,2017-08-03T22:35:37Z,RA82035,"55.871326,38.390362",2600,279,135
1501799730,2017-08-03T22:35:30Z,RA82035,"55.877396,38.381145",2500,293,132
1501799721,2017-08-03T22:35:21Z,RA82035,"55.884716,38.367126",2400,309,132
1501799715,2017-08-03T22:35:15Z,RA82035,"55.891838,38.353214",2300,323,133
1501799709,2017-08-03T22:35:09Z,RA82035,"55.895355,38.346802",2300,323,133
1501799703,2017-08-03T22:35:03Z,RA82035,"55.903156,38.332603",2423,332,133
1501799694,2017-08-03T22:34:54Z,RA82035,"55.912136,38.316368",2500,334,133
1501799688,2017-08-03T22:34:48Z,RA82035,"55.923012,38.300751",2500,284,112
1501799682,2017-08-03T22:34:42Z,RA82035,"55.929218,38.277485",2500,284,112
1501799670,2017-08-03T22:34:30Z,RA82035,"55.932541,38.262897",2500,300,113
1501799664,2017-08-03T22:34:24Z,RA82035,"55.935047,38.251728",2599,294,105
1501799658,2017-08-03T22:34:18Z,RA82035,"55.937645,38.244522",2600,294,105
1501799634,2017-08-03T22:33:54Z,RA82035,"55.943493,38.186977",3000,290,79
1501799628,2017-08-03T22:33:48Z,RA82035,"55.942234,38.167942",3099,291,70
1501799622,2017-08-03T22:33:42Z,RA82035,"55.940948,38.158649",3100,305,62
1501799615,2017-08-03T22:33:35Z,RA82035,"55.936874,38.140476",3199,289,51
1501799595,2017-08-03T22:33:15Z,RA82035,"55.918747,38.102882",3500,289,93
1501799574,2017-08-03T22:32:54Z,RA82035,"55.897713,38.095604",3704,242,286
