Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502515098,2017-08-12T05:18:18Z,RFF8064,"35.050713,35.865208",16800,415,74
1502514874,2017-08-12T05:14:34Z,RFF8064,"35.10796,35.796814",19100,415,74
1502514767,2017-08-12T05:12:47Z,RFF8064,"35.233028,35.775928",20999,415,74
1502514649,2017-08-12T05:10:49Z,RFF8064,"35.257584,35.753803",21200,415,74
1502514627,2017-08-12T05:10:27Z,RFF8064,"35.257774,35.770679",21700,415,74
1502514538,2017-08-12T05:08:58Z,RFF8064,"35.188202,36.051331",22600,512,247
1502514498,2017-08-12T05:08:18Z,RFF8064,"35.145947,36.126637",22900,414,120
1502514438,2017-08-12T05:07:18Z,RFF8064,"35.069225,36.219654",23600,414,120
1502514402,2017-08-12T05:06:42Z,RFF8064,"35.04393,36.258343",23800,414,120
1502514333,2017-08-12T05:05:33Z,RFF8064,"34.991379,36.277458",24400,390,306
1502514324,2017-08-12T05:05:24Z,RFF8064,"34.972164,36.307671",24499,377,305
1502514303,2017-08-12T05:05:03Z,RFF8064,"34.949905,36.343025",24900,367,253
1502514280,2017-08-12T05:04:40Z,RFF8064,"34.928185,36.35778",25200,414,298
1502514186,2017-08-12T05:03:06Z,RFF8064,"34.819721,36.496105",27300,357,316
1502514117,2017-08-12T05:01:57Z,RFF8064,"34.733349,36.601933",27800,360,311
1502514105,2017-08-12T05:01:45Z,RFF8064,"34.718483,36.618607",27900,360,311
1502514042,2017-08-12T05:00:42Z,RFF8064,"34.654251,36.709404",28000,360,311
