Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504010962,2017-08-29T12:49:22Z,RA82035,"55.850304,38.411575",2500,245,143
1504010838,2017-08-29T12:47:18Z,RA82035,"55.907417,38.307777",3600,245,143
1504010764,2017-08-29T12:46:04Z,RA82035,"55.910931,38.30201",3700,245,143
1504010757,2017-08-29T12:45:57Z,RA82035,"55.91481,38.298359",3852,263,137
1504010751,2017-08-29T12:45:51Z,RA82035,"55.921417,38.287548",3999,273,138
1504010739,2017-08-29T12:45:39Z,RA82035,"55.931709,38.271675",4000,283,137
1504010731,2017-08-29T12:45:31Z,RA82035,"55.938805,38.260387",4100,293,137
1504010722,2017-08-29T12:45:22Z,RA82035,"55.946758,38.247822",4133,302,136
1504010716,2017-08-29T12:45:16Z,RA82035,"55.95092,38.24086",4200,310,136
1504010707,2017-08-29T12:45:07Z,RA82035,"55.962746,38.221245",4400,318,137
1504010700,2017-08-29T12:45:00Z,RA82035,"55.971359,38.207314",4399,324,137
1504010692,2017-08-29T12:44:52Z,RA82035,"55.979836,38.193588",4386,327,137
1504010680,2017-08-29T12:44:40Z,RA82035,"55.993301,38.171291",4400,327,134
1504010670,2017-08-29T12:44:30Z,RA82035,"56.002342,38.155689",4500,319,132
1504010664,2017-08-29T12:44:24Z,RA82035,"56.006355,38.149284",4500,319,132
1504010655,2017-08-29T12:44:15Z,RA82035,"56.020321,38.125557",4700,303,107
1504010646,2017-08-29T12:44:06Z,RA82035,"56.027767,38.099945",5000,303,107
1504010621,2017-08-29T12:43:41Z,RA82035,"56.035141,38.053886",5315,296,83
1504010609,2017-08-29T12:43:29Z,RA82035,"56.033539,38.02528",5500,290,62
1504010603,2017-08-29T12:43:23Z,RA82035,"56.029964,38.007069",5700,291,53
1504010597,2017-08-29T12:43:17Z,RA82035,"56.027462,37.998116",5700,291,53
1504010591,2017-08-29T12:43:11Z,RA82035,"56.021076,37.981075",5858,286,47
1504010582,2017-08-29T12:43:02Z,RA82035,"56.014397,37.9664",6000,277,41
1504010568,2017-08-29T12:42:48Z,RA82035,"56.002586,37.946709",6199,263,33
1504010562,2017-08-29T12:42:42Z,RA82035,"55.994194,37.935791",6300,252,27
1504010535,2017-08-29T12:42:15Z,RA82035,"55.96365,37.918575",6800,254,346
1504010526,2017-08-29T12:42:06Z,RA82035,"55.954628,37.921524",6900,258,334
1504010519,2017-08-29T12:41:59Z,RA82035,"55.945919,37.928303",6999,264,325
1504010507,2017-08-29T12:41:47Z,RA82035,"55.933895,37.943348",7199,267,315
1504010495,2017-08-29T12:41:35Z,RA82035,"55.923637,37.960964",7400,266,314
1504010483,2017-08-29T12:41:23Z,RA82035,"55.913265,37.980869",7599,273,310
1504010470,2017-08-29T12:41:10Z,RA82035,"55.903374,38.001183",7800,276,309
1504010458,2017-08-29T12:40:58Z,RA82035,"55.893963,38.021923",8021,280,308
1504010446,2017-08-29T12:40:46Z,RA82035,"55.884575,38.043758",8200,280,308
1504010434,2017-08-29T12:40:34Z,RA82035,"55.872082,38.072308",8500,282,310
1504010421,2017-08-29T12:40:21Z,RA82035,"55.86554,38.086456",8602,284,311
1504010406,2017-08-29T12:40:06Z,RA82035,"55.852169,38.114159",8900,293,312
1504010394,2017-08-29T12:39:54Z,RA82035,"55.841579,38.135475",9100,300,315
1504010382,2017-08-29T12:39:42Z,RA82035,"55.830158,38.156532",9300,300,315
1504010367,2017-08-29T12:39:27Z,RA82035,"55.814213,38.184368",9600,300,318
1504010349,2017-08-29T12:39:09Z,RA82035,"55.797588,38.211517",9900,301,318
1504010341,2017-08-29T12:39:01Z,RA82035,"55.789356,38.224331",10041,296,316
1504010335,2017-08-29T12:38:55Z,RA82035,"55.780735,38.238876",10200,294,315
1504010329,2017-08-29T12:38:49Z,RA82035,"55.776707,38.245312",10246,291,311
1504010323,2017-08-29T12:38:43Z,RA82035,"55.768848,38.258923",10400,286,305
1504010316,2017-08-29T12:38:36Z,RA82035,"55.765079,38.266659",10416,286,305
1504010307,2017-08-29T12:38:27Z,RA82035,"55.755787,38.290146",10646,281,289
1504010300,2017-08-29T12:38:20Z,RA82035,"55.753288,38.29829",10707,281,289
1504010275,2017-08-29T12:37:55Z,RA82035,"55.745842,38.360832",11300,293,257
1504010240,2017-08-29T12:37:20Z,RA82035,"55.759941,38.444153",12000,300,248
1504010208,2017-08-29T12:36:48Z,RA82035,"55.77631,38.516571",12599,311,248
1504010174,2017-08-29T12:36:14Z,RA82035,"55.79401,38.594688",13100,320,248
1504010141,2017-08-29T12:35:41Z,RA82035,"55.811211,38.670834",13418,321,249
1504010110,2017-08-29T12:35:10Z,RA82035,"55.828892,38.751064",13944,331,249
1504010079,2017-08-29T12:34:39Z,RA82035,"55.846298,38.83102",14400,331,249
1504010047,2017-08-29T12:34:07Z,RA82035,"55.864296,38.914436",14983,315,250
1504010014,2017-08-29T12:33:34Z,RA82035,"55.880974,38.991394",15699,263,246
1504010007,2017-08-29T12:33:27Z,RA82035,"55.885406,39.009563",15900,246,245
1504009999,2017-08-29T12:33:19Z,RA82035,"55.889561,39.025986",16110,224,243
1504009989,2017-08-29T12:33:09Z,RA82035,"55.89373,39.04158",16300,201,239
1504009971,2017-08-29T12:32:51Z,RA82035,"55.904541,39.073334",16700,138,214
1504009925,2017-08-29T12:32:05Z,RA82035,"55.924717,39.087307",17500,218,149
1504009894,2017-08-29T12:31:34Z,RA82035,"55.94545,39.270638",18200,321,249
1504009832,2017-08-29T12:30:32Z,RA82035,"55.978691,39.427845",19500,330,249
1504009767,2017-08-29T12:29:27Z,RA82035,"56.015198,39.596043",20900,338,247
1504009704,2017-08-29T12:28:24Z,RA82035,"56.055691,39.757698",22000,345,246
1504009637,2017-08-29T12:27:17Z,RA82035,"56.096443,39.926384",22726,344,247
1504009575,2017-08-29T12:26:15Z,RA82035,"56.138065,40.095814",24069,356,246
1504009511,2017-08-29T12:25:11Z,RA82035,"56.18491,40.268768",25600,372,241
1504009450,2017-08-29T12:24:10Z,RA82035,"56.232258,40.432701",26999,367,245
1504009435,2017-08-29T12:23:55Z,RA82035,"56.244564,40.480408",27200,364,246
1504009426,2017-08-29T12:23:46Z,RA82035,"56.249607,40.499786",27300,360,251
1504009413,2017-08-29T12:23:33Z,RA82035,"56.256279,40.533119",27400,362,261
1504009407,2017-08-29T12:23:27Z,RA82035,"56.259094,40.558384",27600,370,264
1504009374,2017-08-29T12:22:54Z,RA82035,"56.262684,40.653488",27999,372,274
1504009310,2017-08-29T12:21:50Z,RA82035,"56.253075,40.848885",28000,372,276
1504009248,2017-08-29T12:20:48Z,RA82035,"56.242214,41.046326",28000,403,269
1504009242,2017-08-29T12:20:42Z,RA82035,"56.242455,41.072826",27999,419,268
1504009230,2017-08-29T12:20:30Z,RA82035,"56.242611,41.096909",28000,426,264
1504009217,2017-08-29T12:20:17Z,RA82035,"56.244938,41.151237",28000,444,257
1504009211,2017-08-29T12:20:11Z,RA82035,"56.246147,41.164066",28000,444,257
1504009175,2017-08-29T12:19:35Z,RA82035,"56.266537,41.289696",27999,483,242
1504009169,2017-08-29T12:19:29Z,RA82035,"56.270733,41.303089",28000,473,240
1504009116,2017-08-29T12:18:36Z,RA82035,"56.249367,41.432053",28000,373,254
1504009039,2017-08-29T12:17:19Z,RA82035,"56.203335,41.743084",28000,372,274
1504008978,2017-08-29T12:16:18Z,RA82035,"56.212387,41.870579",28000,367,275
1504008910,2017-08-29T12:15:10Z,RA82035,"56.197361,42.086262",28000,358,275
1504008845,2017-08-29T12:14:05Z,RA82035,"56.188587,42.263798",28000,358,276
1504008780,2017-08-29T12:13:00Z,RA82035,"56.178661,42.455845",27999,363,277
1504008716,2017-08-29T12:11:56Z,RA82035,"56.166824,42.63129",28000,338,276
1504008651,2017-08-29T12:10:51Z,RA82035,"56.15345,42.844849",28000,392,280
1504008583,2017-08-29T12:09:43Z,RA82035,"56.125469,43.055088",27912,390,278
1504008574,2017-08-29T12:09:34Z,RA82035,"56.121067,43.096569",28000,378,278
1504008550,2017-08-29T12:09:10Z,RA82035,"56.117107,43.158001",28000,310,237
