Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504026193,2017-08-29T17:03:13Z,RA82035,"53.759247,33.05064",11700,368,255
1504026159,2017-08-29T17:02:39Z,RA82035,"53.839882,33.083866",13300,368,255
1504026059,2017-08-29T17:00:59Z,RA82035,"53.852924,33.187092",14200,368,255
1504026013,2017-08-29T17:00:13Z,RA82035,"53.85318,33.24448",14700,368,255
1504025986,2017-08-29T16:59:46Z,RA82035,"53.854984,33.25779",14700,308,265
1504025938,2017-08-29T16:58:58Z,RA82035,"53.854061,33.384453",15699,274,219
1504025929,2017-08-29T16:58:49Z,RA82035,"53.855053,33.395702",15699,274,219
1504025875,2017-08-29T16:57:55Z,RA82035,"53.793423,33.471107",17300,278,1
1504025840,2017-08-29T16:57:20Z,RA82035,"53.75621,33.467274",17800,278,4
1504025832,2017-08-29T16:57:12Z,RA82035,"53.749275,33.466709",17800,278,4
1504025822,2017-08-29T16:57:02Z,RA82035,"53.74007,33.465195",18031,278,8
1504025816,2017-08-29T16:56:56Z,RA82035,"53.730312,33.46386",18199,278,25
1504025773,2017-08-29T16:56:13Z,RA82035,"53.679058,33.465664",19000,278,352
1504025747,2017-08-29T16:55:47Z,RA82035,"53.634476,33.484238",19900,292,339
1504025674,2017-08-29T16:54:34Z,RA82035,"53.555206,33.535027",21400,300,342
1504025642,2017-08-29T16:54:02Z,RA82035,"53.512394,33.557724",21999,320,352
1504025578,2017-08-29T16:52:58Z,RA82035,"53.426968,33.597214",22000,332,356
1504025518,2017-08-29T16:51:58Z,RA82035,"53.347206,33.643154",22000,325,337
1504025500,2017-08-29T16:51:40Z,RA82035,"53.323349,33.665081",21900,335,332
1504025493,2017-08-29T16:51:33Z,RA82035,"53.31879,33.668209",21900,352,326
1504025487,2017-08-29T16:51:27Z,RA82035,"53.305141,33.686497",22000,352,326
1504025406,2017-08-29T16:50:06Z,RA82035,"53.240868,33.864662",21900,354,289
1504025364,2017-08-29T16:49:24Z,RA82035,"53.218971,33.959438",22000,367,294
1504025354,2017-08-29T16:49:14Z,RA82035,"53.216084,33.970699",21900,379,297
1504025282,2017-08-29T16:48:02Z,RA82035,"53.196404,34.136532",21900,334,233
1504025219,2017-08-29T16:46:59Z,RA82035,"53.274101,34.304806",22000,338,225
