Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504343433,2017-09-02T09:10:33Z,RA82035,"55.931343,37.939983",2121,201,119
1504343418,2017-09-02T09:10:18Z,RA82035,"55.934967,37.928963",2300,202,119
1504343409,2017-09-02T09:10:09Z,RA82035,"55.938843,37.91724",2500,204,119
1504343399,2017-09-02T09:09:59Z,RA82035,"55.944187,37.899818",2500,201,121
1504343390,2017-09-02T09:09:50Z,RA82035,"55.948746,37.887272",2499,196,123
1504343383,2017-09-02T09:09:43Z,RA82035,"55.952305,37.876019",2499,188,129
1504343376,2017-09-02T09:09:36Z,RA82035,"55.954403,37.870392",2500,188,129
1504343370,2017-09-02T09:09:30Z,RA82035,"55.9589,37.859932",2500,180,138
1504343359,2017-09-02T09:09:19Z,RA82035,"55.965794,37.847038",2500,183,164
1504343336,2017-09-02T09:08:56Z,RA82035,"55.984879,37.839603",2600,210,205
1504343329,2017-09-02T09:08:49Z,RA82035,"55.988415,37.841183",2700,210,205
1504343323,2017-09-02T09:08:43Z,RA82035,"55.995594,37.846664",2800,217,210
1504343314,2017-09-02T09:08:34Z,RA82035,"56.002071,37.853115",2899,223,213
1504343307,2017-09-02T09:08:27Z,RA82035,"56.008274,37.859829",3100,226,216
1504343301,2017-09-02T09:08:21Z,RA82035,"56.015179,37.868809",3162,230,216
1504343294,2017-09-02T09:08:14Z,RA82035,"56.018505,37.87302",3199,231,219
1504343285,2017-09-02T09:08:05Z,RA82035,"56.02544,37.882584",3200,232,221
1504343279,2017-09-02T09:07:59Z,RA82035,"56.032196,37.892174",3100,228,224
1504343270,2017-09-02T09:07:50Z,RA82035,"56.038822,37.902649",2999,221,229
1504343258,2017-09-02T09:07:38Z,RA82035,"56.047695,37.919605",3100,216,235
1504343252,2017-09-02T09:07:32Z,RA82035,"56.050354,37.925518",3200,208,247
1504343246,2017-09-02T09:07:26Z,RA82035,"56.054718,37.937771",3300,207,256
1504343221,2017-09-02T09:07:01Z,RA82035,"56.059032,37.978027",3582,211,299
1504343214,2017-09-02T09:06:54Z,RA82035,"56.054653,37.997307",3799,213,302
1504343202,2017-09-02T09:06:42Z,RA82035,"56.050987,38.008461",3923,216,307
1504343195,2017-09-02T09:06:35Z,RA82035,"56.046337,38.019886",4106,220,307
1504343186,2017-09-02T09:06:26Z,RA82035,"56.041618,38.031403",4311,228,308
1504343177,2017-09-02T09:06:17Z,RA82035,"56.036602,38.042755",4500,234,305
1504343170,2017-09-02T09:06:10Z,RA82035,"56.031902,38.055027",4700,237,307
1504343161,2017-09-02T09:06:01Z,RA82035,"56.026882,38.067261",4800,243,309
1504343155,2017-09-02T09:05:55Z,RA82035,"56.021214,38.079624",4900,252,308
1504343143,2017-09-02T09:05:43Z,RA82035,"56.012615,38.099026",5174,267,308
1504343131,2017-09-02T09:05:31Z,RA82035,"56.004299,38.118374",5400,273,311
1504343119,2017-09-02T09:05:19Z,RA82035,"55.995396,38.138588",5600,284,308
1504343112,2017-09-02T09:05:12Z,RA82035,"55.988415,38.15242",5700,288,310
1504343105,2017-09-02T09:05:05Z,RA82035,"55.981308,38.167393",5800,294,316
1504343094,2017-09-02T09:04:54Z,RA82035,"55.974827,38.182976",5950,277,320
1504343079,2017-09-02T09:04:39Z,RA82035,"55.958191,38.206997",6300,274,313
1504343054,2017-09-02T09:04:14Z,RA82035,"55.930935,38.227325",6788,288,15
1504343048,2017-09-02T09:04:08Z,RA82035,"55.925499,38.225693",6800,288,15
1504343042,2017-09-02T09:04:02Z,RA82035,"55.915192,38.221668",6899,287,26
1504343036,2017-09-02T09:03:56Z,RA82035,"55.905121,38.213299",7099,292,33
1504343026,2017-09-02T09:03:46Z,RA82035,"55.89658,38.204266",7224,287,43
1504343014,2017-09-02T09:03:34Z,RA82035,"55.88483,38.183098",7499,279,60
1504343006,2017-09-02T09:03:26Z,RA82035,"55.878658,38.168194",7647,273,70
1504342981,2017-09-02T09:03:01Z,RA82035,"55.870209,38.107864",8199,270,106
1504342970,2017-09-02T09:02:50Z,RA82035,"55.872349,38.090763",8399,271,121
1504342964,2017-09-02T09:02:44Z,RA82035,"55.877079,38.074741",8599,266,135
1504342956,2017-09-02T09:02:36Z,RA82035,"55.883942,38.060646",8777,264,150
1504342945,2017-09-02T09:02:25Z,RA82035,"55.892632,38.050667",8900,268,160
1504342922,2017-09-02T09:02:02Z,RA82035,"55.920559,38.041512",9440,251,202
1504342913,2017-09-02T09:01:53Z,RA82035,"55.929581,38.046516",9641,245,214
