Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504615620,2017-09-05T12:47:00Z,RFF8600,"38.06517,48.136814",28000,366,302
1504615482,2017-09-05T12:44:42Z,RFF8600,"38.014915,48.236652",28000,366,302
1504615416,2017-09-05T12:43:36Z,RFF8600,"37.989681,48.283981",28000,366,302
1504615326,2017-09-05T12:42:06Z,RFF8600,"37.922527,48.42857",27999,364,304
1504615257,2017-09-05T12:40:57Z,RFF8600,"37.861462,48.554539",28000,368,302
1504615234,2017-09-05T12:40:34Z,RFF8600,"37.831955,48.613831",28060,368,302
1504615162,2017-09-05T12:39:22Z,RFF8600,"37.765598,48.746208",28100,367,303
1504615098,2017-09-05T12:38:18Z,RFF8600,"37.714844,48.843712",28000,386,297
1504615037,2017-09-05T12:37:17Z,RFF8600,"37.660004,48.958012",28000,370,302
1504614975,2017-09-05T12:36:15Z,RFF8600,"37.601662,49.076588",28000,370,304
1504614530,2017-09-05T12:28:50Z,RFF8600,"37.210804,49.915565",27999,370,300
1504614463,2017-09-05T12:27:43Z,RFF8600,"37.15033,50.073189",27999,370,300
1504614357,2017-09-05T12:25:57Z,RFF8600,"37.079941,50.23711",28000,370,297
1504614336,2017-09-05T12:25:36Z,RFF8600,"37.064301,50.275654",28056,370,297
1504614275,2017-09-05T12:24:35Z,RFF8600,"37.010635,50.405426",28000,370,298
1504614186,2017-09-05T12:23:06Z,RFF8600,"36.944176,50.563931",28016,368,296
1504614145,2017-09-05T12:22:25Z,RFF8600,"36.913059,50.644054",28100,368,291
1504614084,2017-09-05T12:21:24Z,RFF8600,"36.874004,50.76965",28017,368,291
1504614019,2017-09-05T12:20:19Z,RFF8600,"36.835285,50.896889",28078,364,290
1504613955,2017-09-05T12:19:15Z,RFF8600,"36.798939,51.022293",28000,363,291
1504613890,2017-09-05T12:18:10Z,RFF8600,"36.75732,51.147385",28100,395,298
1504613823,2017-09-05T12:17:03Z,RFF8600,"36.693214,51.282928",27999,428,306
1504613816,2017-09-05T12:16:56Z,RFF8600,"36.688538,51.291374",28000,427,304
1504613810,2017-09-05T12:16:50Z,RFF8600,"36.679276,51.30714",28100,419,298
1504613801,2017-09-05T12:16:41Z,RFF8600,"36.669846,51.323978",28100,393,279
1504613795,2017-09-05T12:16:35Z,RFF8600,"36.663029,51.348343",28000,393,279
1504613773,2017-09-05T12:16:13Z,RFF8600,"36.656754,51.386055",28100,371,244
1504613767,2017-09-05T12:16:07Z,RFF8600,"36.661751,51.410492",28099,371,244
1504613758,2017-09-05T12:15:58Z,RFF8600,"36.662922,51.417686",28100,371,244
1504613752,2017-09-05T12:15:52Z,RFF8600,"36.668083,51.433098",27999,373,233
1504613743,2017-09-05T12:15:43Z,RFF8600,"36.67662,51.448414",28000,375,226
1504613734,2017-09-05T12:15:34Z,RFF8600,"36.685196,51.460865",28000,379,217
1504613728,2017-09-05T12:15:28Z,RFF8600,"36.696053,51.472042",28055,386,210
1504613684,2017-09-05T12:14:44Z,RFF8600,"36.76857,51.510529",28000,390,199
1504613621,2017-09-05T12:13:41Z,RFF8600,"36.877926,51.557907",28100,390,199
1504613558,2017-09-05T12:12:38Z,RFF8600,"36.979206,51.602272",28000,390,199
1504613494,2017-09-05T12:11:34Z,RFF8600,"37.123028,51.665367",28000,390,200
1504613426,2017-09-05T12:10:26Z,RFF8600,"37.218201,51.709488",28100,391,203
1504613330,2017-09-05T12:08:50Z,RFF8600,"37.422493,51.821449",28100,394,198
1504612748,2017-09-05T11:59:08Z,RFF8600,"38.63929,52.010944",27000,0,183
1504612615,2017-09-05T11:56:55Z,RFF8600,"38.666832,52.012447",27000,0,183
1504612599,2017-09-05T11:56:39Z,RFF8600,"38.717766,52.015434",27000,0,183
